"License Number";"Provider Name";"County";"Address";"City";"State";"Zip";"Contact Name";"Telephone";"Program Type";"Class Code";"Night Time Care";"Transportation";"Monday";"Tuesday";"Wednsday";"Thirsday";"Friday";"Saturday";"Sunday";"Subprograms";"NAEYC Accreditation";"Star Rating";"ID";"DetailsURL"
1459;"Montessori Children's House of Acadiana";"Lafayette";"3725 Pinhook";"Broussard";"LA";70518;"Mary LeBlanc, Director";"337-837-1841";"Child Day Care";"Class B";"No";"No";"7:00a - 5:30p";"7:00a - 5:30p";"7:00a - 5:30p";"7:00a - 5:30p";"7:00a - 5:30p";"Closed";"Closed";"Child Care";"No";"No Star Rating";1459;"http://carefacility.doe.louisiana.gov/view.aspx?id=1459"
15414;"Rosa's Child Development Center";"Lafayette";"229 St. Deporres Road";"Broussard";"LA";70518;"Monica Cormier, Director";"337-837-8776";"Child Day Care";"Class A";"No";"Yes";"7:00a - 5:30p";"7:00a - 5:30p";"7:00a - 5:30p";"7:00a - 5:30p";"7:00a - 5:30p";"Closed";"Closed";"Child Care";"No";"4 Stars";15414;"http://carefacility.doe.louisiana.gov/view.aspx?id=15414"
7992;"SMILE St. Joseph Head Start";"Lafayette";"236 St. DePorres Street";"Broussard";"LA";70518;"Michelle Bogen, Director";"337-837-8201";"Child Day Care";"Class A";"No";"Yes";"7:00a - 5:00p";"7:00a - 5:00p";"7:00a - 5:00p";"7:00a - 5:00p";"7:00a - 5:00p";"Closed";"Closed";"Child Care";"No";"3 Stars";7992;"http://carefacility.doe.louisiana.gov/view.aspx?id=7992"
12920;"Sugar 'n Spice Broussard's Preschool, Inc.";"Lafayette";"803 East Main Street";"Broussard";"LA";70518;"Janet Wapnarski, Director";"337-839-1400";"Child Day Care";"Class A";"No";"Yes";"6:45a - 5:45p";"6:45a - 5:45p";"6:45a - 5:45p";"6:45a - 5:45p";"6:45a - 5:45p";"Closed";"Closed";"Child Care";"No";"2 Stars";12920;"http://carefacility.doe.louisiana.gov/view.aspx?id=12920"
15797;"The Village Children's Center";"Lafayette";"204 Albertson Parkway";"Broussard";"LA";70518;"Amanda Rideaux, Director";"337-837-7003";"Child Day Care";"Class A";"No";"No";"6:30a - 5:45p";"6:30a - 5:45p";"6:30a - 5:45p";"6:30a - 5:45p";"6:30a - 5:45p";"Closed";"Closed";"Child Care";"No";"2 Stars";15797;"http://carefacility.doe.louisiana.gov/view.aspx?id=15797"
15925;"The Woodlands Learning Barn LLC";"Lafayette";"6830 Ambassador Caffery Pkwy Extension";"Broussard";"LA";70518;"Kim Lapoint, DirectorBrandie Landry, Director";"337-837-3500";"Child Day Care";"Class B";"No";"No";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";15925;"http://carefacility.doe.louisiana.gov/view.aspx?id=15925"
16082;"Cornerstone Learning Express LLC";"Lafayette";"200 S. Saint John Street";"Carencro";"LA";70520;"Stacy Jackson, Director";"337-565-5004";"Child Day Care";"Class A";"No";"No";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"Closed";"Closed";"Child Care";"No";"2 Stars";16082;"http://carefacility.doe.louisiana.gov/view.aspx?id=16082"
15627;"Cribs to Crayons Child Development Center, L.L.C.";"Lafayette";"525 Arceneaux Road";"Carencro";"LA";70520;"Ricky Lail, DirectorDeanna Devalcourt, Director";"337-896-2004";"Child Day Care";"Class A";"No";"Field Trip Only";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"Closed";"Closed";"Child Care";"No";"2 Stars";15627;"http://carefacility.doe.louisiana.gov/view.aspx?id=15627"
9696;"Hollie Hobby Day Care Center";"Lafayette";"301 Aimee Drive";"Carencro";"LA";70520;"Denise Boudreaux, DirectorCrystal Gotch, Director Designee";"337-896-3265";"Child Day Care";"Class B";"No";"Field Trip Only";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";9696;"http://carefacility.doe.louisiana.gov/view.aspx?id=9696"
11784;"Small World Daycare";"Lafayette";"117 Ovide Road";"Carencro";"LA";70520;"Emelda Francis, Director";"337-896-5712";"Child Day Care";"Class A";"No";"Yes";"6:00a - 6:30p";"6:00a - 6:30p";"6:00a - 6:30p";"6:00a - 6:30p";"6:00a - 6:30p";"Closed";"Closed";"Child Care";"No";"2 Stars";11784;"http://carefacility.doe.louisiana.gov/view.aspx?id=11784"
4605;"Snow White Head Start Center";"St. Mary";"8931 Highway 182";"Centerville";"LA";70522;"Cathy Eave, DirectorAnna Burgess, Director Designee";"337-836-5417";"Child Day Care";"Class A";"No";"Yes";"8:00a - 2:30p";"8:00a - 2:30p";"8:00a - 2:30p";"8:00a - 2:30p";"8:00a - 2:30p";"Closed";"Closed";"Child Care";"No";"1 Star";4605;"http://carefacility.doe.louisiana.gov/view.aspx?id=4605"
12170;"Yaamahana/Chitimacha Child Development Center";"St. Mary";"410 Seminole Drive";"Charenton";"LA";70523;"Kathleen Flanagan, DirectorKaylyn Martin, Director Designee";"337-923-0100";"Child Day Care";"Class A";"No";"Field Trip Only";"7:00a - 5:30p";"7:00a - 5:30p";"7:00a - 5:30p";"7:00a - 5:30p";"7:00a - 5:30p";"Closed";"Closed";"Child Care";"No";"5 Stars";12170;"http://carefacility.doe.louisiana.gov/view.aspx?id=12170"
12884;"Chataignier Head Start Center";"Evangeline";"5762 Vine Street";"Chataignier";"LA";70524;"Kimberly LaFleur, Director";"337-885-3678";"Child Day Care";"Class A";"No";"Yes";"7:30a - 3:00p";"7:30a - 3:00p";"7:30a - 3:00p";"7:30a - 3:00p";"7:30a - 3:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";12884;"http://carefacility.doe.louisiana.gov/view.aspx?id=12884"
3962;"Church Point Head Start (Our Mother of Mercy Church Point Head Start)";"Acadia";"693 North Main Street";"Church Point";"LA";70525;"Shirley Guillory, Director";"337-684-2031";"Child Day Care";"Class A";"No";"Yes";"7:30a - 3:30p";"7:30a - 3:30p";"7:30a - 3:30p";"7:30a - 3:30p";"7:30a - 3:30p";"Closed";"Closed";"Child Care";"No";"4 Stars";3962;"http://carefacility.doe.louisiana.gov/view.aspx?id=3962"
14034;"Little Friends Child Care and Development Center IV";"Acadia";"101 Wild Flower Lane";"Church Point";"LA";70525;"Pamela LeJeune, Director";"337-684-3055";"Child Day Care";"Class A";"No";"No";"7:00a - 5:30p";"7:00p - 5:30p";"7:00p - 5:30p";"7:00p - 5:30p";"7:00p - 5:30p";"Closed";"Closed";"Child Care";"No";"1 Star";14034;"http://carefacility.doe.louisiana.gov/view.aspx?id=14034"
50050;"Love Bugs Learning Center";"Acadia";"405 W. Canal Street";"Church Point";"LA";70525;"Patsy Traylor, Director";"337-684-0388";"Child Day Care";"Class A";"No";"Field Trip Only";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"7:00a - 2:30p";"Closed";"Child Care";"No";"No Star Rating";50050;"http://carefacility.doe.louisiana.gov/view.aspx?id=50050"
9071;"Noah's Ark Day Care";"Acadia";"119 St. Stephen Drive";"Church Point";"LA";70525;"Agnes Richard, Director";"337-684-5437";"Child Day Care";"Class A";"No";"No";"6:30a - 5:30p";"6:30a - 5:30p";"6:30a - 5:30p";"6:30a - 5:30p";"6:30a - 5:30p";"Closed";"Closed";"Child Care";"No";"No Star Rating";9071;"http://carefacility.doe.louisiana.gov/view.aspx?id=9071"
14392;"Precious Moments Daycare and Developmental Center";"Acadia";"417 North Avenue F";"Crowley";"LA";70526;"Angela Lewis, Director";"337-788-2111";"Child Day Care";"Class A";"No";"No";"7:00a - 5:30p";"7:00a - 5:30p";"7:00a - 5:30p";"7:00a - 5:30p";"7:00a - 5:30p";"Closed";"Closed";"Child Care";"No";"No Star Rating";14392;"http://carefacility.doe.louisiana.gov/view.aspx?id=14392"
7814;"Room to Grow Day Care Preschool and Learning Center, Inc.";"Acadia";"250 Katherine Drive";"Crowley";"LA";70526;"Brenda Romero, Director";"337-788-2322";"Child Day Care";"Class A";"No";"No";"6:30a - 5:30p";"6:30a - 5:30p";"6:30a - 5:30p";"6:30a - 5:30p";"6:30a - 5:30p";"Closed";"Closed";"Child Care";"No";"No Star Rating";7814;"http://carefacility.doe.louisiana.gov/view.aspx?id=7814"
3961;"Ross Head Start Center";"Acadia";"800 North Western Avenue";"Crowley";"LA";70526;"Tracy Batiste-Landry, Director";"337-783-5432";"Child Day Care";"Class A";"No";"Yes";"7:30a - 3:30p";"7:30a - 3:30p";"7:30a - 3:30p";"7:30a - 3:30p";"7:30a - 3:30p";"Closed";"Closed";"Child Care";"No";"1 Star";3961;"http://carefacility.doe.louisiana.gov/view.aspx?id=3961"
807;"Touch of Love Day Care";"Acadia";"809 East Northern Avenue";"Crowley";"LA";70526;"Randy Trahan, DirectorCarrie Post, Director Designee";"337-788-0698";"Child Day Care";"Class B";"No";"No";"7:00a - 5:30p";"7:00a - 5:30p";"7:00a - 5:30p";"7:00a - 5:30p";"7:00a - 5:30p";"Closed";"Closed";"Child Care";"No";"No Star Rating";807;"http://carefacility.doe.louisiana.gov/view.aspx?id=807"
10293;"Lil Angels Daycare";"Lafayette";"1024 Lagneaux Road";"Duson";"LA";70529;"Elizabeth Duhon, Director DesigneeAngel Lopez, Director";"337-993-0101";"Child Day Care";"Class A";"No";"Yes";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";10293;"http://carefacility.doe.louisiana.gov/view.aspx?id=10293"
7990;"SMILE Alexander Head Start Center";"Lafayette";"3619 South Fieldspan Road";"Duson";"LA";70529;"LaQuincy Smith, Director";"337-993-9739";"Child Day Care";"Class A";"No";"Yes";"7:00a - 5:00p";"7:00a - 5:00p";"7:00a - 5:00p";"7:00a - 5:00p";"7:00a - 5:00p";"Closed";"Closed";"Child Care";"No";"2 Stars";7990;"http://carefacility.doe.louisiana.gov/view.aspx?id=7990"
15714;"Save the Children Head Start Jefferson Davis In Elton";"Jefferson Davis";"209 Al Woods Street";"Elton";"LA";70532;"Debbie Johnson, Director DesigneeNicole Hall, Director";"337-584-3015";"Child Day Care";"Class A";"No";"Yes";"7:30a - 2:00p";"7:30a - 2:00p";"7:30a - 2:00p";"7:30a - 2:00p";"7:30a - 2:00p";"Closed";"Closed";"Child Care";"No";"1 Star";15714;"http://carefacility.doe.louisiana.gov/view.aspx?id=15714"
16207;"Helping Hands Learning Center";"Vermilion";"219 E. Lastie";"Erath";"LA";70533;"Anette Schexnaider, Director";"337-523-9963";"Child Day Care";"Class A";"No";"No";"7:00a - 4:30p";"7:00a - 4:30p";"7:00a - 4:30p";"7:00a - 4:30p";"7:00a - 4:30p";"Closed";"Closed";"Child Care";"No";"No Star Rating";16207;"http://carefacility.doe.louisiana.gov/view.aspx?id=16207"
14564;"Little Einsteins Head Start";"Vermilion";"2924 Deussard Road";"Erath";"LA";70533;"Ada Johnson, Director";"337-937-8882";"Child Day Care";"Class A";"No";"Yes";"7:45a - 4:00 p";"7:45a - 4:00p";"7:45a - 4:00p";"7:45a - 4:00p";"7:45a - 4:00p";"Closed";"Closed";"Child Care";"No";"1 Star";14564;"http://carefacility.doe.louisiana.gov/view.aspx?id=14564"
4580;"Estherwood Head Start";"Acadia";"214 Jefferson Avenue";"Estherwood";"LA";70534;"Karen Marx, Director";"337-783-6884";"Child Day Care";"Class A";"No";"Field Trip Only";"7:30a - 2:00p";"7:30a - 2:00p";"7:30a - 2:00p";"7:30a - 2:00p";"Closed";"Closed";"Closed";"Child Care";"No";"1 Star";4580;"http://carefacility.doe.louisiana.gov/view.aspx?id=4580"
11509;"Early Years Learning Center, Inc.";"St. Landry";"501 South 12th Street";"Eunice";"LA";70535;"Tobi Sonnier, Director";"337-546-1050";"Child Day Care";"Class A";"No";"No";"6:30a - 5:30p";"6:30a - 5:30p";"6:30a - 5:30p";"6:30a - 5:30p";"6:30a - 5:30p";"Closed";"Closed";"Child Care";"No";"1 Star";11509;"http://carefacility.doe.louisiana.gov/view.aspx?id=11509"
1782;"Eunice Head Start Center";"St. Landry";"101 City Avenue";"Eunice";"LA";70535;"Barbara Pickney, DirectorDebra Hardy, Director";"337-457-8905";"Child Day Care";"Class A";"No";"Yes";"7:00a - 3:30p";"7:00a - 3:30p";"7:00a - 3:30p";"7:00a - 3:30p";"7:00a - 3:30p";"Closed";"Closed";"Child Care";"No";"2 Stars";1782;"http://carefacility.doe.louisiana.gov/view.aspx?id=1782"
14525;"Exquisite Imprints LLC";"St. Landry";"600 North Fourth Street";"Eunice";"LA";70535;"Candase Martel, DirectorHolly Fontenot, Director Designee";"337-550-0904";"Child Day Care";"Class A";"No";"No";"6:45a - 5:15p";"6:45a - 5:15p";"6:45a - 5:15p";"6:45a - 5:15p";"6:45a - 5:15p";"Closed";"Closed";"Child Care";"No";"No Star Rating";14525;"http://carefacility.doe.louisiana.gov/view.aspx?id=14525"
50123;"Jenny's Country Day Nursery School, LLC";"St. Landry";"1248 North Saint Mary Road";"Eunice";"LA";70535;"Samatha Leger, Director";"337-457-8149";"Child Day Care";"Class A";"No";"No";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";50123;"http://carefacility.doe.louisiana.gov/view.aspx?id=50123"
16168;"Land of Little People Day Care and Learning Center";"St. Landry";"411 Fruge Street";"Eunice";"LA";70535;"Catherine Rhines, Director";"337-466-7066";"Child Day Care";"Class A";"No";"No";"7:00a - 5:30p";"7:00a - 5:30p";"7:00a - 5:30p";"7:00a - 5:30p";"7:00a - 5:30p";"Closed";"Closed";"Child Care";"No";"No Star Rating";16168;"http://carefacility.doe.louisiana.gov/view.aspx?id=16168"
15906;"Pumpkin Patch of Eunice, LLC";"St. Landry";"150 North Ninth Street";"Eunice";"LA";70535;"Rachelle Hall, Director DesigneeCourtney Fontenot, Director";"337-466-3600";"Child Day Care";"Class A";"No";"No";"6:30a - 5:30p";"6:30a - 5:30p";"6:30a - 5:30p";"6:30a - 5:30p";"6:30a - 5:30p";"Closed";"Closed";"Child Care";"No";"1 Star";15906;"http://carefacility.doe.louisiana.gov/view.aspx?id=15906"
14390;"The Apple Tree";"St. Landry";"510 W Maple Avenue";"Eunice";"LA";70535;"Shelia Smith, Director DesigneeTricia Richard, Director";"337-457-9090";"Child Day Care";"Class A";"No";"No";"6:45a - 5:15p";"6:45a - 5:15p";"6:45a - 5:15p";"6:45a - 5:15p";"6:45a - 5:15p";"Closed";"Closed";"Child Care";"No";"2 Stars";14390;"http://carefacility.doe.louisiana.gov/view.aspx?id=14390"
15785;"Young World LLC";"Acadia";"1060 LSU-E Drive";"Eunice";"LA";70535;"Jessica Frey, Director";"337-457-9370";"Child Day Care";"Class A";"No";"No";"6:45a - 5:15p";"6:45a - 6:45p";"6:45a - 5:15p";"6:45a - 5:15p";"6:45a - 5:15p";"Closed";"Closed";"Child Care";"No";"1 Star";15785;"http://carefacility.doe.louisiana.gov/view.aspx?id=15785"
15875;"A Child's Place Daycare and Learning Center";"St. Mary";"112 Blakesley Street";"Franklin";"LA";70538;"Swanzetta Freeman, Director";"337-828-5535";"Child Day Care";"Class A";"No";"No";"6:30a - 7:00p";"6:30a - 7:00p";"6:30a - 7:00p";"6:30a - 7:00p";"6:30a - 7:00p";"Closed";"Closed";"Child Care";"No";"1 Star";15875;"http://carefacility.doe.louisiana.gov/view.aspx?id=15875"
1180;"Peter Pan Head Start Center";"St. Mary";"1407 Barrow Street";"Franklin";"LA";70538;"Paula Robinson, DirectorGeneva Carnley, Director Designee";"337-828-3893";"Child Day Care";"Class A";"No";"Yes";"8:00a - 2:30p";"8:00a - 2:30p";"8:00a - 2:30p";"8:00a - 2:30p";"8:00a - 2:30p";"Closed";"Closed";"Child Care";"No";"1 Star";1180;"http://carefacility.doe.louisiana.gov/view.aspx?id=1180"
5696;"Verdunville Community Outreach Day Care";"St. Mary";"256 Prairie Road Street";"Franklin";"LA";70538;"Mary L. Stansberry, DirectorJoyce Thomas, Director Designee";"337-836-9482";"Child Day Care";"Class A";"No";"Yes";"7:30a - 5:30p";"7:30a - 5:30p";"7:30a - 5:30p";"7:30a - 5:30p";"7:30a - 5:30p";"Closed";"Closed";"Child Care";"No";"No Star Rating";5696;"http://carefacility.doe.louisiana.gov/view.aspx?id=5696"
5787;"Grand Coteau/Sunset Head Start /Early Head Start Center";"St. Landry";"361 Burleigh Street";"Grand Coteau";"LA";70541;"Barbara Pickney, DirectorPatricia Gradnigo, Director";"337-662-5563";"Child Day Care";"Class A";"No";"Yes";"7:00a - 3:30p";"7:00a - 3:30p";"7:00a - 3:30p";"7:00a - 3:30p";"7:00a - 3:30p";"Closed";"Closed";"Child Care";"Yes";"2 Stars";5787;"http://carefacility.doe.louisiana.gov/view.aspx?id=5787"
8695;"Honey Bears Head Start";"Vermilion";"1112 Main Street";"Gueydan";"LA";70542;"Maxine Perrin, Director";"337-536-6558";"Child Day Care";"Class A";"No";"Yes";"7:45a - 4:00p";"7:45a - 4:00p";"7:45a - 4:00p";"7:45a - 4:00p";"7:45a - 4:00p";"Closed";"Closed";"Child Care";"No";"1 Star";8695;"http://carefacility.doe.louisiana.gov/view.aspx?id=8695"
15931;"Petite Bulldogs Preschool and Learning Center";"Acadia";"89 Oak Street";"Iota";"LA";70543;"Angelle Gotreaux, Director";"337-779-3052";"Child Day Care";"Class A";"No";"No";"6:30a - 5:30p";"6:30a - 5:30p";"6:30a - 5:30p";"6:30a - 5:30p";"6:30a - 5:30p";"Closed";"Closed";"Child Care";"No";"No Star Rating";15931;"http://carefacility.doe.louisiana.gov/view.aspx?id=15931"
4665;"Bambi Head Start Center";"St. Mary";"20292 Highway 90 Frontage Road";"Jeanerette";"LA";70544;"Louise Pierre , Director";"337-276-5571";"Child Day Care";"Class A";"No";"Yes";"7:30a - 3:00p";"7:30a - 3:00p";"7:30a - 3:00p";"7:30a - 3:00p";"7:30a - 3:00p";"Closed";"Closed";"Child Care";"No";"1 Star";4665;"http://carefacility.doe.louisiana.gov/view.aspx?id=4665"
14129;"Bingaman Learning Center";"Iberia";"315 Nolan Duchane Drive";"Jeanerette";"LA";70544;"Debra Wiles, Director DesigneeKathryn Jones, Director";"337-276-1002";"Child Day Care";"Class A";"No";"No";"6:30a - 5:30p";"6:30a - 5:30p";"6:30a - 5:30p";"6:30a - 5:30p";"6:30a - 5:30p";"Closed";"Closed";"Child Care";"No";"3 Stars";14129;"http://carefacility.doe.louisiana.gov/view.aspx?id=14129"
16195;"SMILE Jeanerette Head Start Center / Early Head Start";"Iberia";"10917 Old Jeanerette Road";"Jeanerette";"LA";70544;"Josephine Anthony, Director";"337-276-9220";"Child Day Care";"Class A";"No";"Yes";"7:00a - 5:00p";"7:00a - 5:00p";"7:00a - 5:00p";"7:00a - 5:00p";"7:00a - 5:00p";"Closed";"Closed";"Child Care";"No";"2 Stars";16195;"http://carefacility.doe.louisiana.gov/view.aspx?id=16195"
12945;"Brite Beginnings Of Jennings,LLC";"Jefferson Davis";"623 1st Street";"Jennings";"LA";70546;"Stephanie Fontenot, Director";"337-824-1234";"Child Day Care";"Class A";"No";"No";"6:45a - 5:30p";"6:45a - 5:30p";"6:45a - 5:30p";"6:45a - 5:30p";"6:45a - 5:30p";"Closed";"Closed";"Child Care";"No";"2 Stars";12945;"http://carefacility.doe.louisiana.gov/view.aspx?id=12945"
15715;"Save The Children Head Start Jefferson Davis In Jennings";"Jefferson Davis";"306 South Lake Arthur Avenue";"Jennings";"LA";70546;"Cynthia Arceneaux, DirectorJohnnie Chavis, Director DesigneeNicole Hall, Director";"337-616-9556";"Child Day Care";"Class A";"No";"Yes";"6:45a - 5:00p";"6:45a - 5:00p";"6:45a - 5:00p";"6:45a - 5:00p";"6:45a - 5:00a";"Closed";"Closed";"Child Care";"No";"1 Star";15715;"http://carefacility.doe.louisiana.gov/view.aspx?id=15715"
5044;"Early Years Nursery School";"Vermilion";"1211 North Herpin";"Kaplan";"LA";70548;"Sonia Frith, Director";"337-643-3200";"Child Day Care";"Class A";"No";"No";"7:00a - 5:30p";"7:00a - 5:30p";"7:00a - 5:30p";"7:00a - 5:30p";"7:00a - 5:30p";"Closed";"Closed";"Child Care";"No";"No Star Rating";5044;"http://carefacility.doe.louisiana.gov/view.aspx?id=5044"
8035;"Lawtell Head Start Center";"St. Landry";"9675 Highway 190 West";"Opelousas";"LA";70550;"Barbara Pickney, DirectorRita Prince, Director Designee";"337-543-7087";"Child Day Care";"Class A";"No";"Yes";"7:00a - 3:30p";"7:00a - 3:30p";"7:00a - 3:30p";"7:00a - 3:30p";"7:00a - 3:30p";"Closed";"Closed";"Child Care";"Yes";"4 Stars";8035;"http://carefacility.doe.louisiana.gov/view.aspx?id=8035"
7609;"Leonville Head Start Center";"St. Landry";"4157 Highway 31";"Leonville";"LA";70551;"Anna Guidry, Director DesigneeBarbara Pickney, Director";"337-879-2237";"Child Day Care";"Class A";"No";"Yes";"7:00a - 3:30p";"7:00a - 3:30p";"7:00a - 3:30p";"7:00a - 3:30p";"7:00a - 3:30p";"Closed";"Closed";"Child Care";"Yes";"5 Stars";7609;"http://carefacility.doe.louisiana.gov/view.aspx?id=7609"
15593;"Little Blessings Academy";"Evangeline";"1405 Cajun Drive";"Mamou";"LA";70554;"Shalana Charlot, Director";"337-468-2898";"Child Day Care";"Class A";"No";"No";"6:30a - 5:00p";"6:30a - 5:00p";"6:30a - 5:00p";"6:30a - 5:00p";"6:30a - 5:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";15593;"http://carefacility.doe.louisiana.gov/view.aspx?id=15593"
6187;"Mamou Head Start";"Evangeline";"1205 Fourth Street";"Mamou";"LA";70554;"Theresa Mose, Director";"337-468-4292";"Child Day Care";"Class A";"No";"Yes";"7:30a - 3:00p";"7:30a - 3:00p";"7:30a - 3:00p";"7:30a - 3:00p";"7:30a - 3:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";6187;"http://carefacility.doe.louisiana.gov/view.aspx?id=6187"
10346;"A+ Daycare and Learning Center, LLC";"Vermilion";"201 Catalon Avenue";"Maurice";"LA";70555;"Angeline Fontenot, DirectorPhyllis Johnson, DirectorCourtney Hennan, Director";"337-893-7887";"Child Day Care";"Class B";"No";"Yes";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";10346;"http://carefacility.doe.louisiana.gov/view.aspx?id=10346"
13155;"A+ Too, LLC";"Vermilion";"105 Catalon Avenue";"Maurice";"LA";70555;"Angeline Fontenot, DirectorPhyllis Johnson, DirectorCourtney Heenan, Director";"337-893-7887";"Child Day Care";"Class B";"No";"Yes";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";13155;"http://carefacility.doe.louisiana.gov/view.aspx?id=13155"
15370;"Amana Christian Fellowship Preschool";"Vermilion";"310 Milton Road";"Maurice";"LA";70555;"Belinda Hebert, DirectorTracy Landry, Director Designee";"337-893-5728";"Child Day Care";"Class B";"No";"No";"8:30a - 2:30p";"8:30a - 2:30p";"8:30a - 2:30p";"8:30a - 2:30p";"8:30a - 2:30p";"Closed";"Closed";"Child Care";"No";"No Star Rating";15370;"http://carefacility.doe.louisiana.gov/view.aspx?id=15370"
6367;"Country Cottage Day Care";"Vermilion";"8855 Placide Road";"Maurice";"LA";70555;"Janice Ayo, Director";"337-893-0988";"Child Day Care";"Class A";"No";"No";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";6367;"http://carefacility.doe.louisiana.gov/view.aspx?id=6367"
13776;"Principal's List Preschool";"Lafayette";"7659 Johnston Street";"Maurice";"LA";70555;"Gina Cahee, Director";"337-989-5055";"Child Day Care";"Class B";"No";"Yes";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";13776;"http://carefacility.doe.louisiana.gov/view.aspx?id=13776"
9813;"First Impressions Early Learning Center, Inc.";"Lafayette";"400 West Milton Avenue";"Lafayette";"LA";70558;"Marjorie Broussard, Director";"337-856-0250";"Child Day Care";"Class B";"No";"Field Trip Only";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";9813;"http://carefacility.doe.louisiana.gov/view.aspx?id=9813"
13893;"A Little Touch of Love Daycare/Preschool Center";"Iberia";"209/211 W. Pershing Street";"New Iberia";"LA";70560;"Michelle Walker, Director";"337-365-2252";"Child Day Care";"Class A";"No";"No";"6:30a - 5:00p";"6:30a - 5:00p";"6:30a - 5:00p";"6:30a - 5:00p";"6:30a - 5:00p";"6:30a - 5:00p";"Closed";"Child Care";"No";"3 Stars";13893;"http://carefacility.doe.louisiana.gov/view.aspx?id=13893"
1105;"ABC and 123's Pre School Day Care";"Iberia";"900 Briarwood Drive";"New Iberia";"LA";70560;"Paula Arceneaux, Director";"337-365-4046";"Child Day Care";"Class B";"No";"No";"6:30a - 5:30p";"6:30a - 5:30p";"6:30a - 5:30p";"6:30a - 5:30p";"6:30a - 5:30p";"Closed";"Closed";"Child Care";"No";"No Star Rating";1105;"http://carefacility.doe.louisiana.gov/view.aspx?id=1105"
11815;"Angels Among Angels Preschool & Daycare";"Iberia";"103 Craig Street";"New Iberia";"LA";70560;"Ernestine Sophus, DirectorArtesha Armstead, Director Designee";"337-367-0738";"Child Day Care";"Class A";"No";"No";"5:30a - 9:00p";"5:30a - 9:00p";"5:30a - 9:00p";"5:30a - 9:00p";"5:30a - 9:00p";"5:30a - 9:00p";"5:30a - 9:00p";"Child Care";"No";"3 Stars";11815;"http://carefacility.doe.louisiana.gov/view.aspx?id=11815"
15977;"Assembly Christian Preschool and Day Care";"Iberia";"4201 East Admiral Doyle Drive";"New Iberia";"LA";70560;"Pamela Bourque, DirectorJulie Thibeaux, Director Designee";"337-365-3787";"Child Day Care";"Class B";"No";"No";"6:30a - 5:30p";"6:30a - 5:30p";"6:30a - 5:30p";"6:30a - 5:30p";"6:30a - 5:30p";"Closed";"Closed";"Child Care";"No";"No Star Rating";15977;"http://carefacility.doe.louisiana.gov/view.aspx?id=15977"
1120;"Barbara's Day Care";"Iberia";"912 Walton Street";"New Iberia";"LA";70560;"Barbara Peltier, Director";"337-365-0801";"Child Day Care";"Class B";"No";"No";"7:00a - 5:30p";"7:00a - 5:30p";"7:00a - 5:30p";"7:00a - 5:30p";"7:00a - 5:30p";"Closed";"Closed";"Child Care";"No";"No Star Rating";1120;"http://carefacility.doe.louisiana.gov/view.aspx?id=1120"
65;"Cathy's Day Care Center, Inc.";"Iberia";"1601 East Admiral Doyle Drive";"New Iberia";"LA";70560;"Catherine Joseph, Director";"337-364-0692";"Child Day Care";"Class A";"No";"No";"6:30a - 5:30p";"6:30a - 5:30p";"6:30a - 5:30p";"6:30a - 5:30p";"6:30a - 5:30p";"Closed";"Closed";"Child Care";"No";"2 Stars";65;"http://carefacility.doe.louisiana.gov/view.aspx?id=65"
