"ID";"Corrective Action Plan Start";"Corrective Action Plan End";"Non Compliance Code";"Outcome Code";"Issue Completed Date"
30193377;"12/30/2021";"2/4/2022";"8.1.c. Fire evacuation drills are held monthly";"Achieved";"1/28/2022"
30193377;"12/30/2021";"2/4/2022";"12.1.b.-d. Notarized emergency information forms are completed on each child prior to the child's entry into the home";"Achieved";"1/28/2022"
30279209;"10/26/2022";;"12.2.i. Soap";"Pending";
30279209;"10/26/2022";;"12.2. First Aid Supplies";"Pending";
30279209;"10/26/2022";;"12.2.e. Bandage tape";"Pending";
30279209;"10/26/2022";;"12.2.j. A first aid guide";"Pending";
30279209;"10/26/2022";;"12.2.a. A digital thermometer";"Pending";
30279209;"10/26/2022";;"12.2.b. Disposable gloves";"Pending";
30279209;"10/26/2022";;"12.2.c. Blunt tipped scissors";"Pending";
30279209;"10/26/2022";;"12.2.d. Tweezers";"Pending";
30279209;"10/26/2022";;"8.1.a. A family child care home shall develop and post a written plan for emergency evacuation";"Pending";
30279209;"10/26/2022";;"12.2.h. Sealed packages of alcohol wipes or antiseptic";"Pending";
30279209;"10/26/2022";;"12.2.f. Sterile gauze";"Pending";
30279209;"10/26/2022";;"12.2.g. Non-medicated adhesive strips";"Pending";
30045370;"10/4/2022";;"6.3.c. Thereafter, the caregiver shall complete eight (8) hours of approved training annually";"Pending";
30045370;"10/4/2022";;"8.1.a. A family child care home shall develop and post a written plan for emergency evacuation";"Pending";
30045370;"9/21/2021";"10/19/2021";"10.1.d.3. Immunization records are completed and updated according to the schedule recommended by the department.";"Achieved";"10/19/2021"
30237109;"11/15/2021";"12/15/2021";"6.3.c. Thereafter, the caregiver shall complete eight (8) hours of approved training annually";"Achieved";"12/15/2021"
30237109;"11/15/2021";"12/15/2021";"8.3.a. One (1) working smoke detector shall be installed on every level of the home";"Achieved";"11/29/2021"
30237109;"11/15/2021";"12/15/2021";"9.2.a.1. Keep documentation available on site of rabies vaccinations";"Achieved";"11/29/2021"
30237109;"11/15/2021";"12/15/2021";"12.2.d. Tweezers";"Achieved";"11/30/2021"
30234841;"5/10/2021";"7/13/2021";"6.2.e. The family child care home shall maintain a record of current medical examinations";"Achieved";"7/8/2021"
30234841;"5/10/2021";"7/13/2021";"6.3.a.1. Approved training in basic first aid that includes rescue breathing and choke saving";"Achieved";"7/1/2021"
30211588;"11/17/2021";"12/15/2021";"6.2.a. The caregiver shall obtain a medical examination within thirty (30) days of application";"Achieved";"12/15/2021"
30211588;"11/17/2021";"12/15/2021";"6.3.a.1. Approved training in basic first aid that includes rescue breathing and choke saving";"Achieved";"12/15/2021"
30211588;"11/17/2021";"12/15/2021";"6.3.c. Thereafter, the caregiver shall complete eight (8) hours of approved training annually";"Achieved";"12/15/2021"
30211588;"11/17/2021";"12/15/2021";"9.3.d. Trampolines shall not be accessible to the children in care";"Achieved";"12/15/2021"
30211588;"5/22/2021";"8/8/2021";"6.4.a.3. Submit fingerprints for purposes of obtaining a criminal record background check";"Not Achieved";"8/8/2021"
30211588;"1/22/2021";"5/22/2021";"6.3.c. Thereafter, the caregiver shall complete eight (8) hours of approved training annually";"Achieved";
30211588;"1/22/2021";"5/22/2021";"6.4.a.3. Submit fingerprints for purposes of obtaining a criminal record background check";"Not Achieved";
30100721;"6/29/2022";"7/28/2022";"6.3.c. Thereafter, the caregiver shall complete eight (8) hours of approved training annually";"Achieved";"7/28/2022"
30100721;"2/25/2021";"4/7/2021";"6.3.c. Thereafter, the caregiver shall complete eight (8) hours of approved training annually";"Achieved";"4/7/2021"
30100721;"2/25/2021";"4/7/2021";"8.2.c. Non-flammable protective barriers, guards or screens shall be installed around wood burning stoves";"Achieved";"3/27/2021"
30100721;"2/25/2021";"4/7/2021";"10.1.d.2. Children's medical examination records shall be updated every two years";"Achieved";"3/22/2021"
30100721;"2/25/2021";"4/7/2021";"14.1.a. A family child care home shall post the daily routine";"Achieved";"3/22/2021"
30100721;"6/3/2021";"6/11/2021";"6.3.c. Thereafter, the caregiver shall complete eight (8) hours of approved training annually";"Achieved";"6/11/2021"
30100721;"6/3/2021";"6/11/2021";"10.1.d.2. Children's medical examination records shall be updated every two years";"Achieved";"6/11/2021"
30278766;"10/7/2022";;"8.1.a. A family child care home shall develop and post a written plan for emergency evacuation";"Pending";
30278975;"10/25/2022";;"8.1.a. A family child care home shall develop and post a written plan for emergency evacuation";"Pending";
30278975;"10/25/2022";;"12.1.a. A family child care home shall ensure that written emergency information is available near the telephone";"Pending";
30278975;"10/25/2022";;"12.1.a.1. Police and fire departments";"Pending";
30278975;"10/25/2022";;"14.2.a. A family child care home shall implement a program that:";"Pending";
30278975;"10/25/2022";;"7.3.b. Store cleaning supplies out of the reach of children under six (6) years of age";"Pending";
30278975;"10/25/2022";;"14.1.b.5. A balance of active and quiet play";"Pending";
30278975;"10/25/2022";;"14.2.a.2. Enhances the healthy growth and development of children";"Pending";
30278975;"10/25/2022";;"16.1. A family child care home:";"Pending";
30278975;"10/25/2022";;"12.1.a.7. An emergency substitute, if applicable";"Pending";
30278975;"10/25/2022";;"12.1.a.3. Ambulance service";"Pending";
30278975;"10/25/2022";;"6.4.a.1. Sign a consent to check Department records for child and adult abuse and neglect";"Pending";
30278975;"10/25/2022";;"12.1.a.6. Numbers for each child's health care provider";"Pending";
30278975;"10/25/2022";;"14.1.b.4. Outdoor play time on days when temperatures are forty (40) degrees and above";"Pending";
30278975;"10/25/2022";;"14.3.a. A family child care home shall ensure each child has an appropriately-sized place to rest";"Pending";
30278975;"10/25/2022";;"8.1.b. The evacuation plan shall include a drawing of the primary and secondary exits from all areas";"Pending";
30278975;"10/25/2022";;"12.1.a.4. A poison control center or the universal poison control center telephone number";"Pending";
30278975;"10/25/2022";;"12.1.a.5. Parents' work and home";"Pending";
30278975;"10/25/2022";;"14.1.a. A family child care home shall post the daily routine";"Pending";
30278975;"10/25/2022";;"14.1.b.3. Indoor play time";"Pending";
30278975;"10/25/2022";;"12.1.a.2. The child abuse and neglect hotline";"Pending";
30278975;"10/25/2022";;"14.1.b.2. Nap times for children who need them";"Pending";
30278975;"10/25/2022";;"16.1.a. Shall provide infants under thirty-five (35) inches tall with a crib, port-a-crib, or playpen";"Pending";
30278975;"10/25/2022";;"14.1.b.1. Specific meal times";"Pending";
30278975;"10/25/2022";;"14.1.b.6. Time to learn self-help skills, such as hand washing, brushing teeth, dressing and toileting";"Pending";
30278975;"10/25/2022";;"16.1.e. Shall ensure that high chairs, infant swings, playpens and cribs are safe and in good working condition";"Pending";
30278975;"10/25/2022";;"7.2.c. Safety gates shall be provided at the top and bottom of stairs";"Pending";
30278975;"10/25/2022";;"14.1.b. The daily routine shall be appropriate to the ages of the children in care and include:";"Pending";
30278975;"10/25/2022";;"14.2.a.1. Is appropriate to the ages and stages of development of children in care";"Pending";
30237180;"11/10/2021";"12/20/2021";"8.1.a. A family child care home shall develop and post a written plan for emergency evacuation";"Achieved";"12/17/2021"
30237180;"11/10/2021";"12/20/2021";"12.1.b. Emergency information for each child and parental permission forms for emergency medical treatment";"Achieved";"12/20/2021"
30237180;"11/10/2021";"12/20/2021";"12.1.d. Emergency consent forms shall be notarized";"Achieved";"12/17/2021"
30237180;"11/10/2021";"12/20/2021";"12.2. First Aid Supplies";"Achieved";"12/17/2021"
30237180;"1/26/2021";"3/2/2021";"6.3.a.1. Approved training in basic first aid that includes rescue breathing and choke saving";"Achieved";"3/2/2021"
30221460;"5/25/2021";"6/7/2021";"9.2.a.1. Keep documentation available on site of rabies vaccinations";"Achieved";"6/7/2021"
30221460;"8/20/2021";"8/24/2021";"6.3.c. Thereafter, the caregiver shall complete eight (8) hours of approved training annually";"Achieved";"8/20/2021"
30221460;"8/20/2021";"8/24/2021";"10.1.d.1. A general medical examination for all children shall be obtained by the parents within thirty (30) days";"Achieved";"8/24/2021"
30260498;"7/18/2022";"9/9/2022";"6.3.c. Thereafter, the caregiver shall complete eight (8) hours of approved training annually";"Achieved";"9/7/2022"
30260498;"7/18/2022";"9/9/2022";"6.3.a.1. Approved training in basic first aid that includes rescue breathing and choke saving";"Achieved";"7/27/2022"
30260498;"7/18/2022";"9/9/2022";"10.1.d.2. Children's medical examination records shall be updated every two years";"Not Achieved";"9/9/2022"
30239110;"8/4/2021";"9/9/2021";"12.1.b.-d. Notarized emergency information forms are completed on each child prior to the child's entry into the home";"Achieved";"9/8/2021"
30239110;"8/4/2021";"9/9/2021";"6.3.c. Thereafter, the caregiver shall complete eight (8) hours of approved training annually";"Achieved";"9/9/2021"
30239110;"8/4/2021";"9/9/2021";"9.2.a.1. Documentation is available on site of rabies vaccinations for all cats and dogs kept on the premises.";"Achieved";"9/8/2021"
30239110;"6/8/2022";"6/15/2022";"9.2.a.1. Keep documentation available on site of rabies vaccinations";"Achieved";"6/15/2022"
30223386;"2/1/2021";"4/22/2021";"12.1.b. Emergency information for each child and parental permission forms for emergency medical treatment";"Achieved";"4/16/2021"
30223386;"2/1/2021";"4/22/2021";"6.2.e. The family child care home shall maintain a record of current medical examinations";"Achieved";"4/8/2021"
30223386;"2/1/2021";"4/22/2021";"6.3.a.1. Approved training in basic first aid that includes rescue breathing and choke saving";"Achieved";"4/8/2021"
30223386;"2/1/2021";"4/22/2021";"6.4.a.2. Sign a statement of criminal record";"Achieved";"4/9/2021"
30223386;"2/1/2021";"4/22/2021";"8.1.a. A family child care home shall develop and post a written plan for emergency evacuation";"Achieved";"4/8/2021"
30223386;"2/1/2021";"4/22/2021";"9.2.a.1. Keep documentation available on site of rabies vaccinations";"Achieved";"4/16/2021"
30223386;"2/1/2021";"4/22/2021";"12.2.c. Blunt tipped scissors";"Achieved";"4/8/2021"
30223386;"12/29/2021";"2/9/2022";"6.3.c. Thereafter, the caregiver shall complete eight (8) hours of approved training annually";"Achieved";"2/9/2022"
30223386;"12/29/2021";"2/9/2022";"8.1.a. A family child care home shall develop and post a written plan for emergency evacuation";"Achieved";"2/9/2022"
30223386;"12/29/2021";"2/9/2022";"9.2.a.1. Keep documentation available on site of rabies vaccinations";"Achieved";"2/1/2022"
30223386;"2/1/2021";"4/22/2021";"6.3.c. Thereafter, the caregiver shall complete eight (8) hours of approved training annually";"Achieved";"4/8/2021"
30223386;"2/1/2021";"4/22/2021";"18.1.a. A family child care home shall maintain all completed parental forms on file";"Achieved";"4/16/2021"
30029577;"6/28/2022";;"12.1.a.6. Numbers for each child's health care provider";"Pending";
30029577;"7/28/2021";"9/9/2021";"6.3.c. Thereafter, the caregiver shall complete eight (8) hours of approved training annually";"Achieved";"9/6/2021"
30029577;"7/28/2021";"9/9/2021";"8.1.a. A family child care home shall develop and post a written plan for emergency evacuation";"Achieved";"9/9/2021"
30029577;"7/28/2021";"9/9/2021";"9.2.a.1. Keep documentation available on site of rabies vaccinations";"Achieved";"9/6/2021"
30029577;"7/28/2021";"9/9/2021";"12.1.b. Emergency information for each child and parental permission forms for emergency medical treatment";"Achieved";"9/9/2021"
30029577;"7/28/2021";"9/9/2021";"18.1.a. A family child care home shall maintain all completed parental forms on file";"Achieved";"9/9/2021"
30029577;"6/28/2022";;"18.1.a. A family child care home shall maintain all completed parental forms on file";"Achieved";"8/2/2022"
30029577;"6/28/2022";;"18.1.b. The caregiver shall require parents to review and sign daily sign in and out sheets";"Pending";
30029577;"6/28/2022";;"18.1.c. A family child care home shall keep records on file for two (2) years";"Pending";
30029577;"6/28/2022";;"6.3.d. Caregivers completing approved training modules lasting more than eight (8) hours may elect to apply those training module hours over and above eight (8)";"Achieved";"8/2/2022"
30029577;"6/28/2022";;"12.1.b. Emergency information for each child and parental permission forms for emergency medical treatment";"Achieved";"8/2/2022"
30029577;"6/28/2022";;"6.3.e.  A family child care home shall maintain a training record with certificates of attendance";"Achieved";"8/2/2022"
30029577;"6/28/2022";;"6.2.a. The caregiver shall obtain a medical examination within thirty (30) days of application";"Achieved";"8/2/2022"
30029577;"6/28/2022";;"6.2.e. The family child care home shall maintain a record of current medical examinations";"Achieved";"8/2/2022"
30029577;"6/28/2022";;"6.3.a.1. Approved training in basic first aid that includes rescue breathing and choke saving";"Achieved";"8/2/2022"
30029577;"6/28/2022";;"6.3.c. Thereafter, the caregiver shall complete eight (8) hours of approved training annually";"Achieved";"8/2/2022"
30029577;"6/28/2022";;"7.3.b. Store cleaning supplies out of the reach of children under six (6) years of age";"Pending";
30029577;"6/28/2022";;"7.5.c. Protective covers shall be installed on all unused electrical outlets";"Pending";
30029577;"6/28/2022";;"8.1.c. A family child care home shall conduct monthly fire evacuation drills";"Pending";
30029577;"6/28/2022";;"9.2.a.1. Keep documentation available on site of rabies vaccinations";"Pending";
30029577;"6/28/2022";;"10.1.c. Caregivers shall provide parents with the recommended guidelines for immunizations";"Achieved";"8/2/2022"
30029577;"6/28/2022";;"10.1.d.1. A general medical examination for all children shall be obtained by the parents within thirty (30) days";"Achieved";"8/2/2022"
30029577;"6/28/2022";;"10.1.d.2. Children's medical examination records shall be updated every two years";"Achieved";"8/2/2022"
30029577;"6/28/2022";;"10.1.d.4. If immunizations are not current, the caregiver shall obtain a schedule for completion";"Achieved";"8/2/2022"
30029577;"6/28/2022";;"12.1.a.1. Police and fire departments";"Pending";
30029577;"6/28/2022";;"12.1.a.2. The child abuse and neglect hotline";"Pending";
30029577;"6/28/2022";;"12.1.a.3. Ambulance service";"Pending";
30029577;"6/28/2022";;"12.1.a.4. A poison control center or the universal poison control center telephone number";"Pending";
30029577;"6/28/2022";;"12.1.a.7. An emergency substitute, if applicable";"Pending";
30029577;"6/28/2022";;"12.1.c. Emergency information for each child";"Achieved";"8/2/2022"
30029577;"6/28/2022";;"12.1.d. Emergency consent forms shall be notarized";"Achieved";"8/2/2022"
30029577;"6/28/2022";;"6.2.e. The family child care home shall maintain a record of current medical examinations";"Pending";
30029577;"6/28/2022";;"13.1.b. Make sure the children's emergency consent forms are carried in the vehicle";"Pending";
30029577;"6/28/2022";;"6.2.a. The caregiver shall obtain a medical examination within thirty (30) days of application";;
30029577;"6/28/2022";;"10.1.d. The caregiver shall maintain a record of each child's health examinations and immunizations";"Achieved";"8/2/2022"
30029577;"6/28/2022";;"10.1.d.3. Immunization records shall be completed and updated";"Achieved";"8/2/2022"
30029577;"6/28/2022";;"12.1.a. A family child care home shall ensure that written emergency information is available near the telephone";"Pending";
30029577;"6/28/2022";;"12.1.a.5. Parents' work and home";"Pending";
30000402;"5/20/2021";"8/11/2021";"6.4.a.3. Submit fingerprints for purposes of obtaining a criminal record background check";"Achieved";"8/11/2021"
30000402;"5/19/2022";"5/25/2022";"8.1.a. A family child care home shall develop and post a written plan for emergency evacuation";"Achieved";"5/25/2022"
30000402;"5/20/2021";"8/11/2021";"10.1.d.2. Children's medical examination records shall be updated every two years";"Achieved";"6/23/2021"
30000402;"5/20/2021";"8/11/2021";"12.1.d. Emergency consent forms shall be notarized";"Achieved";"6/23/2021"
30096055;"9/13/2022";;"6.3.c. Thereafter, the caregiver shall complete eight (8) hours of approved training annually";"Pending";
30096055;"10/7/2021";"11/9/2021";"6.3.c. Thereafter, the caregiver shall complete eight (8) hours of approved training annually";"Achieved";"11/9/2021"
30260286;"7/20/2021";"8/26/2021";"10.1.d. Care giver maintains records of annual health exams and immunizations for children";"Achieved";"8/26/2021"
30260286;"7/20/2021";"8/26/2021";"12.1.b.-d. Notarized emergency information forms are completed on each child prior to the child's entry into the home";"Achieved";"8/26/2021"
30225763;"5/13/2021";"6/14/2021";"6.3.c. Thereafter, the caregiver shall complete eight (8) hours of approved training annually";"Achieved";"6/14/2021"
30225763;"5/13/2021";"6/14/2021";"12.1.d. Emergency consent forms shall be notarized";"Achieved";"5/27/2021"
30044748;"4/7/2021";"8/11/2021";"10.1.d. The caregiver shall maintain a record of each child's health examinations and immunizations";"Achieved";"5/24/2021"
30044748;"4/7/2021";"8/11/2021";"8.3.c. Smoke detectors and carbon monoxide detectors shall have working batteries installed at all times";"Achieved";"5/10/2021"
30044748;"5/17/2021";"6/25/2021";"6.3.c. Thereafter, the caregiver shall complete eight (8) hours of approved training annually";"Achieved";"6/23/2021"
30044748;"5/17/2021";"6/25/2021";"7.2.d. Balconies, decks, porches, ramps, and play or living areas that are elevated";"Achieved";"6/23/2021"
30044748;"8/11/2021";"8/31/2021";"6.4.a.3. Submit fingerprints for purposes of obtaining a criminal record background check";"Achieved";"8/31/2021"
30044748;"4/7/2021";"8/11/2021";"12.1.b. Emergency information for each child and parental permission forms for emergency medical treatment";"Achieved";"5/24/2021"
30044748;"4/7/2021";"8/11/2021";"6.3.c. Thereafter, the caregiver shall complete eight (8) hours of approved training annually";"Achieved";"5/10/2021"
30044748;"4/7/2021";"8/11/2021";"6.4.a.3. Submit fingerprints for purposes of obtaining a criminal record background check";"Not Achieved";"8/11/2021"
30044748;"4/7/2021";"8/11/2021";"8.1.c. A family child care home shall conduct monthly fire evacuation drills";"Achieved";"5/10/2021"
30036758;"6/8/2021";"10/8/2021";"6.4.a.3. Submit fingerprints for purposes of obtaining a criminal record background check";"Not Achieved";"10/8/2021"
30036758;"10/8/2021";"10/20/2021";"6.4.a.3. Submit fingerprints for purposes of obtaining a criminal record background check";"Achieved";"10/20/2021"
30240591;"4/20/2021";"6/25/2021";"6.3.c. Thereafter, the caregiver shall complete eight (8) hours of approved training annually";"Achieved";"6/25/2021"
30240591;"4/20/2021";"6/25/2021";"12.1.d. Emergency consent forms shall be notarized";"Achieved";"6/15/2021"
30240591;"5/5/2022";"6/13/2022";"12.2.a. A digital thermometer";"Achieved";"6/13/2022"
30240591;"5/5/2022";"6/13/2022";"12.1.a. A family child care home shall ensure that written emergency information is available near the telephone";"Achieved";"6/13/2022"
30240591;"5/5/2022";"6/13/2022";"6.2.a. The caregiver shall obtain a medical examination within thirty (30) days of application";"Achieved";"6/13/2022"
30240591;"5/5/2022";"6/13/2022";"6.3.a.1. Approved training in basic first aid that includes rescue breathing and choke saving";"Achieved";"6/13/2022"
30240591;"5/5/2022";"6/13/2022";"6.3.c. Thereafter, the caregiver shall complete eight (8) hours of approved training annually";"Achieved";"6/13/2022"
30240591;"5/5/2022";"6/13/2022";"8.1.a. A family child care home shall develop and post a written plan for emergency evacuation";"Achieved";"6/13/2022"
30240591;"5/5/2022";"6/13/2022";"8.1.b. The evacuation plan shall include a drawing of the primary and secondary exits from all areas";"Achieved";"6/13/2022"
30240591;"5/5/2022";"6/13/2022";"8.1.c. A family child care home shall conduct monthly fire evacuation drills";"Achieved";"6/13/2022"
30240591;"5/5/2022";"6/13/2022";"8.2.b.1. A properly functioning digital carbon monoxide detector has been installed";"Achieved";"6/13/2022"
30240591;"5/5/2022";"6/13/2022";"8.3.a. One (1) working smoke detector shall be installed on every level of the home";"Achieved";"6/13/2022"
30240591;"5/5/2022";"6/13/2022";"10.2.f.1. Cover garbage cans with lids, maintain them in a sanitary manner with liners, and empty them daily";"Achieved";"6/14/2022"
30240591;"5/5/2022";"6/13/2022";"13.1.b. Make sure the children's emergency consent forms are carried in the vehicle";"Achieved";"6/13/2022"
30240591;"5/5/2022";"6/13/2022";"14.1.a. A family child care home shall post the daily routine";"Achieved";"6/13/2022"
30256879;"4/14/2021";"6/3/2021";"6.3.c. Thereafter, the caregiver shall complete eight (8) hours of approved training annually";"Achieved";"4/14/2021"
30256879;"4/14/2021";"6/3/2021";"9.2.a.1. Documentation is available on site of rabies vaccinations for all cats and dogs kept on the premises.";"Achieved";"6/3/2021"
30256879;"4/14/2021";"6/3/2021";"10.1.d. Care giver maintains records of annual health exams and immunizations for children";"Achieved";"5/18/2021"
30256879;"4/14/2021";"6/3/2021";"12.1.b.-d. Notarized emergency information forms are completed on each child prior to the child's entry into the home";"Achieved";"6/3/2021"
30256879;"4/14/2021";"6/3/2021";"16.1.a. Infants and toddlers are provided with a crib, port-a-crib, or playpen that has no more than two and three-eighths inches between slats";"Achieved";"5/24/2021"
30256879;"2/10/2022";"4/20/2022";"9.2.a.1. Keep documentation available on site of rabies vaccinations";"Achieved";"2/23/2022"
30256879;"2/10/2022";"4/20/2022";"6.2.a. The caregiver shall obtain a medical examination within thirty (30) days of application";"Achieved";"3/24/2022"
30256879;"2/10/2022";"4/20/2022";"6.3.c. Thereafter, the caregiver shall complete eight (8) hours of approved training annually";"Achieved";"4/20/2022"
30256879;"2/10/2022";"4/20/2022";"6.4.a.1. Sign a consent to check Department records for child and adult abuse and neglect";"Achieved";"3/24/2022"
30256879;"2/10/2022";"4/20/2022";"10.1.d.1. A general medical examination for all children shall be obtained by the parents within thirty (30) days";"Achieved";"3/24/2022"
30256879;"2/10/2022";"4/20/2022";"12.1.d. Emergency consent forms shall be notarized";"Achieved";"3/24/2022"
30068072;"3/25/2021";"5/27/2021";"6.2.a. The care giver has on file a current medical examination and the results of a tuberculosis risk assessment screening.";"Achieved";"5/18/2021"
30068072;"3/25/2021";"5/27/2021";"6.3.c. Thereafter, the caregiver shall complete eight (8) hours of approved training annually";"Achieved";"5/20/2021"
30068072;"3/25/2021";"5/27/2021";"9.2.a.1. Documentation is available on site of rabies vaccinations for all cats and dogs kept on the premises.";"Achieved";"5/18/2021"
30068072;"3/25/2021";"5/27/2021";"10.1.d. Care giver maintains records of annual health exams and immunizations for children";"Achieved";"5/20/2021"
30068072;"5/31/2022";"9/14/2022";"18.1.b. The caregiver shall require parents to review and sign daily sign in and out sheets";"Achieved";"9/14/2022"
30068072;"3/21/2022";"6/15/2022";"6.2.a. The caregiver shall obtain a medical examination within thirty (30) days of application";"Achieved";"5/6/2022"
30068072;"7/7/2021";"8/17/2021";"4.2.a.3. Operate no longer than eighteen consecutive hours";"Achieved";"7/7/2021"
30068072;"3/26/2021";"5/20/2021";"4.2.a.3. Operate no longer than eighteen consecutive hours";"Achieved";"5/20/2021"
30068072;"3/26/2021";"5/20/2021";"17.1.c. Shall be awake while the children are awake and sleep only when all the children are asleep";"Achieved";"5/20/2021"
30068072;"8/25/2021";"10/6/2021";"7.2.b. Stairs of four (4) or more steps shall have hand railings";"Achieved";"10/6/2021"
30068072;"5/31/2022";"9/14/2022";"6.6.a. A family child care home shall have no more than six children in care";"Achieved";"9/14/2022"
30068072;"3/21/2022";"6/15/2022";"6.3.a.1. Approved training in basic first aid that includes rescue breathing and choke saving";"Achieved";"4/26/2022"
30068072;"3/21/2022";"6/15/2022";"6.4.a.3. Submit fingerprints for purposes of obtaining a criminal record background check";"Achieved";"6/21/2022"
30068072;"3/21/2022";"6/15/2022";"7.2.b. Stairs of four (4) or more steps shall have hand railings";"Achieved";"4/26/2022"
30068072;"3/21/2022";"6/15/2022";"7.2.c. Safety gates shall be provided at the top and bottom of stairs";"Achieved";"4/26/2022"
30068072;"3/21/2022";"6/15/2022";"8.1.c. A family child care home shall conduct monthly fire evacuation drills";"Achieved";"4/26/2022"
30068072;"3/21/2022";"6/15/2022";"8.3.a. One (1) working smoke detector shall be installed on every level of the home";"Achieved";"4/26/2022"
30068072;"3/21/2022";"6/15/2022";"8.3.b. Digital carbon monoxide detectors shall be installed in all residences that use gas appliances,";"Achieved";"4/26/2022"
30068072;"3/21/2022";"6/15/2022";"8.3.e. An ABC-rated multi-purpose fire extinguisher shall be available in the home at all times";"Achieved";"4/26/2022"
30068072;"3/21/2022";"6/15/2022";"10.1.d.1. A general medical examination for all children shall be obtained by the parents within thirty (30) days";"Achieved";"4/26/2022"
30068072;"3/21/2022";"6/15/2022";"10.1.d.3. Immunization records shall be completed and updated";"Achieved";"4/26/2022"
30068072;"3/21/2022";"6/15/2022";"12.1.c. Emergency information for each child";"Achieved";"4/26/2022"
30068072;"3/21/2022";"6/15/2022";"12.2.d. Tweezers";"Achieved";"4/26/2022"
30068072;"3/25/2021";"5/27/2021";"12.1.b.-d. Notarized emergency information forms are completed on each child prior to the child's entry into the home";"Achieved";"5/27/2021"
30239156;"11/19/2020";"2/19/2021";"6.2.a. The caregiver shall obtain a medical examination within thirty (30) days of application";"Achieved";"2/17/2021"
30239156;"11/19/2020";"2/19/2021";"6.3.a.1. Approved training in basic first aid that includes rescue breathing and choke saving";"Achieved";"2/19/2021"
30239156;"11/19/2020";"2/19/2021";"6.3.c. Thereafter, the caregiver shall complete eight (8) hours of approved training annually";"Achieved";"2/19/2021"
30239156;"11/19/2020";"2/19/2021";"8.3.e. An ABC-rated multi-purpose fire extinguisher shall be available in the home at all times";"Achieved";"1/6/2021"
30273085;"2/25/2022";"3/14/2022";"14.1.a. A family child care home shall post the daily routine";"Achieved";"3/14/2022"
30273085;"2/25/2022";"3/14/2022";"6.2.a. The caregiver shall obtain a medical examination within thirty (30) days of application";"Achieved";"3/3/2022"
30273085;"2/25/2022";"3/14/2022";"7.2.c. Safety gates shall be provided at the top and bottom of stairs";"Achieved";"3/14/2022"
30273085;"2/25/2022";"3/14/2022";"7.3.b. Store cleaning supplies out of the reach of children under six (6) years of age";"Achieved";"3/14/2022"
30273085;"2/25/2022";"3/14/2022";"8.1.a. A family child care home shall develop and post a written plan for emergency evacuation";"Achieved";"3/14/2022"
30273085;"2/25/2022";"3/14/2022";"8.1.b. The evacuation plan shall include a drawing of the primary and secondary exits from all areas";"Achieved";"3/14/2022"
30273085;"2/25/2022";"3/14/2022";"8.3.e. An ABC-rated multi-purpose fire extinguisher shall be available in the home at all times";"Achieved";"3/14/2022"
30273085;"2/25/2022";"3/14/2022";"12.2. First Aid Supplies";"Achieved";"3/14/2022"
30049417;"5/13/2021";"7/26/2021";"8.1.c. A family child care home shall conduct monthly fire evacuation drills";"Achieved";"7/8/2021"
30049417;"5/13/2021";"7/26/2021";"6.3.d. Caregivers completing approved training modules lasting more than eight (8) hours may elect to apply those training module hours over and above eight (8)";"Achieved";"7/26/2021"
30049417;"5/13/2021";"7/26/2021";"6.4.a.3. Submit fingerprints for purposes of obtaining a criminal record background check";"Achieved";"7/8/2021"
30049417;"5/13/2021";"7/26/2021";"10.1.d. The caregiver shall maintain a record of each child's health examinations and immunizations";"Achieved";"7/8/2021"
30049417;"2/15/2022";"3/21/2022";"6.2.e. The family child care home shall maintain a record of current medical examinations";"Achieved";"3/21/2022"
30259464;"6/6/2022";"7/12/2022";"6.3.c. Thereafter, the caregiver shall complete eight (8) hours of approved training annually";"Achieved";"7/12/2022"
30259464;"6/15/2021";"7/1/2021";"6.3.b. Within twelve (12) months of initial registration, a caregiver shall obtain four (4) additional hours of training";"Achieved";"7/1/2021"
30259464;"11/9/2020";"12/3/2020";"6.3.a.1. Approved training in basic first aid that includes rescue breathing and choke saving";"Achieved";"12/3/2020"
30278470;"9/27/2022";;"7.4.e. In apartment buildings, where two (2) exits are not available from the apartment";"Pending";
30278640;"9/19/2022";;"14.3.a. A family child care home shall ensure each child has an appropriately-sized place to rest";"Pending";
30278640;"9/19/2022";;"8.2.b.1. A properly functioning digital carbon monoxide detector has been installed";"Pending";
30278640;"9/19/2022";;"8.3.b. Digital carbon monoxide detectors shall be installed in all residences that use gas appliances,";"Pending";
30278640;"9/19/2022";;"8.1.b. The evacuation plan shall include a drawing of the primary and secondary exits from all areas";"Pending";
30278640;"9/19/2022";;"14.1.a. A family child care home shall post the daily routine";"Pending";
30278640;"9/19/2022";;"16.1.a. Shall provide infants under thirty-five (35) inches tall with a crib, port-a-crib, or playpen";"Pending";
30278640;"9/19/2022";;"8.1.a. A family child care home shall develop and post a written plan for emergency evacuation";"Pending";
30224657;"8/3/2022";"8/30/2022";"8.1.c. Fire evacuation drills are held monthly";"Achieved";"8/30/2022"
30224657;"8/3/2022";"8/30/2022";"9.2.a.1. Documentation is available on site of rabies vaccinations for all cats and dogs kept on the premises.";"Achieved";"8/30/2022"
30224657;"8/3/2022";"8/30/2022";"10.1.d. Care giver maintains records of annual health exams and immunizations for children";"Achieved";"8/30/2022"
