"Faciliy Num";"Complaint Date";"Regulation(s) No";"Regulation_Description"
28957;"03/26/2019";"500.501.5.a";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Restraints (Restraining a child briefly by holding the child is allowed when the child’s actions place the child or others at risk of injury.)"
37751;"08/26/2022";"1100.1101.4";"Any child who is injured shall have immediate attention. Parents shall be notified of all injuries. Injuries that require the attention of medical personnel shall be reported to the parent immediately and to the Licensing Unit within one (1) business day."
37751;"07/13/2022";"400.401.13.a";"Staff shall not release a child to anyone who is not immediately recognized as the child’s parent or as someone on the authorized pick-up list unless:The individual can provide an official picture identification (ID); and"
37751;"07/13/2022";"300.301.9";"The use of cell phones by staff while supervising children shall be prohibited except in emergency situations."
34158;"05/12/2022";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc.;"
34158;"05/12/2022";"500.501.3";"The length of time a child is placed in time out shall not exceed one (1) minute per year of the child's age."
34158;"05/12/2022";"200.201.4.2";"Subparts 1 and 2(A) An EIDT must comply with all requirements of the applicable Minimum Licensing Standards for Child Care Centers. (B) A violation of the applicable Minimum Licensing Standards for Child Care Centers constitutes a violation of these standards."
34158;"02/22/2022";"1100.1101.14.a";"Facilities shall comply with the Clean Indoor Air Act of 2006. Smoking (including e-cigarettes) in a child care center is prohibited at all times. This includes:All areas of the facility, regardless of whether children are in care (includes time periods such as nights, weekends, holidays, etc., also includes office areas or other areas of the facility that share the same ventilation systems);"
34158;"02/22/2022";"200.201.4.2";"Subparts 1 and 2(A) An EIDT must comply with all requirements of the applicable Minimum Licensing Standards for Child Care Centers. (B) A violation of the applicable Minimum Licensing Standards for Child Care Centers constitutes a violation of these standards."
34158;"02/22/2022";"400.401.1.a23";"Subparts 1Prohibit smoking, use of tobacco products, and the consumption of prescription medication without a prescription, alcohol, and illegal drugs."
34158;"11/08/2021";"300.306.1.b";"Subparts a and bAn EIDT cannot solicit a beneficiary or his or her family."
34158;"11/08/2021";"100.108.1";"Child Care Licensing staff shall investigate all complaints involving the possible violation of licensing requirements."
31020;"02/16/2022";"700.703.1";"(a) An EIDT must notify the guardian or legal custodian of a beneficiary of any reportable incident involving a beneficiary, as well as any injury or accident involving a beneficiary even if the injury or accident is not otherwise required to be reported in this Section."
31020;"02/16/2022";"700.703.2";"(b) An EIDT should maintain documentation evidencing notification required in subdivision (a)."
31020;"02/16/2022";"600.604.1.i";"The child care facility shall maintain a record for each child in care which shall be on site. Records for children no longer enrolled may be maintained off site. Children’s records shall contain the following information:A written record of all significant changes in the child’s physical or emotional state and accidents, incidents or injuries, indicating the date, location, time of day, area or piece of equipment where the incident occurred (A copy of this shall be given to the parent on the day of occurrence);"
22693;"09/04/2019";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
30730;"04/08/2019";"500.501.2";"Physical punishment shall not be administered to children."
30730;"04/08/2019";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc."
29366;"05/20/2021";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc.;"
29366;"05/20/2021";"500.501.5.i";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Yelling (This does not include a raised voice level to gain a child’s attention to protect the child from risk of harm);"
29366;"05/20/2021";"600.603.2";"(b) A behavior management plan: (1) Must be approved by an ECDS; (2) Must involve the fewest and shortest interventions possible; and (3) Cannot punish or use interventions that are physically or emotionally painful, frighten, or put the beneficiary at medical risk."
29366;"03/31/2017";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc."
29366;"03/31/2017";"400.401.8.b";"There shall be an opportunity for a supervised rest period.If children do not fall asleep, they shall be allowed to participate in a quiet activity either on their cots, in the area or in another room under direct supervision."
29366;"03/31/2017";"500.501.5.a";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Restraints (Restraining a child briefly by holding the child is allowed when the child’s actions place the child or others at risk of injury.)"
28553;"10/27/2022";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc.;"
37971;"04/18/2023";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
37971;"03/22/2023";"1100.1101.19";"There shall be no pets or animals allowed that present a health and safety threat. A licensed veterinarian shall certify that dogs and cats have a current vaccination against rabies."
29273;"05/18/2022";"200.201.4.2";"Subparts 1 and 2(A) An EIDT must comply with all requirements of the applicable Minimum Licensing Standards for Child Care Centers. (B) A violation of the applicable Minimum Licensing Standards for Child Care Centers constitutes a violation of these standards."
29273;"05/18/2022";"500.501.2";"Physical punishment shall not be administered to children."
29273;"05/18/2022";"500.501.5.i";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Yelling (This does not include a raised voice level to gain a child’s attention to protect the child from risk of harm);"
29273;"05/18/2022";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc.;"
29273;"09/15/2021";"400.401.1.a01";"Subparts 1Be heated, air-conditioned, well-lighted, well-ventilated, and well-maintained at a comfortable temperature;"
28776;"11/05/2020";"300.302.1.2";"Subparts 1 and 2An EIDT must have enough employees on-site to supervise beneficiaries at the EIDT location."
31439;"03/17/2021";"1000.1003.2";"Infants and toddlers shall be placed in age appropriate cribs, cots, or mats meeting Consumer Product Safety Commission (CPSC) standards, for when they fall asleep. (Note: Also, any items used in the crib must be used according to manufacturer guidelines, regardless if the child is sleeping or not, in accordance with 1001.1.)"
31439;"02/02/2021";"900.902.1";"The area shall be free of hazards or potentially hazardous objects."
31439;"02/02/2021";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
31439;"02/02/2021";"600.604.1.i";"The child care facility shall maintain a record for each child in care which shall be on site. Records for children no longer enrolled may be maintained off site. Children’s records shall contain the following information:A written record of all significant changes in the child’s physical or emotional state and accidents, incidents or injuries, indicating the date, location, time of day, area or piece of equipment where the incident occurred (A copy of this shall be given to the parent on the day of occurrence);"
7194;"04/20/2022";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
7194;"04/20/2022";"300.302.1.1";"Subparts 1 and 2An EIDT must appropriately supervise all beneficiaries based on each beneficiary’s needs."
7194;"02/16/2022";"300.302.1.1";"Subparts 1 and 2An EIDT must appropriately supervise all beneficiaries based on each beneficiary’s needs."
7194;"02/16/2022";"300.303.1";"All employees involved in any way with services provided to beneficiaries or who have routine contact with beneficiaries must receive the following training before having contact with beneficiaries and no later than thirty (30) days after beginning employment:"
28157;"06/25/2021";"300.301.2";"The following staff child ratios shall be maintained: Ages of Children Number of Staff Number of Children"
28157;"04/24/2019";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
6522;"12/10/2019";"1100.1107.2.b";"There shall be a safe diaper changing table that meets the following requirements:There shall be a changing pad capable of being sanitized used as a cushion between the child and the changing table surface."
25433;"05/06/2019";"300.306.4.01";"All new staff, including volunteers who are counted in the ratios shall receive the following orientation (unless the staff has prior documented training in the required areas).Introduction (8 clock hours) to be completed before being left alone with children: a. Proper supervision of children b. Behavioral guidance practices c. Safe sleep practices for infants d. Shaken baby syndrome; which includes prevention (Carter’s Law, Act 1208) e. Appropriately responding to a crying/fussy infant/child f. Emergency procedures in the event of severe weather, or fire, including evacuation procedures and routes, and location and use of fire extinguishers. g. Mandated reporter training h. Administering medication i. Caring for children with special needs / care plans j. Transportation and car seat safety k. Policies regarding release of children to authorized individuals"
31338;"08/27/2021";"600.604.1.i";"The child care facility shall maintain a record for each child in care which shall be on site. Records for children no longer enrolled may be maintained off site. Children’s records shall contain the following information:A written record of all significant changes in the child’s physical or emotional state and accidents, incidents or injuries, indicating the date, location, time of day, area or piece of equipment where the incident occurred (A copy of this shall be given to the parent on the day of occurrence);"
5535;"08/14/2019";"300.301.2.b";"The following staff child ratios shall be maintained: Ages of Children Number of Staff Number of Children18 months – 36 months 1 8"
5535;"08/14/2019";"300.301.1";"A Licensee shall not have more children in care at any one time that the maximum specified on the license."
5535;"08/14/2019";"300.301.4";"Infants and toddlers shall not be mixed with preschool children, except as listed in the following requirement."
25931;"03/04/2020";"100.109.1.b";"The following persons shall be required to have their background reviewed through an Arkansas Child Maltreatment Central Registry Check. A check or money order for $10.00 made out to the Department of Human Services (DHS) must be attached to each form.Staff members and applicants for At application or within 10 days of hire/start date and every two years thereafter employment in a child care facility"
25931;"03/04/2020";"100.110.2";"The following persons shall be required to have their background reviewed through criminal records check (which includes the Arkansas Sexual Offender Registry) conducted by the Arkansas State Police."
25931;"09/19/2019";"200.201.3";"The facility shall provide a written procedure for reporting suspected licensing violations. Serious licensing violations shall be reported to the Licensing Unit. These include, but are not limited to, violations relating to transportation, inappropriate behavior guidance, leaving children unattended or unsupervised, staff/child ratio violations or any other violations that could imminently affect the health and safety of children."
25931;"09/19/2019";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc."
24500;"09/21/2021";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
24500;"09/21/2021";"500.501.5.f";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Isolation without supervision;"
24500;"09/21/2021";"1100.1108.1";"The caregiver shall assist children in toilet routine and hygiene practices."
24500;"09/21/2021";"500.501.5.k";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Associating punishment with rest, toilet training, or illness;"
24500;"09/21/2021";"500.501.5.n";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Shaming, humiliating, frightening, labeling, physically, or mentally harming children; and"
35997;"03/03/2021";"100.102.4";"A home requires licensing when one (1) or more persons care for six (6) or more children, from more than one (1) family at the same time. A maximum of sixteen (16) children may be cared for with a Child Care Family Home license."
7780;"07/25/2023";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
7780;"06/12/2023";"1200.1201.16";"All detergents and cleaning supplies shall be kept out of the reach of children. (This does not include hand soap in children’s or staff bathrooms.)"
1637;"11/07/2022";"500.501.5.n";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Shaming, humiliating, frightening, labeling, physically, or mentally harming children; and"
1637;"09/05/2012";"800.801.5";"Thirty-five square feet per child of usable floor space shall be required for indoor activities. This does not include bathrooms, kitchen and hallways. Usable space in the child care center shall include areas in the classroom used for storage of programmatic materials which are accessible to children. This does not include closets or storage space for equipment that is not in use."
1637;"11/04/2011";"500.501.5.m";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Shaming, humiliating, frightening, labeling, physically or mentally harming children"
24258;"02/27/2023";"500.501.5.e";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Profane or abusive language;"
31372;"05/31/2022";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
31372;"12/04/2020";"500.501.5.n";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Shaming, humiliating, frightening, labeling, physically or mentally harming children"
31372;"10/29/2020";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
31009;"12/11/2020";"600.604.1.i";"The child care facility shall maintain a record for each child in care which shall be on site. Records for children no longer enrolled may be maintained off site. Children’s records shall contain the following information:A written record of all significant changes in the child’s physical or emotional state and accidents, incidents or injuries, indicating the date, location, time of day, area or piece of equipment where the incident occurred (A copy of this shall be given to the parent on the day of occurrence.)"
31009;"12/11/2020";"100.102.1";"Child Care Centers shall maintain compliance with the licensing requirements at all times. To be in substantial compliance, the Child Care Center shall meet all essential standards necessary to protect the health, safety and welfare of the children attending the Child Care Center. Essential standards include but are not limited to those relating to issues involving fire, health, safety, nutrition, discipline, staff/child ratio and space. Failure to comply with any of the licensing requirements for Child Care Centers may result in any of the following adverse actions:"
31308;"03/14/2022";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
31308;"05/18/2021";"300.301.9";"The use of cell phones by staff while supervising children shall be prohibited except in emergency situations."
31301;"04/11/2022";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
35334;"07/07/2021";"1100.1101.5";"Parents or guardians of all children shall be notified of contagious illness as soon as possible."
35334;"04/07/2021";"300.301.2";"The following staff child ratios shall be maintained: Ages of Children Number of Staff Number of Children"
35334;"04/07/2021";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
35334;"04/07/2021";"800.801.4";"All space used by a center shall be kept clean and free of hazardous or potentially hazardous objects. (These objects include, but are not limited to, poisonous substances, firearms, explosives, broken toys or equipment, or other objects that could be harmful or dangerous, if they are determined to be accessible to children.)"
35334;"03/03/2020";"800.801.4";"All space used by a center shall be kept clean and free of hazardous or potentially hazardous objects. (These objects include, but are not limited to, poisonous substances, firearms, explosives, broken toys/equipment, or other objects that could be harmful or dangerous, if they are determined to be accessible to children.)"
30919;"06/17/2021";"500.501.2";"Physical punishment shall not be administered to children."
38152;"07/13/2022";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
21697;"05/01/2019";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc."
21579;"05/22/2023";"500.501.2";"Physical punishment shall not be administered to children."
21579;"05/22/2023";"500.501.5.e";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Profane or abusive language;"
21579;"05/22/2023";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc.;"
21579;"05/22/2023";"500.501.5.i";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Yelling (This does not include a raised voice level to gain a child’s attention to protect the child from risk of harm);"
21579;"05/07/2023";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc.;"
21579;"05/07/2023";"500.501.5.i";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Yelling (This does not include a raised voice level to gain a child’s attention to protect the child from risk of harm);"
21579;"05/07/2023";"500.501.5.e";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Profane or abusive language;"
21579;"05/07/2023";"500.501.2";"Physical punishment shall not be administered to children."
21579;"02/22/2023";"500.501.5.i";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Yelling (This does not include a raised voice level to gain a child’s attention to protect the child from risk of harm);"
13521;"05/02/2018";"500.501.2";"Physical punishment shall not be administered to children."
22248;"05/04/2023";"500.501.5.n";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Shaming, humiliating, frightening, labeling, physically, or mentally harming children; and"
22248;"12/22/2021";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
22248;"08/18/2021";"300.301.9";"The use of cell phones by staff while supervising children shall be prohibited except in emergency situations."
15301;"01/29/2018";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc."
15301;"01/11/2018";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
23121;"03/17/2020";"200.201.3";"The facility shall provide a written procedure for reporting suspected licensing violations. Serious licensing violations shall be reported to the Licensing Unit. These include, but are not limited to, violations relating to transportation, inappropriate behavior guidance, leaving children unattended or unsupervised, staff/child ratio violations or any other violations that could imminently affect the health and safety of children."
23121;"03/17/2020";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
30433;"08/28/2017";"600.601.3.a";"The facility shall maintain daily attendance records on all children as follows:Children shall be signed in and out daily by a parent or guardian, or designee. Electronic sign in and out systems will meet this requirement."
30433;"08/28/2017";"600.601.3.b";"The facility shall maintain daily attendance records on all children as follows:The record shall include the date and time of arrival and departure."
29964;"06/12/2019";"1100.1101.5";"Parents or guardians of all children shall be notified of contagious illness as soon as possible."
29855;"12/19/2022";"400.401.15.c";"There shall be a total of at least one (1) hour of outdoor play per day in suitable weather. When deciding if children should play outside, staff shall consider the following environmental factors:When outdoor play occurs during the winter months and when temperatures are extremely cold, the time scheduled for outdoor play should be reduced or suspended depending on the temperature and other weather conditions."
29855;"07/23/2021";"300.303.7";"No caregiver shall consume or be under the influence of illegal drugs. A drug test may be required if there is reasonable cause to suspect violation of this requirement and the issue cannot otherwise be resolved. No caregiver shall consume or be under the influence of alcohol while delivering care. No caregiver shall consume or be under the influence of medications (prescription or non-prescription) which impair their ability to provide care."
29855;"07/06/2021";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc.;"
29854;"07/17/2023";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc.;"
29854;"02/24/2023";"1100.1101.18";"The facility shall be free of insects, rodents, and pests."
29854;"02/24/2023";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc.;"
29854;"07/08/2021";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
29368;"01/09/2020";"600.604.1.i";"The child care facility shall maintain a record for each child in care which shall be on site. Records for children no longer enrolled may be maintained off site. Children’s records shall contain the following information:A written record of all significant changes in the child’s physical or emotional state and accidents, incidents or injuries, indicating the date, location, time of day, area or piece of equipment where the incident occurred (A copy of this shall be given to the parent on the day of occurrence.)"
28644;"05/12/2022";"300.301.9";"The use of cell phones by staff while supervising children shall be prohibited except in emergency situations."
28644;"05/12/2022";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc.;"
28644;"05/13/2021";"600.604.1.i";"The child care facility shall maintain a record for each child in care which shall be on site. Records for children no longer enrolled may be maintained off site. Children’s records shall contain the following information:A written record of all significant changes in the child’s physical or emotional state and accidents, incidents or injuries, indicating the date, location, time of day, area or piece of equipment where the incident occurred (A copy of this shall be given to the parent on the day of occurrence);"
28644;"05/13/2021";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
28644;"05/13/2021";"300.301.6";"In a group containing children of different ages, the staff to child ratio shall meet the requirements for the youngest child in the group."
28644;"07/28/2020";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc."
28644;"07/28/2020";"300.301.4";"Infants and toddlers shall not be mixed with preschool children, except as listed in the following requirement."
29655;"03/06/2023";"600.604.1.i";"The child care facility shall maintain a record for each child in care which shall be on site. Records for children no longer enrolled may be maintained off site. Children’s records shall contain the following information:A written record of all significant changes in the child’s physical or emotional state and accidents, incidents or injuries, indicating the date, location, time of day, area or piece of equipment where the incident occurred (A copy of this shall be given to the parent on the day of occurrence);"
29655;"03/06/2023";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
29655;"09/21/2022";"500.501.5.i";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Yelling (This does not include a raised voice level to gain a child’s attention to protect the child from risk of harm);"
29655;"06/02/2022";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc.;"
29105;"04/18/2023";"500.501.5.i";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Yelling (This does not include a raised voice level to gain a child’s attention to protect the child from risk of harm);"
29105;"07/07/2022";"100.102.1.b";"Child Care Centers shall maintain compliance with the licensing requirements at all times. To be in substantial compliance, the Child Care Center shall meet all essential standards necessary to protect the health, safety, and welfare of the children attending the Child Care Center. Essential standards include but are not limited to those relating to issues involving fire, health, safety, nutrition, discipline, staff to child ratio and space. Failure to comply with any of the licensing requirements for Child Care Centers may result in any of the following adverse actions:Revocation or suspension of a license or church exempt status; and"
29105;"10/13/2020";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
29105;"10/13/2020";"300.301.4";"Infants and toddlers shall not be mixed with preschool children, except as listed in the following requirement."
29105;"10/13/2020";"300.301.2.b";"The following staff child ratios shall be maintained: Ages of Children Number of Staff Number of Children18 months – 36 months 1 8"
29463;"11/14/2022";"300.302.3";"A Director, Assistant Director or Site Supervisor who meets director qualifications, must be present at each licensed site a minimum of fifty percent (50%) of the center’s primary operational day, on a routine basis."
29463;"06/08/2018";"600.604.1.i";"The child care facility shall maintain a record for each child in care which shall be on site. Records for children no longer enrolled may be maintained off site. Children’s records shall contain the following information:A written record of all significant changes in the child’s physical or emotional state and accidents, incidents or injuries, indicating the date, location, time of day, area or piece of equipment where the incident occurred. A copy of this shall be given to the parent on the day of occurrence."
29463;"06/08/2018";"1100.1101.4";"Any child who is injured shall have immediate attention. Parents shall be notified of all injuries. Injuries that require the attention of medical personnel shall be reported to the parent immediately and to the Licensing Unit within one business day."
31431;"11/10/2021";"200.201.4.2";"Subparts 1 and 2(A) An EIDT must comply with all requirements of the applicable Minimum Licensing Standards for Child Care Centers. (B) A violation of the applicable Minimum Licensing Standards for Child Care Centers constitutes a violation of these standards."
31431;"11/10/2021";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc.;"
26670;"06/29/2020";"4.405.0.A";"Incident / Accident ReportingThe organization shall report the following incidents to the DDS Licensing Unit in accordance with DHS Policy 1090. This report shall contain: date, accident/injury, time, location, persons involved, action taken, follow-up, signature of person writing the report. The following are reportable incidents: 1.Use of seclusion or restraint. 2.Maltreatment or abuse as defined in statutes (See Ark. Code Ann. §§ 12-12-501 – 12-12-515 (503); Ark. Code Ann. §§ 5-28-101 – 5- 28-109 (102)) 3.Incidents involving injury: a.Accident/injury reports shall be completed for each accident/injury that requires the attention of an EMT, Paramedic or Physician. 1.Accident is defined as an event occurring by chance or arising from unknown causes. 2.Injury is defined as an act that damages or hurts and results in outside medical attention. 3.A copy of the report, redacted as required by the Freedom of Information Act must be sent to parent/guardian of all children (0-18), and to guardian of adults regardless of severity of injury. 4.Other health-related conditions resulting in Emergency treatment or hospitalization. 4.Communicable disease 5.Violence or aggression 6.Sentinel events (i.e., an unexpected occurrence involving death or serious physical or psychological injury or the risk thereof) 7.Elopement and/or wandering defined as anytime the location of a person cannot be determined within 2 hours 8.Vehicular accidents 9.Biohazardous accidents 10.Use or possession of illicit substances or use or possession of licit substances in an unlawful or inappropriate manner (i.e., possession of prescription drugs by a person to whom the drugs have not been prescribed and who has no legitimate interest in possession of prescription drugs, such as a parent or guardian) 11.Arrests or convictions 12.Suicide or attempted suicide 13.Property destruction 14.Any condition or event that prevents the delivery of DHS services for more than 2 hours 15.Behavioral incidents (incidents involving an individual’s actions that are aggressive, disruptive and/or present a danger to the individual or to others) 16.Other areas, as required NOTE: FOR INDIVIDUALS 3-21 YEARS OF AGE, DESTRUCTION OF INCIDENT REPORTS MUST BE IN COMPLIANCE WITH DEPARTMENT OF EDUCATION ."
8675;"07/09/2021";"300.302.1.1";"Subparts 1 and 2An EIDT must appropriately supervise all beneficiaries based on each beneficiary’s needs."
8675;"07/09/2021";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
8675;"04/26/2021";"800.801.4";"All space used by a center shall be kept clean and free of hazardous or potentially hazardous objects. (These objects include, but are not limited to, poisonous substances, firearms, explosives, broken toys or equipment, or other objects that could be harmful or dangerous, if they are determined to be accessible to children.)"
28528;"02/03/2022";"400.401.7";"There shall be meaningful, positive interaction between staff and children, to include but not limited to the following:"
28528;"02/03/2022";"300.301.11";"Additional staff provisions shall be made for enrollment of children with disabilities who require individual attention."
