"Faciliy #";"Facility Name";"Address";"City";"State";"Zip";"County";"Site Phone";"Facility_Type";"Website Address";"Contact Persons";"Voucher Participant";"ABC Program";"Head Start";"Better Beginnings";"DCCECE Assigned Staff";"DCCECE Office Address";"DCCECE Office City";"DCCECE Office Zip";"DCCECE Office Phone";"DCCECE Email Address";"Months of Operation";"Monday";"Tuesday";"Wednesday";"Thursday";"Friday";"Saturday";"Sunday";"Facility Rates for Ages Served";"Capacity Infant/Toddler";"Capacity Preschool";"Capacity School Age";"Capacity Sick Care";"DetailsRef"
28864;"CAPCA Gould Head Start Center";"110 North Joslyn";"Gould";"AR";71643;"Lincoln";"(870) 263-1118";"Child Care Center";"sandy.aguirre@capcainc.org";"Shaunta Henderson";"Yes";"No";"Yes";3;"Preselfannie Taylor";"1222 W 6th Street";" Pine Bluff";71601;"(870) 939-4008";"preselfannie.taylor.dccece@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"8:00:00 AM-2:00:00 PM";"8:00:00 AM-2:00:00 PM";"8:00:00 AM-2:00:00 PM";"8:00:00 AM-2:00:00 PM";"8:00:00 AM-2:00:00 PM";;;;20;40;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NYgAAM&language=en_US"
26593;"Star City ABC";"616 East Arkansas Street";"Star City";"AR";71667;"Lincoln";"(866) 446-3647";"Child Care Center";"-";"Rachel Sowrheaver";"No";"Yes";"No";3;"Preselfannie Taylor";"1222 W 6th Street";" Pine Bluff";71601;"(870) 939-4008";"preselfannie.taylor.dccece@dhs.arkansas.gov";"January | February | March | April | May | August | September | October | November | December
June | July";"7:30:00 AM-3:20:00 PM";"7:30:00 AM-3:20:00 PM";"7:30:00 AM-3:20:00 PM";"7:30:00 AM-3:20:00 PM";"7:30:00 AM-3:20:00 PM";;;;;75;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NV2AAM&language=en_US"
30020;"Discovery Children's Center";"706 E ARKANSAS AVE";"STAR CITY";"AR";71667;"Lincoln";"(870) 628-1821";"Early Intervention Day Treatment (EIDT)";"-";"Leanne Patterson";"Yes";"No";"No";2;"-";;;;"-";"-";"January | February | March | April | May | June | July | August | September | October | November | December
";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";;;;29;44;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009Ob9AAE&language=en_US"
24855;"Lil Dog House Daycare And Preschool";"207 Ford Street";"Star City";"AR";71667;"Lincoln";"(870) 628-4448";"Child Care Center";"-";"Deanna Tollison";"Yes";"No";"No";2;"Preselfannie Taylor";"1222 W 6th Street";" Pine Bluff";71601;"(870) 939-4008";"preselfannie.taylor.dccece@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"6:45:00 AM-5:30:00 PM";"6:45:00 AM-5:30:00 PM";"6:45:00 AM-5:30:00 PM";"6:45:00 AM-5:30:00 PM";"6:45:00 AM-5:30:00 PM";;;"
Infant 0 to 18 Months-$29.00 per Day (7 Hours or More)
Preschool 30 to 72 Months-$25.00 per Day (7 Hours or More)
School Age 60 to 156 Months-$17.50 per Day (7 Hours or More)
School Age 60 to 156 Months-$24.00 per Day (Less than 7 Hours)
Toddler 18 to 36 Months-$25.00 per Day (7 Hours or More)";48;21;64;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NT1AAM&language=en_US"
45151;"The Learning Tree of Star City";"300 West Wiley";"Star City";"AR";71667;"Lincoln";"(870) 370-1100";"Child Care Center";"-";"Susan Owen";"No";"No";"No";0;"Preselfannie Taylor";"1222 W 6th Street";" Pine Bluff";71601;"(870) 939-4008";"preselfannie.taylor.dccece@dhs.arkansas.gov";"January | February | March | April | May | August | September | October | November | December
June | July";;;;;;;;;;56;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z000000CDo9AAG&language=en_US"
35214;"Ashdown ABC Preschool";"410 Burke St";"Ashdown";"AR";"71822-2908";"Little River";"(870) 898-3561";"Child Care Center";"-";"Sherrie Mc Adams";"No";"Yes";"No";4;"Terri Grice";"3809 Airport Plaza";" Texarkana";71854;"(870) 330-8266";"terri.grice@dhs.arkansas.gov";"January | February | March | April | May | August | September | October | November | December
June | July";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";;;"
Preschool 30 to 72 Months-$14.94 per Day (7 Hours or More)";;105;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NgnAAE&language=en_US"
10465;"Foreman Preschool";"610 Rocky Comfort Rd";"Foreman";"AR";71836;"Little River";"(870) 542-7809";"Child Care Center";"-";"Ruthie Henderson";"No";"Yes";"No";4;"Terri Grice";"3809 Airport Plaza";" Texarkana";71854;"(870) 330-8266";"terri.grice@dhs.arkansas.gov";"January | February | March | April | May | August | September | October | November | December
June | July";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";;;;;60;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NLaAAM&language=en_US"
35426;"Little Bity City Enrichment Center Ashdown";"410 Burke Street";"Ashdown";"AR";71822;"Little River";"(870) 330-3088";"Child Care Center";"-";"Kathy McKenzie";"Yes";"No";"Yes";3;"Terri Grice";"3809 Airport Plaza";" Texarkana";71854;"(870) 330-8266";"terri.grice@dhs.arkansas.gov";"January | February | March | April | May | August | September | October | November | December
June | July";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";;;;;20;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009Nh9AAE&language=en_US"
31172;"Noah's Ark Daycare LLC";"460 NW Front Street";"Ashdown";"AR";71822;"Little River";"(870) 667-0106";"Child Care Center";"-";"Jamie Marshall";"Yes";"No";"No";2;"Terri Grice";"3809 Airport Plaza";" Texarkana";71854;"(870) 330-8266";"terri.grice@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"6:00:00 AM-6:00:00 PM";"6:00:00 AM-6:00:00 PM";"6:00:00 AM-6:00:00 PM";"6:00:00 AM-6:00:00 PM";"6:00:00 AM-6:00:00 PM";;;"
Infant 0 to 18 Months-$30.00 per Day (Less than 7 Hours)
Infant 0 to 18 Months-$30.00 per Day (7 Hours or More)
Preschool 30 to 72 Months-$20.00 per Day (7 Hours or More)
Preschool 30 to 72 Months-$20.00 per Day (Less than 7 Hours)
Preschool 30 to 72 Months-$13.00 per Day (Less than 7 Hours)
School Age 60 to 156 Months-$20.00 per Day (7 Hours or More)
School Age 60 to 156 Months-$13.00 per Day (Less than 7 Hours)
School Age 60 to 156 Months-$20.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$25.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$25.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$25.00 per Day (Less than 7 Hours)";22;23;16;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NfQAAU&language=en_US"
6601;"Marys Little Lamb Daycare Center";"11 West Olive Street";"Ashdown";"AR";71822;"Little River";"(870) 898-6283";"Child Care Center";"-";"Gwen Abner";"Yes";"No";"No";2;"Terri Grice";"3809 Airport Plaza";" Texarkana";71854;"(870) 330-8266";"terri.grice@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"6:00:00 AM-5:00:00 PM";"6:00:00 AM-5:00:00 PM";"6:00:00 AM-5:00:00 PM";"6:00:00 AM-5:00:00 PM";"6:00:00 AM-5:00:00 PM";;;"
Infant 0 to 18 Months-$25.00 per Day (Less than 7 Hours)
Infant 0 to 18 Months-$25.00 per Day (7 Hours or More)
Preschool 30 to 72 Months-$25.00 per Day (Less than 7 Hours)
Preschool 30 to 72 Months-$25.00 per Day (7 Hours or More)
School Age 60 to 156 Months-$25.00 per Day (Less than 7 Hours)
School Age 60 to 156 Months-$25.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$25.00 per Day (Less than 7 Hours)
Toddler 18 to 36 Months-$25.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$25.00 per Day (7 Hours or More)";48;30;24;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NJrAAM&language=en_US"
25779;"Home Away From Home";"270 North 6th Street";"Ashdown";"AR";71822;"Little River";"(903) 824-1550";"Licensed Child Care Family Home";"-";"Kendra Clement";"Yes";"No";"No";2;"Terri Grice";"3809 Airport Plaza";" Texarkana";71854;"(870) 330-8266";"terri.grice@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"7:00:00 AM-5:00:00 PM";"7:00:00 AM-5:00:00 PM";"7:00:00 AM-5:00:00 PM";"7:00:00 AM-5:00:00 PM";"7:00:00 AM-5:00:00 PM";;;"
Infant 0 to 18 Months-$20.00 per Day (Less than 7 Hours)
Infant 0 to 18 Months-$16.00 per Day (7 Hours or More)
Preschool 30 to 72 Months-$20.00 per Day (Less than 7 Hours)
Preschool 30 to 72 Months-$16.00 per Day (7 Hours or More)
School Age 60 to 156 Months-$20.00 per Day (Less than 7 Hours)
School Age 60 to 156 Months-$16.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$16.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$20.00 per Day (Less than 7 Hours)";;;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NU5AAM&language=en_US"
23162;"Little Tadpoles";"910 Rankin Street";"Ashdown";"AR";71822;"Little River";"(903) 908-2290";"Licensed Child Care Family Home";"-";"Stacy Barker";"Yes";"No";"No";2;"Terri Grice";"3809 Airport Plaza";" Texarkana";71854;"(870) 330-8266";"terri.grice@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"6:00:00 AM-6:00:00 PM";"6:00:00 AM-6:00:00 PM";"6:00:00 AM-6:00:00 PM";"6:00:00 AM-6:00:00 PM";"6:00:00 AM-6:00:00 PM";;;"
Infant 0 to 18 Months-$14.00 per Day (Less than 7 Hours)
Infant 0 to 18 Months-$15.00 per Day (7 Hours or More)
Preschool 30 to 72 Months-$13.00 per Day (7 Hours or More)
Preschool 30 to 72 Months-$5.00 per Day (Less than 7 Hours)
School Age 60 to 156 Months-$5.00 per Day (Less than 7 Hours)
School Age 60 to 156 Months-$13.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$14.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$8.00 per Day (Less than 7 Hours)";;;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NRRAA2&language=en_US"
30642;"Mother's Touch Preschool";"811 E Main St";"Booneville";"AR";72927;"Logan";"(479) 675-3229";"Licensed Child Care Family Home";"-";"Rita Neve";"Yes";"Yes";"No";6;"Tiffany Contis";"900 S Rogers St";" Clarksville";72830;"-";"tiffany.contis@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"7:45:00 AM-2:45:00 PM";"7:45:00 AM-2:45:00 PM";"7:45:00 AM-2:45:00 PM";"7:45:00 AM-2:45:00 PM";"7:45:00 AM-2:45:00 PM";;;;;;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NdZAAU&language=en_US"
29736;"Rocket Zone Preschool";"110 N 8th";"Scranton";"AR";72863;"Logan";"(479) 938-8800";"Child Care Center";"-";"Tracy Schwartz";"Yes";"Yes";"No";4;"Tiffany Contis";"900 S Rogers St";" Clarksville";72830;"-";"tiffany.contis@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"7:45:00 AM-3:00:00 PM";"7:45:00 AM-3:00:00 PM";"7:45:00 AM-3:00:00 PM";"7:45:00 AM-3:00:00 PM";"7:45:00 AM-3:00:00 PM";;;"
Preschool 30 to 72 Months-$20.00 per Day (7 Hours or More)
Preschool 30 to 72 Months-$20.00 per Day (Less than 7 Hours)
Toddler 18 to 36 Months-$20.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$20.00 per Day (Less than 7 Hours)";;47;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NajAAE&language=en_US"
1839;"Magazine Opportunities Program";"340 E Priddy";"Magazine";"AR";72943;"Logan";"(866) 900-2001";"Child Care Center";"-";"Paula Russell";"Yes";"Yes";"No";4;"Tiffany Contis";"900 S Rogers St";" Clarksville";72830;"-";"tiffany.contis@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";;;"
Infant 0 to 18 Months-$15.00 per Day (7 Hours or More)
Infant 0 to 18 Months-$15.00 per Day (Less than 7 Hours)
Preschool 30 to 72 Months-$3.00 per Day (Less than 7 Hours)
Preschool 30 to 72 Months-$15.00 per Day (7 Hours or More)
School Age 60 to 156 Months-$15.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$15.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$15.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$15.00 per Day (Less than 7 Hours)";45;71;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NIpAAM&language=en_US"
30950;"Paris ARVAC Head Start";"200 W Academy St";"Paris";"AR";"72855-3858";"Logan";"(479) 963-1441";"Child Care Center";"-";"Denise McHughes";"No";"No";"Yes";3;"Tiffany Contis";"900 S Rogers St";" Clarksville";72830;"-";"tiffany.contis@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"7:00:00 AM-5:00:00 PM";"7:00:00 AM-5:00:00 PM";"7:00:00 AM-5:00:00 PM";"7:00:00 AM-5:00:00 PM";"7:00:00 AM-5:00:00 PM";;;"
Preschool 30 to 72 Months-$5.00 per Day (Less than 7 Hours)
Toddler 18 to 36 Months-$5.00 per Day (Less than 7 Hours)
Toddler 18 to 36 Months-$5.00 per Day (Less than 7 Hours)";34;49;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NeXAAU&language=en_US"
36534;"Yoyo's Loving Hands Childcare and Preschool";"331 W 8th Street";"Booneville";"AR";72927;"Logan";"(562) 668-7460";"Licensed Child Care Family Home";"-";"Yolanda Gil";"Yes";"No";"No";3;"Tiffany Contis";"900 S Rogers St";" Clarksville";72830;"-";"tiffany.contis@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"4:00:00 AM-5:30:00 PM";"4:00:00 AM-5:30:00 PM";"4:00:00 AM-5:30:00 PM";"4:00:00 AM-5:30:00 PM";"4:00:00 AM-5:30:00 PM";;;"
Infant 0 to 18 Months-$12.00 per Day (Less than 7 Hours)
Infant 0 to 18 Months-$35.00 per Day (7 Hours or More)
Preschool 30 to 72 Months-$35.00 per Day (7 Hours or More)
Preschool 30 to 72 Months-$12.00 per Day (Less than 7 Hours)
School Age 60 to 156 Months-$35.00 per Day (7 Hours or More)
School Age 60 to 156 Months-$12.00 per Day (Less than 7 Hours)
Toddler 18 to 36 Months-$35.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$12.00 per Day (Less than 7 Hours)";;;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NixAAE&language=en_US"
10703;"Paris School District Bright Opportunities Program";"401 N School St";"Paris";"AR";"72855-3528";"Logan";"(844) 963-3243";"Child Care Center";"http://www.parisschools.org/page/bright-opportunities-pre-k-grogram";"Jodie Vincent";"No";"Yes";"No";3;"Tiffany Contis";"900 S Rogers St";" Clarksville";72830;"-";"tiffany.contis@dhs.arkansas.gov";"January | February | March | April | May | August | September | October | November | December
June | July";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";;;"
Preschool 30 to 72 Months-$25.00 per Day (7 Hours or More)";;105;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NLrAAM&language=en_US"
28116;"Booneville Elementary Pre-K";"751 N Kennedy";"Booneville";"AR";72927;"Logan";"(855) 675-3339";"Child Care Center";"-";"Jennifer Haynes";"Yes";"Yes";"No";3;"Tiffany Contis";"900 S Rogers St";" Clarksville";72830;"-";"tiffany.contis@dhs.arkansas.gov";"January | February | March | April | May | August | September | October | November | December
June | July";"7:45:00 AM-3:00:00 PM";"7:45:00 AM-3:00:00 PM";"7:45:00 AM-3:00:00 PM";"7:45:00 AM-3:00:00 PM";"7:45:00 AM-3:00:00 PM";;;"
Preschool 30 to 72 Months-$16.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$16.00 per Day (7 Hours or More)";;107;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NWzAAM&language=en_US"
34323;"Mrs. Shelby's Stepping Stones Academy";"323 E Venable St";"Booneville";"AR";"72927-4340";"Logan";"(479) 675-1633";"Child Care Center";"-";"Lyndsey Gentry";"Yes";"No";"No";2;"Tiffany Contis";"900 S Rogers St";" Clarksville";72830;"-";"tiffany.contis@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"5:00:00 AM-5:00:00 PM";"5:00:00 AM-5:00:00 PM";"5:00:00 AM-5:00:00 PM";"5:00:00 AM-5:00:00 PM";"5:00:00 AM-5:00:00 PM";;;"
Infant 0 to 18 Months-$32.00 per Day (Less than 7 Hours)
Infant 0 to 18 Months-$32.00 per Day (7 Hours or More)
Preschool 30 to 72 Months-$28.00 per Day (7 Hours or More)
Preschool 30 to 72 Months-$28.00 per Day (Less than 7 Hours)
School Age 60 to 156 Months-$14.00 per Day (7 Hours or More)
School Age 60 to 156 Months-$14.00 per Day (Less than 7 Hours)
Toddler 18 to 36 Months-$30.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$28.00 per Day (Less than 7 Hours)
Toddler 18 to 36 Months-$25.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$30.00 per Day (Less than 7 Hours)";26;58;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NgjAAE&language=en_US"
8697;"Logan County Day Service Center for Limited Children, Inc.";"1234 E MAIN ST";"BOONEVILLE";"AR";72927;"Logan";"(479) 675-3770";"Early Intervention Day Treatment (EIDT)";"-";"Diana Ives";"No";"No";"No";1;"Eric Beasley";"PO Box 1437Slot 408";" Little Rock";72203;"(501) 287-4619";"eric.beasley@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"7:45:00 AM-3:45:00 PM";"7:45:00 AM-3:45:00 PM";"7:45:00 AM-3:45:00 PM";"7:45:00 AM-3:45:00 PM";"7:45:00 AM-3:45:00 PM";;;"
Infant 0 to 18 Months-$17.00 per Day (7 Hours or More)
Preschool 30 to 72 Months-$17.00 per Day (7 Hours or More)
School Age 60 to 156 Months-$17.00 per Day (7 Hours or More)
School Age 60 to 156 Months-$15.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$17.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$17.00 per Day (7 Hours or More)";23;70;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009OZOAA2&language=en_US"
21058;"Jackie's Daycare";"203 E Church St";"Paris";"AR";72855;"Logan";"(479) 438-1334";"Licensed Child Care Family Home";"-";"Jackie Martin";"No";"No";"No";0;"Tiffany Contis";"900 S Rogers St";" Clarksville";72830;"-";"tiffany.contis@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"6:00:00 AM-4:30:00 PM";"6:00:00 AM-4:30:00 PM";"6:00:00 AM-4:30:00 PM";"6:00:00 AM-4:30:00 PM";"6:00:00 AM-4:30:00 PM";;;"
Infant 0 to 18 Months-$12.00 per Day (7 Hours or More)
Preschool 30 to 72 Months-$12.00 per Day (7 Hours or More)
School Age 60 to 156 Months-$12.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$12.00 per Day (7 Hours or More)";;;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NPNAA2&language=en_US"
30492;"Momma GG's";"3718 N Carbon City Rd";"Paris";"AR";72855;"Logan";"(479) 438-0968";"Licensed Child Care Family Home";"-";"Georgia Hutchins";"No";"No";"No";0;"Tiffany Contis";"900 S Rogers St";" Clarksville";72830;"-";"tiffany.contis@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"4:30:00 AM-6:00:00 PM";"4:30:00 AM-6:00:00 PM";"4:30:00 AM-6:00:00 PM";"4:30:00 AM-6:00:00 PM";"4:30:00 AM-6:00:00 PM";;;"
Infant 0 to 18 Months-$16.00 per Day (7 Hours or More)
Preschool 30 to 72 Months-$16.00 per Day (7 Hours or More)
School Age 60 to 156 Months-$16.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$16.00 per Day (7 Hours or More)";;;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009Nd0AAE&language=en_US"
8497;"St. Joseph Preschool";"25 S Spruce";"Paris";"AR";72855;"Logan";"(479) 963-3355";"Child Care Center";"-";"Denise Forst";"No";"No";"No";0;"Tiffany Contis";"900 S Rogers St";" Clarksville";72830;"-";"tiffany.contis@dhs.arkansas.gov";"January | February | March | April | May | August | September | October | November | December
June | July";"7:30:00 AM-5:30:00 PM";"7:30:00 AM-5:30:00 PM";"7:30:00 AM-5:30:00 PM";"7:30:00 AM-5:30:00 PM";"7:30:00 AM-5:30:00 PM";;;"
Preschool 30 to 72 Months-$23.59 per Day (7 Hours or More)";52;57;20;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NL9AAM&language=en_US"
2982;"The Lovan Express";"740 Red Barn Antique Rd";"Paris";"AR";72855;"Logan";"(479) 934-4338";"Licensed Child Care Family Home";"-";"Linda Lovan";"No";"No";"No";0;"Tiffany Contis";"900 S Rogers St";" Clarksville";72830;"-";"tiffany.contis@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"6:30:00 AM-5:00:00 PM";"6:30:00 AM-5:00:00 PM";"6:30:00 AM-5:00:00 PM";"6:30:00 AM-5:00:00 PM";"6:30:00 AM-5:00:00 PM";;;"
Infant 0 to 18 Months-$10.00 per Day (Less than 7 Hours)
Infant 0 to 18 Months-$16.00 per Day (7 Hours or More)
Preschool 30 to 72 Months-$16.00 per Day (7 Hours or More)
Preschool 30 to 72 Months-$10.00 per Day (Less than 7 Hours)
School Age 60 to 156 Months-$16.00 per Day (7 Hours or More)
School Age 60 to 156 Months-$10.00 per Day (Less than 7 Hours)
Toddler 18 to 36 Months-$10.00 per Day (Less than 7 Hours)
Toddler 18 to 36 Months-$16.00 per Day (7 Hours or More)";;;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NJ6AAM&language=en_US"
25101;"Joyful Days";"368 W Main St";"Booneville";"AR";72927;"Logan";"(479) 849-4454";"Licensed Child Care Family Home";"-";"Konya Ashley";"No";"No";"No";0;"Tiffany Contis";"900 S Rogers St";" Clarksville";72830;"-";"tiffany.contis@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"7:00:00 AM-4:30:00 PM";"7:00:00 AM-4:30:00 PM";"7:00:00 AM-4:30:00 PM";"7:00:00 AM-4:30:00 PM";"7:00:00 AM-4:30:00 PM";;;"
Infant 0 to 18 Months-$25.00 per Day (7 Hours or More)
Preschool 30 to 72 Months-$25.00 per Day (7 Hours or More)
School Age 60 to 156 Months-$10.00 per Day (Less than 7 Hours)
School Age 60 to 156 Months-$20.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$25.00 per Day (7 Hours or More)";;;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NTKAA2&language=en_US"
23102;"Westside Pre-School";"1701 South 2nd Street";"Cabot";"AR";72023;"Lonoke";"(501) 743-3566";"Child Care Center";"http://cabot.k12.ar.us";"Suzie Kelley";"Yes";"Yes";"No";6;"Amanda Whitney";"P O Box 1437Slot S150";" Little Rock";72203;"(501) 682-8590";"amanda.whitney@dhs.arkansas.gov";"January | February | March | April | May | August | September | October | November | December
June | July";"8:00:00 AM-3:15:00 PM";"8:00:00 AM-3:15:00 PM";"8:00:00 AM-3:15:00 PM";"8:00:00 AM-3:15:00 PM";"8:00:00 AM-3:15:00 PM";;;"
Preschool 30 to 72 Months-$19.00 per Day (7 Hours or More)";;62;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NRNAA2&language=en_US"
27125;"Magness Creek Elementary";"16150 Arkansas 5";"Cabot";"AR";72023;"Lonoke";"(501) 743-3565";"Child Care Center";"http://cabot.k12.ar.us";"Suzie Kelley";"Yes";"Yes";"No";6;"Amanda Whitney";"P O Box 1437Slot S150";" Little Rock";72203;"(501) 682-8590";"amanda.whitney@dhs.arkansas.gov";"January | February | March | April | May | August | September | October | November | December
June | July";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";;;"
Preschool 30 to 72 Months-$19.00 per Day (7 Hours or More)";;40;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NVgAAM&language=en_US"
21729;"Kareer Kids CDC - Cabot";"46 Financial Dr";"Cabot";"AR";"72023-8610";"Lonoke";"(501) 605-9228";"Child Care Center";"-";"Kristy Brown";"Yes";"Yes";"No";4;"Amanda Whitney";"P O Box 1437Slot S150";" Little Rock";72203;"(501) 682-8590";"amanda.whitney@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"6:00:00 AM-6:00:00 PM";"6:00:00 AM-6:00:00 PM";"6:00:00 AM-6:00:00 PM";"6:00:00 AM-6:00:00 PM";"6:00:00 AM-6:00:00 PM";;;"
Infant 0 to 18 Months-$32.00 per Day (7 Hours or More)
Preschool 30 to 72 Months-$18.00 per Day (Less than 7 Hours)
Preschool 30 to 72 Months-$29.00 per Day (7 Hours or More)
School Age 60 to 156 Months-$16.00 per Day (Less than 7 Hours)
School Age 60 to 156 Months-$25.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$31.00 per Day (7 Hours or More)";26;48;27;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NPjAAM&language=en_US"
