"provider_id";"date";"deficiency_code";"deficiency_description";"resolution_date";"allegation_type"
1984;"06-28-2019";141.4;"Failure of a Licensee to ensure that positive behavior support or discipline shall not include any of the following methods of discipline and the use of any of them by the Licensee, and the staff members, is prohibited: (a) Physical harm, including but not limited to, punching, pinching, shaking, shoving, pushing, spanking, striking, kicking, biting, yanking, strangling, kneeing, poking, or plucking; (b) Fear, shaming, intimidation, or humiliation; (c) Derogatory remarks or profane language; (d) Confinement in a locked room or an enclosed area where a child cannot be seen or supervised by Facility staff; (e) Force feeding against a child’s will; (f) Withholding of food, water, rest, toilet use, outdoor activities, or outdoor play; or (g) Physical or chemical restraints.";"06-07-2019";"General Health and Safety"
1984;"05-30-2018";122.1;"Failure of the Licensee to ensure that every building or part thereof that is used as a Facility, is constructed, used, furnished, maintained, and equipped in compliance with all applicable requirements established by District and federal laws and regulations with written certification of compliance from the appropriate regulatory bodies governing zoning, building construction and safety, sanitation, and fire safety";"06-05-2018";"General Health and Safety"
1791;"12-18-2018";118.5;"Failure of a Licensee to protect the safety, health, and welfare of all children within their care";"01-11-2019";"General Health and Safety"
2686;"07-22-2019";120.1;"Failure to supervise children while at the Facility by responsible staff and volunteers who can see and hear the children supervised at all times including but not limited to when they are napping or sleeping, on the playground, on field trips, on vehicular and non-vehicular excursions, and during all water activities and water play activities";"08-30-2019";"General Health and Safety"
1765;"07-16-2019";122.19;"Failure of a Licensee to ensure that the Facility’s premises remain clear of insects, rodents, and other pests and excrement of insects, rodents, and other pests";"10-01-2019";"General Health and Safety"
1765;"05-16-2019";122.19;"Failure of a Licensee to ensure that the Facility’s premises remain clear of insects, rodents, and other pests and excrement of insects, rodents, and other pests";"06-06-2019";"Environmental"
1765;"03-28-2019";120.1;"Failure to supervise children while at the Facility by responsible staff and volunteers who can see and hear the children supervised at all times including but not limited to when they are napping or sleeping, on the playground, on field trips, on vehicular and non-vehicular excursions, and during all water activities and water play activities";"04-01-2019";"General Health and Safety"
1765;"03-28-2019";128.2;"Failure of a Licensee to provide a copy of the completed Unusual Incident Report form provided to OSSE to the parent(s) or guardian(s) of each child affected by the unusual incident.";"04-01-2019";"General Health and Safety"
2186;"07-25-2018";128.1;"Failure of a Licensee to immediately notify OSSE of any unusual incident that may adversely affect the health, safety, or welfare of any enrolled child or children by submitting a completed OSSE Unusual Incident Report form to OSSE’s Child Care Complaint email address.";"08-24-2018";"Administrative"
2186;"07-25-2018";120.1;"Failure to supervise children while at the Facility by responsible staff and volunteers who can see and hear the children supervised at all times including but not limited to when they are napping or sleeping, on the playground, on field trips, on vehicular and non-vehicular excursions, and during all water activities and water play activities";"08-24-2018";"General Health and Safety"
1806;"03-18-2019";127.1;"Failure of a Licensee to establish and maintain respectful and professional communication with the parent(s) or guardian(s) of children enrolled.";"03-19-2019";"Administrative"
1806;"03-18-2019";128.1;"Failure of a Licensee to immediately notify OSSE of any unusual incident that may adversely affect the health, safety, or welfare of any enrolled child or children by submitting a completed OSSE Unusual Incident Report form to OSSE’s Child Care Complaint email address.";"03-19-2019";"Administrative"
1806;"03-18-2019";164.1;"Failure of a Licensee to ensure that a Center Director shall be physically present at the Facility at all times during the Center’s peak hours of operation when the majority of children are present, and maintain on the premises a record of days and actual hours of work at the Facility, except that a Center Director may be absent from the Facility if he or she has designated an authorized representative of the Child Development Facility, who shall be physically present at the Facility when the Center Director is absent. This authorized representative must meet all the qualification requirements of a Center Director and who assumes full responsibility for the Facility’s management and operations in the absence of the Center Director.";"03-19-2019";"Administrative"
1806;"10-25-2018";118.5;"Failure of a Licensee to protect the safety, health, and welfare of all children within their care";"10-31-2018";"General Health and Safety"
1806;"09-19-2018";124.2;"Failure of a Licensee to ensure that the temperature within each room of program space shall be maintained at between sixty-eight degrees Fahrenheit (68°F) and seventy-five degrees Fahrenheit (75°F) from October through March, and between sixty-eight degrees Fahrenheit (68°F) and eighty-two degrees Fahrenheit (82°F) from April through September.";"09-25-2018";"Environmental"
1806;"03-29-2018";145.5;"Failure of staff members of a licensed Facility to ensure that each child’s diaper or training pant is checked for wetness and feces at least hourly and whenever the child indicates discomfort or exhibits behavior which suggests a wet or soiled diaper. A Licensee shall ensure that upon learning that diapers and training pants are wet or soiled, that they are changed.";"03-30-2018";"General Health and Safety"
1806;"03-09-2018";151.5;"If a child exhibits mild symptoms of illness and/or discomfort, the Center Director, or his/her designee, or the Caregiver, in consultation with the child’s parent(s) or guardian(s), shall decide whether the child should be immediately discharged from the Facility or discharged at the end of the day. This decision shall consider the following: (a) Whether the illness prevents the child from participating comfortably in activities; (b) Whether the illness results in a need for care that is greater than the staff can provide without compromising the health and safety of other children; and (c) Whether the illness poses a risk of spread of harmful diseases to others.";"04-13-2018";"Administrative"
1806;"03-08-2018";121.2;"Failure to ensure minimum adult-to-child ratios shall be met at all times, including non-peak hours, during nap or rest periods, and in vehicles during transport";"03-22-2018";"General Health and Safety"
1806;"11-15-2017";127.1;"Failure of a Licensee to establish and maintain respectful and professional communication with the parent(s) or guardian(s) of children enrolled.";"12-04-2017";"Administrative"
1965;"09-25-2018";128.1;"Failure of a Licensee to immediately notify OSSE of any unusual incident that may adversely affect the health, safety, or welfare of any enrolled child or children by submitting a completed OSSE Unusual Incident Report form to OSSE’s Child Care Complaint email address.";"09-28-2018";"Administrative"
2008;"09-18-2018";141.4;"Failure of a Licensee to ensure that positive behavior support or discipline shall not include any of the following methods of discipline and the use of any of them by the Licensee, and the staff members, is prohibited: (a) Physical harm, including but not limited to, punching, pinching, shaking, shoving, pushing, spanking, striking, kicking, biting, yanking, strangling, kneeing, poking, or plucking; (b) Fear, shaming, intimidation, or humiliation; (c) Derogatory remarks or profane language; (d) Confinement in a locked room or an enclosed area where a child cannot be seen or supervised by Facility staff; (e) Force feeding against a child’s will; (f) Withholding of food, water, rest, toilet use, outdoor activities, or outdoor play; or (g) Physical or chemical restraints.";"09-26-2018";"General Health and Safety"
1919;"05-24-2019";122.19;"Failure of a Licensee to ensure that the Facility’s premises remain clear of insects, rodents, and other pests and excrement of insects, rodents, and other pests";"06-04-2019";"Environmental"
1919;"01-25-2018";154.1;"Failure of a Licensee to have a written care plan for each child with a food allergy prepared for the Facility by the child’s parent(s), guardian(s), or licensed health care practitioner, which shall include: (a) Instructions regarding the food to which the child is allergic and steps that need to be taken to avoid that food; and (b) A detailed treatment plan to be implemented in the event of an allergic reaction, including the names, doses, and methods of administration of any medications that the child should receive in the event of a reaction. The plan should include specific symptoms that would indicate the need to administer one or more medications.";"02-23-2018";"General Health and Safety"
1851;"08-08-2019";121.2;"Failure to ensure minimum adult-to-child ratios shall be met at all times, including non-peak hours, during nap or rest periods, and in vehicles during transport";"08-12-2019";"General Health and Safety"
1851;"02-21-2019";145.5;"Failure of staff members of a licensed Facility to ensure that each child’s diaper or training pant is checked for wetness and feces at least hourly and whenever the child indicates discomfort or exhibits behavior which suggests a wet or soiled diaper. A Licensee shall ensure that upon learning that diapers and training pants are wet or soiled, that they are changed.";"02-22-2019";"General Health and Safety"
1851;"01-05-2018";121.2;"Failure to ensure minimum adult-to-child ratios shall be met at all times, including non-peak hours, during nap or rest periods, and in vehicles during transport";"01-05-2018";"General Health and Safety"
2039;"12-17-2019";128.1;"Failure of a Licensee to immediately notify OSSE of any unusual incident that may adversely affect the health, safety, or welfare of any enrolled child or children by submitting a completed OSSE Unusual Incident Report form to OSSE’s Child Care Complaint email address.";"12-20-2019";"Administrative"
2039;"01-08-2018";124.2;"Failure of a Licensee to ensure that the temperature within each room of program space shall be maintained at between sixty-eight degrees Fahrenheit (68°F) and seventy-five degrees Fahrenheit (75°F) from October through March, and between sixty-eight degrees Fahrenheit (68°F) and eighty-two degrees Fahrenheit (82°F) from April through September.";"01-09-2018";"General Health and Safety"
2095;"10-04-2018";122.19;"Failure of a Licensee to ensure that the Facility’s premises remain clear of insects, rodents, and other pests and excrement of insects, rodents, and other pests";"10-11-2018";"Environmental"
2095;"05-24-2018";110.2;"If a Facility undergoes any of the listed changes in operation without the change being planned in advance, the Licensee shall notify OSSE, in writing, within twenty-four (24) hours of the change occurring";"05-25-2018";"Administrative"
2095;"01-02-2018";124.2;"Failure of a Licensee to ensure that the temperature within each room of program space shall be maintained at between sixty-eight degrees Fahrenheit (68°F) and seventy-five degrees Fahrenheit (75°F) from October through March, and between sixty-eight degrees Fahrenheit (68°F) and eighty-two degrees Fahrenheit (82°F) from April through September.";"01-03-2018";"Environmental"
2095;"12-28-2017";124.2;"Failure of a Licensee to ensure that the temperature within each room of program space shall be maintained at between sixty-eight degrees Fahrenheit (68°F) and seventy-five degrees Fahrenheit (75°F) from October through March, and between sixty-eight degrees Fahrenheit (68°F) and eighty-two degrees Fahrenheit (82°F) from April through September.";"01-03-2018";"Environmental"
2097;"03-20-2019";124.1;"Failure of a Licensee to ensure that interior space designated for the use of children is available to children when the center is in operation and is arranged to allow each child adequate space for free movement and active play";"03-20-2019";"General Health and Safety"
2097;"07-03-2018";124.2;"Failure of a Licensee to ensure that the temperature within each room of program space shall be maintained at between sixty-eight degrees Fahrenheit (68°F) and seventy-five degrees Fahrenheit (75°F) from October through March, and between sixty-eight degrees Fahrenheit (68°F) and eighty-two degrees Fahrenheit (82°F) from April through September.";"07-05-2018";"General Health and Safety"
2252;"11-27-2019";128.1;"Failure of a Licensee to immediately notify OSSE of any unusual incident that may adversely affect the health, safety, or welfare of any enrolled child or children by submitting a completed OSSE Unusual Incident Report form to OSSE’s Child Care Complaint email address.";"12-15-2019";"Administrative"
2252;"02-27-2019";165.1;"Failure of a Licensee to ensure that a Teacher in a Child Development Center is at least eighteen (18) years of age and shall either: (a) Have earned, an associate’s or more advanced degree from an institution accredited by an agency recognized by the U.S. Secretary of Education or the Council for Higher Education Accreditation, with a major in early childhood education, early childhood development, child and family studies, or a closely related field; (b) Have earned an associate’s or more advanced degree from an institution accredited by an agency recognized by the U.S. Secretary of Education or the Council for Higher Education Accreditation, with a major in a field other than early childhood education, early childhood development, or child and family studies, earned at least twenty-four (24) semester credit hours, or its recognized equivalent, from an institution accredited by an agency recognized by the U.S. Secretary of Education or the Council for Higher Education Accreditation in early childhood education, early childhood development, child and family studies, or a closely related field, and have at least one (1) year of supervised occupational experience working with children in a licensed District of Columbia Child Development Center or its equivalent in another jurisdiction; (c) Have earned at least forty-eight (48) semester credit hours, or its recognized equivalent, from an institution accredited by an agency recognized by the U.S. Secretary of Education or the Council for Higher Education Accreditation, of which fifteen (15) semester hours, or its recognized equivalent, shall be in early childhood education, early childhood development, or child and family studies, and has at least at least two (2) years of supervised occupational experience working with children in a licensed District of Columbia Child Development Center or its equivalent in another jurisdiction; provided that he or she earns an associate’s degree as described in (a) or (b) within four (4) years of the effective date of these regulations; (d) Have earned a high school diploma or its equivalent and a current Child Development Associate (CDA) credential, which specifies that the individual is qualified for the assigned age classification; provided that he or she earns an associate’s degree in compliance with (a) or (b) within four (4) years of the effective date of these regulations; or (e) For a Montessori school teacher, have earned an associate’s degree from an institution accredited by an agency recognized by the U.S. Secretary of Education or the Council for Higher Education Accreditation, and a Montessori certificate issued by the National Center for Montessori Education, American Montessori Society, or the Association Montessori International, or a program accredited by the Montessori Accreditation Commission for Teacher Education.";"03-07-2019";"Administrative"
2252;"07-18-2018";128.1;"Failure of a Licensee to immediately notify OSSE of any unusual incident that may adversely affect the health, safety, or welfare of any enrolled child or children by submitting a completed OSSE Unusual Incident Report form to OSSE’s Child Care Complaint email address.";"07-27-2018";"Administrative"
2252;"12-19-2017";132.2;"Failure of a Licensee to maintain the suitability of a current or prospective staff member being assessed through completion of: (a) Criminal background check that includes: (1) A Federal Bureau of Investigation fingerprint check using Next Generation Identification; (2) A search of the National Crime Information Center&#39;s National Sex Offender Registry; and (3) A search of the following registries, repositories, or databases in the State (which, for the purpose of this section, includes the District of Columbia) where the child care staff member resides and each State where such staff member resided during the preceding five years: (A) State criminal registry or repository, with the use of fingerprints being required in the State where the staff member resides, and optional in other States; (B) State sex offender registry or repository; and (C) State-based child abuse and neglect registry and database; (b) A drug and alcohol testing program consistent with this chapter and Section 2032(a) of CYSHA (D.C. Law 15-353; D.C. Official Code § 1-620.32(a)); and (c) Traffic records check through the District of Columbia Department of Motor Vehicles, if a current or prospective staff member will also be required to drive a motor vehicle to transport children in the course of performing his or her duties.";"12-26-2017";"Administrative"
2252;"12-19-2017";136.16;"Failure of a Licensee to conduct a pre-employment drug and alcohol test after a conditional offer of employment is made, but before the appointee&#39;s effective date of appointment.";"12-26-2017";"Administrative"
2252;"12-19-2017";137.1;"Failure of a Licensee’s staff members to complete a physical examination by a licensed health care practitioner at least annually, and obtain written and signed documentation from the examining practitioner.";"12-26-2017";"Administrative"
2660;"11-15-2019";122.19;"Failure of a Licensee to ensure that the Facility’s premises remain clear of insects, rodents, and other pests and excrement of insects, rodents, and other pests";"11-18-2019";"General Health and Safety"
2547;"03-16-2018";141.4;"Failure of a Licensee to ensure that positive behavior support or discipline shall not include any of the following methods of discipline and the use of any of them by the Licensee, and the staff members, is prohibited: (a) Physical harm, including but not limited to, punching, pinching, shaking, shoving, pushing, spanking, striking, kicking, biting, yanking, strangling, kneeing, poking, or plucking; (b) Fear, shaming, intimidation, or humiliation; (c) Derogatory remarks or profane language; (d) Confinement in a locked room or an enclosed area where a child cannot be seen or supervised by Facility staff; (e) Force feeding against a child’s will; (f) Withholding of food, water, rest, toilet use, outdoor activities, or outdoor play; or (g) Physical or chemical restraints.";"04-20-2018";"General Health and Safety"
1764;"07-23-2019";141.4;"Failure of a Licensee to ensure that positive behavior support or discipline shall not include any of the following methods of discipline and the use of any of them by the Licensee, and the staff members, is prohibited: (a) Physical harm, including but not limited to, punching, pinching, shaking, shoving, pushing, spanking, striking, kicking, biting, yanking, strangling, kneeing, poking, or plucking; (b) Fear, shaming, intimidation, or humiliation; (c) Derogatory remarks or profane language; (d) Confinement in a locked room or an enclosed area where a child cannot be seen or supervised by Facility staff; (e) Force feeding against a child’s will; (f) Withholding of food, water, rest, toilet use, outdoor activities, or outdoor play; or (g) Physical or chemical restraints.";"08-26-2019";"General Health and Safety"
1764;"06-25-2018";128.1;"Failure of a Licensee to immediately notify OSSE of any unusual incident that may adversely affect the health, safety, or welfare of any enrolled child or children by submitting a completed OSSE Unusual Incident Report form to OSSE’s Child Care Complaint email address.";"06-27-2018";"Administrative"
1821;"07-22-2019";121.2;"Failure to ensure minimum adult-to-child ratios shall be met at all times, including non-peak hours, during nap or rest periods, and in vehicles during transport";"07-23-2019";"General Health and Safety"
1821;"03-26-2019";121.2;"Failure to ensure minimum adult-to-child ratios shall be met at all times, including non-peak hours, during nap or rest periods, and in vehicles during transport";"03-27-2019";"General Health and Safety"
1821;"03-15-2019";120.4;"Children shall not be left alone in any room, outdoors, or in vehicles, even momentarily, without staff present";"05-27-2019";"General Health and Safety"
1821;"02-25-2019";"121.3(a)";"Failure of a licensed Child Development Facility (“Licensee”) to maintain the adult-to-child ratios and group sizes as specified herein: (a) For Child Development Centers serving infants, toddlers, and/or preschoolers:";"02-28-2019";"General Health and Safety"
1821;"01-23-2019";122.19;"Failure of a Licensee to ensure that the Facility’s premises remain clear of insects, rodents, and other pests and excrement of insects, rodents, and other pests";"01-28-2019";"General Health and Safety"
1821;"06-27-2018";122.19;"Failure of a Licensee to ensure that the Facility’s premises remain clear of insects, rodents, and other pests and excrement of insects, rodents, and other pests";"06-28-2018";"General Health and Safety"
1821;"06-22-2018";165.1;"Failure of a Licensee to ensure that a Teacher in a Child Development Center is at least eighteen (18) years of age and shall either: (a) Have earned, an associate’s or more advanced degree from an institution accredited by an agency recognized by the U.S. Secretary of Education or the Council for Higher Education Accreditation, with a major in early childhood education, early childhood development, child and family studies, or a closely related field; (b) Have earned an associate’s or more advanced degree from an institution accredited by an agency recognized by the U.S. Secretary of Education or the Council for Higher Education Accreditation, with a major in a field other than early childhood education, early childhood development, or child and family studies, earned at least twenty-four (24) semester credit hours, or its recognized equivalent, from an institution accredited by an agency recognized by the U.S. Secretary of Education or the Council for Higher Education Accreditation in early childhood education, early childhood development, child and family studies, or a closely related field, and have at least one (1) year of supervised occupational experience working with children in a licensed District of Columbia Child Development Center or its equivalent in another jurisdiction; (c) Have earned at least forty-eight (48) semester credit hours, or its recognized equivalent, from an institution accredited by an agency recognized by the U.S. Secretary of Education or the Council for Higher Education Accreditation, of which fifteen (15) semester hours, or its recognized equivalent, shall be in early childhood education, early childhood development, or child and family studies, and has at least at least two (2) years of supervised occupational experience working with children in a licensed District of Columbia Child Development Center or its equivalent in another jurisdiction; provided that he or she earns an associate’s degree as described in (a) or (b) within four (4) years of the effective date of these regulations; (d) Have earned a high school diploma or its equivalent and a current Child Development Associate (CDA) credential, which specifies that the individual is qualified for the assigned age classification; provided that he or she earns an associate’s degree in compliance with (a) or (b) within four (4) years of the effective date of these regulations; or (e) For a Montessori school teacher, have earned an associate’s degree from an institution accredited by an agency recognized by the U.S. Secretary of Education or the Council for Higher Education Accreditation, and a Montessori certificate issued by the National Center for Montessori Education, American Montessori Society, or the Association Montessori International, or a program accredited by the Montessori Accreditation Commission for Teacher Education.";"06-22-2018";"Administrative"
2540;"10-22-2018";122.19;"Failure of a Licensee to ensure that the Facility’s premises remain clear of insects, rodents, and other pests and excrement of insects, rodents, and other pests";"10-26-2018";"General Health and Safety"
2540;"10-22-2018";126.9;"Failure of a Licensee to remove and repair, or discard all furniture, equipment, and materials that are not usable because they are broken or hazardous";"10-26-2018";"General Health and Safety"
2540;"05-08-2018";122.19;"Failure of a Licensee to ensure that the Facility’s premises remain clear of insects, rodents, and other pests and excrement of insects, rodents, and other pests";"05-08-2018";"General Health and Safety"
2199;"03-06-2019";165.1;"Failure of a Licensee to ensure that a Teacher in a Child Development Center is at least eighteen (18) years of age and shall either: (a) Have earned, an associate’s or more advanced degree from an institution accredited by an agency recognized by the U.S. Secretary of Education or the Council for Higher Education Accreditation, with a major in early childhood education, early childhood development, child and family studies, or a closely related field; (b) Have earned an associate’s or more advanced degree from an institution accredited by an agency recognized by the U.S. Secretary of Education or the Council for Higher Education Accreditation, with a major in a field other than early childhood education, early childhood development, or child and family studies, earned at least twenty-four (24) semester credit hours, or its recognized equivalent, from an institution accredited by an agency recognized by the U.S. Secretary of Education or the Council for Higher Education Accreditation in early childhood education, early childhood development, child and family studies, or a closely related field, and have at least one (1) year of supervised occupational experience working with children in a licensed District of Columbia Child Development Center or its equivalent in another jurisdiction; (c) Have earned at least forty-eight (48) semester credit hours, or its recognized equivalent, from an institution accredited by an agency recognized by the U.S. Secretary of Education or the Council for Higher Education Accreditation, of which fifteen (15) semester hours, or its recognized equivalent, shall be in early childhood education, early childhood development, or child and family studies, and has at least at least two (2) years of supervised occupational experience working with children in a licensed District of Columbia Child Development Center or its equivalent in another jurisdiction; provided that he or she earns an associate’s degree as described in (a) or (b) within four (4) years of the effective date of these regulations; (d) Have earned a high school diploma or its equivalent and a current Child Development Associate (CDA) credential, which specifies that the individual is qualified for the assigned age classification; provided that he or she earns an associate’s degree in compliance with (a) or (b) within four (4) years of the effective date of these regulations; or (e) For a Montessori school teacher, have earned an associate’s degree from an institution accredited by an agency recognized by the U.S. Secretary of Education or the Council for Higher Education Accreditation, and a Montessori certificate issued by the National Center for Montessori Education, American Montessori Society, or the Association Montessori International, or a program accredited by the Montessori Accreditation Commission for Teacher Education.";"03-07-2019";"Administrative"
2557;"02-02-2018";121.2;"Failure to ensure minimum adult-to-child ratios shall be met at all times, including non-peak hours, during nap or rest periods, and in vehicles during transport";"02-02-2018";"General Health and Safety"
2037;"06-04-2019";124.6;"Failure of a Licensee to ensure that all floors, walls, and ceilings are in good repair and easy to clean when soiled. Only smooth, nonporous surfaces shall be permitted in areas that are likely to be contaminated by body fluids including, without limitation, lavatories and toilets, and areas used for food preparation or consumption or diaper changing";"06-05-2019";"General Health and Safety"
2037;"06-04-2019";126.9;"Failure of a Licensee to remove and repair, or discard all furniture, equipment, and materials that are not usable because they are broken or hazardous";"06-05-2019";"General Health and Safety"
2037;"06-18-2018";131.1;"Failure of a Licensee to maintain in the form provided by or approved by OSSE, at the Facility premises, and provide to OSSE upon request, the following : (a) The full name, gender, date of birth, home address, home phone number, cell phone number, and current photograph; (b) Position title and job description; (c) Documentation and results of criminal and background history checks conducted in accordance with this chapter and with all other applicable Federal and District of Columbia laws and regulations; (d) The most recent resume provided by the employee, copies of letters of reference, and copies of required degrees, credentials, or official transcripts demonstrating such attainment; (e) Verification that the employee completed an orientation reviewing the Facility’s policies and procedures and the employee’s duties and responsibilities; (f) An ongoing record of professional development and earned continuing education units; (g) Evidence of completion or certification of all health and safety training requirements set forth in Section 139 (Staff Member Requirements: Professional Development); and (h) Date of appointment to, or withdrawal from, any position at the Facility.";"06-18-2018";"Administrative"
2037;"06-18-2018";132.2;"Failure of a Licensee to maintain the suitability of a current or prospective staff member being assessed through completion of: (a) Criminal background check that includes: (1) A Federal Bureau of Investigation fingerprint check using Next Generation Identification; (2) A search of the National Crime Information Center&#39;s National Sex Offender Registry; and (3) A search of the following registries, repositories, or databases in the State (which, for the purpose of this section, includes the District of Columbia) where the child care staff member resides and each State where such staff member resided during the preceding five years: (A) State criminal registry or repository, with the use of fingerprints being required in the State where the staff member resides, and optional in other States; (B) State sex offender registry or repository; and (C) State-based child abuse and neglect registry and database; (b) A drug and alcohol testing program consistent with this chapter and Section 2032(a) of CYSHA (D.C. Law 15-353; D.C. Official Code § 1-620.32(a)); and (c) Traffic records check through the District of Columbia Department of Motor Vehicles, if a current or prospective staff member will also be required to drive a motor vehicle to transport children in the course of performing his or her duties.";"06-18-2018";"Administrative"
2037;"06-18-2018";133.1;"Failure of a Licensee to comply with the requirements set forth in this Sections 133 and 135 related to criminal background checks for any individual: (a) Who is employed by a Facility for compensation, including a contract employee or self-employed individual; or (b) Whose activities involve the care or supervision of children at a Facility or unsupervised access to children who are cared for or supervised at a Facility";"06-18-2018";"Administrative"
2176;"03-16-2018";126.2;"Failure of a Licensee to ensure that materials, equipment, and supplies accessible to children is age appropriate, safe, in good repair, clean, and non-toxic, and shall be accessible to and appropriate for children with special needs, if the Facility provides care to such children";"03-19-2018";"General Health and Safety"
2176;"03-16-2018";126.3;"Failure of a Licensee to ensure that all playthings, equipment, supplies, furnishings, and other materials provided by a Licensee for use by children shall meet the standards of the Consumer Product Safety Commission and the American Society for Testing and Materials, and shall: (a) Be sturdy enough that they will not splinter; (b) Not have sharp points or rough edges; (c) Have lead-free, non-toxic paint or finishes; (d) Be washable, regularly washed, and maintained in good repair; and (e) Comply with Federal standards regarding small toys and objects for use by children";"03-19-2018";"General Health and Safety"
2641;"04-25-2019";139.1;"Failure of a Licensee to maintain, and make available for inspection by OSSE upon request, adequate documentation of each staff member’s completion of the required pre-service training, orientation training, and professional development. Acceptable documentation shall include one (1) or more of the following: (a) A transcript from an institution accredited by the U.S. Department of Education or the Council for Higher Education Accreditation; (b) Certification of participation from a training source approved by OSSE; (c) Written documentation verifying completion of training in First Aid for children, Cardiopulmonary Resuscitation (CPR) for children, or common childhood illnesses, from acceptable sponsoring entities, including the American Red Cross, the American Heart Association, the National Safety Council, and other similarly recognized organizations; or (d) A signed and dated statement from the trainer, on a form approved by OSSE, verifying the staff member’s participation in a training program conducted by a trainer licensed, certified, or otherwise approved by OSSE.";"06-11-2019";"Administrative"
1752;"03-12-2018";124.2;"Failure of a Licensee to ensure that the temperature within each room of program space shall be maintained at between sixty-eight degrees Fahrenheit (68°F) and seventy-five degrees Fahrenheit (75°F) from October through March, and between sixty-eight degrees Fahrenheit (68°F) and eighty-two degrees Fahrenheit (82°F) from April through September.";"03-13-2018";"General Health and Safety"
2366;"07-17-2019";"121.3a";"Failure of a licensed Child Development Facility (“Licensee”) to maintain the adult-to-child ratios and group sizes as specified herein: (c) For Child Development Homes and Expanded Homes serving infants, toddlers, and/or preschoolers, and providing out-of-school-time care to school age children(:";"07-19-2019";"General Health and Safety"
2194;"12-04-2018";121.2;"Failure to ensure minimum adult-to-child ratios shall be met at all times, including non-peak hours, during nap or rest periods, and in vehicles during transport";"12-05-2018";"General Health and Safety"
2194;"04-17-2018";165.1;"Failure of a Licensee to ensure that a Teacher in a Child Development Center is at least eighteen (18) years of age and shall either: (a) Have earned, an associate’s or more advanced degree from an institution accredited by an agency recognized by the U.S. Secretary of Education or the Council for Higher Education Accreditation, with a major in early childhood education, early childhood development, child and family studies, or a closely related field; (b) Have earned an associate’s or more advanced degree from an institution accredited by an agency recognized by the U.S. Secretary of Education or the Council for Higher Education Accreditation, with a major in a field other than early childhood education, early childhood development, or child and family studies, earned at least twenty-four (24) semester credit hours, or its recognized equivalent, from an institution accredited by an agency recognized by the U.S. Secretary of Education or the Council for Higher Education Accreditation in early childhood education, early childhood development, child and family studies, or a closely related field, and have at least one (1) year of supervised occupational experience working with children in a licensed District of Columbia Child Development Center or its equivalent in another jurisdiction; (c) Have earned at least forty-eight (48) semester credit hours, or its recognized equivalent, from an institution accredited by an agency recognized by the U.S. Secretary of Education or the Council for Higher Education Accreditation, of which fifteen (15) semester hours, or its recognized equivalent, shall be in early childhood education, early childhood development, or child and family studies, and has at least at least two (2) years of supervised occupational experience working with children in a licensed District of Columbia Child Development Center or its equivalent in another jurisdiction; provided that he or she earns an associate’s degree as described in (a) or (b) within four (4) years of the effective date of these regulations; (d) Have earned a high school diploma or its equivalent and a current Child Development Associate (CDA) credential, which specifies that the individual is qualified for the assigned age classification; provided that he or she earns an associate’s degree in compliance with (a) or (b) within four (4) years of the effective date of these regulations; or (e) For a Montessori school teacher, have earned an associate’s degree from an institution accredited by an agency recognized by the U.S. Secretary of Education or the Council for Higher Education Accreditation, and a Montessori certificate issued by the National Center for Montessori Education, American Montessori Society, or the Association Montessori International, or a program accredited by the Montessori Accreditation Commission for Teacher Education.";"10-01-2018";"Administrative"
2069;"08-27-2019";158.15;"Failure of a Licensee to ensure that each child transported in a motor vehicle while under the care of the Facility is properly restrained in an approved child safety restraint system or a seat belt, as required by applicable District of Columbia laws and regulations.";"08-29-2019";"General Health and Safety"
2069;"08-27-2019";158.6;"Failure of a Licensee that rents, owns, operates, or maintains one or more motor vehicles used for transporting children to label the exterior of each such vehicle, with the Facility’s licensed name and phone number.";"08-29-2019";"General Health and Safety"
2069;"05-24-2019";127.1;"Failure of a Licensee to establish and maintain respectful and professional communication with the parent(s) or guardian(s) of children enrolled.";"06-11-2019";"Administrative"
2069;"09-05-2018";128.1;"Failure of a Licensee to immediately notify OSSE of any unusual incident that may adversely affect the health, safety, or welfare of any enrolled child or children by submitting a completed OSSE Unusual Incident Report form to OSSE’s Child Care Complaint email address.";"09-07-2018";"Administrative"
2671;"09-20-2019";120.1;"Failure to supervise children while at the Facility by responsible staff and volunteers who can see and hear the children supervised at all times including but not limited to when they are napping or sleeping, on the playground, on field trips, on vehicular and non-vehicular excursions, and during all water activities and water play activities";"09-24-2019";"General Health and Safety"
2451;"05-18-2018";142.4;"Failure of a Licensee to ensure that no person, including staff, residents, and visitors to the Facility, smokes or uses tobacco products at the Facility when enrolled children are present.";"05-23-2018";"General Health and Safety"
1745;"12-06-2018";127.1;"Failure of a Licensee to establish and maintain respectful and professional communication with the parent(s) or guardian(s) of children enrolled.";"12-10-2018";"Administrative"
1745;"12-06-2018";124.2;"Failure of a Licensee to ensure that the temperature within each room of program space shall be maintained at between sixty-eight degrees Fahrenheit (68°F) and seventy-five degrees Fahrenheit (75°F) from October through March, and between sixty-eight degrees Fahrenheit (68°F) and eighty-two degrees Fahrenheit (82°F) from April through September.";"12-10-2018";"General Health and Safety"
