"Facility";"Telephone";"ID";"Status";"Official";"Daytime Hours";"Nighttime Hours";"Daytime Ages";"Nighttime Ages";"Mailing Address";"Address";"City";"State";"Zip";"Licensee";"Mailing Address State";"Mailing Address City";"Mailing Address Zip";"DetailsURL";"Type of Care";"Star Rating";"Rating Expiration";"Accr Code";"Accreditations";"Accr Exp Date";"County"
"LAMAR COUNTY HEAD/EARLY HEAD START";"(205)695-6588";1123;"Licensed";"DONNA JACKSON - Director";"07:00 AM - 05:00 PM";"N/A - N/A";"18 MOS Through 5 YRS";"N/A";"P O BOX 827";"9655 HIGHWAY 18";"VERNON";"AL";35592;"COMMUNITY SERVICE PROGRAMS OF W. AL, INC";"AL";"VERNON";35592;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1123";"Day Care Centers";;;;;;"Lamar"
"NANNY'S KIDS";"(205)662-8026";1811;"Licensed";"SHEILA GILPIN - Director";"06:30 AM - 05:30 PM";"N/A - N/A";"6 WKS Through 15 YRS";"N/A";"12662 HIGHWAY 96";"12662 HIGHWAY 96";"MILLPORT";"AL";35576;"NANNY'S KIDS, INC.";"AL";"MILLPORT";35576;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1811";"Day Care Centers";1;"Daytime Hours: 06:30 AM - 05:30 PM";;;;"Lamar"
"VERNON FIRST BAPTIST CHURCH";"(205)695-6318";2077;"Exempt";"TINA M. HACKMAN - Director";"N/A - N/A";"N/A - N/A";"N/A";"N/A";"PO BOX 430";"9071-HIGHWAY 18";"VERNON";"AL";35592;"VERNON FIRST BAPTIST CHURCH";"AL";"VERNON";35592;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=2077";"Day Care Centers";;;;;;"Lamar"
"VICKEY BLAYLOCK'S DAYCARE";"(205)712-3398";591;"Licensed";"VICKEY BLAYLOCK - Director";"06:30 AM - 05:00 PM";"N/A - N/A";"7 DYS Through 12 YRS";"N/A";"P.O. BOX 38";"150 FLYNN STREET";"SULLIGENT";"AL";35586;"VICKEY BLAYLOCK";"AL";"SULLIGENT";35586;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=591";"Family Child Care Homes";;;;;;"Lamar"
"CAROL BRADFORD/CAROL'S KIDS";"(205)712-0039";1455;"Licensed";"CAROL BRADFORD - Director";"06:30 AM - 05:30 PM";"N/A - N/A";"6 WKS Through 14 YRS";"N/A";"1354 12TH STREET NW";"1354 12TH STREET NW";"VERNON";"AL";35592;"CAROL BRADFORD";"AL";"VERNON";35592;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1455";"Group Child Care Homes";1;"Daytime Hours: 06:30 AM - 05:30 PM";;;;"Lamar"
"DOODLEBUGS";"(205)695-8383";471;"Licensed";"TIFFINEY STANFORD - Director";"06:00 AM - 05:30 PM";"N/A - N/A";"6 WKS Through 13 YRS";"N/A";"506 WEBSTER CIRCLE";"506 WEBSTER CIRCLE";"VERNON";"AL";35592;"TIFFINEY R. STANFORD";"AL";"VERNON";35592;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=471";"Group Child Care Homes";;;;;;"Lamar"
"MS. STEPH'S DAY CARE";"(205)712-1104";689;"Licensed";"STEPHANIE EGGER - Director";"06:30 AM - 05:30 PM";"N/A - N/A";"0 WKS Through 14 YRS";"N/A";"681 TREE FARM RD.";"681 TREE FARM RD.";"SULLIGENT";"AL";35586;"STEPHANIE EGGER";"AL";"SULLIGENT";35586;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=689";"Group Child Care Homes";;;;;;"Lamar"
"ROWENA SMITH/ ROWENA'S DAY CARE";"(205)695-7602";728;"Licensed";"ROWENA SMITH - Director";"05:30 AM - 05:00 PM";"N/A - N/A";"4 WKS Through 18 YRS";"N/A";"3802 ABERDEEN ROAD";"3802 ABERDEEN ROAD";"VERNON";"AL";35592;"ROWENA SMITH";"AL";"VERNON";35592;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=728";"Group Child Care Homes";;;;;;"Lamar"
"ALL ABOUT ME, L.L.C.";"(256)247-7816";165;"Licensed";"DONNA MATTHEWS - Director";"06:00 AM - 06:00 PM";"N/A - N/A";"6 WKS Through 13 YRS";"N/A";"1849 LEE ST";"1849 LEE STREET";"ROGERSVILLE";"AL";35652;"ALL ABOUT ME, L.L.C.";"AL";"ROGERSVILLE";35652;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=165";"Day Care Centers";1;"Daytime Hours: 06:00 AM - 06:00 PM";;;;"Lauderdale"
"EKKLESIA PRESCHOOL & CDC 2ND LOCATION";"(256)284-7705";1407;"Licensed";"KATENIA FITZGERALD - Director";"05:30 AM - 05:30 PM";"N/A - N/A";"6 WKS Through 18 YRS";"N/A";"3007 HATCH BLVD";"401 WEST COLLEGE STREET";"FLORENCE";"AL";35630;"EKKLESIA MB CHURCH";"AL";"SHEFFIELD";35660;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1407";"Day Care Centers";1;"Daytime Hours: 05:30 AM - 05:30 PM";;;;"Lauderdale"
"FIRST FREE WILL BAPTIST CHURCH";"(256)764-3591";2082;"Exempt";"LISA HUNT - Director";"N/A - N/A";"N/A - N/A";"N/A";"N/A";"2701 FLORENCE BLVD.";"2701 FLORENCE BLVD.";"FLORENCE";"AL";35630;"FIRST FREE WILL BAPTIST CHURCH";"AL";"FLORENCE";35630;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=2082";"Day Care Centers";;;;;;"Lauderdale"
"FIRST UNITED METHODIST CHURCH DAY SCHOOL";"(256)766-2472";958;"Licensed";"COURTNEY ROHLING - Director";"07:30 AM - 05:15 PM";"N/A - N/A";"6 WKS Through 12 YRS";"N/A";"415 N. SEMINARY ST";"415 N. SEMINARY ST";"FLORENCE";"AL";35630;"FIRST UNITED METHODIST CHURCH DAY SCHOOL";"AL";"FLORENCE";35630;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=958";"Day Care Centers";;;;;;"Lauderdale"
"FLORENCE FIRST ASSEMBLY OF GOD";"(256)764-0565";2079;"Exempt";"DIANE WILLIS - Director";"N/A - N/A";"N/A - N/A";"N/A";"N/A";"3610 HELTON DR";"3610 HELTON DR";"FLORENCE";"AL";35630;"FLORENCE FIRST ASSEMBLY OF GOD";"AL";"FLORENCE";35630;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=2079";"Day Care Centers";;;;;;"Lauderdale"
"FOCUS SCOPE CHILD ENRICHMENT CENTER";"(256)275-7678";27;"Licensed";"CAMILLE BENNETT - Director";"07:30 AM - 05:30 PM";"N/A - N/A";"3 YRS Through 12 YRS";"N/A";"1106 N WOOD AVE";"1106 N WOOD AVE";"FLORENCE";"AL";35630;"CAMILLE BENNETT";"AL";"FLORENCE";35630;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=27";"Day Care Centers";1;"Daytime Hours: 07:30 AM - 05:30 PM";;;;"Lauderdale"
"FOCUS SCOPE CHILD ENRICHMENT CTR. #2";"(256)275-7733";26;"Licensed";"CAMILLE BENNETT - Director";"06:00 AM - 06:00 PM";"N/A - N/A";"6 WKS Through 5 YRS";"N/A";"1002 BEALE ST";"1002 BEALE ST";"FLORENCE";"AL";35630;"LIVING SPIRIT CHURCH SITE 2";"AL";"FLORENCE";35630;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=26";"Day Care Centers";1;"Daytime Hours: 06:00 AM - 06:00 PM";;;;"Lauderdale"
"FOCUS SCOPE SITE 3";"(256)712-5699";28;"Licensed";"CAMILLE BENNETT - Director";"06:00 AM - 05:30 PM";"N/A - N/A";"6 WKS Through 3 YRS";"N/A";"305 NANCE STREET";"305 NANCE STREET";"FLORENCE";"AL";35630;"CAMILLE BENNETT";"AL";"FLORENCE";35630;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=28";"Day Care Centers";1;"Daytime Hours: 06:00 AM - 05:30 PM";;;;"Lauderdale"
"KID'S CLUB";"(256)768-0088";1823;"Licensed";"TIMOTHY MEARES - Director";"05:30 AM - 06:00 PM";"N/A - N/A";"3 WKS Through 12 YRS";"N/A";"1201 HERMITAGE DRIVE";"1201 HERMITAGE DRIVE";"FLORENCE";"AL";35630;"TIMOTHY MEARES";"AL";"FLORENCE";35630;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1823";"Day Care Centers";;;;;;"Lauderdale"
"KIDZ CAMP";"(256)272-5060";1573;"Licensed";"AMANDA ROBERTSON - Director";"06:00 AM - 06:00 PM";"N/A - N/A";"6 WKS Through 14 YRS";"N/A";"1256 HWY 43";"1256 HWY 43";"KILLEN";"AL";35645;"AMANDA ROBERTSON";"AL";"KILLEN";35645;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1573";"Day Care Centers";1;"Daytime Hours: 06:00 AM - 06:00 PM";;;;"Lauderdale"
"LAUDERDALE COUNTY EARLY LEARNING CENTER";"(256)964-6611";1069;"Licensed";"ASHLEY BORDEN - Director";"07:30 AM - 03:30 PM";"N/A - N/A";"0 DYS Through 5 YRS";"N/A";"1909 CENTRAL PRKWY SW";"1410 GLORY WAY";"FLORENCE";"AL";35633;"COMMUNITY ACTION PARTNERSHIP OF NA, INC";"AL";"DECATUR";35601;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1069";"Day Care Centers";;;;;;"Lauderdale"
"LITTLE ANGEL DAY SCHOOL INC";"(256)766-4483";1208;"Licensed";"JOHN MARK SAIN - Director";"06:00 AM - 06:00 PM";"N/A - N/A";"6 WKS Through 13 YRS";"N/A";"P. O. BOX 875";"1125 SHERROD AVENUE";"FLORENCE";"AL";35630;"LITTLE ANGEL DAY SCHOOL INC";"AL";"FLORENCE";35631;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1208";"Day Care Centers";1;"Daytime Hours: 06:00 AM - 06:00 PM";;;;"Lauderdale"
"LITTLE LAMBS";"(256)412-3226";1170;"Licensed";"AMBER SMITH - Director";"05:00 AM - 06:00 PM";"N/A - N/A";"6 WKS Through 12 YRS";"N/A";"51 TURNER LINDSEY LANE";"51 TURNER LINDSEY LANE";"ROGERSVILLE";"AL";35652;"LITTLE LAMBS OF ROGERSVILLE UMC";"AL";"ROGERSVILLE";35652;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1170";"Day Care Centers";1;"Daytime Hours: 05:00 AM - 06:00 PM";;;;"Lauderdale"
"LITTLE MIRACLE CHILD CARE CENTER";"(256)767-0028";24;"Licensed";"VERLEAN OAKLEY - Director";"05:00 AM - 06:00 PM";"N/A - N/A";"6 WKS Through 14 YRS";"N/A";"424 NORTH LOCUST STREET";"424 NORTH LOCUST STREET";"FLORENCE";"AL";35630;"VERLEAN OAKLEY";"AL";"FLORENCE";35630;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=24";"Day Care Centers";1;"Daytime Hours: 05:00 AM - 06:00 PM";;;;"Lauderdale"
"LITTLE PEOPLES NURSERY SCHOOL";"(256)757-4498";1141;"Licensed";"GAIL JOHNSON - Director";"06:00 AM - 06:00 PM";"N/A - N/A";"5 WKS Through 12 YRS";"N/A";"509 ALABAMA STREET";"509 ALABAMA STREET";"KILLEN";"AL";35645;"LITTLE PEOPLE'S NURSERY SCHOOL, INC.";"AL";"KILLEN";35645;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1141";"Day Care Centers";1;"Daytime Hours: 06:00 AM - 06:00 PM";;;;"Lauderdale"
"MARS HILL BIBLE SCHOOL FLORENCE";"(256)767-1273";2080;"Exempt";"RACHEL CHANDLER - Director";"N/A - N/A";"N/A - N/A";"N/A";"N/A";"698 COX CREEK PKWY";"698 COX CREEK PKWY";"FLORENCE";"AL";35630;"MARS HILL BIBLE SCHOOL FLORENCE";"AL";"FLORENCE";35630;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=2080";"Day Care Centers";;;;;;"Lauderdale"
"MAUD LINDSAY ACADEMY";"(256)349-5083";1789;"Licensed";"AMANDA ROBERTSON - Director";"06:00 AM - 07:00 PM";"07:00 PM - 07:30 PM";"2 1/2 YRS Through 10 YRS";"2 1/2 YRS Through 10 YRS";"227 ENTERPRISE STREET";"227 ENTERPRISE STREET";"FLORENCE";"AL";35630;"AMANDA ROBERTSON";"AL";"FLORENCE";35630;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1789";"Day Care Centers";1;"Daytime Hours: 06:00 AM - 07:00 PM";;;;"Lauderdale"
"PLAY WORLD CHILD CARE LEARNING CENTER";"(256)767-2251";1207;"Licensed";"JOHN MARK SAIN - Director";"06:00 AM - 06:00 PM";"N/A - N/A";"6 WKS Through 13 YRS";"N/A";"P. O. BOX 875";"721 GRESHAM ROAD";"FLORENCE";"AL";35630;"LITTLE ANGEL DAY SCHOOL, INC";"AL";"FLORENCE";35631;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1207";"Day Care Centers";1;"Daytime Hours: 06:00 AM - 06:00 PM";;;;"Lauderdale"
"RIVERHILL SCHOOL";"(256)764-8200";1149;"Licensed";"DAYE WINSETT - Director";"07:30 AM - 05:30 PM";"N/A - N/A";"18 MOS Through 12 YRS";"N/A";"2710 DARBY DRIVE";"2710 DARBY DRIVE";"FLORENCE";"AL";35630;"RIVERHILL SCHOOL";"AL";"FLORENCE";35630;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1149";"Day Care Centers";;;;;;"Lauderdale"
"SHOALS CHRISTIAN SCHOOL";"(256)767-7070";2081;"Exempt";"BARBARA ATKINS - Director";"N/A - N/A";"N/A - N/A";"N/A";"N/A";"301 HEATHROW DRIVE";"3003 CLOVERDALE ROAD SUITES A AND B";"FLORENCE";"AL";35633;"SHOALS CHRISTIAN SCHOOL";"AL";"FLORENCE";35633;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=2081";"Day Care Centers";;;;;;"Lauderdale"
"SONSHINE MINISTRIES";"(256)764-1988";1138;"Licensed";"MARY TURNER - Director";"07:00 AM - 06:00 PM";"N/A - N/A";"6 WKS Through 11 YRS";"N/A";"457 COUNTY ROAD 7";"457 COUNTY ROAD 7";"FLORENCE";"AL";35633;"SONSHINE MINISTRIES OF ST. JOHN UMC";"AL";"FLORENCE";35633;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1138";"Day Care Centers";1;"Daytime Hours: 07:00 AM - 06:00 PM";;;;"Lauderdale"
"ST. JOSEPH REGIONAL CATHOLIC SCHOOL";"(256)766-1923";1091;"Exempt";"JULIE VAN VECKHOVEN - Director";"N/A - N/A";"N/A - N/A";"N/A";"N/A";"115 PLUM STREET";"115 PLUM STREET";"FLORENCE";"AL";35630;"ST. JOSEPH REGIONAL CATHOLIC SCHOOL";"AL";"FLORENCE";35630;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1091";"Day Care Centers";;;;;;"Lauderdale"
"TINA'S LITTLE ANGELS CHRISTIAN DAY CARE";"(256)272-7111";770;"Licensed";"TINA SWAN BRANCH - Director";"05:30 AM - 07:00 PM";"N/A - N/A";"6 WKS Through 14 YRS";"N/A";"4409 FLORENCE BLVD.";"4409 FLORENCE BLVD.";"FLORENCE";"AL";35634;"REV TINA SWAN-BRANCH";"AL";"FLORENCE";35634;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=770";"Day Care Centers";1;"Daytime Hours: 05:30 AM - 07:00 PM";;;;"Lauderdale"
"VICTORY CHRISTIAN FELLOWSHIP CHURCH";"(256)767-1749";1266;"Exempt";"LORRAINE MCCANEY - Director";"N/A - N/A";"N/A - N/A";"N/A";"N/A";"2302 HOUGH ROAD";"2302 HOUGH ROAD";"FLORENCE";"AL";35630;"VICTORY CHRISTIAN FELLOWSHIP CHURCH";"AL";"FLORENCE";35630;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1266";"Day Care Centers";;;;;;"Lauderdale"
"W.C. HANDY SCHOOL E.C.D.C.";"(256)768-3400";1464;"Licensed";"MICHAEL SOUTH - Director";"06:45 AM - 05:30 PM";"N/A - N/A";"0 YRS Through 5 YRS";"N/A";"1050 PRUITT STREET";"1050 PRUITT STREET";"FLORENCE";"AL";35630;"W.C. HANDY SCHOOL EARLY CHILDHOOD D. CTR";"AL";"FLORENCE";35630;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1464";"Day Care Centers";1;"Daytime Hours: 06:45 AM - 05:30 PM";;;;"Lauderdale"
"WESTMINSTER HEAD START";"(256)606-8078";1067;"Licensed";"CRYSTAL BECKLOFF - Director";"06:00 AM - 03:00 PM";"N/A - N/A";"3 YRS Through 5 YRS";"N/A";"1909 CENTRAL PARKWAY SW";"1520 RICKWOOD ROAD";"FLORENCE";"AL";35630;"CAPNA, INC.";"AL";"DECATUR";35601;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1067";"Day Care Centers";;;;;;"Lauderdale"
"1,2,3 COME GROW WITH ME";"(256)810-1003";1677;"Licensed";"HELEN BARNETT - Director";"05:30 AM - 06:00 PM";"N/A - N/A";"6 WKS Through 10 YRS";"N/A";"2205 ESTALINE DRIVE";"2205 ESTALINE DRIVE";"FLORENCE";"AL";35630;"HELEN BARNETT";"AL";"FLORENCE";35630;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1677";"Family Child Care Homes";1;"Daytime Hours: 05:30 AM - 06:00 PM";;;;"Lauderdale"
"COOPER'S HOME DAYCARE";"(256)764-2532";791;"Licensed";"JANICE COOPER - Director";"06:30 AM - 05:30 PM";"N/A - N/A";"4 WKS Through 12 YRS";"N/A";"310 BUTTON AVENUE";"310 BUTTON AVENUE";"FLORENCE";"AL";35630;"JANICE COOPER";"AL";"FLORENCE";35630;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=791";"Family Child Care Homes";1;"Daytime Hours: 06:30 AM - 05:30 PM";;;;"Lauderdale"
"BRIAR ROSE";"(256)764-6623";582;"Licensed";"MARVINA MUSE - Director";"05:30 AM - 07:00 PM";"07:00 PM - 05:30 AM";"2 WKS Through 12 YRS";"2 WKS Through 12 YRS";"185 COUNTY ROAD 9";"185 COUNTY ROAD 9";"FLORENCE";"AL";35633;"MARVINA MUSE";"AL";"FLORENCE";35633;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=582";"Group Child Care Homes";1;"Daytime Hours: 05:30 AM - 07:00 PM";;;;"Lauderdale"
"DOLLY WORLD CHILD CARE";"(256)443-3941";398;"Licensed";"CYNTHIA LAWSON - Director";"06:30 AM - 06:30 PM";"N/A - N/A";"6 WKS Through 12 YRS";"N/A";"200 DAVIS LANE";"200 DAVIS LANE";"FLORENCE";"AL";35634;"CYNTHIA A LAWSON";"AL";"FLORENCE";35634;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=398";"Group Child Care Homes";1;"Daytime Hours: 06:30 AM - 06:30 PM";;;;"Lauderdale"
"LIDA'S EARLY CHILDHOOD HOME SMALL WONDER";"(256)767-5516";780;"Licensed";"LIDA WILLIAMS - Director";"06:30 AM - 07:00 PM";"07:00 PM - 12:00 AM";"3 MOS Through 12 YRS";"3 MOS Through 12 YRS";"1820 NASSAU BLVD";"1820 NASSAU BLVD";"FLORENCE";"AL";35630;"LIDA WILLIAMS";"AL";"FLORENCE";35630;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=780";"Group Child Care Homes";1;"Daytime Hours: 06:30 AM - 07:00 PM";;;;"Lauderdale"
"MRS. PATTI'S HOME DAY CARE";"(256)764-3789";34;"Licensed";"PATRICIA EZEKIEL - Director";"06:30 AM - 05:30 PM";"N/A - N/A";"6 WKS Through 12 YRS";"N/A";"11956 COUNTY ROAD 15";"11956 COUNTY ROAD 15";"FLORENCE";"AL";35633;"PATRICIA EZEKIEL";"AL";"FLORENCE";35633;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=34";"Group Child Care Homes";1;"Daytime Hours: 06:30 AM - 05:30 PM";;;;"Lauderdale"
"WOOD LAND PLAYCARE";"(256)766-6880";788;"Licensed";"NANCY WOOD - Director";"07:00 AM - 05:00 PM";"N/A - N/A";"7 DYS Through 14 YRS";"N/A";"1617 COUNTY ROAD 200";"1617 COUNTY ROAD 200";"FLORENCE";"AL";35633;"NANCY WOOD";"AL";"FLORENCE";35633;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=788";"Group Child Care Homes";1;"Daytime Hours: 07:00 AM - 05:00 PM";;;;"Lauderdale"
"ANGIE'S TENDER CARE LEARNING CENTER";"(256)974-5055";931;"Licensed";"ANGIE TALLEY - Director";"06:00 AM - 06:00 PM";"N/A - N/A";"6 WKS Through 12 YRS";"N/A";"15375 AL. HWY. 24";"15375 AL. HWY. 24";"MOULTON";"AL";35650;"ANGIE'S TENDER CARE LEARNING CENTER, INC";"AL";"MOULTON";35650;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=931";"Day Care Centers";;;;;;"Lawrence"
"HAZLEWOOD HEAD START";"(256)685-0075";1030;"Licensed";"RENA TERRY - Director";"07:00 AM - 03:00 PM";"N/A - N/A";"3 YRS Through 5 YRS";"N/A";"1909 CENTRAL PARKWAY";"334 HAZLEWOOD STREET";"TOWN CREEK";"AL";35672;"COMM. ACTION PARTNERSHIP OF N. AL., INC.";"AL";"DECATUR";35601;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1030";"Day Care Centers";;;;;;"Lawrence"
"KIDS KOUNT INC";"(256)351-6986";1516;"Licensed";"KAYLA LADYMAN - Director";"05:45 AM - 05:45 PM";"N/A - N/A";"6 WKS Through 12 YRS";"N/A";"23631 AL HWY 24";"23631 AL HWY 24";"TRINITY";"AL";35673;"KIDS KOUNT INC.";"AL";"TRINITY";35673;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1516";"Day Care Centers";;;;;;"Lawrence"
"LITTLE HORNETS PLAYSKOOL";"(256)685-1998";814;"Licensed";"WHITTNEY DANIEL - Director";"06:00 AM - 06:00 PM";"N/A - N/A";"6 WKS Through 12 YRS";"N/A";"6432 COUNTY ROAD 236";"6432 COUNTY ROAD 236";"TOWN CREEK";"AL";35672;"WHITTNEY DANIEL";"AL";"TOWN CREEK";35672;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=814";"Day Care Centers";;;;;;"Lawrence"
"MOULTON HEAD START CENTER";"(256)974-0961";2083;"Licensed";"EDIE DUGGER - Director";"07:00 AM - 03:30 PM";"N/A - N/A";"3 WKS Through 5 YRS";"N/A";"1909 CENTRAL PARKWAY SW";"979 ROSENWALD STREET";"MOULTON";"AL";35650;"CAPNA INC.";"AL";"DECATUR";35601;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=2083";"Day Care Centers";;;;;;"Lawrence"
"SMALL WORLD PLAYSCHOOL";"(256)974-5003";1248;"Licensed";"JOYCE PARKER - Director";"06:00 AM - 05:30 PM";"N/A - N/A";"4 WKS Through 12 YRS";"N/A";"8043 COUNTY ROAD 460";"12570 COUNTY ROAD 460";"MOULTON";"AL";35650;"JOYCE PARKER";"AL";"MOULTON";35650;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1248";"Day Care Centers";1;"Daytime Hours: 06:00 AM - 05:30 PM";;;;"Lawrence"
"TOMMIE JANE YOUTH & DEV. CENTER";"(256)637-6300";1695;"Licensed";"VENTRICE ELLIOTT - Director";"05:00 AM - 07:00 PM";"07:00 PM - 05:00 AM";"3 WKS Through 12 YRS";"3 WKS Through 12 YRS";"16904 AL HWY 20";"16904 AL HWY 20";"HILLSBORO";"AL";35643;"VENTRICE ELLIOTT";"AL";"HILLSBORO";35643;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1695";"Day Care Centers";1;"Daytime Hours: 05:00 AM - 07:00 PM";;;;"Lawrence"
"ALL ABOUT KIDS";"(256)350-6745";1567;"Licensed";"PAULA RANDOLPH - Director";"06:30 AM - 05:30 PM";"N/A - N/A";"6 WKS Through 10 YRS";"N/A";"344 COUNTY ROAD 354";"344 COUNTY ROAD 354";"TRINITY";"AL";35673;"PAULA RANDOLPH";"AL";"TRINITY";35673;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1567";"Group Child Care Homes";1;"Daytime Hours: 06:30 AM - 05:30 PM";;;;"Lawrence"
"LIBBY'S DAYCARE";"(256)710-9266";1791;"Licensed";"LIBBY GOODE - Director";"06:30 AM - 07:00 PM";"07:00 PM - 12:00 AM";"6 WKS Through 12 YRS";"6 WKS Through 12 YRS";"243 COUNTY ROAD 528";"243 COUNTY ROAD 528";"TOWN CREEK";"AL";35672;"LIBBY GOODE";"AL";"TOWN CREEK";35672;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1791";"Group Child Care Homes";1;"Daytime Hours: 06:30 AM - 07:00 PM";;;;"Lawrence"
"MRS. GERAL'S DAYCARE";"(256)221-1213";474;"Licensed";"GERLADINE WILSON - Director";"06:00 AM - 05:00 PM";"N/A - N/A";"6 WKS Through 12 YRS";"N/A";"2760 COUNTY ROAD 150";"2760 COUNTY ROAD 150";"MOULTON";"AL";35650;"GERALDINE WILSON";"AL";"MOULTON";35650;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=474";"Group Child Care Homes";;;;;;"Lawrence"
"A.C.H.R. CHILD DEV CENTER-DARDEN";"(334)821-8336";974;"Licensed";"STACEY MOTLEY - Director";"06:00 AM - 05:30 PM";"N/A - N/A";"3 WKS Through 12 YRS";"N/A";"P. O. BOX 3770";"601 SOUTH 4TH STREET";"OPELIKA";"AL";36801;"ALABAMA COUNCIL ON HUMAN RELATIONS, INC.";"AL";"AUBURN";36831;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=974";"Day Care Centers";1;"Daytime Hours: 06:00 AM - 05:30 PM";;;;"Lee"
"ACHR CDP KING CENTER";"(334)821-8336";973;"Licensed";"DEBORAH CHISM - Director";"08:00 AM - 01:00 PM";"N/A - N/A";"3 YRS Through 5 YRS";"N/A";"P O BOX 3770";"950 SHELTON MILL ROAD";"AUBURN";"AL";36830;"A C H R, INC. (ACHR CDP)";"AL";"AUBURN";36831;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=973";"Day Care Centers";;;;;;"Lee"
"AUBURN DAY CARE CENTER - BOYKIN CENTER";"(334)501-2981";117;"Licensed";"ROSE GREGORY - Director";"06:30 AM - 05:30 PM";"N/A - N/A";"6 WKS Through 12 YRS";"N/A";"P. O. BOX 262";"410 BOYKIN STREET";"AUBURN";"AL";36830;"AUBURN DAY CARE CENTERS, INC";"AL";"AUBURN";36831;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=117";"Day Care Centers";1;"Daytime Hours: 06:30 AM - 05:30 PM";;;;"Lee"
"AUBURN DAY CARE CENTER-MOTON";"(334)502-0606";118;"Licensed";"FRIXIE MELTON - Director";"06:30 AM - 05:30 PM";"N/A - N/A";"4 YRS Through 12 YRS";"N/A";"P. O. BOX 262";"720 SLAUGHTER AVENUE";"AUBURN";"AL";36830;"AUBURN DAY CARE CENTERS INC";"AL";"AUBURN";36831;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=118";"Day Care Centers";1;"Daytime Hours: 06:30 AM - 05:30 PM";;;;"Lee"
"AUBURN DAY CARE CENTER-RIDGECREST";"(334)887-5960";119;"Licensed";"FRIXIE MELTON - Director";"06:30 AM - 05:30 PM";"N/A - N/A";"3 YRS Through 5 YRS";"N/A";"P. O. BOX 262";"929 BOOKER STREET";"AUBURN";"AL";36830;"AUBURN DAY CARE CENTERS, INC";"AL";"AUBURN";36831;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=119";"Day Care Centers";1;"Daytime Hours: 06:30 AM - 05:30 PM";;;;"Lee"
