"id";"name";"address";"city";"state";"zip";"county";"phone";"location website";"email";"details";"main url";"facebook page";"career/employment url";"application/registration url";"parent handbook url";"infant (under 12 months)";"toddler (1-2yrs)";"preschools (2-3yrs)";"pre-kindergarden(4yr)";"before/afterschools";"camps";"logo url";"monday hour";"tuesday hour";"wednesday hour";"thursday hour";"friday hours";"saturday hour";"sunday hour"
1188217;"FIDELIS EARLY CHILDHOOD CENTER LLC";"890 PROSPECT AVENUE";"BRONX";"NY";10459;"Bronx";"718-991-4570";;;;;;;;;;;;;;;;;;;;;;
1188226;"SUNSHINE LEARNING CENTER";"253 EAST 142 STREET";"BRONX";"NY";10451;"Bronx";"718-989-9807";;;;;;;;;;;;;;;;;;;;;;
1188224;"Santa Maria Early Childhood";"2401 BRONXWOOD AVENUE";"BRONX";"NY";10469;"Bronx";"718-882-2203";;;;;;;;;;;;;;;;;;;;;;
1188219;"MMCC";"3350 BAILEY AVE";"BRONX";"NY";10463;"Bronx";"917-520-7827";;;;;;;;;;;;;;;;;;;;;;
1188218;"LA PENINSULA COMMUNITY HEAD START (EARLY LEARN)";"499 EAST 175 STREET";"BRONX";"NY";10457;"Bronx";"718-583-7510";;;;;;;;;;;;;;;;;;;;;;
1188220;"MMCC@ PELHAM CORNERSTONE";"785 PELHAM PARKWAY NORTH";"BRONX";"NY";10467;"Bronx";"718-547-5929";;;;;;;;;;;;;;;;;;;;;;
1188221;"MMCC@BOSTON SECOR";"3540 BIVONA ST";"BRONX";"NY";10475;"Bronx";"718-671-1040";;;;;;;;;;;;;;;;;;;;;;
1188222;"New Discoveries Learning Academy";"866 East 165 Street";"BRONX";"NY";10456;"Bronx";"718-542-2100";;;;;;;;;;;;;;;;;;;;;;
1188223;"Our Lady of Mount Carmel";"260 EAST 207 STREET";"BRONX";"NY";10467;"Bronx";"718-295-6080";;;;;;;;;;;;;;;;;;;;;;
1188225;"Sheltering Arms Children and Family Services";"565 MORRIS AVENUE";"BRONX";"NY";10451;"Bronx";"917-410-3840";;;;;;;;;;;;;;;;;;;;;;
1188233;"BAY ONE PRESCHOOL";"7106 3 AVENUE";"BROOKLYN";"NY";11209;"Brooklyn";"347-603-6129";;;;;;;;;;;;;;;;;;;;;;
1188227;"TENDER TOTS CLOSE AVE";"1090 CLOSE AVENUE";"BRONX";"NY";10472;"Bronx";"718-305-5144";;;;;;;;;;;;;;;;;;;;;;
1188228;"URBAN SCHOLARS COMMUNITY SCHOOL";"1180 TINTON AVENUE";"BRONX";"NY";10456;"Bronx";"718-842-8133";;;;;;;;;;;;;;;;;;;;;;
1188229;"A PLUS KIDZ ACADEMY";"10510 FLATLANDS AVENUE";"BROOKLYN";"NY";11236;"Brooklyn";"718-679-0052";;;;;;;;;;;;;;;;;;;;;;
1188230;"A2Z Happyland II, LLC";"2148 OCEAN AVENUE";"BROOKLYN";"NY";11229;"Brooklyn";"917-903-8643";;;;;;;;;;;;;;;;;;;;;;
1188231;"Aozora Summer Camp";"535 Clinton Ave";"BROOKLYN";"NY";11238;"Brooklyn";"347-721-3521";;;;;;;;;;;;;;;;;;;;;;
1188232;"BAIS BROCHO D KARLIN STOLIN";"4314 10 AVENUE";"BROOKLYN";"NY";11219;"Brooklyn";"718-853-1222";;;;;;;;;;;;;;;;;;;;;;
1188234;"BCA SUMMER PROGRAM @ P.S.105";"1031 59 Street";"BROOKLYN";"NY";11219;"Brooklyn";"718-438-0008";;;;;;;;;;;;;;;;;;;;;;
1188235;"BCA SUMMER PROGRAM @ P.S. 205";"6701 20 Avenue";"BROOKLYN";"NY";11204;"Brooklyn";"718-438-0008";;;;;;;;;;;;;;;;;;;;;;
1188236;"BONJOUR NY";"317 Hoyt Street";"BROOKLYN";"NY";11231;"Brooklyn";"917-348-7959";;;;;;;;;;;;;;;;;;;;;;
1188245;"CAMBA ALL STARS SUMMER CAMP";"1070 East 83 Street";"BROOKLYN";"NY";11236;"Brooklyn";"347-623-3964";;;;;;;;;;;;;;;;;;;;;;
1188246;"CAMP FORT GREENE";"300 ADELPHI ST";"BROOKLYN";"NY";11205;"Brooklyn";"347-651-3462";;;;;;;;;;;;;;;;;;;;;;
1188237;"BREUKELEN RECREATION ROOMS HEAD START/UPK";"715 EAST 105TH STREET";"BROOKLYN";"NY";11236;"Brooklyn";"718-649-2960";;;;;;;;;;;;;;;;;;;;;;
1188238;"BRIGHT KIDS EARLY CHILDCARE CENTER";"2039 BATH AVENUE";"BROOKLYN";"NY";11214;"Brooklyn";"718-785-6771";;;;;;;;;;;;;;;;;;;;;;
1188239;"BROOKLYN BUREAU OF COMMUNITY SERVICE";"228 YORK ST";"BROOKLYN";"NY";11201;"Brooklyn";"347-529-6216";;;;;;;;;;;;;;;;;;;;;;
1188240;"BROOKLYN BUREAU OF COMMUNITY SERVICES";"2945 W 33RD ST";"BROOKLYN";"NY";11224;"Brooklyn";"929-666-3983";;;;;;;;;;;;;;;;;;;;;;
1188241;"BROOKLYN CHINESE-AMERICAN ASSOCIATION, INC";"757 60TH ST";"BROOKLYN";"NY";11220;"Brooklyn";"929-298-1459";;;;;;;;;;;;;;;;;;;;;;
1188242;"BROOKLYN COMMUNITY SERVICES";"2315 SURF AVENUE";"BROOKLYN";"NY";11224;"Brooklyn";"929-666-3968";;;;;;;;;;;;;;;;;;;;;;
1188243;"Brooklyn Kindergarten Society";"1640 PACIFIC STREET";"BROOKLYN";"NY";11213;"Brooklyn";"718-395-9001";;;;;;;;;;;;;;;;;;;;;;
1188244;"BUNNY HILL";"345 91st Street";"BROOKLYN";"NY";11209;"Brooklyn";"917-862-1201";;;;;;;;;;;;;;;;;;;;;;
1188247;"CAMP GAN ISRAEL";"81 Atlantic Avenue";"BROOKLYN";"NY";11201;"Brooklyn";"718-596-4840";;;;;;;;;;;;;;;;;;;;;;
1188248;"CAMP GAN ISRAEL OF KENSINGTON";"6720 19 Avenue";"BROOKLYN";"NY";11204;"Brooklyn";"646-963-4970";;;;;;;;;;;;;;;;;;;;;;
1188249;"CANARSIE CHILDREN FIRST ACADEMY";"9123 AVENUE L";"BROOKLYN";"NY";11236;"Brooklyn";"347-312-5614";;;;;;;;;;;;;;;;;;;;;;
1188250;"CENTER FOR FAMILY LIFE AT PS94";"5010 6TH AVE";"BROOKLYN";"NY";11220;"Brooklyn";"917-503-4759";;;;;;;;;;;;;;;;;;;;;;
1188251;"CONGREGATION OHR SHRAGA D'VERETZKY";"4205 AVENUE P";"BROOKLYN";"NY";11234;"Brooklyn";"718-252-7777";;;;;;;;;;;;;;;;;;;;;;
1188252;"Congregation Yeshiva Bnei Torah, Inc.";"1571 55TH Street";"BROOKLYN";"NY";11219;"Brooklyn";"718-475-1200";;;;;;;;;;;;;;;;;;;;;;
1188258;"GIRL SCOUTS OF GREATER NEW YORK";"76 RIVERDALE AVE";"BROOKLYN";"NY";11212;"Brooklyn";"917-974-0498";;;;;;;;;;;;;;;;;;;;;;
1188253;"COUNCIL OF PEOPLES ORGANIZATION INC";"1081 CONEY ISLAND AVE";"BROOKLYN";"NY";11230;"Brooklyn";"718-434-3266";;;;;;;;;;;;;;;;;;;;;;
1188254;"CURIOUS JANE";"477 Court Street";"BROOKLYN";"NY";11231;"Brooklyn";"718-369-6320";;;;;;;;;;;;;;;;;;;;;;
1188255;"DISCOVERY PITSTOP INC.";"467 Vanderbilt Avenue";"BROOKLYN";"NY";11238;"Brooklyn";"718-636-0601";;;;;;;;;;;;;;;;;;;;;;
1188256;"FDC";"129 Kingsborough";"BROOKLYN";"NY";11233;"Brooklyn";"718-859-3800";;;;;;;;;;;;;;;;;;;;;;
1188257;"FIVE STARS CHILD CARE 2";"3415 NEPTUNE AVENUE";"BROOKLYN";"NY";11224;"Brooklyn";"718-676-7610";;;;;;;;;;;;;;;;;;;;;;
1188259;"HONEYDEW DROP CHILDCARE, INC.";"204 15TH ST";"BROOKLYN";"NY";11215;"Brooklyn";"917-690-9511";;;;;;;;;;;;;;;;;;;;;;
1188260;"ITTY BITTY ADVENTURES LLC";"3401 AVENUE S";"BROOKLYN";"NY";11234;"Brooklyn";"718-375-4700";;;;;;;;;;;;;;;;;;;;;;
1188261;"KIDS IN THE GAME";"588 6th Street";"BROOKLYN";"NY";11215;"Brooklyn";"917-536-7233";;;;;;;;;;;;;;;;;;;;;;
1188262;"KIM'S KIDS SUMMER CAMP";"350 5 AVENUE";"BROOKLYN";"NY";11215;"Brooklyn";"718-768-6419";;;;;;;;;;;;;;;;;;;;;;
1188263;"KREATIVE KARE DAY CARE CENTER, INC";"292 PALMETTO ST";"BROOKLYN";"NY";11237;"Brooklyn";"718-386-3242";;;;;;;;;;;;;;;;;;;;;;
1188264;"La Cima Charter";"369 MARCUS GARVEY BOULEVARD";"BROOKLYN";"NY";11221;"Brooklyn";"718-433-2136";;;;;;;;;;;;;;;;;;;;;;
1188265;"LEPORT SCHOOLS";"292 COURT STREET";"BROOKLYN";"NY";11231;"Brooklyn";"718-208-4665";;;;;;;;;;;;;;;;;;;;;;
1188266;"Lil Genies Childcare Center INC";"762 41 STREET";"BROOKLYN";"NY";11232;"Brooklyn";"917-704-4536";;;;;;;;;;;;;;;;;;;;;;
1188267;"LITTLE SCHOLARS LEARNING CENTER III";"104 West End Avenue";"BROOKLYN";"NY";11235;"Brooklyn";"917-838-3482";;;;;;;;;;;;;;;;;;;;;;
1188268;"Little Seeds of Park Slope, LLC.";"26 7 AVENUE";"BROOKLYN";"NY";11217;"Brooklyn";"718-857-0155";;;;;;;;;;;;;;;;;;;;;;
1188269;"LOVE & LEARN YK DAYCARE, INC.";"812 60 STREET";"BROOKLYN";"NY";11220;"Brooklyn";"646-683-1210";;;;;;;;;;;;;;;;;;;;;;
1188270;"MAGIC MOMENTS ACADEMY";"1078 Fulton Street";"BROOKLYN";"NY";11238;"Brooklyn";"347-464-5544";;;;;;;;;;;;;;;;;;;;;;
1188271;"MARCUS GARVEY CORNERSTONE";"20 Amboy Street";"BROOKLYN";"NY";11212;"Brooklyn";"718-649-3972";;;;;;;;;;;;;;;;;;;;;;
1188272;"Neshama 1 Inc";"431 AVENUE P";"BROOKLYN";"NY";11223;"Brooklyn";"347-267-0263";;;;;;;;;;;;;;;;;;;;;;
1188273;"NORTHSIDE CENTER FOR CHILD DEVELOPMENT, INC.";"44-60 ROCKWELL PLACE";"BROOKLYN";"NY";11201;"Brooklyn";"347-505-5501";;;;;;;;;;;;;;;;;;;;;;
1188274;"NYU Lutheran Family Health Centers";"4419 7TH AVE";"BROOKLYN";"NY";11220;"Brooklyn";"718-630-7151";;;;;;;;;;;;;;;;;;;;;;
1188275;"OASIS IN BROOKLYN BRIDGE PARK - STATE ST";"205 State Street";"BROOKLYN";"NY";11201;"Brooklyn";"646-271-1976";;;;;;;;;;;;;;;;;;;;;;
1188276;"OASIS IN BROOKLYN BRIDGE PARK";"250 Joralemon Street";"BROOKLYN";"NY";11201;"Brooklyn";"646-519-5069";;;;;;;;;;;;;;;;;;;;;;
1188283;"TEAM FIRST @PHYLLIS WHEATLEY @ P.S.13";"557 Pennsylvania Avenue";"BROOKLYN";"NY";11207;"Brooklyn";"347-712-1478";;;;;;;;;;;;;;;;;;;;;;
1188277;"Research Foundation of CUNY";"940 Hancock Street";"BROOKLYN";"NY";11233;"Brooklyn";"347-915-0862";;;;;;;;;;;;;;;;;;;;;;
1188278;"ROYAL STAR";"116 Dooley Street";"BROOKLYN";"NY";11235;"Brooklyn";"917-709-5114";;;;;;;;;;;;;;;;;;;;;;
1188279;"SIMCHE KINDER INC.";"808 MYRTLE AVENUE";"BROOKLYN";"NY";11206;"Brooklyn";"718-596-3632";;;;;;;;;;;;;;;;;;;;;;
1188280;"Smart Start Nature Academy & Learning Center";"10315 FARRAGUT RD";"BROOKLYN";"NY";11236;"Brooklyn";"718-915-3015";;;;;;;;;;;;;;;;;;;;;;
1188281;"STEPS TO SUCCESS V";"360 NEPTUNE AVENUE";"BROOKLYN";"NY";11235;"Brooklyn";"718-513-4333";;;;;;;;;;;;;;;;;;;;;;
1188282;"Summer Friendship";"1625 11TH AVE";"BROOKLYN";"NY";11215;"Brooklyn";"718-768-0057";;;;;;;;;;;;;;;;;;;;;;
1188284;"TENDER TOTS BUSHWICK LLC";"810 FLUSHING AVENUE";"BROOKLYN";"NY";11206;"Brooklyn";"646-571-8427";;;;;;;;;;;;;;;;;;;;;;
1188289;"WORLD HARVEST COMMUNITY CENTER";"6324 7TH AVE";"BROOKLYN";"NY";11220;"Brooklyn";"718-238-4000";;;;;;;;;;;;;;;;;;;;;;
1188288;"UNITED ACADEMY - SKILLMAN";"232 SKILLMAN ST";"BROOKLYN";"NY";11205;"Brooklyn";"718-935-9848";;;;;;;;;;;;;;;;;;;;;;
1188285;"The Brainy Bunch Day Care & Learning Center";"2828 West 16 Street";"BROOKLYN";"NY";11224;"Brooklyn";"917-299-6219";;;;;;;;;;;;;;;;;;;;;;
1188286;"THE GIRL SCOUTS CITY SUMMER CAMP";"75 HICKS ST";"BROOKLYN";"NY";11201;"Brooklyn";"917-974-0498";;;;;;;;;;;;;;;;;;;;;;
1188287;"THE KATMINT LEARNING INITIATIVE";"506 Macdonough Street";"BROOKLYN";"NY";11233;"Brooklyn";"347-453-6609";;;;;;;;;;;;;;;;;;;;;;
1188290;"WORLDTOTS, LLC";"6813 8 AVENUE";"BROOKLYN";"NY";11220;"Brooklyn";"718-745-6813";;;;;;;;;;;;;;;;;;;;;;
1188291;"WORTSPIELE INC.";"807 Classon Avenue";"BROOKLYN";"NY";11238;"Brooklyn";"347-365-8719";;;;;;;;;;;;;;;;;;;;;;
1188292;"YESHIVA TOLDOS YESUSCHER";"1531 63 STREET";"BROOKLYN";"NY";11219;"Brooklyn";"917-748-5639";;;;;;;;;;;;;;;;;;;;;;
1188293;"YOUNG RISERS INFANT-TODDLER PROGRAM";"5601 4TH AVENUE";"BROOKLYN";"NY";11220;"Brooklyn";"718-439-4817";;;;;;;;;;;;;;;;;;;;;;
1188294;"Youth Stand Academy";"2057 LINDEN BLVD";"BROOKLYN";"NY";11207;"Brooklyn";"929-345-0556";;;;;;;;;;;;;;;;;;;;;;
1188295;"ALL MY CHILDREN DAYCARE AND NURSERY SCHOOL";"101 WEST 85 STREET";"NEW YORK";"NY";10024;"Manhattan";"646-861-0664";;;;;;;;;;;;;;;;;;;;;;
1188296;"AVENUES NEW YORK LLC";"259 TENTH AVENUE";"NEW YORK";"NY";10001;"Manhattan";"646-664-0822";;;;;;;;;;;;;;;;;;;;;;
1188297;"BANK STREET COLLEGE OF EDUCATION";"535 EAST 5TH STREET";"NEW YORK";"NY";10009;"Manhattan";"212-353-2532";;;;;;;;;;;;;;;;;;;;;;
1188298;"BONJOUR NY";"132 West 89 Street";"NEW YORK";"NY";10024;"Manhattan";"917-348-7959";;;;;;;;;;;;;;;;;;;;;;
1188299;"BRIGHT HORIZON'S AT EAST 92ND STREET";"245 E 92ND ST";"NEW YORK";"NY";10128;"Manhattan";"212-369-9626";;;;;;;;;;;;;;;;;;;;;;
1188300;"CAMPUS NYC";"1760 3 Avenue";"NEW YORK";"NY";10029;"Manhattan";"646-229-8230";;;;;;;;;;;;;;;;;;;;;;
1188301;"CENTER FOR JEWISH DISCOVERY";"337 2ND AVENUE";"NEW YORK";"NY";10003;"Manhattan";"212-677-7375";;;;;;;;;;;;;;;;;;;;;;
1188302;"CHURCH STREET SCHOOL FOR MUSIC AND ART, INC.";"72 WARREN STREET";"NEW YORK";"NY";10007;"Manhattan";"212-571-7290";;;;;;;;;;;;;;;;;;;;;;
1188303;"COMPASS P.S. 132 SUMMER CAMP";"185 Wadsworth Avenue";"NEW YORK";"NY";10033;"Manhattan";"917-974-9354";;;;;;;;;;;;;;;;;;;;;;
1188304;"CURIOUS JANE CAMP";"2 East 82 Street";"NEW YORK";"NY";10028;"Manhattan";"718-369-6320";;;;;;;;;;;;;;;;;;;;;;
1188305;"DREW HAMILTON CORNERSTONE COMMUNITY CENTER";"220 West 143 Street";"NEW YORK";"NY";10030;"Manhattan";"646-963-2696";;;;;;;;;;;;;;;;;;;;;;
1188306;"EAST HARLEM TUTORIAL PROGRAM MIDDLE";"2050 Second Avenue";"NEW YORK";"NY";10029;"Manhattan";"212-831-0650";;;;;;;;;;;;;;;;;;;;;;
1188307;"GUSTAVUS ADOLPHUS LUTHERAN CHURCH";"151 EAST 22ND STREET";"NEW YORK";"NY";10010;"Manhattan";"212-777-1624";;;;;;;;;;;;;;;;;;;;;;
1188308;"GYMBOREE PLAY & MUSIC";"240 West 73 Street";"NEW YORK";"NY";10023;"Manhattan";"201-314-7214";;;;;;;;;;;;;;;;;;;;;;
1188309;"HARLEM RBI INCORPORATED";"1960 First Avenue";"NEW YORK";"NY";10029;"Manhattan";"212-722-1608";;;;;;;;;;;;;;;;;;;;;;
1188310;"INTERNATIONAL IVY SUMMER ENRICHMENT PROGRAMS";"150 West 83 Street";"NEW YORK";"NY";10024;"Manhattan";"646-339-1339";;;;;;;;;;;;;;;;;;;;;;
1188311;"J. HOOD WRIGHT RECREATION CENTER";"351 Fort Washington Avenue";"NEW YORK";"NY";10033;"Manhattan";"212-927-1514";;;;;;;;;;;;;;;;;;;;;;
1188312;"JUBILEE SUMMER PROGRAM";"48 HENRY ST";"NEW YORK";"NY";10002;"Manhattan";"212-233-2899";;;;;;;;;;;;;;;;;;;;;;
1188313;"KENDRICKS DAYCARE LLC";"123 EAST 110 STREET";"NEW YORK";"NY";10029;"Manhattan";"646-767-0660";;;;;;;;;;;;;;;;;;;;;;
1188314;"LES PETIT SOURIRES, LLC";"122 WEST 97TH STREET";"NEW YORK";"NY";10025;"Manhattan";"212-328-1805";;;;;;;;;;;;;;;;;;;;;;
1188315;"LYCEE FRANCAIS DE NEW YORK";"505 EAST 75 STREET";"NEW YORK";"NY";10021;"Manhattan";"212-369-1400";;;;;;;;;;;;;;;;;;;;;;
1188316;"Mad Fit Kidz";"202 WEST 58 STREET";"NEW YORK";"NY";10019;"Manhattan";"917-822-3359";;;;;;;;;;;;;;;;;;;;;;
1188317;"MANHATTAN SCHOOL HOUSE LLC";"1608 FIRST AVENUE";"NEW YORK";"NY";10028;"Manhattan";"212-879-4400";;;;;;;;;;;;;;;;;;;;;;
1188318;"MILLER DAY CARE CENTER, INC.";"127 WEST 94TH STREET";"NEW YORK";"NY";10025;"Manhattan";"212-222-6602";;;;;;;;;;;;;;;;;;;;;;
1188319;"MMCC @ GRANT CORNERSTONE";"1301 AMSTERDAM AVE";"NEW YORK";"NY";10027;"Manhattan";"646-912-9662";;;;;;;;;;;;;;;;;;;;;;
1188320;"NEW YORK ACADEMY OF SCIENCES";"250 Greenwich Street";"NEW YORK";"NY";10007;"Manhattan";"646-526-5871";;;;;;;;;;;;;;;;;;;;;;
1188321;"New York French American Charter School";"311 WEST 120 STREET";"NEW YORK";"NY";10027;"Manhattan";"212-666-4134";;;;;;;;;;;;;;;;;;;;;;
1188332;"SMARTER TODDLER GROUP LLC";"99 JOHN STREET";"NEW YORK";"NY";10038;"Manhattan";"212-766-3222";;;;;;;;;;;;;;;;;;;;;;
1188322;"oasis in central park";"32 west 92nd st.";"NEW YORK";"NY";10025;"Manhattan";"646-698-1800";;;;;;;;;;;;;;;;;;;;;;
1188323;"ODYSSEY HOUSE, INC";"13 HELL GATE CIRCLE BUILDING 13";"NEW YORK";"NY";10035;"Manhattan";"212-987-5157";;;;;;;;;;;;;;;;;;;;;;
1188324;"ODYSSEY HOUSE, INC.";"219 EAST 121 ST";"NEW YORK";"NY";10035;"Manhattan";"212-987-5120";;;;;;;;;;;;;;;;;;;;;;
1188325;"OLIVET ACADEMY";"6 BARCLAY STREET";"NEW YORK";"NY";10007;"Manhattan";"347-208-7904";;;;;;;;;;;;;;;;;;;;;;
1188326;"ORDINARY FACES LLC";"351 EAST 74TH STREET";"NEW YORK";"NY";10021;"Manhattan";"917-476-3876";;;;;;;;;;;;;;;;;;;;;;
1188327;"PETITS POUSSINS TOO, INC";"2235 FREDERICK DOUGLAS BLVD.";"NEW YORK";"NY";10027;"Manhattan";"646-897-1008";;;;;;;;;;;;;;;;;;;;;;
1188328;"PETITS POUSSINS TOO, INC.";"2235 FREDERICK DOUGLAS BOULEVARD";"NEW YORK";"NY";10027;"Manhattan";"917-825-8763";;;;;;;;;;;;;;;;;;;;;;
1188329;"PLAY:GROUNDNYC INC";"10 SOUTH STREET";"NEW YORK";"NY";10004;"Manhattan";"718-530-2478";;;;;;;;;;;;;;;;;;;;;;
1188330;"PRESCHOOL OF AMERICA (USA) INC.";"600 6TH AVENUE";"NEW YORK";"NY";10011;"Manhattan";"212-255-6911";;;;;;;;;;;;;;;;;;;;;;
1188331;"RIVER SCHOOL WEST SIDE";"75 WEST END AVE";"NEW YORK";"NY";10023;"Manhattan";"212-707-8300";;;;;;;;;;;;;;;;;;;;;;
1188333;"ST GILES JUNIORS NEW YORK";"CCNY 401 W 130th Street";"NEW YORK";"NY";10027;"Manhattan";"347-925-8375";;;;;;;;;;;;;;;;;;;;;;
1188334;"TENDER TOTS SUGAR HILL LLC";"2854 Fredrick Douglas Boulevard";"NEW YORK";"NY";10039;"Manhattan";"212-388-6121";;;;;;;;;;;;;;;;;;;;;;
1188335;"TENDER TOTS SUGAR HILL LLC";"260 WEST 153 STREET";"NEW YORK";"NY";10035;"Manhattan";"212-388-6121";;;;;;;;;;;;;;;;;;;;;;
1188338;"THE SHUANG WEN ACADEMY NETWORK (SWAN)";"90-92 Bowery Street";"NEW YORK";"NY";10013;"Manhattan";"646-998-5786";;;;;;;;;;;;;;;;;;;;;;
1188336;"THE JEWEL OF HARLEM CENTERS";"1996 Amsterdam Avenue";"NEW YORK";"NY";10032;"Manhattan";"917-656-9622";;;;;;;;;;;;;;;;;;;;;;
1188337;"THE JEWEL OF HARLEM CENTERS";"1990-1996 Amsterdam Avenue";"NEW YORK";"NY";10032;"Manhattan";"212-234-1036";;;;;;;;;;;;;;;;;;;;;;
1188339;"THE WOODEN BUTTON LLC";"729 WEST 181 STREET";"NEW YORK";"NY";10033;"Manhattan";"646-241-8024";;;;;;;;;;;;;;;;;;;;;;
1188340;"WEILL CORNELL CHILDREN'S CENTER AT EAST 62ND";"315 East 62 Street";"New York";"NY";10065;"Manhattan";"646-582-2966";;;;;;;;;;;;;;;;;;;;;;
1188341;"ADVANTAGE ACADEMY";"6511 155TH ST";"FLUSHING";"NY";11367;"Queens";"917-254-4340";;;;;;;;;;;;;;;;;;;;;;
1188342;"Baby Steps Day Care Center Inc";"64-11 FLEET STREET";"REGO PARK";"NY";11374;"Queens";"718-451-6094";;;;;;;;;;;;;;;;;;;;;;
1188344;"BLUE APPLE EARLY CHILDHOOD LEARNING CENTER, INC.";"31-10 23 STREET";"ASTORIA";"NY";11106;"Queens";"718-545-2583";;;;;;;;;;;;;;;;;;;;;;
1188343;"Best Child Care Inc";"1805 124 Street";"COLLEGE POINT";"NY";11356;"Queens";"718-887-6377";;;;;;;;;;;;;;;;;;;;;;
1188345;"BRIDGE TO ENTER ADVANCED MATHEMATICS";"30-20 THOMSON AVENUE";"LONG ISLAND CITY";"NY";11101;"Queens";"734-239-2027";;;;;;;;;;;;;;;;;;;;;;
1188346;"BRIGHT START CHILD LEARNING CENTER, INC.";"23-88 31st Street";"ASTORIA";"NY";11105;"Queens";"718-777-8848";;;;;;;;;;;;;;;;;;;;;;
1188347;"CAMP GAN ISRAEL";"25010 GRAND CENTRAL PKWY";"BELLEROSE";"NY";11426;"Queens";"917-613-0223";;;;;;;;;;;;;;;;;;;;;;
1188348;"CHINESE-AMERICAN PLANNING COUNCIL, INC.";"133-14 41 Avenue";"FLUSHING";"NY";11355;"Queens";"718-358-8899";;;;;;;;;;;;;;;;;;;;;;
1188349;"COLORS AND KIDS MONTESSORI";"4910 Little Neck Pkwy";"LITTLE NECK";"NY";11362;"Queens";"347-926-8879";;;;;;;;;;;;;;;;;;;;;;
1188350;"DREAM TREES CHILDCARE INC.";"34-57 FRANCIS LEWIS BLVD";"FLUSHING";"NY";11358;"Queens";"718-461-1800";;;;;;;;;;;;;;;;;;;;;;
1188351;"EARLY BIRD II - EDUCATIONAL CENTER";"90-05 161 Street";"JAMAICA";"NY";11435;"Queens";"718-739-0884";;;;;;;;;;;;;;;;;;;;;;
1188352;"EVANGELICAL LUTHERAN CHURCH OF OUR SAVIOUR";"92-14 63 DRIVE";"REGO PARK";"NY";11374;"Queens";"718-897-4343";;;;;;;;;;;;;;;;;;;;;;
1188353;"EXCELSIOR CHILD CARE, INC";"133-16 SPRINGFIELD BOULEVARD";"SPRINGFIELD GARDENS";"NY";11413;"Queens";"646-598-4757";;;;;;;;;;;;;;;;;;;;;;
1188354;"GIRL SCOUTS SUMMER URBAN DAY CAMP";"3921 Crescent Street";"LONG ISLAND CITY";"NY";11101;"Queens";"212-645-4000";;;;;;;;;;;;;;;;;;;;;;
1188355;"GRYC LITTLE STARS @ FAIRVIEW";"776 FAIRVIEW AVE.";"RIDGEWOOD";"NY";11385;"Queens";"718-456-5437";;;;;;;;;;;;;;;;;;;;;;
1188356;"HFC CHILD DEVELOPMENT CENTER";"42-35 MAIN ST";"FLUSHING";"NY";11355;"Queens";"718-799-8288";;;;;;;;;;;;;;;;;;;;;;
1188359;"LAURISSA JANE MUSIC SUMMER ARTS CAMP";"17110 LINDEN BLVD";"JAMAICA";"NY";11434;"Queens";"202-409-8026";;;;;;;;;;;;;;;;;;;;;;
1188357;"INNER FORCE ONE";"133-40 79 STREET";"HOWARD BEACH";"NY";11414;"Queens";"718-221-1248";;;;;;;;;;;;;;;;;;;;;;
1188358;"KIDS RAINBOWLND NURSERY SCHOOL INC.";"39-60 54 STREET";"WOODSIDE";"NY";11377;"Queens";"718-899-7590";;;;;;;;;;;;;;;;;;;;;;
1188360;"LIFE SKILLS PRESCHOOL";"24-20 PARSONS BOULEVARD";"WHITESTONE";"NY";11357;"Queens";"718-459-6279";;;;;;;;;;;;;;;;;;;;;;
1188361;"LITTLE FRIENDS SCHOOL SUNNYSIDE INC.";"109-17 46 AVENUE";"CORONA";"NY";11368;"Queens";"718-310-0910";;;;;;;;;;;;;;;;;;;;;;
1188362;"MILLIE'S WORLD, INC.";"27-59 CRESCENT STREET";"ASTORIA";"NY";11102;"Queens";"347-838-1797";;;;;;;;;;;;;;;;;;;;;;
1188363;"PAL @ PATHWAYS PREP";"207-01 116 Avenue";"CAMBRIA HEIGHTS";"NY";11411;"Queens";"646-668-7141";;;;;;;;;;;;;;;;;;;;;;
1188364;"Peninsula Preparatory Academy Charter School";"611 BEACH 19 STREET";"FAR ROCKAWAY";"NY";11691;"Queens";"347-403-9231";;;;;;;;;;;;;;;;;;;;;;
1188372;"YOUNG PEOPLE'S DAY CAMP OF QUEENS";"9285 SPRINGFIELD BLVD";"QUEENS VILLAGE";"NY";11428;"Queens";"631-209-2041";;;;;;;;;;;;;;;;;;;;;;
1188365;"S.T.E.P DAY CAMP INC";"136-25 218 Street";"SPRINGFIELD GARDENS";"NY";11413;"Queens";"718-974-0256";;;;;;;;;;;;;;;;;;;;;;
1188366;"STARCHILD CAMPS";"119-03 80 ROAD";"REGO PARK";"NY";11374;"Queens";"347-965-9261";;;;;;;;;;;;;;;;;;;;;;
1188367;"STARS SUMMER PROGRAM";"225-17 225 Street";"CAMBRIA HEIGHTS";"NY";11411;"Queens";"718-598-1679";;;;;;;;;;;;;;;;;;;;;;
1188368;"TALENT PREP ASTORIA, INC.";"35-16 ASTORIA BOULEVARD";"ASTORIA";"NY";11103;"Queens";"718-255-1510";;;;;;;;;;;;;;;;;;;;;;
1188369;"THE Q STUDIO LABS";"43-12 46 Street";"SUNNYSIDE";"NY";11104;"Queens";"718-786-8091";;;;;;;;;;;;;;;;;;;;;;
