"full_name";"owner_name";"license_no";"license_status";"license_type";"mailing_address_line_1";"mailing_address_city";"mailing_address_state";"mailing_address_zipcode";"mailing_address_county";"mailing_address_phone";"physical_address_line_1";"physical_address_city";"physical_address_state";"physical_address_zipcode";"physical_address_county";"physical_address_phone";"director_first_name";"director_last_name";"capacity";"age_wks_lo";"age_mos_lo";"age_yrs_lo";"age_yrs_hi"
"CCBA Preschool Program";"Carter Community Building Association";"CCCB-06620";"Active";"Center Based Program License";"PO Box 386";"Lebanon";"NH";03766;"Grafton";(603) 448-6477;"1 Campbell Street";"Lebanon";"NH";03766;"Grafton";(603) 448-6477;"Eileen";"Urquhart";40;;18;;13
"CCBA School Age Program";"CCBA School Age Program";"CCCB-06750";"Permit Issued";"Center Based Program License";"PO Box 386";"Lebanon";"NH";03766;"Grafton";(603) 448-6477;"1 Campbell Street & 1 Taylor Street";"Lebanon";"NH";03766;"Grafton";(603) 448-6477;"Kevin";"Talcott";45;;;5;13
"Little Acorn Daycare";"Robin Fimlaid";"CCFB-02993";"Active";"Family Based Program License";"80 North River Road";"Lee";"NH";03861;"Strafford";(603) 659-2084;"80 North River Road";"lee";"NH";03861;"Strafford";(603) 659-2084;"Robin     ";"Fimlaid";6;6;;;5
"Live And Learn At Mastway";"Johanna Booth-Miner";"CCCB-04574";"Active";"Center Based Program License";"114 Mast Road";"Lee";"NH";03861;"Strafford";(603) 231-5099;"10 Mast Road, Mastway Elem.  School";"Lee";"NH";03861;"Strafford";;"Caitlin";"Wollack";45;;11;4;12
"Growing Places";"Growing Places Early Education and Youth Recreation, Inc.";"CCCB-04928";"Active";"Center Based Program License";"56 Pinkham Road";"Lee";"NH";03861;"Strafford";(603) 868-1335;"56 Pinkham Road";"Lee";"NH";03861;"Strafford";(603) 868-5263;"Anna      ";"Hanson";69;6;;;12
"Live And Learn Early Learning Center";"Johanna Booth-Miner";"CCCB-00890";"Active";"Center Based Program License";"114 Mast Road";"Lee";"NH";03861;"Strafford";(603) 659-5047;"114 Mast Road";"Lee";"NH";03861;"Strafford";(603) 659-5047;"Johanna   ";"Booth-Miner";76;6;;;13
"His Angels Learning Academy";"His Angels Learning Academy, LLC";"CCCB-06362";"Active";"Center Based Program License";"3 Joe Ford Road";"Lee";"NH";03861;"Strafford";(603) 868-1115;"3 Joe Ford Road";"Lee";"NH";03861;"Strafford";(603) 868-1115;"Angela";"Perry-Monahan";33;6;;;12
"Lee Hill Early Learning Center";"The Lee Church, Congregational, Inc.";"CCCB-06601";"Active";"Center Based Program License";"17 Mast Road";"Lee";"NH";03861;"Strafford";(603) 659-3456;"17 Mast Road";"Lee";"NH";03861;"Strafford";(603) 659-6989;"Laura";"Lawrence";24;6;;;12
"Goshen-Lempster After School Program";"Cinnamon Street Early Education & Child Care Center";"CCCB-06485";"Active";"Center Based Program License";"29 School Street";"Lempster";"NH";03605;"Sullivan";(603) 477-6168;"29 School Street";"Lempster";"NH";03605;"Sullivan";(603) 477-6168;"Lauren";"Mahieu";30;;11;4;14
"Lincoln-Woodstock Community Child Care Center";"Lincoln-Woodstock Community Child Care Center, INC.";"CCCB-04328";"Active";"Center Based Program License";"PO Box 965";"Lincoln";"NH";03251;"Grafton";(603) 745-2200;"194 Pollard Road";"Lincoln";"NH";03251;"Grafton";(603) 745-2200;"John      ";"Mcginley";54;6;;;10
"Noah's Ark Day Care";"Jessica Tamulonis";"CCFB-05252";"Active";"Family Based Program License";"31 Hanson Farm Road";"Lincoln";"NH";03251;"Grafton";(603) 745-3279;"31 Hanson Farm Road";"Lincoln";"NH";03251;"Grafton";(603) 745-3279;"Jessica   ";"Tamulonis";17;6;;;12
"Small Wonders Child Care";"Katherine A. Wright";"CCCB-05393";"Active";"Center Based Program License";"56 Armstrong Avenue";"Lisbon";"NH";03585;"Grafton";(603) 838-1049;"56 Armstrong Avenue";"Lisbon";"NH";03585;"Grafton";(603) 838-1049;"Katherine ";"Wright";25;6;;;14
"K-Care";"Kimberly Depietro";"CCFB-05960";"Active";"Family Based Program License";"15 Rookery Way";"Litchfield";"NH";03052;"Hillsborough";(603) 424-2849;"15 Rookery Way";"Litchfield";"NH";03052;"Hillsborough";(603) 424-2849;"Kimberly  ";"Depietro";9;6;;;10
"Adult Learning Center - Griffin Memorial";"Nashua Adult Learning Center, Inc.";"CCCB-05622";"Active";"Center Based Program License";"4 Lake Street";"Nashua";"NH";03060;"Hillsborough";"6038829080x308";"229 Charles Bancroft Highway";"Litchfield";"NH";03052;"Hillsborough";"6038829080x308";"Brittany";"Rochford";60;;;5;13
"Kelly Douglas' Child Care and Preschool";"KellyJ. Douglas";"CCCB-06408";"Active";"Center Based Program License";"49 Burgess Drive";"Litchfield";"NH";03052;"Hillsborough";(603) 262-9109;"49 Burgess Drive";"Litchfield";"NH";03052;"Hillsborough";(603) 262-9109;"Kelly ";"Douglas";12;6;;;12
"The Gingerbread House of Litchfield";"The Gingerbread House of Hudson, LLC";"CCCB-06568";"Active";"Center Based Program License";"271 Derry Road";"Litchfield";"NH";03052;"Hillsborough";(603) 886-1500;"271 Derry Road";"Litchfield";"NH";03052;"Hillsborough";(603) 886-1500;"Michelle";"Boudreau";41;6;;;12
"Tiny Turtles Child Care";"Lori L. Sommer and Alison Rivera";"CCFB-06379";"Active";"Family Based Program License";"38 Stark Lane";"Litchfield";"NH";03052;"Hillsborough";(603) 864-8061;"38 Stark Lane";"Litchfield";"NH";03052;"Hillsborough";(603) 864-8061;"Alison";"Rivera";17;6;;;12
"Springboard School @ Litchfield Middle School";"Springboard Schools, Inc.";"CCCB-06429";"Active";"Center Based Program License";"19 McElwain Drive";"Litchfield";"NH";03052;"Hillsborough";(603) 702-0473;"19 McElwain Drive";"Litchfield";"NH";03052;"Hillsborough";(603) 361-3726;"Amanda";"Lacroix";90;;;10;15
"Littleton Head Start";"Tri County Head Start";"CCCB-01017";"Active";"Center Based Program License";"610 Sullivan Street";"Littleton";"NH";03561;"Grafton";(603) 752-7138;"646 Union Street";"Littleton";"NH";03561;"Grafton";(603) 752-7138;"Adrienne";"Caulder";38;;;3;6
"The Children's House";"The Children's House, Inc.";"CCCB-00694";"Active";"Center Based Program License";"75 Bronson Street";"Littleton";"NH";03561-0138;"Grafton";(603) 444-6464;"75 Bronson Street";"Littleton";"NH";03561;"Grafton";(603) 444-6464;"Carrie";"Priest";50;6;;;6
"Shining Lights Learning Center & Child Care At FCC";"First Congregational Church of Littleton";"CCCB-06021";"Active";"Center Based Program License";"189 Main Street";"Littleton";"NH";03561;"Grafton";(603) 444-7379;"189 Main Street";"Littleton";"NH";03561;"Grafton";(603) 444-7379;"Deborah   ";"Gallagher";28;;11;;6
"The Child-Care Express Day Watch";"Charlene Silva Ferland";"CCFB-04794";"Active";"Family Based Program License";"26 McBean Circle";"Littleton";"NH";03561;"Grafton";(603) 444-6334;"26 McBean Circle";"Littleton";"NH";03561;"Grafton";(603) 444-6334;"Charlene  ";"Silva Ferland";17;6;;;13
"Northern Shores Day Care";"Wendy Hill";"CCFB-02408";"Active";"Family Based Program License";"11 Dublin Drive";"Tilton";"NH";03276;"Belknap";(603) 528-3294;"11 Dublin Drive";"Lochmere";"NH";03252;"Belknap";(603) 528-3294;"Wendy     ";"Hill";17;6;;;12
"Weeping Willow Day Care Center";"Vicki L. Ewens";"CCCB-04811";"Active";"Center Based Program License";"PO Box 93";"Lochmere";"NH";03252;"Belknap";(603) 524-6316;"34 Silver Lake Road";"Lochmere";"NH";03252;"Belknap";(603) 524-6316;"Vicki     ";"Ewens";20;6;;;14
"Kids By The Common";"Londonderry Presbyterian Church";"CCCB-00789";"Active";"Center Based Program License";"126 Pillsbury Road";"Londonderry";"NH";03053;"Rockingham";(603) 434-2113;"126 Pillsbury Road";"Londonderry";"NH";03053;"Rockingham";(603) 434-2113;"Angela    ";"Fitzsimmons";80;;;3;5
"Jacob's Ladder Learning Center at L.U.M.C.";"Londonderry United Methodist Church";"CCCB-04585";"Active";"Center Based Program License";"258 Mammoth Road";"Londonderry";"NH";03053;"Rockingham";(603) 434-7857;"258 Mammoth Road";"Londonderry";"NH";03053;"Rockingham";(603) 434-7857;"Christine";"Weston";14;;35;;6
"Cozy Kids Child Care";"Cozy Kids Child Care, Inc.";"CCCB-03034";"Active";"Center Based Program License";"3 Sanborn Road";"Londonderry";"NH";03053;"Rockingham";(603) 437-5437;"3 Sanborn Road";"Londonderry";"NH";03053;"Rockingham";(603) 437-5437;"Andrea";"Brzezowski";130;6;;;10
"YMCA of Greater Londonderry School's Out Program @ North School";"The Granite YMCA";"CCCB-05762";"Active";"Center Based Program License";"206 Rockingham Road";"Londonderry";"NH";03053;"Rockingham";(603) 216-9010;"19 Sanborn Road";"Londonderry";"NH";03053;"Rockingham";(603) 216-9010;"Alyssa";"Thayer";74;;;6;12
"YMCA of Greater Londonderry School's Out Program @ Matthew Thornton";"The Granite YMCA";"CCCB-05764";"Active";"Center Based Program License";"206 Rockingham Road";"Londonderry";"NH";03053;"Rockingham";(603) 216-9203;"275 Mammoth Road";"Londonderry";"NH";03053;"Rockingham";(603) 216-9203;"Christine";"Milot";80;;;5;12
"YMCA of Greater Londonderry School's Out Program @ South School";"The Granite YMCA";"CCCB-05763";"Active";"Center Based Program License";"206 Rockingham Road";"Londonderry";"NH";03053;"Rockingham";(603) 216-9009;"88 South Road";"Londonderry";"NH";03053;"Rockingham";(603) 216-9009;"Crissy    ";"Jache";100;;;5;12
"Creative Little Angels Child Care";"Brown and Brown and Sons Child Care, LLC";"CCCB-05456";"Active";"Center Based Program License";"40 Mammoth Road";"Londonderry";"NH";03053;"Rockingham";(603) 432-2535;"40 Mammoth Road";"Londonderry";"NH";03053;"Belknap";(603) 432-2535;"Karen";"Fenderson";167;6;;;12
"KinderCare Learning Center";"KinderCare Learning Center, LLC";"CCCB-05542";"Active";"Center Based Program License";"7 Garden Lane";"Londonderry";"NH";03053;"Rockingham";(603) 432-2288;"7 Garden Lane";"Londonderry";"NH";03053;"Rockingham";(603) 432-2288;"Helen     ";"O'Shea - Galvin";146;6;;;12
"The World of Discovery";"World of Discovery, Inc.";"CCCB-04424";"Active";"Center Based Program License";"182 Rockingham Road";"Londonderry";"NH";03053;"Rockingham";(603) 537-2338;"182 Rockingham Road";"Londonderry";"NH";03053;"Rockingham";(603) 537-2338;"Holly     ";"Noiseux";180;6;;;12
"Trisha's Daycare";"Patricia Alexandre";"CCFB-05801";"Active";"Family Based Program License";"31 Royal Lane";"Londonderry";"NH";03053;"Rockingham";(603) 434-3130;"31 Royal Lane";"Londonderry";"NH";03053;"Rockingham";(603) 434-3130;"Patricia  ";"Alexandre";12;6;;;12
"Deborah Cloutier's Family Day Care";"Deborah Cloutier";"CCFB-05213";"Active";"Family Based Program License";"9 King Arthur Drive";"Londonderry";"NH";03053;"Rockingham";(603) 432-0876;"9 King Arthur Drive";"Londonderry";"NH";03053;"Rockingham";(603) 432-0876;"Deborah";"Cloutier";12;6;;;13
"Miss Sylvia's Family Day Care";"Sylvia Cassidy";"CCFB-05561";"Active";"Family Based Program License";"10 Cheshire Court";"Londonderry";"NH";03053;"Rockingham";(603) 434-0383;"10 Cheshire Court";"Londonderry";"NH";03053;"Rockingham";(603) 434-0383;"Sylvia";"Cassidy";5;6;;;13
"The Children's Terrace";"Diane Croteau";"CCCB-05986";"Active";"Center Based Program License";"8 Robin Hood Drive";"Londonderry";"NH";03053;"Rockingham";(603) 883-2522;"8 Robin Hood Drive";"Londonderry";"NH";03053;"Rockingham";(603) 883-2522;"Diane     ";"Croteau";17;8;;;13
"Bright House Family Daycare";"Bright House Family Daycare, LLC";"CCFB-06180";"Active";"Family Based Program License";"79 Hovey Road";"Londonderry";"NH";03053;"Rockingham";(603) 434-4974;"79 Hovey Road";"Londonderry";"NH";03053;"Rockingham";(603) 434-4974;"Kari";"Milligan";12;6;;;14
"First Friends Day Care";"First Friends Family Day Care, LLC";"CCCB-05868";"Active";"Center Based Program License";"221 Rockingham Road";"Londonderry";"NH";03053;"Rockingham";(603) 421-9109;"221 Rockingham Road";"Londonderry";"NH";03053;"Rockingham";(603) 421-9109;"Wendy     ";"Strong";12;6;;;14
"YMCA of Greater Londonderry School's Out Program";"The Granite YMCA";"CCCB-05497";"Active";"Center Based Program License";"206 Rockingham Road";"Londonderry";"NH";03053;"Rockingham";(603) 437-9622;"206 Rockingham Road";"Londonderry";"NH";03053;"Rockingham";(603) 437-9622;"Crissy    ";"Jache";100;;;5;15
"The Applewood Learning Center";"The Applewood Learning Center, Inc.";"CCCB-02820";"Active";"Center Based Program License";"2 Hampton Drive";"Londonderry";"NH";03053;"Rockingham";(603) 434-3139;"2 Hampton Drive";"Londonderry";"NH";03053;"Rockingham";(603) 434-3139;"Elizabeth ";"Brunette";106;6;;;15
"The Learning Stop @ Seed to Sprout Learning Center";"NYD Early Learning Collaborative, Inc.";"CCCB-06634";"Active";"Center Based Program License";"44 Nashua Road, Unit #6";"Londonderry";"NH";03053;"Rockingham";(603) 434-0082;"44 Nashua Road, Unit #6";"Londonderry";"NH";03053;"Rockingham";(603) 434-0082;"Corrie";"Binette";20;;27;;6
"Little Orchard Family Daycare";"Lisete Costa";"CCFB-06435";"Active";"Family Based Program License";"34R Trolley Car Lane";"Londonderry";"NH";03053;"Rockingham";(603) 434-7216;"34 Trolley Car Lane";"Londonderry";"NH";03053;"Rockingham";(603) 434-7216;"Lisete";"Costa";9;6;;;12
"Miss Aria's Home Grown Kids";"Miss Aria's Home Grown Kids, LLC";"CCFB-06364";"Active";"Family Based Program License";"49 Perkins Road";"Londonderry";"NH";03053;"Rockingham";(603) 767-0204;"49 Perkins Road";"Londonderry";"NH";03053;"Rockingham";(603) 767-0204;"Aria";"Emery";8;6;;;12
"Ms. Darlene's Early Learning Center & Child Care";"Ms. Darlene's Early Learning Center & Child Care, LLC";"CCCB-05372";"Active";"Center Based Program License";"10 Kendall Pond Road";"Londonderry";"NH";03053;"Rockingham";(603) 818-1405;"10 Kendall Pond Road";"Londonderry";"NH";03053;"Rockingham";(603) 818-1405;"Darlene   ";"Cordaro";72;6;;;12
"Londonderry Learning Academy";"Londonderry Learning Academy, LLC";"CCCB-06482";"Active";"Center Based Program License";"28 Buttrick Road";"Londonderry";"NH";03053;"Rockingham";(603) 425-2645;"28 Buttrick Road";"Londonderry";"NH";03053;"Rockingham";(603) 888-0677;"Delia";"Naughton";66;;13;;12
"Concord Family YMCA KydStop @ Loudon";"Concord Family YMCA";"CCCB-06347";"Active";"Center Based Program License";"15 North State Street";"Concord";"NH";03301;"Merrimack";(603) 783-1136;"7039 School Street";"Loudon";"NH";03307;"Merrimack";(603) 228-9622;"Michael";"Taylor";45;;;5;12
"Lyme Nursery School";"Lyme Nursery School, Inc.";"CCCB-00895";"Active";"Center Based Program License";"155 Dartmouth College Highway";"Lyme";"NH";03768;"Grafton";(603) 795-4567;"155 Dartmouth College Highway";"Lyme";"NH";03768;"Grafton";(603) 795-4567;"Brandi    ";"Conrad";36;;12;;6
"Lyme After School Program";"Megan Wilmott";"CCCB-05945";"Active";"Center Based Program License";"330 River Road";"Lyme";"NH";03768;"Grafton";(603) 208-8303;"35 Union Street";"Lyme";"NH";03768;"Grafton";(603) 208-8303;"Megan     ";"Wilmott";38;;11;4;12
"Kid's Time Child Care Center";;"CCCB-04378";"Active";"Center Based Program License";"27 High Street";"Lyme";"NH";03768;"Grafton";(603) 795-2031;"27 High Street";"Lyme";"NH";03768;"Grafton";(603) 795-2031;"Katrina   ";"Jenks";24;6;;;12
"Lyndeborough Central School Extended Day Program";"Wilton-Lyndeborough Cooperative School District";"CCCB-06746";"Permit Issued";"Center Based Program License";"192 Forest Road";"Lyndeborough";"NH";03082;"Hillsborough";(603) 654-9381;"192 Forest Road";"Lyndeborough";"NH";03082;"Hillsborough";(603) 654-9381;"Theresa";"Waller";17;;;5;6
"Growing Places Our Time School Age Program - Moharimet";"Growing Places Early Education and Youth Recreation, Inc.";"CCCB-04279";"Active";"Center Based Program License";"56 Pinkham Road";"Lee";"NH";03861;"Strafford";(603) 969-8677;"11 Lee Road";"Madbury";"NH";03823;"Strafford";(603) 969-8677;"Christine ";"Mcconnell";55;;8;4;16
"Little Tree Education Center";"Little Tree Education Center, LLC";"CCCB-06582";"Active";"Center Based Program License";"314 Route 108";"Madbury";"NH";03823;"Strafford";(603) 742-8733;"314 Route 108";"Madbury";"NH";03823;"Strafford";(603) 742-8733;"Bevin";"Smith";75;6;;;12
"Madison Preschool";"Madison Preschool";"CCCB-00896";"Active";"Center Based Program License";"PO Box 145";"Madison";"NH";03849;"Carroll";(603) 367-4614;"53 Conway Road";"Madison";"NH";03849;"Carroll";(603) 367-4614;"Catherine ";"Wemyss";16;;33;;6
"Family Child Care Of Madison";"Kristina George";"CCFB-05776";"Active";"Family Based Program License";"571 East Madison Road";"Madison";"NH";03849;"Carroll";(603) 367-9094;"571 East Madison Road";"Madison";"NH";03849;"Carroll";(603) 367-9094;"Kristina  ";"George";17;;2;;10
"Immanuel Christian Preschool";"Immanuel Lutheran Church, Inc.";"CCCB-01283";"Active";"Center Based Program License";"673 Weston Road";"Manchester";"NH";03103;"Hillsborough";(603) 622-0309;"673 Weston Road";"Manchester";"NH";03103;"Hillsborough";(603) 622-1514;"Alexandra";"Schack";42;;;3;6
"St. Augustin Preschool";"St. Augustin Parish, Inc.";"CCCB-00819";"Active";"Center Based Program License";"383 Beech Street";"Manchester";"NH";03103;"Hillsborough";(603) 623-8800;"251 Merrimack Street";"Manchester";"NH";03103;"Hillsborough";(603) 623-8800;"Crystal";"Elie";57;;;3;6
"Jewish Federation Preschool";"Jewish Federation of Greater Manchester";"CCCB-02005";"Active";"Center Based Program License";"1361 Elm Street, Suite 403";"Manchester";"NH";03104;"Hillsborough";(603) 821-3802;"152 Prospect Street";"Manchester";"NH";03104;"Hillsborough";;"Alane     ";"Sabel";47;;24;;6
"Southern NH Services - Rose Byrne Head Start";"Southern New Hampshire Services, Inc.";"CCCB-04344";"Active";"Center Based Program License";"40 Pine Street";"Manchester";"NH";03103;"Hillsborough";"6036688010 X6039";"40 Pine Street";"Manchester";"NH";03103;"Hillsborough";(603) 668-8010;"Ann       ";"Panagoulias";98;;33;;6
"Southern New Hampshire Services Early Head Start";"Southern New Hampshire Services Inc.";"CCCB-05314";"Active";"Center Based Program License";"PO Box 5040";"Manchester";"NH";03108;"Hillsborough";"6036688010 X6107";"160 Silver Street";"Manchester";"NH";03103;"Hillsborough";(603) 668-8010;"Jessica   ";"Emond";49;6;;;6
"Elliot Child Care Center";"Elliot Health System";"CCCB-01161";"Active";"Center Based Program License";"450 Massabesic Street";"Manchester";"NH";03103;"Hillsborough";(603) 663-3393;"450 Massabesic Street";"Manchester";"NH";03103;"Hillsborough";(603) 663-3393;"Lisa      ";"Mcalpine";151;6;;;6
"Holy Cross Early Childhood Center";"Sisters of the Holy Cross";"CCCB-00567";"Active";"Center Based Program License";"420 Island Pond Road";"Manchester";"NH";03109;"Hillsborough";(603) 668-0510;"420 Island Pond Road";"Manchester";"NH";03109;"Hillsborough";(603) 668-0510;"Allison";"Connor";40;;;3;7
"Kindertree Learning Center";"Kindertree Learning Center, LLC";"CCCB-05828";"Active";"Center Based Program License";"162 Manchester Street";"Manchester";"NH";03101;"Hillsborough";(603) 623-7599;"162 Manchester Street";"Manchester";"NH";03101;"Hillsborough";(603) 623-7599;"Kristine";"Larocque";40;;9;2;10
"Elizabeth Friedman's Family Day Care";"Elizabeth Friedman";"CCFB-01676";"Active";"Family Based Program License";"282 Patterson Street";"Manchester";"NH";03102;"Hillsborough";(603) 669-9033;"282 Patterson Street";"Manchester";"NH";03102;"Hillsborough";(603) 669-9033;"Elizabeth ";"Friedman";6;6;;;10
"YMCA of Downtown Manchester School's Out Program @ Webster School";"The Granite YMCA";"CCCB-05443";"Active";"Center Based Program License";"30 Mechanic Street";"Manchester";"NH";03101;"Hillsborough";(603) 623-3558;"2519 Elm Street";"Manchester";"NH";03104;"Hillsborough";(603) 232-8670;"Alisha";"Blanchette";72;;;5;11
"Activa-Tree Christian Preschool";"First United Methodist Church";"CCCB-00630";"Active";"Center Based Program License";"963 Valley Street";"Manchester";"NH";03103;"Hillsborough";(603) 622-6654;"963 Valley Street";"Manchester";"NH";03103;"Hillsborough";(603) 622-6654;"Kathleen  ";"Steinmetz";20;;;2;11
"Little Rising Stars Child Care Center";"Jill N' Doris Child Care, LLC";"CCCB-05585";"Active";"Center Based Program License";"191 South Jewett Street";"Manchester";"NH";03103;"Hillsborough";(603) 644-5437;"191 South Jewett Street";"Manchester";"NH";03103;"Hillsborough";(603) 644-5437;"Jill      ";"Watson";20;6;;;11
"YMCA of Downtown Manchester School's Out Program @ Green Acres";"The Granite YMCA";"CCCB-05792";"Active";"Center Based Program License";"30 Mechanic Street";"Manchester";"NH";03101;"Hillsborough";(603) 232-8670;"100 Aurore Street";"Manchester";"NH";03109;"Hillsborough";(603) 623-3558;"Hanna";"Webb";90;;;5;12
"Boys & Girls - Highland Goffs Falls Extension";"Boys & Girls Club Of Manchester";"CCCB-05421";"Active";"Center Based Program License";"555 Union Street";"Manchester";"NH";03104;"Hillsborough";(603) 625-5982;"Goffs Falls Road";"Manchester";"NH";03104;"Hillsborough";(603) 625-5031;"Amanda";"Gaska";80;;;5;12
"Manchester Boys & Girls Club -Jewett Street School";"Manchester Boys and Girls Club";"CCCB-05543";"Active";"Center Based Program License";"555 Union Street";"Manchester";"NH";03104;"Hillsborough";(603) 305-9435;"130 South Jewett Street ";"Manchester";"NH";03103;"Hillsborough";(603) 625-5031;"Ariane    ";"Smith";50;;;5;12
"Child Guidance Early Learning Center";"Elsie Corporation";"CCCB-04560";"Active";"Center Based Program License";"75 Talbot Street";"Manchester";"NH";03109;"Hillsborough";(603) 625-1880;"75 Talbot Street";"Manchester";"NH";03109;"Hillsborough";(603) 625-1880;"Kristen   ";"Biron";45;;33;;12
"Noah's Ark Child Care Center";"Noah's Ark Child Care Center, Inc.";"CCCB-05384";"Active";"Center Based Program License";"491 East Industrial Park Drive";"Manchester";"NH";03109-5313;"Hillsborough";(603) 669-7990;"491 East Industrial Park Drive";"Manchester";"NH";03109-5313;"Hillsborough";(603) 669-7990;"Cynthia   ";"Higham";175;6;;;12
"St. Peter's Home";"St. Peter's Home, Inc.";"CCCB-00824";"Active";"Center Based Program License";"300 Kelley Street";"Manchester";"NH";03102-3093;"Hillsborough";(603) 625-9313;"300 Kelley Street";"Manchester";"NH";03102-3093;"Hillsborough";(603) 625-9313;"Florence  ";"Therrien, Sr.";309;6;;;12
"Away We Grow Child Care";"Christine Brown";"CCCB-05992";"Active";"Center Based Program License";"30 Woodbine Avenue";"Manchester";"NH";03109;"Hillsborough";(603) 668-2632;"30 Woodbine Avenue";"Manchester";"NH";03109;"Hillsborough";(603) 668-2632;"Christine ";"Brown";10;6;;;12
"Lisa's Family Day Care";"Lisa Doyon";"CCFB-05121";"Active";"Family Based Program License";"181 Woodbine Avenue";"Manchester";"NH";03109;"Hillsborough";(603) 512-4484;"181 Woodbine Avenue";"Manchester";"NH";03109;"Hillsborough";(603) 512-4484;"Lisa      ";"Doyon";6;6;;;12
"Alpha-Bits Learning Center II";"Alpha-Bits Learning Center, Inc.";"CCCB-05944";"Active";"Center Based Program License";"227 Londonderry Turnpike";"Manchester";"NH";03104;"Hillsborough";(603) 624-6650;"227 Londonderry Turnpike ";"Manchester";"NH";03104;"Hillsborough";(603) 624-6650;"Jason";"Allard";264;6;;;12
"Jane's Peanut Gallery";"Jane Boisvert";"CCFB-05027";"Active";"Family Based Program License";"24 South Gray Court";"Manchester";"NH";03103-3073;"Hillsborough";(603) 641-6311;"24 South Gray Court";"Manchester";"NH";03103;"Hillsborough";(603) 641-6311;"Cynthia   ";"Cliff";6;6;;;12
"Apple Blossoms Child Center";"Apple Blossoms Child Center, LLC";"CCCB-06212";"Active";"Center Based Program License";"1 Sundial Avenue, Suite 117";"Manchester";"NH";03103;"Hillsborough";(603) 647-4747;"1 Sundial Avenue, Suite 117";"Manchester";"NH";03103;"Hillsborough";(603) 647-4747;"Christine ";"Randall";61;6;;;12
"Easter Seals Child Development Center";"Easter Seals New Hampshire, Inc.";"CCCB-01486";"Active";"Center Based Program License";"555 Auburn Street";"Manchester";"NH";03103;"Hillsborough";(603) 621-3524;"555 Auburn Street";"Manchester";"NH";03103;"Hillsborough";(603) 621-3524;"Alexandra";"Schack";90;6;;;12
"Kiddie Corner Learning Center";"Byrnes Day Care, Inc.";"CCCB-02613";"Active";"Center Based Program License";"130 Silver Street";"Manchester";"NH";03103;"Hillsborough";(603) 627-4190;"130 Silver Street";"Manchester";"NH";03103;"Hillsborough";(603) 627-4190;"Mary      ";"Byrnes-Rivard";135;6;;;12
"Little Frogs & Polliwogs Learning Center";"Little Frogs & Polliwogs Learning Center, Inc.";"CCCB-05867";"Active";"Center Based Program License";"3011 Brown Avenue";"Manchester";"NH";03103;"Hillsborough";(603) 669-2695;"3011 Brown Avenue";"Manchester";"NH";03103;"Hillsborough";(603) 669-2695;"Deborah";"Asquith";117;6;;;12
"Alpha-Bits Learning Center I";"Alpha-Bits Learning Center, Inc.";"CCCB-02369";"Active";"Center Based Program License";"333 Allard Drive";"Manchester";"NH";03102;"Hillsborough";(603) 641-6642;"333 Allard Drive";"Manchester";"NH";03102;"Hillsborough";(603) 641-6642;"Kristin ";"Ayers";334;6;;;12
"Wee Play School";"Wee Play School, Inc.";"CCCB-02616";"Active";"Center Based Program License";"200 Bedford Street";"Manchester";"NH";03101;"Hillsborough";(603) 627-5806;"200 Bedford Street";"Manchester";"NH";03101;"Hillsborough";(603) 627-5806;"Amy       ";"Barron";228;6;;;12
"YMCA of Downtown Manchester School's Out Program @ Weston";"The Granite YMCA";"CCCB-05330";"Active";"Center Based Program License";"30 Mechanic Street";"Manchester";"NH";03101;"Hillsborough";(603) 623-3558;"1066 Hanover Street";"Manchester";"NH";03104;"Hillsborough";(603) 759-3671;"Jennifer  ";"Bourque";72;;;5;13
"Ste.  Marie Child Care Center";"St. Marie Parish";"CCCB-01004";"Active";"Center Based Program License";"133 Wayne Street";"Manchester";"NH";03102;"Belknap";(603) 668-2356;"133 Wayne Street";"Manchester";"NH";03102;"Hillsborough";(603) 668-2356;"Therese   ";"Cody";106;;;3;13
"YMCA of Downtown Manchester Start Program @ Beech Street School";"The Granite YMCA";"CCCB-04918";"Active";"Center Based Program License";"30 Mechanic Street";"Manchester";"NH";03101;"Hillsborough";(603) 625-1777;"333 Beech Street, Beech Street School";"Manchester";"NH";03103;"Hillsborough";(603) 625-1777;"Adrienne ";"Royal";85;;;5;14
"YMCA of Downtown Manchester Start Program @ Wilson Street School";"The Granite YMCA";"CCCB-05066";"Active";"Center Based Program License";"30 Mechanic Street";"Manchester";"NH";03101;"Hillsborough";(603) 305-5362;"401 Wilson Street";"Manchester";"NH";03103;"Hillsborough";(603) 305-5362;"Angela    ";"Lindahl";80;;;5;14
"YMCA of Downtown Manchester Child Development Center";"The Granite YMCA";"CCCB-01018";"Active";"Center Based Program License";"30 Mechanic Street";"Manchester";"NH";03101;"Hillsborough";(603) 232-8651;"30 Mechanic St";"Manchester";"NH";03101;"Hillsborough";(603) 232-8651;"Beth";"Smarse";205;6;;;14
"The Growing Years";"The Growing Years";"CCCB-01915";"Active";"Center Based Program License";"130 Harvell Street";"Manchester";"NH";03102;"Hillsborough";(603) 622-7072;"130 Harvell Street";"Manchester";"NH";03102;"Hillsborough";(603) 622-7072;"Katherine ";"Larochelle";111;6;;;14
