"rundate";"subtype";"ZIP";"LEGALNAME";"ADDRESS";"LICENSE";"LICENSE_EFFECTIVE";"LICENSE_EXPIRATION";"CITY";"COUNTY";"TELEPHONE";"FAXPHONE";"CAPACITY";"FACID";"N_LON";"N_LAT";"N_BLOCK";"FACTYPE";"state";"INFANT";"ONES";"TWOS";"THREE_TO_FIVE";"SCHOOL_AGE";"EMAIL"
3/1/2022;"CHILD CARE CENTER";"86046";"N.A.C.O.G. - WILLIAMS HEAD START";"310 WEST SHERMAN";"CDC-2056";9/1/2019;8/31/2022;"WILLIAMS";"COCONINO";"(928)635-4273";"(928)635-5388";10;"CDC2056";-112.18884;35.248353;40050017004057;"C11";"AZ";"N/A";"N/A";"LICENSED";"LICENSED";"N/A";"pswenson@nacog.org"
3/1/2022;"CHILD CARE CENTER";"86047";"N.A.C.O.G. - WINSLOW EARLY HEAD START";"800 NORTH APACHE AVENUE";"CDC-15449";6/1/2019;5/31/2022;"WINSLOW";"NAVAJO";"(928)774-9504";"(928)779-0514";25;"CDC15449";-110.692545;35.028089;40179604003075;"C11";"AZ";"8";"8";"LICENSED";"N/A";"N/A";"pswenson@nacog.org"
3/1/2022;"CHILD CARE CENTER";"86047";"N.A.C.O.G. - WINSLOW HEAD START";"AIRPORT RD/OLD COUNTRY CL";"CDC-0125";6/1/2019;5/31/2022;"WINSLOW";"NAVAJO";"(928)289-2651";"(928)289-5401";85;"CDC0125";-110.7;35.01;40179605002066;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"pswenson@nacog.org"
3/1/2022;"CHILD CARE CENTER";"86324";"N.A.C.O.G. - YAVAPAI HEAD START";"601 BLACK HILLS DRIVE";"CDC-6622";12/1/2020;11/30/2023;"CLARKDALE";"YAVAPAI";"(928)634-8308";"(   )   -";51;"CDC6622";-112.044473;34.739584;40250020043013;"C11";"AZ";"N/A";"16";"LICENSED";"LICENSED";"N/A";"yavapai@nacog.org"
3/1/2022;"CHILD CARE CENTER";"86320";"N.A.C.O.G. -ASH FORK HEAD START";"450 LEWIS AVENUE";"CDC-12163";8/1/2021;7/31/2024;"ASH FORK";"YAVAPAI";"(928)637-1027";"(928)637-2542";25;"CDC12163";-112.485035;35.224953;40250021001102;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"ash@nacog.org"
3/1/2022;"CHILD CARE CENTER";"85017";"NANA LUPE'S DAY CARE";"4480 NORTH BLACK CANYON HWY";"CDC-10026";9/1/2020;8/31/2023;"PHOENIX";"MARICOPA";"(602)249-2992";"(602)242-5056";54;"CDC10026";-112.113264;33.50189;40131090012002;"C11";"AZ";"5";"6";"LICENSED";"LICENSED";"LICENSED";"lupe.fong2019@gmail.com"
3/1/2022;"CHILD CARE CENTER";"85301";"NANA'S PLACE";"4910 WEST NORTHERN AVENUE";"CDC-12417";12/1/2020;11/30/2023;"GLENDALE";"MARICOPA";"(623)435-2211";"(623)435-1854";59;"CDC12417";-112.164715;33.553234;40130923093009;"C11";"AZ";"11";"22";"LICENSED";"LICENSED";"LICENSED";"tanyshatice@aol.com"
3/1/2022;"CHILD CARE CENTER";"85302";"NANA'S PLACE ACADEMY";"10046 NORTH 43RD AVENUE";"CDC-14018";2/1/2020;1/31/2023;"GLENDALE";"MARICOPA";"(623)931-5015";"(623)931-5016";150;"CDC14018";-112.151722;33.578113;40130923082000;"C11";"AZ";"12";"11";"LICENSED";"LICENSED";"LICENSED";"nanasfax@gmail.com"
3/1/2022;"CHILD CARE CENTER";"85204";"NANA'S PLACE CHILDCARE & PRESCHOOL";"1044 EAST BROADWAY ROAD";"CDC-17978";8/1/2020;7/31/2023;"MESA";"MARICOPA";"(480)659-7239";"(   )   -";59;"CDC17978";-111.808213;33.408037;40134215013016;"C11";"AZ";"8";"16";"LICENSED";"LICENSED";"LICENSED";"nanaplacemesaaz@gmail.com"
3/1/2022;"CHILD CARE CENTER";"85122";"NANNY'S DAYCARE / PRESCHOOL";"306 EAST COTTONWOOD LANE";"CDC-15619";12/1/2019;11/30/2022;"CASA GRANDE";"PINAL";"(520)421-1501";"(520)836-7682";134;"CDC15619";-111.750701;32.894277;40210013062028;"C11";"AZ";"13";"19";"LICENSED";"LICENSED";"LICENSED";"texasmildred@yahoo.com"
3/1/2022;"CHILD CARE CENTER";"85306";"NAOS DBA HEART KIDS ACADEMY";"14240 NORTH 43RD AVENUE";"CDC-18780";3/30/2020;2/28/2023;"GLENDALE";"MARICOPA";"(602)732-6283";"(   )   -";146;"CDC18780";-112.151333;33.615911;40131042181019;"C11";"AZ";"12";"22";"LICENSED";"LICENSED";"LICENSED";"rschutz@pureheart.org"
3/1/2022;"CHILD CARE CENTER";"85032";"NATURAL CHOICE ACADEMY";"13840 NORTH TATUM BOULEVARD";"CDC-15914";9/1/2020;8/31/2023;"PHOENIX";"MARICOPA";"(602)404-7820";"(602)404-6435";182;"CDC15914";-111.978143;33.612939;40131032112030;"C11";"AZ";"N/A";"17";"LICENSED";"LICENSED";"LICENSED";"info@ncakids.com"
3/1/2022;"CHILD CARE CENTER";"85204";"NEW BEGINNINGS PRESCHOOL";"1902 EAST HAMPTON AVENUE";"CDC-17806";2/1/2020;1/31/2023;"MESA";"MARICOPA";"(480)633-6336";"(480)633-0316";150;"CDC17806";-111.789568;33.39003;40134223022000;"C11";"AZ";"11";"10";"LICENSED";"LICENSED";"LICENSED";"nbpreschool@hotmail.com"
3/1/2022;"CHILD CARE CENTER";"85260";"NEW COVENANT LUTHERAN CHURCH CHILDREN'S MINISTRY CENTER";"15152 NORTH FRANK LLOYD WRIGHT BOULEVARD";"CDC-11980";9/1/2020;8/31/2023;"SCOTTSDALE";"MARICOPA";"(480)391-1264";"(480)391-3786";140;"CDC11980";-111.877988;33.624378;40132168501000;"C11";"AZ";"N/A";"N/A";"LICENSED";"LICENSED";"LICENSED";"dana.engstrom@newcoventaz.org"
3/1/2022;"CHILD CARE CENTER";"85008";"NEW CREATIONS DAY CARE & LEARNING CENTER";"2904 EAST ROOSEVELT STREET";"CDC-1532";10/1/2021;9/30/2024;"PHOENIX";"MARICOPA";"(602)273-7940";"(602)273-3884";153;"CDC1532";-112.019123;33.458677;40131135011017;"C11";"AZ";"14";"14";"LICENSED";"LICENSED";"LICENSED";"ncdaycare@aol.com"
3/1/2022;"CHILD CARE CENTER";"86403";"NEW DAY SCHOOL";"2200 SOTOL LANE";"CDC-0495";9/1/2019;8/31/2022;"LAKE HAVASU CITY";"MOHAVE";"(928)855-9660";"(928)855-9660";59;"CDC0495";-114.324763;34.477911;40159529001000;"C11";"AZ";"N/A";"15";"N/A";"N/A";"LICENSED";"jvbiehn@uneedspeed.net"
3/1/2022;"CHILD CARE CENTER";"86406";"NEW DAY SCHOOL";"3438 ORO GRANDE BOULEVARD";"CDC-3267";3/1/2021;2/29/2024;"LAKE HAVASU CITY";"MOHAVE";"(928)680-1002";"(928)763-1115";59;"CDC3267";-114.269535;34.464348;40159534021034;"C11";"AZ";"N/A";"14";"LICENSED";"LICENSED";"LICENSED";"lasko@ctaz.com"
3/1/2022;"CHILD CARE CENTER";"86442";"NEW DAY SCHOOL";"1380 RIVERVIEW DRIVE";"CDC-3441";2/1/2022;1/31/2025;"BULLHEAD CITY";"MOHAVE";"(928)763-1115";"(928)763-1115";113;"CDC3441";-114.601189;35.093231;40159519001001;"C11";"AZ";"N/A";"20";"LICENSED";"LICENSED";"LICENSED";"newdayschool@frontiernet.net"
3/1/2022;"CHILD CARE CENTER";"86426";"NEW DAY SCHOOL";"1837 EAST JOY LANE";"CDC-4808";1/1/2021;12/31/2023;"BULLHEAD CITY";"MOHAVE";"(928)768-6465";"(928)768-6465";108;"CDC4808";-114.587373;34.997138;40159520023017;"C11";"AZ";"N/A";"14";"LICENSED";"LICENSED";"LICENSED";"lasko@ctaz.com"
3/1/2022;"CHILD CARE CENTER";"86404";"NEW DAY SCHOOL (NORTH)";"2915 HAVASUPAI BOULEVARD";"CDC-7612";5/1/2019;4/30/2022;"LAKE HAVASU CITY";"MOHAVE";"(928)855-2227";"(928)855-2227";53;"CDC7612";-114.313561;34.509819;40159527002042;"C11";"AZ";"N/A";"12";"LICENSED";"LICENSED";"LICENSED";"jvbiehn@uneedspeed.net"
3/1/2022;"CHILD CARE CENTER";"85705";"NEW DISCOVERIES PRESCHOOL";"1109 WEST PRINCE ROAD";"CDC-11816";3/1/2020;2/28/2023;"TUCSON";"PIMA";"(520)293-5756";"(520)293-6984";117;"CDC11816";-110.990889;32.271958;40190045053003;"C11";"AZ";"11";"13";"LICENSED";"LICENSED";"LICENSED";"lindak617@yahoo.com"
3/1/2022;"CHILD CARE CENTER";"85224";"NEW HORIZON LITTLE LEARNERS";"2506 NORTH DOBSON ROAD";"CDC-17717";8/1/2019;7/31/2022;"CHANDLER";"MARICOPA";"(480)917-0054";"(480)917-0180";58;"CDC17717";-111.876607;33.342589;40134222112020;"C11";"AZ";"10";"17";"LICENSED";"LICENSED";"N/A";"Carissasmith@nhccservices.org"
3/1/2022;"CHILD CARE CENTER";"85283";"NEW HORIZON LITTLE LEARNERS";"1773 EAST MCNAIR DRIVE";"CDC-19138";11/8/2021;10/31/2024;"TEMPE";"MARICOPA";"(480)917-0054";"(   )   -";78;"CDC19138";-111.911287;33.351603;40133199053011;"C11";"AZ";"11";"13";"LICENSED";"N/A";"LICENSED";"Info@littlelearners.com"
3/1/2022;"CHILD CARE CENTER";"85706";"NEW LIFE DAY CARE";"330 WEST NEBRASKA STREET";"CDC-11603";10/1/2019;9/30/2022;"TUCSON";"PIMA";"(520)889-1536";"(520)889-2640";75;"CDC11603";-110.974736;32.1561;40190038024003;"C11";"AZ";"10";"16";"LICENSED";"LICENSED";"N/A";"bertha@vidanueva.cc"
3/1/2022;"CHILD CARE CENTER";"85225";"NEW VISTAS CENTER FOR EDUCATION";"650 NORTH ARIZONA AVENUE";"CDC-18867";5/20/2021;4/30/2024;"CHANDLER";"MARICOPA";"(480)963-2313";"(480)812-9207";205;"CDC18867";-111.841699;33.314543;40135230021015;"C11";"AZ";"N/A";"N/A";"LICENSED";"LICENSED";"LICENSED";"newvistasaaz@aol.com"
3/1/2022;"CHILD CARE CENTER";"85225";"NEW VISTAS CENTER FOR EDUCATION";"670 NORTH ARIZONA AVENUE #25";"CDC-3172";10/1/2020;9/30/2023;"CHANDLER";"MARICOPA";"(480)963-2313";"(480)812-9207";158;"CDC3172";-111.841702;33.314837;40135230021015;"C11";"AZ";"N/A";"N/A";"LICENSED";"LICENSED";"N/A";"newvistasaz@aol.com"
3/1/2022;"CHILD CARE CENTER";"85282";"NEXT HORIZONS";"4525 SOUTH COLLEGE AVENUE";"CDC-14951";9/1/2021;8/31/2024;"TEMPE";"MARICOPA";"(480)894-8870";"(480)736-2589";209;"CDC14951";-111.93497;33.383187;40133198005001;"C11";"AZ";"9";"54";"LICENSED";"LICENSED";"LICENSED";"nexthorizonschildcare@gmail.com"
3/1/2022;"CHILD CARE CENTER";"86004";"NIMBLE NOGGINS / SUMMIT GYMNASTICS ACADEMY";"1926 NORTH 4TH STREET, SUITE 7";"CDC-17032";9/1/2020;8/31/2023;"FLAGSTAFF";"COCONINO";"(928)526-0644";"(   )   -";85;"CDC17032";-111.613285;35.207827;40050004003037;"C11";"AZ";"N/A";"N/A";"LICENSED";"LICENSED";"LICENSED";"sganicole@hotmail.com"
3/1/2022;"CHILD CARE CENTER";"85015";"NINA'S FAMILY CHILD CARE CENTER LLC AT PARK LEE";"4710 NORTH 15TH DRIVE";"CDC-18516";2/1/2022;1/31/2025;"PHOENIX";"MARICOPA";"(602)266-1768";"(   )   -";14;"CDC18516";-112.092994;33.506399;40131089021005;"C11";"AZ";"N/A";"14";"LICENSED";"LICENSED";"N/A";"arguerra@ninasfamilycare.com"
3/1/2022;"CHILD CARE CENTER";"85018";"NINAS FAMILY CHILD CARE L.L.C.";"3502 EAST INDIAN SCHOOL ROAD";"CDC-18991";3/5/2021;2/29/2024;"PHOENIX";"MARICOPA";"(602)335-8951";"(602)368-8939";22;"CDC18991";-112.006726;33.495317;40131083021020;"C11";"AZ";"N/A";"6";"LICENSED";"LICENSED";"N/A";"eescobar@ninasfamilycare.com"
3/1/2022;"CHILD CARE CENTER";"85250";"NOAH WEBSTER SCHOOLS - PIMA";"5399 NORTH PIMA ROAD";"CDC-16959";8/1/2020;7/31/2023;"SCOTTSDALE";"MARICOPA";"(480)354-3490";"(   )   -";50;"CDC16959";-111.891405;33.515468;40139413001072;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"lpena@noahwebster.org"
3/1/2022;"CHILD CARE CENTER";"85209";"NOAH WEBSTER SCHOOLS-- MESA";"7301 EAST BASELINE ROAD";"CDC-13017";12/1/2021;11/30/2024;"MESA";"MARICOPA";"(480)986-2335";"(   )   -";204;"CDC13017";-111.674872;33.379185;40134226173002;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"LICENSED";"JFriedemann@noahwebster.org"
3/1/2022;"CHILD CARE CENTER";"85213";"NOAH'S ARK PRESCHOOL";"2745 NORTH 32ND STREET";"CDC-8883";9/1/2021;8/31/2024;"MESA";"MARICOPA";"(480)325-0687";"(480)985-4341";50;"CDC8883";-111.761738;33.465742;40134203032000;"C11";"AZ";"N/A";"N/A";"LICENSED";"LICENSED";"LICENSED";"noahsark@blc.phxcoxmail.com"
3/1/2022;"CHILD CARE CENTER";"85282";"NOOR ACADEMY OF ARIZONA";"1130 WEST 23RD STREET";"CDC-17155";3/1/2021;2/29/2024;"TEMPE";"MARICOPA";"(480)829-1443";"(480)829-1501";10;"CDC17155";-111.95571;33.403889;40133197051005;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"principal@nooracademyaz.com"
3/1/2022;"CHILD CARE CENTER";"85085";"NORTH VALLEY CHRISTIAN ACADEMY";"33655 NORTH 27TH DRIVE";"CDC-17849";9/1/2020;8/31/2023;"PHOENIX";"MARICOPA";"(623)551-3454";"(623)551-3454";425;"CDC17849";-112.116952;33.789736;40136113002022;"C11";"AZ";"N/A";"N/A";"LICENSED";"LICENSED";"LICENSED";"deannaoe@northvalleyca.org"
3/1/2022;"CHILD CARE CENTER";"85719";"NORTHMINSTER CHRISTIAN SCHOOL";"2450 EAST FORT LOWELL RD";"CDC-7510";8/1/2019;7/31/2022;"TUCSON";"PIMA";"(520)327-2321";"(520)327-1839";59;"CDC7510";-110.935924;32.264771;40190027022008;"C11";"AZ";"N/A";"37";"LICENSED";"LICENSED";"LICENSED";"CKOENIG@npctucson.org"
3/1/2022;"CHILD CARE CENTER";"85053";"NORTHWEST CHRISTIAN PRESCHOOL";"16401 NORTH 43RD AVENUE";"CDC-3259";2/1/2021;1/31/2024;"PHOENIX";"MARICOPA";"(602)978-5134";"(602)978-5804";161;"CDC3259";-112.150895;33.632644;40131042264006;"C11";"AZ";"N/A";"17";"LICENSED";"LICENSED";"LICENSED";"dunderwood@ncsaz.org"
3/1/2022;"CHILD CARE CENTER";"85335";"NORTHWEST VALLEY YMCA";"12450 WEST CINNABAR AVENUE";"CDC-19007";6/10/2021;5/31/2024;"EL MIRAGE";"MARICOPA";"(602)688-5335";"(   )   -";265;"CDC19007";-112.327244;33.574548;40130610432023;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"LICENSED";"lncorral@vosymca.org"
3/1/2022;"CHILD CARE CENTER";"85745";"NOSOTROS - EL RIO DAY CARE CENTER";"1390 WEST SPEEDWAY";"CDC-0636";11/1/2020;10/31/2023;"TUCSON";"PIMA";"(520)623-5912";"(520)624-7999";83;"CDC0636";-110.994746;32.235921;40190012001042;"C11";"AZ";"N/A";"22";"LICENSED";"LICENSED";"LICENSED";"nosotros4kids@yahoo.com"
3/1/2022;"CHILD CARE CENTER";"85710";"OLD SPANISH TRAIL SCHOOL #71401";"9395 EAST OLD SPANISH TRAIL";"CDC-14985";9/1/2021;8/31/2024;"TUCSON";"PIMA";"(520)885-8531";"(   )   -";99;"CDC14985";-110.791244;32.2084;40190040492011;"C11";"AZ";"9";"20";"LICENSED";"LICENSED";"LICENSED";"kelli.m@smallmiraclesedu.com"
3/1/2022;"CHILD CARE CENTER";"85716";"OLGA & BOB STRAUSS CENTER FOR EARLY CHILDHOOD EDUCATION";"225 NORTH COUNTRY CLUB RD";"CDC-8388";4/1/2021;3/31/2024;"TUCSON";"PIMA";"(520)325-0390";"(520)327-4504";211;"CDC8388";-110.926815;32.223617;40190019003014;"C11";"AZ";"32";"41";"LICENSED";"LICENSED";"LICENSED";"lhenry@templeemanueltucson.org"
3/1/2022;"CHILD CARE CENTER";"85120";"OLIVE TREE PRESCHOOL OF FINE ARTS";"1150 WEST SUPERSTITION BOULEVARD";"CDC-18853";7/6/2020;6/30/2023;"APACHE JUNCTION";"PINAL";"(480)327-7300";"(   )   -";59;"CDC18853";-111.558617;33.42248;40210003091062;"C11";"AZ";"7";"14";"LICENSED";"LICENSED";"LICENSED";"OlivetreePreschooloffinearts@gmail.com"
3/1/2022;"CHILD CARE CENTER";"85205";"OLIVE TREE PRESCHOOL OF FINE ARTS LLC";"319 NORTH 64TH STREET";"CDC-19004";4/19/2021;3/31/2024;"MESA";"MARICOPA";"(480)832-1431";"(   )   -";59;"CDC19004";-111.692963;33.421889;40134202144007;"C11";"AZ";"9";"8";"LICENSED";"LICENSED";"LICENSED";"olivetreepreschooloffinearts@gmail.com"
3/1/2022;"CHILD CARE CENTER";"85028";"ONE HUNDRED LEAVES PRESCHOOL";"4530 EAST GOLD DUST AVENUE";"CDC-19033";5/20/2021;4/30/2024;"PHOENIX";"MARICOPA";"(480)271-5821";"(   )   -";59;"CDC19033";-111.983736;33.579219;40131051012000;"C11";"AZ";"N/A";"N/A";"LICENSED";"LICENSED";"N/A";"leadership@onehundredleaves.com"
3/1/2022;"CHILD CARE CENTER";"85705";"OPEN ARMS PRESCHOOL & KINDERGARTEN DBA POET'S SQUARE DAY SCHOOL";"31 EAST LIMBERLOST";"CDC-17633";6/1/2019;5/31/2022;"TUCSON";"PIMA";"(520)888-8150";"(   )   -";78;"CDC17633";-110.971749;32.282988;40190045102005;"C11";"AZ";"4";"10";"LICENSED";"LICENSED";"LICENSED";"kelli@smallmiraclesedu.com"
3/1/2022;"CHILD CARE CENTER";"85742";"OPEN ARMS PRESCHOOL & KINDERGARTEN L L C";"9095 NORTH BALD EAGLE AVE";"CDC-13283";6/1/2019;5/31/2022;"TUCSON";"PIMA";"(520)744-8505";"(520)744-2445";211;"CDC13283";-111.069022;32.372088;40190046453006;"C11";"AZ";"29";"29";"N/A";"N/A";"LICENSED";"kelli@smallmiraclesedu.com"
3/1/2022;"CHILD CARE CENTER";"85201";"ORGANIC GARDEN PRESCHOOL";"521 NORTH ALMA SCHOOL ROAD";"CDC-18795";2/28/2020;1/31/2023;"MESA";"MARICOPA";"(602)930-1794";"(   )   -";30;"CDC18795";-111.85622;33.424567;40134211023005;"C11";"AZ";"N/A";"6";"LICENSED";"LICENSED";"LICENSED";"office@organicgardenpreschool.com"
3/1/2022;"CHILD CARE CENTER";"85377";"OUR LADY OF JOY ROMAN CATHOLIC PRESCHOOL";"36811 NORTH PIMA ROAD";"CDC-14410";12/1/2020;11/30/2023;"CAREFREE";"MARICOPA";"(480)595-6409";"(480)437-1093";59;"CDC14410";-111.891054;33.820537;40130101023117;"C11";"AZ";"N/A";"N/A";"LICENSED";"LICENSED";"N/A";"dallen@oloj.org      jsnook@oloj.org"
3/1/2022;"CHILD CARE CENTER";"85251";"OUR LADY OF PERPETUAL HELP CATHOLIC PRESCHOOL";"3801 NORTH MILLER ROAD";"CDC-17659";8/1/2019;7/31/2022;"SCOTTSDALE";"MARICOPA";"(480)874-3720";"(480)874-3767";59;"CDC17659";-111.917332;33.492304;40132176001000;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"LICENSED";"school@OLPHAZ.org"
3/1/2022;"CHILD CARE CENTER";"85301";"OUR LADY OF PERPETUAL HELP ROMAN CATHOLIC PARISH";"7521 NORTH 57TH AVENUE";"CDC-14194";8/1/2020;7/31/2023;"GLENDALE";"MARICOPA";"(623)931-7288";"(623)930-0256";59;"CDC14194";-112.180979;33.546585;40130925004014;"C11";"AZ";"N/A";"N/A";"LICENSED";"LICENSED";"LICENSED";"amarallys@olphglendab.com"
3/1/2022;"CHILD CARE CENTER";"86403";"OUR LADY OF THE LAKE ROMAN CATHOLIC PARISH LAKE HAVASU CITY";"1975 DAYTONA DRIVE";"CDC-14642";4/1/2021;3/31/2024;"LAKE HAVASU CITY";"MOHAVE";"(928)855-2685";"(928)855-7172";80;"CDC14642";-114.328476;34.468866;40159531003021;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"LICENSED";"fmu@ourladylhc.org"
3/1/2022;"CHILD CARE CENTER";"85710";"OUR MOTHER OF SORROWS EXTEND DAYCARE";"1800 SOUTH KOLB ROAD";"CDC-12677";3/1/2022;2/28/2025;"TUCSON";"PIMA";"(520)747-1047";"(   )   -";59;"CDC12677";-110.841211;32.200416;40190040085008;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"LICENSED";"sgholson@omosschool.com"
3/1/2022;"CHILD CARE CENTER";"85009";"OUT OF THIS WORLD CHRISTIAN CHILD CARE, INC.";"3849 WEST ENCANTO BOULEVARD";"CDC-7009";6/1/2021;5/31/2024;"PHOENIX";"MARICOPA";"(602)272-3780";"(602)272-3797";107;"CDC7009";-112.142436;33.473044;40131122011023;"C11";"AZ";"8";"25";"LICENSED";"LICENSED";"LICENSED";"jmontoya_@yahoo.com"
3/1/2022;"CHILD CARE CENTER";"85716";"OUTER LIMITS SCHOOL";"3472 EAST FT LOWELL";"CDC-11368";4/1/2019;3/31/2022;"TUCSON";"PIMA";"(520)327-0844";"(520)323-2984";196;"CDC11368";-110.918619;32.264933;40190028021000;"C11";"AZ";"9";"31";"LICENSED";"LICENSED";"LICENSED";"kelli@smallmiraclesedu.com"
3/1/2022;"CHILD CARE CENTER";"85745";"PAINTED SAGUARO PRESCHOOL";"3295 WEST SPEEDWAY BLVD";"CDC-16757";10/1/2019;9/30/2022;"TUCSON";"PIMA";"(520)329-3376";"(   )   -";25;"CDC16757";-111.03752;32.236246;40190044111026;"C11";"AZ";"N/A";"N/A";"LICENSED";"LICENSED";"N/A";"paintedsaguaropreschool123@gmail.com"
3/1/2022;"CHILD CARE CENTER";"85338";"PALM VALLEY MONTESSORI L L C";"629 NORTH SARIVAL AVENUE";"CDC-15044";8/1/2021;7/31/2024;"GOODYEAR";"MARICOPA";"(623)986-9516";"(   )   -";82;"CDC15044";-112.409366;33.453538;40130610092021;"C11";"AZ";"N/A";"3";"LICENSED";"LICENSED";"LICENSED";"eva.foster@palmvalleymontessori.com"
3/1/2022;"CHILD CARE CENTER";"85392";"PALM VALLEY PRESCHOOL INC. - DBA TEACH N' FUN";"12375 WEST INDIAN SCHOOL ROAD";"CDC-11276";3/1/2022;2/28/2025;"AVONDALE";"MARICOPA";"(623)935-1440";"(623)218-5802";107;"CDC11276";-112.325591;33.493091;40130610141008;"C11";"AZ";"N/A";"11";"LICENSED";"LICENSED";"LICENSED";"info@teachnfun.com"
3/1/2022;"CHILD CARE CENTER";"85374";"PALMS CHRISTIAN PRESCHOOL";"17475 WEST BELL ROAD";"CDC-10456";4/1/2021;3/31/2024;"SURPRISE";"MARICOPA";"(623)556-2230";"(623)374-3896";171;"CDC10456";-112.434002;33.638587;40130610253001;"C11";"AZ";"N/A";"13";"LICENSED";"LICENSED";"LICENSED";"twarren@palmchristianschool.com"
3/1/2022;"CHILD CARE CENTER";"85015";"PANDA BEAR LEARNING CENTER";"5345 NORTH 23RD AVENUE";"CDC-19034";10/1/2021;9/30/2024;"PHOENIX";"MARICOPA";"(602)249-1566";"(   )   -";36;"CDC19034";-112.108206;33.516571;40131073003001;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"LICENSED";"pandabearphx@gmail.com"
3/1/2022;"CHILD CARE CENTER";"85374";"PARADISE EDUCATION CENTER";"15533 WEST PARADISE LANE";"CDC-9378";8/1/2019;7/31/2022;"SURPRISE";"MARICOPA";"(623)546-7276";"(623)975-2841";265;"CDC9378";-112.395549;33.631228;40130610274001;"C11";"AZ";"N/A";"N/A";"N/A";"N/A";"LICENSED";"Cwirth@paradiseschools.org"
3/1/2022;"CHILD CARE CENTER";"85032";"PARADISE FOR TOTS CHRISTIAN SCHOOL";"13449 NORTH TATUM BLVD";"CDC-9658";2/1/2020;1/31/2023;"PHOENIX";"MARICOPA";"(602)996-9772";"(602)765-6422";245;"CDC9658";-111.977632;33.610658;40131032052003;"C11";"AZ";"N/A";"N/A";"LICENSED";"LICENSED";"LICENSED";"paradisefortots1@qwestoffice.net"
3/1/2022;"CHILD CARE CENTER";"85028";"PARADISE VALLEY CHRISTIAN SCHOOL";"11875 NORTH 24TH STREET";"CDC-1046";8/1/2020;7/31/2023;"PHOENIX";"MARICOPA";"(602)992-8140";"(602)992-8152";77;"CDC1046";-112.030315;33.595225;40131048024000;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"LICENSED";"dkenney@pvcp.org"
3/1/2022;"CHILD CARE CENTER";"85254";"PARADISE VALLEY COOPERATIVE SCHOOL";"6239 EAST BELL ROAD";"CDC-14052";4/1/2020;3/31/2023;"SCOTTSDALE";"MARICOPA";"(480)948-3330";"(480)596-3590";161;"CDC14052";-111.945187;33.640235;40131032171000;"C11";"AZ";"N/A";"16";"LICENSED";"LICENSED";"LICENSED";"pvcoopschool@gmail.com"
3/1/2022;"CHILD CARE CENTER";"85032";"PARADISE VALLEY EVANGELICAL LUTHERAN PRESCHOOL";"14845 NORTH 40TH STREET";"CDC-3251";8/1/2021;7/31/2024;"PHOENIX";"MARICOPA";"(602)992-4981";"(   )   -";45;"CDC3251";-111.995826;33.621475;40131032111015;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"pvlprek@gmail.com"
3/1/2022;"CHILD CARE CENTER";"85253";"PARADISE VALLEY UNITED METHODIST PRESCHOOL";"4455 EAST LINCOLN DRIVE";"CDC-0139";11/1/2019;10/31/2022;"PARADISE VALLEY";"MARICOPA";"(602)840-8265";"(602)840-8767";205;"CDC0139";-111.984343;33.531215;40131051033007;"C11";"AZ";"N/A";"17";"LICENSED";"LICENSED";"N/A";"msobraske@pvumc.org"
3/1/2022;"CHILD CARE CENTER";"85224";"PARAGON SCIENCE ACADEMY";"2975 WEST LINDA LANE";"CDC-15635";6/1/2020;5/31/2023;"CHANDLER";"MARICOPA";"(480)814-1600";"(480)814-1661";59;"CDC15635";-111.893235;33.317641;40138108001010;"C11";"AZ";"N/A";"N/A";"N/A";"N/A";"LICENSED";"showard@sonorsnschools.org"
3/1/2022;"CHILD CARE CENTER";"86322";"PARKSIDE CHRISTIAN LEARNING CENTER & LOS NINOS CHRISTIAN PRESCHOOL";"401 CAMP LINCOLN ROAD";"CDC-13369";7/1/2019;6/30/2022;"CAMP VERDE";"YAVAPAI";"(928)567-6791";"(928)567-3703";93;"CDC13369";-111.861948;34.585008;40250016011048;"C11";"AZ";"10";"15";"LICENSED";"LICENSED";"LICENSED";"Sheena@parksidecampverde.com"
3/1/2022;"CHILD CARE CENTER";"85624";"PATAGONIA MONTESSORI ELEMENTARY SCHOOL, INC.";"500 NORTH 3RD AVENUE";"CDC-13488";1/1/2020;12/31/2022;"PATAGONIA";"SANTA CRUZ";"(520)394-9530";"(520)394-2864";37;"CDC13488";-110.757502;31.543495;40239660002051;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"LICENSED";"jessiebeebe@gmail.com"
