"Name";"Last Name";"First Name";"Type Of Care";"Street Address";"City";"ID";"Zip";"Area Code";"Phone";"Age Range";"Accepts ICCP";"Financial Assistance";"Quality Rating";"Health & Safety Check";"Type of Registration";"Website";"Full/Part Time Care";"Environment";"Accreditation";"Meals";"Elementary Schools";"Special Needs";"Languages";"Education";"Age Groups & Rates"
"LITTLE SEEDS LEARNING CENTER";"CLARE";"NYLA";"Child Care Center";"1010 BRYDEN AVE STE B-1";"LEWISTON";702137;83501;208;"746-3070";"1 week to 6 years";"ICCP";"Multi-child discount";"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/12699";"ICCP";"http://www.littleseedslearningcenter.com";"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard";;"Breakfast, Afternoon Snack, Parent to Provide Meals";"CAMELOT, CENTENNIAL, McGHEE, McSORLEY, WHITMAN";"Developmental Disability, Emotional/Behavioral Disability, Infant Monitoring Device, Motor Physically Impaired, Hearing Impaired, Visually Impaired, Significant Chronic Illness, ADHD/ADD";"English";"Ask Provider";"<br/>0 - 12 Months : 415.00 Monthly PT, 700.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 370.00 Monthly PT, 625.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 340.00 Monthly PT, 575.00 Monthly FT"
"BUMBLEBEE HOME DAYCARE";"JASPER";"LILI";"(FCC)Group Child Care";;"LEWISTON";763886;83501;208;"305-4063";"1 year to 5 years";"Referral Only";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/13186";"Referral Only";;"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Computer for children's use";;"Breakfast, Lunch, Afternoon Snack";;;"English, Spanish";"CDA, Bachelor's Degree, other";"<br/>13-30 Months (1-2.5 years) : 390.00 Monthly PT, 640.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 390.00 Monthly PT, 600.00 Monthly FT"
"NEELYS DAYCARE";"NEELY";"SHANNON";"Family Child Care";;"LEWISTON";519664;83501;208;"790-0392";"1 month to 10 years";"City Licensed-data collection";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/296";"City Licensed-data collection";;"Both";"Smoke Free Facility, Outdoor Play Equipment, Fenced Yard";;"Breakfast, Morning Snack, Lunch, Afternoon Snack, Dinner";"McSORLEY";"Developmental Disability, Motor Physically Impaired, Hearing Impaired, Visually Impaired, Significant Chronic Illness, ADHD/ADD";"English";"High School Diploma/GED";"<br/>0 - 12 Months : 3.00 Hourly FT<br/>13-30 Months (1-2.5 years) : 3.00 Hourly FT<br/>31-60 Months (2.5-5 years) : 3.00 Hourly FT<br/>5 - 6 Years : 3.00 Hourly FT<br/>6 - 12 Years : 3.00 Hourly FT"
"LITTLE RASCALS CHILDCARE & PRESCHOOL";"SHOEMAKER";"MACKENZIE";"Child Care Center";"1010 17TH ST";"LEWISTON";1144757;83501;509;"780-8588";"1 week to 5 years";"ICCP";"Multi-child discount";"Type of Registration ICCP";"http://idahochildcarecheck.org/provider/14805";;;"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Special needs accessible";;"Morning Snack, Afternoon Snack, Special Meal Request, Parent to Provide Meals";"WHITMAN";;"English";"Ask Provider";"<br/>0 - 12 Months : 480.00 Monthly PT, 680.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 450.00 Monthly PT, 650.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 330.00 Monthly PT, 530.00 Monthly FT<br/>5 - 6 Years : 230.00 Monthly PT, 330.00 Monthly FT<br/>6 - 12 Years : 230.00 Monthly PT, 330.00 Monthly FT"
"LC KINDERCOLLEGE";"WIMER";"SARAH";"Child Care Center";"805 4TH ST";"LEWISTON";289923;83501;208;"792-2254";"1 month 2 weeks to 6 years";"ICCP";"Multi-child discount, Other";"Type of Registration ICCP";"http://idahochildcarecheck.org/provider/58";;;"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Computer for children's use, Special needs accessible";;"Breakfast, Afternoon Snack, USDA Food Program, Parent to Provide Meals";"CAMELOT, CENTENNIAL, McGHEE, McSORLEY, ORCHARDS, WEBSTER, WHITMAN";"Developmental Disability, Emotional/Behavioral Disability, Motor Physically Impaired, Hearing Impaired, Visually Impaired, ADHD/ADD";"English";"Ask Provider";"<br/>0 - 12 Months : 595.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 545.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 510.00 Monthly FT<br/>5 - 6 Years : 355.00 Monthly FT<br/>6 - 12 Years : 355.00 Monthly FT"
"TENDERCARE CHILDRENS CENTER";"SMALLEY";"LINDSEY";"Child Care Center";"1218 20TH ST";"LEWISTON";1052852;83501;208;"743-9787";"1 month to 12 years";"ICCP";"Other";"Type of Registration ICCP";"http://idahochildcarecheck.org/provider/14215";;;"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard";;"Breakfast, Morning Snack, Lunch, Afternoon Snack, USDA Food Program, Special Meal Request, Infant Formula Provided";"CAMELOT, CENTENNIAL, McGHEE, McSORLEY, WEBSTER, WHITMAN";"Hearing Impaired, ADHD/ADD, Other";"English";"Bachelor's Degree, other";"<br/>0 - 12 Months : 4.85 Hourly PT, 4.25 Hourly FT<br/>13-30 Months (1-2.5 years) : 4.85 Hourly PT, 4.00 Hourly FT<br/>31-60 Months (2.5-5 years) : 4.85 Hourly PT, 3.70 Hourly FT<br/>5 - 6 Years : 4.85 Hourly PT, 3.70 Hourly FT<br/>6 - 12 Years : 4.85 Hourly PT, 3.45 Hourly FT"
"LIVE LAUGH LEARN AT BUNNYS PLACE";"LAUTENSCHLAGER";"LOREAL";"Child Care Center";"222 THAIN RD";"LEWISTON";1048788;83501;208;"743-5977";"1 month 2 weeks to 4 years";"Referral Only";;"Type of Registration Referral Only";"http://idahochildcarecheck.org/provider/14145";;;"Full-Time";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Special needs accessible";;"Morning Snack, Lunch, Afternoon Snack";;"Hearing Impaired";"English";"Ask Provider";"<br/>0 - 12 Months : 690.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 590.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 440.00 Monthly FT"
"LIL SQUIRTS PLAY N LEARN";"SOCKRIDER";"COURTNEY";"(FCC)Group Child Care";;"LEWISTON";1129767;83501;208;"790-6551";"1 week to 12 years";"ICCP";;"Type of Registration ICCP";"http://idahochildcarecheck.org/provider/14638";;;"Both";"Smoke Free Facility, Outdoor Play Equipment, Fenced Yard";;"Breakfast, Morning Snack, Lunch, Afternoon Snack, USDA Food Program, Infant Formula Provided";"McSORLEY, WEBSTER";;"English";"Some College, child related";"<br/>0 - 12 Months : 350.00 Monthly PT, 550.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 350.00 Monthly PT, 550.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 350.00 Monthly PT, 550.00 Monthly FT<br/>5 - 6 Years : 350.00 Monthly PT, 550.00 Monthly FT<br/>6 - 12 Years : 350.00 Monthly PT, 550.00 Monthly FT"
"ROMAN CATHOLIC DIOCESE OF BOISE - ASAP";"HAMMRICH";"DENISE";"Child Care Center";"641 5TH AVE";"LEWISTON";554940;83501;208;"743-4411";"3 years to 13 years";"City Licensed-data collection";;"Type of Registration City Licensed-data collection";"http://idahochildcarecheck.org/provider/10692";;;"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Computer for children's use";;"Lunch, USDA Food Program";;"Motor Physically Impaired, Hearing Impaired, Visually Impaired, ADHD/ADD";"English";"Ask Provider";"<br/>31-60 Months (2.5-5 years) : 534.80 Monthly PT, 634.80 Monthly FT<br/>5 - 6 Years : 5368.00 Other FT<br/>6 - 12 Years : 5368.00 Other FT"
"TINY TOTS DAYCARE AND PRESCHOOL";"NIMER";"CASSIE";"Child Care Center";"150 S MAIN ST APT 17";"MALAD CITY";1123872;83252;208;"766-5437";"1 month to 12 years";"ICCP, State Licensed";;"Type of Registration ICCP, State Licensed";"http://idahochildcarecheck.org/provider/14551";;;"Full-Time";;;;;;"English";;"<br/>0 - 12 Months : 3.50 Hourly PT, 3.50 Hourly FT<br/>13-30 Months (1-2.5 years) : 2.50 Hourly FT<br/>31-60 Months (2.5-5 years) : 2.50 Hourly FT<br/>5 - 6 Years : 2.50 Hourly FT<br/>6 - 12 Years : 2.50 Hourly FT"
"LIZARD BUTTE LEARNING CENTER";"FRAZIER-FRANCKE";"REBECCA";"(FCC)Group Child Care";;"MARSING";996547;83639;208;"896-5982";"8 months to 12 years";"ICCP, State Licensed";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/13649";"ICCP, State Licensed";;"Both";"Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Computer for children's use";;"Breakfast, Morning Snack, Lunch, Afternoon Snack, Dinner, USDA Food Program";"MARSING";;"English";"Some College, other";"<br/>13-30 Months (1-2.5 years) : 24.00 Daily PT, 480.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 22.00 Daily PT, 420.00 Monthly FT<br/>5 - 6 Years : 20.00 Daily PT, 400.00 Monthly FT<br/>6 - 12 Years : 18.00 Daily PT, 400.00 Monthly FT"
"MARSING PRESCHOOL";"STEWART";"NORM";"Child Care Center";"205 S 8TH AVE W";"MARSING";1146329;83639;208;"649-5411";"3 years 6 months to 6 years";"ICCP, State Licensed";;"Type of Registration ICCP, State Licensed";"http://idahochildcarecheck.org/provider/14836";;;"Both";;;;;;"English";;"<br/>31-60 Months (2.5-5 years) : 300.00 Monthly PT, 400.00 Monthly FT<br/>5 - 6 Years : 300.00 Monthly PT, 400.00 Monthly FT"
"KAYLEEN CAMERONS CHILD CARE";"CAMERON";"KAYLEEN";"(FCC)Relative";;"MARSING";1038612;83639;208;"440-0629";"1 month to 13 years";"ICCP";;"Type of Registration ICCP";"http://idahochildcarecheck.org/provider/14031";;;"Both";"Smoke Free Facility, Outdoor Play Equipment, T.V. used less than 1 hr/day";;"Breakfast, Morning Snack, Lunch, Afternoon Snack";"MARSING";;"English";"High School Diploma/GED";"<br/>0 - 12 Months : 25.00 Daily FT<br/>13-30 Months (1-2.5 years) : 25.00 Daily FT<br/>31-60 Months (2.5-5 years) : 25.00 Daily FT<br/>5 - 6 Years : 25.00 Daily FT<br/>6 - 12 Years : 25.00 Daily FT"
"WINGS 2 FLY 123S & ABCS";"CASE";"SHAWN";"Child Care Center";"212 MAIN ST";"MARSING";1097113;83639;208;"713-3304";"1 week to 12 years 11 months";"ICCP, State Licensed";;"Type of Registration ICCP, State Licensed";"http://idahochildcarecheck.org/provider/14333";;;"Both";"Fenced Yard, Smoking Outside Only, Special needs accessible";;"Breakfast, Morning Snack, Lunch, Afternoon Snack, Dinner, USDA Food Program, Special Meal Request, Infant Formula Provided";"HOMEDALE, MARSING";"Developmental Disability, Emotional/Behavioral Disability, Infant Monitoring Device, Motor Physically Impaired, Hearing Impaired, Visually Impaired, Significant Chronic Illness, ADHD/ADD, Other";"English, Spanish";"Ask Provider";"<br/>0 - 12 Months : 550.00 Monthly PT, 600.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 380.00 Monthly PT, 550.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 380.00 Monthly PT, 550.00 Monthly FT<br/>5 - 6 Years : 380.00 Monthly PT, 550.00 Monthly FT<br/>6 - 12 Years : 380.00 Monthly PT, 550.00 Monthly FT"
"LITTLE SPROUTS KIDDIE KAMPUS LLC";"KESLER";"KALEIGH";"Child Care Center";"300 STIBNITE AVE";"MCCALL";1103755;83638;208;"315-1391";"1 month 2 weeks to 5 years";"State Licensed";;"Type of Registration State Licensed";"http://idahochildcarecheck.org/provider/14394";;;"Full-Time";"Smoke Free Facility";;"Parent to Provide Meals";;;"English";"Bachelor's Degree, other";"<br/>0 - 12 Months : 42.00 Daily FT<br/>13-30 Months (1-2.5 years) : 40.00 Daily FT<br/>31-60 Months (2.5-5 years) : 40.00 Daily FT<br/>5 - 6 Years : 40.00 Daily FT<br/>6 - 12 Years : 40.00 Daily FT"
"NEW HORIZON CHILD CARE - MERIDIAN";"ROBERTSON";"TERRA";"Child Care Center";"1830 N MERIDIAN RD";"MERIDIAN";549818;83646;208;"887-3880";"1 month 2 weeks to 12 years";"ICCP, State Licensed, QRIS";"Multi-child discount";"Step 6 of 6";"http://idahochildcarecheck.org/provider/1830";"ICCP, State Licensed, QRIS";;"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Computer for children's use";;"Breakfast, Morning Snack, Lunch, Afternoon Snack";"Hunter Elementary, MERIDIAN, PONDEROSA, PROSPECT Elementary-Meridian";;"English, Spanish";"Bachelor's Degree, Child Related";"<br/>0 - 12 Months : 182.00 Weekly PT, 255.00 Weekly FT, 783.00 Monthly PT, 1097.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 174.00 Weekly PT, 244.00 Weekly FT, 749.00 Monthly PT, 1050.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 152.00 Weekly PT, 213.00 Weekly FT, 654.00 Monthly PT, 873.00 Monthly FT<br/>5 - 6 Years : 145.00 Weekly PT, 203.00 Weekly FT, 624.00 Monthly PT, 830.00 Monthly FT<br/>6 - 12 Years : 138.00 Weekly PT, 193.00 Weekly FT, 594.00 Monthly PT, 830.00 Monthly FT"
"TEN MILE COMMUNITY CHURCH DAYCARE & PRESCHOOL";"MARTELLO";"LISA";"Child Care Center";"4440 E COLUMBIA RD";"MERIDIAN";210003;83642;208;"362-4602";"3 months to 10 years";"ICCP, State Licensed, QRIS";"Multi-child discount";"Step 3 of 6";"http://idahochildcarecheck.org/provider/3289";"ICCP, State Licensed, QRIS";;"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Computer for children's use";;"Morning Snack, Lunch, Afternoon Snack";"LAKE HAZEL, Silver Trail Elementary";"ADHD/ADD";"English";"Bachelor's Degree, other";"<br/>0 - 12 Months : 445.00 Monthly PT, 602.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 405.00 Monthly PT, 562.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 395.00 Monthly PT, 552.00 Monthly FT<br/>5 - 6 Years : 297.00 Monthly PT, 396.00 Monthly FT<br/>6 - 12 Years : 345.00 Monthly PT, 435.00 Monthly FT, 215.00 Other PT, 291.00 Other FT"
"NATURES CHILDCARE";"MORTENSEN";"HEATHER";"Child Care Center";"2135 S COBALT POINT WAY";"MERIDIAN";251560;83642;208;"884-3833";"1 month 2 weeks to 12 years";"ICCP, State Licensed, QRIS";"Multi-child discount";"Step 3 of 6";"http://idahochildcarecheck.org/provider/8145";"ICCP, State Licensed, QRIS";"http://natureschildcare.com";"Both";"Smoke Free Facility, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Computer for children's use, Special needs accessible";;"Breakfast, Morning Snack, Lunch, Afternoon Snack";"CHRISTINE DONNELL SCH OF ARTS, LAKE HAZEL, MAPLE GROVE, MARY McPHERSON, Pepper Ridge Elementary-Boise, SIENA ELEMENTARY, SPAULDING";;"English";"Some College, child related";"<br/>0 - 12 Months : 208.00 Weekly FT<br/>13-30 Months (1-2.5 years) : 194.00 Weekly FT<br/>31-60 Months (2.5-5 years) : 176.00 Weekly FT<br/>5 - 6 Years : 136.00 Weekly FT, 204.00 Other FT<br/>6 - 12 Years : 204.00 Weekly FT, 204.00 Other FT"
"RAISIN ANGELS LLC";"SACKETT";"JAYNE";"Child Care Center";"1771 E PINE AVE";"MERIDIAN";651052;83642;208;"884-1879";"1 month 2 weeks to 12 years";"ICCP, State Licensed, QRIS";;"Step 3 of 6";"http://idahochildcarecheck.org/provider/11927";"ICCP, State Licensed, QRIS";;"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Special needs accessible";;"Breakfast, Morning Snack, Lunch, Afternoon Snack, Dinner";"CHAPARRAL, CHIEF JOSHEPH, MARY McPHERSON, MERIDIAN, PEREGRINE, River Valley, SPAULDING";;"English, Spanish";"Some College, other";"<br/>0 - 12 Months : 45.00 Daily PT, 160.00 Weekly FT<br/>13-30 Months (1-2.5 years) : 40.00 Daily PT, 160.00 Weekly FT<br/>31-60 Months (2.5-5 years) : 35.00 Daily PT, 130.00 Weekly FT<br/>5 - 6 Years : 30.00 Daily PT, 120.00 Weekly FT<br/>6 - 12 Years : 25.00 Daily PT, 100.00 Weekly FT, 75.00 Other PT, 52.50 Other FT"
"KIDS CHOICE CHILD CARE CENTER";"FINDL";"ROBIN";"Child Care Center";"2210 W EVEREST LN";"MERIDIAN";398426;83646;208;"888-7540";"3 weeks to 12 years";"ICCP, State Licensed, QRIS";"Multi-child discount";"Beginning partipation in Steps to Quality";"http://idahochildcarecheck.org/provider/10053";"ICCP, State Licensed, QRIS";"http://www.mykidschoice.com";"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard";"NAEYC";"Breakfast, Morning Snack, Lunch, Afternoon Snack";"Hunter Elementary, PONDEROSA";"Developmental Disability, Emotional/Behavioral Disability, Significant Chronic Illness";"English";"Bachelor's Degree, Child Related";"<br/>0 - 12 Months : 225.00 Weekly FT<br/>13-30 Months (1-2.5 years) : 225.00 Weekly FT<br/>31-60 Months (2.5-5 years) : 208.00 Weekly PT, 230.00 Weekly FT<br/>5 - 6 Years : 140.00 Weekly FT, 120.00 Other PT<br/>6 - 12 Years : 95.00 Weekly FT, 60.00 Other PT"
"ALL ABOUT KIDS";"SOKOLI";"KATHY";"Child Care Center";"1155 E CHATEAU DR";"MERIDIAN";414178;83646;208;"884-3875";"1 month 2 weeks to 10 years";"ICCP, State Licensed";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/2078";"ICCP, State Licensed";"http://allaboutkidsmeridian.com";"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Computer for children's use";;"Breakfast, Lunch, Afternoon Snack";"CHIEF JOSHEPH, Discovery Elementary-Meridian, River Valley";"Hearing Impaired";"English, Bosnian";"Associate's Degree, Child Related";"<br/>0 - 12 Months : 35.00 Daily PT, 145.00 Weekly FT<br/>13-30 Months (1-2.5 years) : 35.00 Daily PT, 135.00 Weekly FT<br/>31-60 Months (2.5-5 years) : 35.00 Daily PT, 130.00 Weekly FT<br/>5 - 6 Years : 35.00 Daily PT, 110.00 Weekly FT<br/>6 - 12 Years : 35.00 Daily PT, 90.00 Weekly FT"
"ABC CLUB DAYCARE AND LEARNING CENTER";"GONZALEZ";"LESLIE";"Child Care Center";"650 W BROADWAY AVE";"MERIDIAN";644379;83642;208;"895-6789";"3 weeks to 5 years";"ICCP, State Licensed";"Multi-child discount";"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/11753";"ICCP, State Licensed";;"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Computer for children's use, Special needs accessible";;"Breakfast, Lunch, Afternoon Snack";;"Developmental Disability, Motor Physically Impaired";"English";"Bachelor's Degree, other";"<br/>0 - 12 Months : 130.00 Weekly PT, 165.00 Weekly FT, 560.00 Monthly PT, 715.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 130.00 Weekly PT, 165.00 Weekly FT, 560.00 Monthly PT, 715.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 105.00 Weekly PT, 130.00 Weekly FT, 450.00 Monthly PT, 560.00 Monthly FT<br/>5 - 6 Years : 105.00 Weekly PT, 130.00 Weekly FT, 450.00 Monthly PT, 560.00 Monthly FT"
"KIDS KOTTAGE";"FLOYD";"CHRISTINA";"(FCC)Group Child Care";;"MERIDIAN";455900;83646;208;"888-9366";"1 week to 12 years";"State Licensed";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/1741";"State Licensed";;"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Computer for children's use";;"Breakfast, Morning Snack, Lunch, Afternoon Snack, Dinner, USDA Food Program, Infant Formula Provided";"CHIEF JOSHEPH";;"English";"High School Diploma/GED";"<br/>0 - 12 Months : 30.00 Daily FT<br/>13-30 Months (1-2.5 years) : 25.00 Daily FT<br/>31-60 Months (2.5-5 years) : 25.00 Daily FT<br/>5 - 6 Years : 25.00 Daily FT<br/>6 - 12 Years : 16.00 Daily FT"
"MELISSAS DAYCARE";"SMITH";"MELISSA";"(FCC)Group Child Care";;"MERIDIAN";473465;83646;208;"230-4086";"1 month 2 weeks to 11 years";"State Licensed";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/3502";"State Licensed";;"Both";"Smoke Free Facility, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard";;"Breakfast, Morning Snack, Lunch, Afternoon Snack, USDA Food Program";"CHIEF JOSHEPH";;"English";"High School Diploma/GED";"<br/>0 - 12 Months : 35.00 Daily PT, 150.00 Weekly FT<br/>13-30 Months (1-2.5 years) : 35.00 Daily PT, 150.00 Weekly FT<br/>31-60 Months (2.5-5 years) : 30.00 Daily PT, 125.00 Weekly FT<br/>5 - 6 Years : 25.00 Daily PT, 125.00 Weekly FT<br/>6 - 12 Years : 25.00 Daily PT, 125.00 Weekly FT"
"POLARIS LEARNING CENTER";"SANDOVAL";"LEONA";"Child Care Center";"1096 E FAIRVIEW AVE";"MERIDIAN";1013345;83642;208;"629-7451";"1 month 2 weeks to 12 years";"State Licensed";"Multi-child discount";"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/13839";"State Licensed";"http://www.polarislearning.net";"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard";;"Breakfast, Morning Snack, Lunch, Afternoon Snack";"CHIEF JOSHEPH, Discovery Elementary-Idaho Falls, PEREGRINE, PROSPECT Elementary-Meridian, River Valley";;"English";"Bachelor's Degree, Child Related";"<br/>0 - 12 Months : 140.00 Weekly PT, 202.00 Weekly FT, 607.00 Monthly PT, 875.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 130.00 Weekly PT, 170.00 Weekly FT, 520.00 Monthly PT, 737.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 123.00 Weekly PT, 180.00 Weekly FT, 533.00 Monthly PT, 780.00 Monthly FT<br/>5 - 6 Years : 108.00 Weekly PT, 157.00 Weekly FT, 468.00 Monthly PT, 680.00 Monthly FT<br/>6 - 12 Years : 65.00 Weekly PT, 87.00 Weekly FT, 282.00 Monthly PT, 377.00 Monthly FT"
"ALL MY FRIENDS CHILDCARE & PRESCHOOL";"RAUCH";"MARIA";"(FCC)Group Child Care";;"MERIDIAN";454307;83642;208;"861-0664";"2 years to 5 years";"State Licensed";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/5452";"State Licensed";;"Both";"Smoke Free Facility, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard";;"Breakfast, Lunch, Afternoon Snack, USDA Food Program";;;"English";"Bachelor's Degree, Child Related";"<br/>0 - 12 Months : 135.00 Weekly FT<br/>13-30 Months (1-2.5 years) : 135.00 Weekly FT<br/>31-60 Months (2.5-5 years) : 135.00 Weekly FT<br/>5 - 6 Years : 135.00 Weekly FT<br/>6 - 12 Years : 135.00 Weekly FT"
"LINDER LEARNING ACADEMY";"HASSON";"CHELSEA";"Child Care Center";"737 N LINDER RD";"MERIDIAN";1004628;83642;208;"884-4460";"2 months to 12 years";"ICCP, State Licensed";"Multi-child discount";"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/13731";"ICCP, State Licensed";"http://www.linderlearningacademy.com";"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Special needs accessible";;"Breakfast, Afternoon Snack";"CHAPARRAL, MERIDIAN, PEREGRINE";"Emotional/Behavioral Disability, ADHD/ADD";"English";"High School Diploma/GED";"<br/>0 - 12 Months : 162.00 Weekly FT<br/>13-30 Months (1-2.5 years) : 126.00 Weekly FT<br/>31-60 Months (2.5-5 years) : 115.00 Weekly FT<br/>5 - 6 Years : 92.00 Weekly FT<br/>6 - 12 Years : 70.00 Weekly FT"
"FANTASYLAND DAYCARE INC";"WEST";"JONI";"Child Care Center";"1131 W CHERRY LN";"MERIDIAN";556166;83642;208;"888-1611";"2 weeks to 8 years";"ICCP, State Licensed";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/2074";"ICCP, State Licensed";;"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, Fenced Yard, Computer for children's use";;"Breakfast, Morning Snack, Lunch, Afternoon Snack";"CHAPARRAL";;"English";"High School Diploma/GED";"<br/>0 - 12 Months : 150.00 Weekly FT, 650.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 150.00 Weekly FT, 650.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 125.00 Weekly FT, 550.00 Monthly FT<br/>5 - 6 Years : 125.00 Weekly FT, 550.00 Monthly FT<br/>6 - 12 Years : 50.00 Weekly FT, 200.00 Monthly FT, 125.00 Other FT"
"OUR FUTURE SOCIETY LLC";"SHARTZER";"ANDREA";"(FCC)Group Child Care";;"MERIDIAN";224124;83642;208;"409-1720";"2 weeks to 4 years";"ICCP, State Licensed";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/5924";"ICCP, State Licensed";;"Both";"Smoke Free Facility, T.V. used less than 1 hr/day, Fenced Yard";;"Breakfast, Lunch, Afternoon Snack, Dinner";;;"English";"Bachelor's Degree, Child Related";"<br/>0 - 12 Months : 30.00 Daily FT, 150.00 Weekly PT<br/>13-30 Months (1-2.5 years) : 30.00 Daily FT, 150.00 Weekly PT<br/>31-60 Months (2.5-5 years) : 25.00 Daily FT, 125.00 Weekly PT"
"LITTLE STEPS DAY CARE";"KONARIK";"GINNIE";"Family Child Care";;"MERIDIAN";336852;83646;208;"846-8767";"1 month 2 weeks to 5 years";"State Licensed";"Multi-child discount";"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/5089";"State Licensed";;"Both";"Smoke Free Facility, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Computer for children's use";;"Morning Snack, Lunch, Afternoon Snack";;;"English, Sign Language";"High School Diploma/GED";"<br/>0 - 12 Months : 25.00 Daily FT<br/>13-30 Months (1-2.5 years) : 25.00 Daily FT<br/>31-60 Months (2.5-5 years) : 20.00 Daily FT<br/>5 - 6 Years : 20.00 Daily FT"
