"County";"CLR#";"Name";"Location Address";"City";"State";"Zip";"Phone";"Mailing Address";"Mailing City";"Mailing Zip";"Expiration Date";"Capacity";"Age Range Of Service";"Transporation Service";"Non Traditional";"Stars Rating";"Provider Type";"Active CCAP Children";"Address 2";"Serves Children with Special Needs"
"POWELL";"L383990";"Little Learners Inc. of Stanton";"316 Steamshovel Road";"Stanton";"KY";40380;"(606) 481-0866";"1821 North Fork Road";" Stanton";40380;"02/29/2020";40;"Infant To School Age";"N";"No Information Available";1;"Licensed";"Y";;"Y"
"BOONE";"L383571";"Little Learners Learning Center LLC";"130 Mullen Drive";"Walton";"KY";41094;"(859) 919-0608";"130 Mullen Drive";" Walton";41094;"03/31/2020";37;"Infant To School Age";"N";"No Information Available";2;"Licensed";"Y";;"No Information Available"
"FAYETTE";"L383626";"Little Lexington Academy, LLC";"4383 Old Harrodsburg Rd., Ste 145";"Lexington";"KY";40513;"(859) 739-3251";"4383 Old Harrodsburg Rd., Ste 145";" Lexington";40513;"09/30/2020";60;"Infant To School Age";"N";"No Information Available";1;"Licensed";"Y";;"Y"
"JOHNSON";"L383439";"Little Light Academy";"821 Euclid Avenue";"Paintsville";"KY";41240;"(606) 789-6433";"821 Euclid Avenue";" Paintsville";41240;"01/31/2020";30;"Two_To_School";"N";"No Information Available";5;"Licensed";"N";;"No Information Available"
"BOYLE";"L377039";"Little Lighthouse Learning & Care Center";"416 West Walnut Street";"Danville";"KY";40422;"(859) 238-0888";"P.O. Box 1736";" Danville";40423;"07/31/2020";121;"Infant To School Age";"Y";"No Information Available";2;"Licensed";"Y";;"N"
"KENTON";"L375479";"Little Links to Learning";"1945 Highland Pike";"Fort Wright";"KY";41017;"(859) 341-5465";"1945 Highland Pike";" Fort Wright";41017;"04/30/2020";182;"Infant To School Age";"N";"No Information Available";"Not Participating";"Licensed";"N";;"No Information Available"
"GARRARD";"L383742";"Little Lions Preschool";"201 Richmond Road";"Lancaster";"KY";40444;"(606) 365-7265";"201 Richmond Road";" Lancaster";40444;"04/30/2020";49;"Infant To School Age";"Y";"No Information Available";1;"Licensed";"N";;"No Information Available"
"BOONE";"L354943";"Little Miracles Child Development Center";"5904 Taylor Road";"Burlington";"KY";41005;"(859) 586-6656";"5904 Taylor Rd";" Burlington";41005;"03/31/2020";80;"Infant To School Age";"Y";"N";1;"Licensed";"Y";;"Y"
"PULASKI";"L358237";"Little Oaks Academy";"2060 Oak Hill Road";"Somerset";"KY";42503;"(606) 678-2081";"P.O. Box 3516";" West Somerset";42564;"03/31/2020";220;"Infant To School Age";"N";"N";3;"Licensed";"Y";;"Y"
"DAVIESS";"L358009";"Little Ones Academy";"714 East 3rd Street";"Owensboro";"KY";42303;"(270) 689-0927";"714 East 3rd Street";" Owensboro";42303;"04/30/2020";48;"Infant To School Age";"N";"N";1;"Licensed";"Y";;"N"
"FAYETTE";"L383907";"Little Ones Learning Center";"235 Walton Avenue";"Lexington";"KY";40502;"(502) 368-7839";"476 Skyview Lane";" Lexington";40511;"07/31/2020";100;"Infant To School Age";"N";"No Information Available";1;"Licensed";"Y";;"Y"
"CUMBERLAND";"L383732";"Little Panthers Daycare";"150 Glasgow Road";"Burkesville";"KY";42717;"(270) 864-1442";"150 Glasgow Road";" Burkesville";42717;"03/31/2020";68;"Toddler To Two_To_School";"N";"No Information Available";4;"Licensed";"Y";;"Y"
"LINCOLN";"L383486";"Little Patriots Preschool, Llc";"200 East Main Street";"Stanford";"KY";40484;"(606) 365-7265";"200 East Main Street";" Stanford";40484;"04/30/2020";50;"Infant To School Age";"N";"N";1;"Licensed";"Y";;"Y"
"HENRY";"L383981";"Little Pea Preschool";"4244 N Main St";"Eminence";"KY";40019;"(502) 655-1226";"4244 N Main St";" Eminence";40019;"02/29/2020";51;"Toddler To School_Age";"N";"No Information Available";1;"Licensed";"Y";;"Y"
"JEFFERSON";"L374860";"Little People Academy";"8040 New Lagrange Road";"Louisville";"KY";40222;"(502) 290-9300";"8040 New Lagrange Road";" Louisville";40222;"03/31/2020";45;"Infant To School Age";"N";"Y";1;"Licensed";"Y";;"No Information Available"
"JEFFERSON";"L382962";"Little People Academy";"4312 Bishop Lane";"Louisville";"KY";40218;"(502) 409-9203";"4312 Bishop Lane";" Louisville";40218;"11/30/2020";60;"Infant To School Age";"N";"Y";1;"Licensed";"Y";;"No Information Available"
"RUSSELL";"L383789";"Little People Childcare";"2142 Lakeway Drive";"Russell Springs";"KY";42642;"(270) 866-7995";"2142 Lakeway Drive";" Russell Springs";42642;"10/31/2020";86;"Infant To School Age";"N";"No Information Available";2;"Licensed";"Y";;"No Information Available"
"HARDIN";"L358154";"Little People's Child Development Center";"165 West Lincoln Trail Blvd";"Radcliff";"KY";40160;"(270) 352-2985";"165 West Lincoln Trail Blvd";" Radcliff";40160;"04/30/2020";99;"Infant To School Age";"Y";"Y";3;"Licensed";"Y";;"Y"
"HARDIN";"L359122";"Little People's Child Development Center";"1109 Julianna Court";"Elizabethtown";"KY";42701;"(270) 735-1422";"1109 Julianna Court";" Elizabethtown";42701;"01/31/2020";145;"Infant To School Age";"Y";"Y";3;"Licensed";"Y";;"Y"
"CHRISTIAN";"L383629";"Little Professional Family Childcare";"180 & 190 Cave Street";"Hopkinsville";"KY";42240;"(270) 886-5562";"180 Cave Street";" Hopkinsville";42240;"11/30/2020";37;"Infant To School Age";"N";"Y";2;"Licensed";"Y";;"No Information Available"
"WARREN";"L358914";"Little Scholar's Head Start & Child Care";"701 Brownslock Road";"Bowling Green";"KY";42102;"(270) 904-0247";"921 Beauty Avenue";" Bowling Green";42102;"02/29/2020";100;"Infant To School Age";"Y";"N";3;"Licensed";"Y";;"Y"
"LAUREL";"L356643";"Little Shepherds Day Care & Preschool";"111 N. Mcwhorter Street";"London";"KY";40741;"(606) 877-2601";"111 N. Mcwhorter Street";" London";40741;"07/31/2020";69;"Toddler To School_Age";"N";"N";3;"Licensed";"Y";;"Y"
"JEFFERSON";"L359073";"Little Smiles Learning Academy";"1367 South 28th Street";"Louisville";"KY";40211;"(502) 290-7150";"1367 South 28th Street";" Louisville";40211;"10/31/2020";45;"Infant To School Age";"N";"N";1;"Licensed";"Y";;"N"
"JEFFERSON";"L380683";"Little Smiles Learning Academy Dumesnil";"1240 South 28th Street";"Louisville";"KY";40211;"(502) 774-9550";"1240 South 28th Street";" Louisville";40211;"03/31/2020";64;"Infant To School Age";"N";"N";1;"Licensed";"Y";;"N"
"NICHOLAS";"L383925";"Little Sprouts";"605 Moorefield Road";"Carlisle";"KY";40311;"(859) 405-4020";"605 Moorefield Road";" Carlisle";40311;"08/31/2020";36;"Infant To School Age";"N";"No Information Available";1;"Licensed";"Y";;"No Information Available"
"RUSSELL";"L359110";"Little Sprouts Childcare";"3515 West Highway 80";"Russell Springs";"KY";42642;"(270) 866-8810";"Po Box 541";" Russell Springs";42642;"01/31/2020";139;"Infant To School Age";"N";"N";3;"Licensed";"Y";;"N"
"ALLEN";"L383926";"Little Sprouts Learning Center";"105 S. 2nd Street";"Scottsville";"KY";42164;"(270) 239-4769";"105 S. 2nd Street";" Scottsville";42164;"08/31/2020";40;"Infant To School Age";"N";"N";1;"Licensed";"Y";;"No Information Available"
"JEFFERSON";"L359251";"Little Star's Child Care Center";"3509 West Market Street";"Louisville";"KY";40211;"(502) 614-5411";"3509 West Market Street";" Louisville";40211;"09/30/2020";21;"Infant To School Age";"Y";"Y";1;"Licensed";"Y";;"No Information Available"
"HENDERSON";"L376961";"Little Stars Childcare";"631 North Green Street";"Henderson";"KY";42420;"(270) 854-0090";"631 North Green Street";" Henderson";42420;"07/31/2020";95;"Two_To_School";"N";"No Information Available";3;"Licensed";"Y";;"Y"
"SPENCER";"L359420";"Little Stars Preschool & Development Center";"100 Loop Road";"Fisherville";"KY";40023;"(502) 477-1150";"211 E. Main Street";" Simpsonville";40067;"02/29/2020";102;"Infant To School Age";"N";"No Information Available";3;"Licensed";"Y";;"N"
"HARDIN";"L383982";"Little Steps Daycare";"1111 N Dixie Ave, Suite 8";"Elizabethtown";"KY";42701;"(270) 872-6626";"1111 N Dixie Ave, Suite 8";" Elizabethtown";42701;"02/29/2020";38;"Infant To Two_To_School";"N";"No Information Available";1;"Licensed";"Y";;"Y"
"BOURBON";"L359417";"Little Stinkers";"2219 Redbud Lane";"Paris";"KY";40361;"(859) 707-1600";"2219 Redbud Lane";" Paris";40361;"06/30/2020";12;"Toddler To School_Age";"N";"No Information Available";1;"Licensed";"N";;"No Information Available"
"FAYETTE";"L383599";"Little Tots Learning Center";"3580 Caulder Rd.";"Lexington";"KY";40517;"(859) 245-1880";"3580 Caulder Rd.";" Lexington";40517;"07/31/2020";32;"Infant To School Age";"N";"No Information Available";1;"Licensed";"Y";;"No Information Available"
"HARDIN";"L383961";"Little Treasures LA";"1989 Leitchfield Road";"Elizabethtown";"KY";42701;"(270) 763-0649";"1989 Leitchfield Road";" Elizabethtown";42701;"05/31/2020";74;"Infant To School Age";"N";"No Information Available";1;"Licensed";"Y";;"Y"
"EDMONSON";"L359133";"Little Treasures Learning Academy";"2022 Chalybeate Road";"Smiths Grove";"KY";42171;"(270) 597-9845";"2022 Chalybeate Road";" Smiths Grove";42171;"02/29/2020";80;"Infant To School Age";"N";"No Information Available";3;"Licensed";"Y";;"Y"
"HARDIN";"L383978";"Little Treasures Learning Academy II";"208 Corporate Drive";"Elizabethtown";"KY";42701;"(270) 986-7929";"208 Corporate Drive";" Elizabethtown";42701;"02/29/2020";137;"Infant To School Age";"N";"No Information Available";1;"Licensed";"Y";;"Y"
"KENTON";"L383370";"Little Treehouse Learning Center";"115 Kennedy Drive";"Ft. Wright";"KY";41011;"(859) 578-8733";"115 Kennedy Drive";" Ft. Wright";41011;"08/31/2020";60;"Infant To School Age";"N";"No Information Available";3;"Licensed";"Y";;"Y"
"LOGAN";"L357514";"Little Tykes Day Care";"108 Wilson Avenue";"Auburn";"KY";42206;"(270) 542-6294";"PO Box 812";" Auburn";42206;"10/31/2020";40;"Infant To School Age";"N";"N";2;"Licensed";"Y";;"Y"
"HARLAN";"L383468";"Little Warriors Early Childhood Development";"6340 Hwy 522";"Totz";"KY";40870;"(606) 574-1900";"6340 Hwy 522";" Totz";40870;"03/31/2020";36;"Infant To School Age";"N";"No Information Available";3;"Licensed";"N";;"No Information Available"
"BRECKINRIDGE";"L383533";"Little Wonders Child Care";"189 Ballpark Road";"Hardinsburg";"KY";40143;"(270) 756-5800";"189 Ballpark Road";" Hardinsburg";40143;"01/31/2020";49;"Infant To Two_To_School";"N";"No Information Available";2;"Licensed";"Y";;"No Information Available"
"RUSSELL";"L357878";"Little Wonders Child Development Center";"3168 South Highway 127";"Russell Springs";"KY";42642;"(270) 866-8650";"P.O. Box 722";" Russell Springs";42642;"01/31/2020";103;"Infant To School Age";"N";"N";5;"Licensed";"Y";;"Y"
"MERCER";"L357897";"Little Wonders Learning Center";"532 South College Street";"Harrodsburg";"KY";40330;"(859) 734-9227";"532 South College Street";" Harrodsburg";40330;"03/31/2020";44;"Infant To School Age";"N";"No Information Available";1;"Licensed";"Y";;"Y"
"BOONE";"L355926";"Littlest Angels Learning Center";"1705 Mount Zion Road";"Union";"KY";41091;"(859) 384-1313";"1705 Mount Zion Rd";" Union";41091;"07/31/2020";179;"Infant To School Age";"Y";"N";1;"Licensed";"Y";;"No Information Available"
"KENTON";"L383612";"Littlest Angels Learning Center";"146 Mccullum Pike";"Independence";"KY";41051;"(859) 363-1313";"146 Mccullum Pike";" Independence";41051;"08/31/2020";73;"Infant To School Age";"Y";"No Information Available";1;"Licensed";"Y";;"No Information Available"
"JEFFERSON";"L369114";"Lively Children Childcare Center";"1140 Cherokee Road";"Louisville";"KY";40204;"(502) 744-2801";"PO Box 4336";" Louisville";40204;"11/30/2020";39;"Infant To Two_To_School";"N";"No Information Available";1;"Licensed";"N";;"Y"
"KENTON";"L383664";"Lloyd Memorial Early Head Start Center";"450 Bartlett";"Erlanger";"KY";41018;"(859) 206-2129";"717 Madison Avenue";" Covington";41011;"01/31/2020";17;"Infant To Two_To_School";"N";"No Information Available";1;"Licensed";"Y";;"Y"
"OLDHAM";"L358913";"Locust Grove Elementary Lions' Pride";"1231 East Highway 22";"Crestwood";"KY";40014;"(502) 222-3529";"1231 East Highway 22";" Crestwood";40014;"02/29/2020";200;"School_Age";"Y";"N";1;"Licensed";"Y";;"Y"
"LOGAN";"L383846";"Logan Christian Academy";"206 Sam Walton Drive";"Russellville";"KY";42276;"(270) 946-1316";"206 Sam Walton Drive";" Russellville";42276;"02/29/2020";35;"Toddler To School_Age";"N";"No Information Available";1;"Licensed";"Y";;"Y"
"LOGAN";"L350912";"Logan County Children's Center";"320 Peyton Street, P O Box 306";"Russellville";"KY";42276;"(270) 782-3162";"921 Beauty Avenue, CASOKY";" Bowling Green";42102;"06/30/2020";97;"Infant To Two_To_School";"Y";"N";4;"Licensed";"N";;"No Information Available"
"JEFFERSON";"L383781";"Logan's Treehouse";"7113 Lower Hunters Trace";"Louisville";"KY";40258;"(502) 365-2328";"7113 Lower Hunters Trace";" Louisville";40258;"09/30/2020";70;"Infant To School Age";"Y";"No Information Available";2;"Licensed";"Y";;"No Information Available"
"MONTGOMERY";"C70909";"Lollipop in Home Day Care";"48 Johnson Avenue";"Mt. Sterling";"KY";40353;"(859) 432-6171";"48 Johnson Avenue";" Mt. Sterling";40353;"03/31/2020";6;"No Information Available";"N";"No Information Available";1;"Certified";"N";;"No Information Available"
"MCCRACKEN";"L358678";"Lone Oak Elementary Little Acorns Before & After School Child Care";"301 Cumberland Avenue";"Paducah";"KY";42001;"(270) 538-4120";"301 Cumberland Avenue";" Paducah";42001;"06/30/2020";100;"School_Age";"Y";"No Information Available";1;"Licensed";"Y";;"Y"
"MCCRACKEN";"L354659";"Lone Oak First Baptist Church Weekday Preschool";"3601 Lone Oak Road";"Paducah";"KY";42001;"(270) 554-9333";"3601 Lone Oak Road";" Paducah";42001;"03/31/2020";99;"Two_To_School";"N";"No Information Available";"Not Participating";"Licensed";"N";;"No Information Available"
"BOONE";"L359257";"Longbranch Elementary ASP";"2805 Longbranch Road";"Union";"KY";41091;"(859) 431-2075";"333 Madison Ave";" Covington";41011;"08/31/2020";75;"School_Age";"N";"N";4;"Licensed";"N";;"Y"
"MUHLENBERG";"L354721";"Longest Elementary Child Care";"1020 North Main Street";"Greenville";"KY";42345;"(270) 338-7646";"1020 North Main Street";" Greenville";42345;"06/30/2020";99;"Two_To_School To School_Age";"Y";"N";3;"Licensed";"Y";;"Y"
"MARION";"L356188";"Loretto Child Care Center";"225 School Drive";"Loretto";"KY";40037;"(270) 865-5074";"225 School Drive, P.O. Box 58";" Loretto";40037;"08/31/2020";86;"Infant To School Age";"N";"N";3;"Licensed";"Y";;"N"
"MARION";"L350895";"Loretto Head Start";"225 Schoolhouse Drive";"Loretto";"KY";40037;"(270) 865-4214";"P.O. Box 830";" Lebanon";40033;"06/30/2020";39;"Two_To_School";"Y";"No Information Available";5;"Licensed";"N";;"No Information Available"
"SHELBY";"C52661";"Lorrie's Little Angels";"2768 Brassfield Circle";"Shelbyville";"KY";40065;"(502) 647-3464";"2768 Brassfield Circle";" Shelbyville";40065;"12/31/2020";6;"No Information Available";"N";"N";1;"Certified";"N";;"No Information Available"
"JEFFERSON";"C6461";"Los Princesitos";"5707 3rd Street South";"Louisville";"KY";40214;"(502) 363-4705";"5707 3rd Street South";" Louisville";40214;"06/30/2020";6;"No Information Available";"N";"Y";3;"Certified";"Y";;"No Information Available"
"WARREN";"L355543";"Lost River After-School Program";"450 Modern Way";"Bowling Green";"KY";42101;"(270) 991-3862";"1227 Westen Avenue";" Bowling Green";42104;"01/31/2021";380;"School_Age";"Y";"N";1;"Licensed";"Y";;"Y"
"JEFFERSON";"L353622";"Lots of Tots Daycare Center";"2901 Pindell Avenue";"Louisville";"KY";40217;"(502) 637-6543";"2901 Pindell Avenue";" Louisville";40217;"10/31/2020";12;"Two_To_School To School_Age";"N";"N";1;"Licensed";"N";;"N"
"LAWRENCE";"L352034";"Louisa Head Start";"305 Franklin Street";"Louisa";"KY";41230;"(606) 826-0147";"21039 W Us 60";" Olive Hill";41164;"12/31/2020";32;"Two_To_School";"Y";"No Information Available";5;"Licensed";"N";;"No Information Available"
"JEFFERSON";"L383989";"Louisville Adventist Academy";"2988 Newburg Road";"Louisville";"KY";40205;"(502) 452-2965";"2988 Newburg Road";" Louisville";40205;"02/29/2020";23;"Two_To_School To School_Age";"N";"No Information Available";1;"Licensed";"N";;"No Information Available"
"JEFFERSON";"L358819";"Louisville Collegiate School";"2465 Glenmary Avenue";"Louisville";"KY";40204;"(502) 479-0340";"2465 Glenmary Avenue";" Louisville";40204;"03/31/2020";129;"Two_To_School To School_Age";"Y";"N";1;"Licensed";"N";;"Y"
"JEFFERSON";"L373373";"Love and Prayer Childcare";"1933 West Madison Street";"Louisville";"KY";40203;"(502) 409-4780";"1933 West Madison Street";" Louisville";40203;"02/29/2020";20;"Infant To School Age";"Y";"Y";1;"Licensed";"Y";;"No Information Available"
"JEFFERSON";"L383773";"Love My Children";"737 S 8th St";"Louisville";"KY";40203;"(502) 298-9982";"737 S 8th St";" Louisville";40203;"09/30/2020";60;"Infant To School Age";"Y";"No Information Available";1;"Licensed";"Y";;"Y"
"RUSSELL";"C54910";"Love-A-Lots In Home Childcare";"429 R. Grider Rd.";"Russell Springs";"KY";42642;"(270) 585-1772";"429 R. Grider Rd.";" Russell Springs";42642;"05/31/2021";6;"No Information Available";"N";"N";1;"Certified";"N";;"No Information Available"
"BOURBON";"L358852";"Love's Angels LLC";"513 High Street";"Paris";"KY";40361;"(859) 987-5222";"513 High Street";" Paris";40361;"03/31/2020";77;"Infant To School Age";"Y";"Y";4;"Licensed";"Y";;"Y"
"HARDIN";"C1081";"Loving Care";"3100 S Woodland Drive";"Radcliff";"KY";40160;"(270) 312-5940";"3100 S Woodland Drive";" Radcliff";40160;"02/28/2021";6;"No Information Available";"N";"Y";2;"Certified";"N";;"Y"
"NELSON";"L356564";"Loving Care Day Care";"10745 New Haven Road";"New Haven";"KY";40051;"(502) 549-8627";"10745 New Haven Road";" New Haven";40051;"03/31/2020";60;"Infant To School Age";"N";"N";1;"Licensed";"Y";;"Y"
"BOYLE";"C70913";"Loving Days Child Care";"961 East Count Fleet Circle";"Danville";"KY";40422;"(859) 238-9744";"961 East Count Fleet Circle";" Danville";40422;"05/31/2020";6;"No Information Available";"N";"No Information Available";1;"Certified";"N";;"No Information Available"
"OLDHAM";"L383914";"Loving Hands Learning Center";"1000 Buckner Center Suite 1";"Lagrange";"KY";40031;"(502) 265-0421";"1000 Buckner Center, Suite 1";" LaGrange";40031;"07/31/2020";41;"Infant To School Age";"N";"No Information Available";1;"Licensed";"Y";;"Y"
"CLARK";"L358367";"Loving Touch Learning Center";"130 Clintonville Rd";"Winchester";"KY";40391;"(859) 745-5807";"130 Clintonville Rd";" Winchester";40391;"12/31/2020";45;"Infant To School Age";"N";"N";3;"Licensed";"Y";;"Y"
"JEFFERSON";"L353253";"Lowe Elementary Childcare Enrichment Program";"210 Oxfordshire Lane";"Louisville";"KY";40222;"(502) 637-1575";"2411 Bowman Avenue, Ymca";" Louisville";40217;"01/31/2020";105;"Two_To_School To School_Age";"Y";"N";4;"Licensed";"Y";;"Y"
"JEFFERSON";"L356660";"Luhr Elementary Childcare Enrichment Program";"6900 Fegenbush Lane";"Louisville";"KY";40228;"(502) 637-1575";"2411 Bowman Avenue, Ymca";" Louisville";40217;"08/31/2020";284;"Two_To_School To School_Age";"Y";"N";4;"Licensed";"Y";;"Y"
"HARDIN";"L354490";"Lutheran Child Care Center";"1701 Ring Road East";"Elizabethtown";"KY";42701;"(270) 769-5910";"1701 Ring Road East";" Elizabethtown";42701;"08/31/2020";145;"Infant To School Age";"N";"N";3;"Licensed";"Y";;"No Information Available"
"FAYETTE";"L358771";"Lutheran School of Lexington (The)";"425 Patchen Dr";"Lexington";"KY";40517;"(859) 268-7787";"425 Patchen Dr";" Lexington";40517;"08/31/2020";50;"Two_To_School";"N";"No Information Available";4;"Licensed";"N";;"No Information Available"
"CALDWELL";"L354111";"Luv-N-Care Day Care";"10444 South Jefferson Street";"Princeton";"KY";42445;"(270) 365-3024";"P.O. Box 711";" Princeton";42445;"02/29/2020";12;"Two_To_School To School_Age";"N";"N";2;"Licensed";"Y";;"No Information Available"
"KNOX";"L357918";"Luv-N-Care Daycare";"332 North Hwy 830";"Corbin";"KY";40701;"(606) 528-9078";"332 North Hwy 830";" Corbin";40701;"05/31/2020";18;"Infant To School Age";"N";"Y";2;"Licensed";"Y";;"Y"
"JEFFERSON";"L383615";"Lyndon Learning Childcare";"1100 Lyndon Lane";"Louisville";"KY";40222;"(502) 365-4815";"1100 Lyndon Lane";" Louisville";40222;"08/31/2020";92;"Infant To Two_To_School";"N";"No Information Available";1;"Licensed";"Y";;"No Information Available"
"LYON";"L359143";"Lyon County Child Development Center";"215 Jenkins Road";"Eddyville";"KY";42038;"(270) 388-8471";"215 Jenkins Road";" Eddyville";42038;"02/29/2020";16;"Infant To Two_To_School";"Y";"N";5;"Licensed";"Y";;"Y"
"LYON";"L383865";"Lyon Cub Day Care";"201 W. Fairview Ave.";"Eddyville";"KY";42038;"(270) 388-9715";"217 Jenkins Rd.";" Eddyville";42038;"03/31/2020";150;"Two_To_School To School_Age";"Y";"No Information Available";1;"Licensed";"Y";;"Y"
"JEFFERSON";"L376731";"Mac's Childcare III";"4102 1/2 Cane Run Road";"Louisville";"KY";40216;"(502) 445-2808";"4630 Clarion Court";" Louisville";40216;"08/31/2020";95;"Infant To School Age";"Y";"N";1;"Licensed";"Y";;"N"
"JEFFERSON";"L383136";"Mac's Creative Kid's";"221 S Shelby St, Ste B";"Louisville";"KY";40202;"(502) 445-2808";"18811 Weatherford Cir.";" Louisville";40245;"03/31/2020";141;"Infant To School Age";"Y";"Y";1;"Licensed";"Y";;"N"
"GARRARD";"L358761";"MAFEW Camp Dick Robinson";"7541 Lexington Road";"Lancaster";"KY";40444;"(859) 734-9622";"P.O. Box 326";" Harrodsburg";40330;"09/30/2020";40;"School_Age";"N";"N";2;"Licensed";"N";;"Y"
"MERCER";"L355535";"MAFEW Mercer County Elementary School ASP";"741 Tapp Rd.";"Harrodsburg";"KY";40330;"(859) 734-9622";"741 Tapp Rd.";" Harrodsburg";40330;"08/31/2020";101;"Two_To_School To School_Age";"Y";"N";4;"Licensed";"Y";;"Y"
"MERCER";"L383570";"MAFEW Preschool";"750 Tapp Road";"Harrodsburg";"KY";40330;"(859) 734-9622";"P.O. Box 326";" Harrodsburg";40330;"03/31/2020";19;"Two_To_School To School_Age";"Y";"No Information Available";4;"Licensed";"Y";;"N"
"CHRISTIAN";"C3526";"Maggie's Daycare";"13180 North Greenville Road";"Crofton";"KY";42217;"(270) 269-2817";"13180 North Greenville Road";" Crofton";42217;"08/31/2021";6;"No Information Available";"N";"N";4;"Certified";"Y";;"Y"
"JEFFERSON";"L383728";"Magnolia Montessori School";"1451 South 1st Street, Ste. 1";"Louisville";"KY";40208;"(502) 309-4622";"1451 South 1st Street, Ste. 1";" Louisville";40208;"03/31/2020";27;"Toddler To Two_To_School";"N";"No Information Available";1;"Licensed";"Y";;"Y"
"JEFFERSON";"C71074";"Mailan Sierra Perez";"5207 Monaco Drive";"Louisville";"KY";40219;"(502) 609-5373";"5207 Monaco Drive";" Louisville";40219;"07/31/2021";6;"No Information Available";"N";"No Information Available";1;"Certified";"N";;"No Information Available"
"CAMPBELL";"L358527";"Main Street Christian Education Center";"11093 Alexandria Pike";"Alexandria";"KY";41001;"(859) 474-3102";"11093 Alexandria Pike";" Alexandria";41001;"09/30/2020";160;"Infant To School Age";"N";"No Information Available";5;"Licensed";"N";;"No Information Available"
"JEFFERSON";"L383748";"Main Street Kids Academy";"2817 R Hikes Ln.";"Louisville";"KY";40218;"(502) 890-5626";"2817 R Hikes Ln.";" Louisville";40218;"06/30/2020";106;"Infant To School Age";"Y";"No Information Available";1;"Licensed";"Y";;"No Information Available"
"JEFFERSON";"L384001";"Main Street Kids Academy Southwest";"1520 Gagel Avenue";"Louisville";"KY";40216;"(502) 630-2000";"1520 Gagel Avenue";" Louisville";40216;"03/31/2020";62;"Infant To School Age";"N";"No Information Available";1;"Licensed";"Y";;"No Information Available"
"JEFFERSON";"L383904";"Majestic Scholars Childcare Center";"3149 Commerce Center Place";"Louisville";"KY";40211;"(502) 365-3144";"3149 Commerce Center Place";" Louisville";40211;"06/30/2020";81;"Infant To School Age";"Y";"Y";1;"Licensed";"Y";;"No Information Available"
"CUMBERLAND";"L383749";"Mama Carolyn Day Care";"98 Old Columbia Rd.";"Burkesville";"KY";42712;"(270) 864-3151";"98 Old Columbia Rd.";" Burkesville";42712;"04/30/2020";12;"Toddler To School_Age";"N";"No Information Available";1;"Licensed";"N";;"No Information Available"
"JEFFERSON";"L383805";"Manslick Learning Academy";"4441 Manslick Rd";"Louisville";"KY";40216;"(502) 290-1998";"4441 Manslick Rd";" Louisville";40216;"12/31/2020";29;"Infant To School Age";"N";"No Information Available";1;"Licensed";"Y";;"Y"
"JEFFERSON";"L350413";"Maple Grove Baptist Day Care Center";"5911 East Manslick Road";"Louisville";"KY";40219;"(502) 966-5832";"5911 East Manslick Road";" Louisville";40219;"09/30/2020";74;"Infant To School Age";"N";"N";1;"Licensed";"Y";;"No Information Available"
"MONTGOMERY";"L355139";"Mapleton Elementary After School Child Care";"809 Indian Mound Drive";"Mt. Sterling";"KY";40353;"(859) 497-8724";"640 Woodford Drive";" Mt. Sterling";40353;"01/31/2020";172;"Two_To_School To School_Age";"Y";"N";4;"Licensed";"Y";;"Y"
"JEFFERSON";"C71065";"Marbelys Silva";"3413 East Indian Trail";"Louisville";"KY";40213;"(502) 708-8624";"3413 East Indian Trail";" Louisville";40213;"06/30/2021";6;"No Information Available";"N";"No Information Available";1;"Certified";"Y";;"No Information Available"
"HARDIN";"C0904";"Marcy's Kiddie Korral";"1011 Thomas Road";"Rineyville";"KY";40162;"(270) 735-9827";"1011 Thomas Road";" Rineyville";40162;"03/31/2020";6;"No Information Available";"N";"N";1;"Certified";"N";;"No Information Available"
"HARLAN";"C70987";"Marcy's Playground";"250 Ready Mix Rd.";"Harlan";"KY";40831;"(606) 573-2913";"250 Ready Mix Rd.";" Harlan";40831;"02/28/2021";6;"No Information Available";"N";"Y";4;"Certified";"Y";;"No Information Available"
"JEFFERSON";"C71022";"Maria Home Daycare";"7312 Shepherdsville Rd";"Louisville";"KY";40219;"(502) 572-9058";"7312 Shepherdsville Rd";" Louisville";40219;"03/31/2020";6;"No Information Available";"N";"No Information Available";1;"Certified";"N";;"No Information Available"
"MONROE";"C5417";"Maria's Childcare";"8636 County House Road";"Tompkinsville";"KY";42167;"(270) 487-6407";"8636 County House Road";" Tompkinsville";42167;"08/31/2020";6;"No Information Available";"N";"N";4;"Certified";"Y";;"Y"
"FAYETTE";"L350183";"Marino's Day Care Center";"130 West Fifth Street";"Lexington";"KY";40508;"(859) 255-0490";"130 West Fifth Street";" Lexington";40508;"01/31/2020";28;"Toddler To School_Age";"Y";"N";1;"Licensed";"Y";;"N"
"ROWAN";"C6333";"Marsha Bradley";"28 Clayton Lane";"Morehead";"KY";40351;"(606) 783-1321";"28 Clayton Lane";" Morehead";40351;"10/31/2021";6;"No Information Available";"N";"N";2;"Certified";"N";;"Y"
"MCCRACKEN";"L383903";"Martha's Agape Love Childcare";"1396 Irvin Cobb Drive";"Paducah";"KY";42003;"(270) 366-3851";"1396 Irvin Cobb Drive";" Paducah";42003;"06/30/2020";46;"Infant To School Age";"N";"No Information Available";1;"Licensed";"Y";;"Y"
