"ShortName";"ProviderName";"ProviderNumber";"Address";"City";"State";"Zip";"County";"LocationNumber";"FacilityNumber";"Regulations";"ContactName";"ContactPhone";"LicenseeName";"AgesServed";"Stars";"DayCapacity";"NightCapacity";"MonthsOpen";"Accreditation";"Mon";"Tue";"Wed";"Thu";"Fri";"Sat";"Sun";"FacilityID";"GroupSize";"ChildrenUnder7"
"Grandma's House Early Dev Center";"Grandma's House Early Dev Center";5000586035;"6004 S Elaine Ave";"Cudahy";"WI";53110;"Milwaukee County";1;1015870;"Licensed Family";"Kathleen Denton";"(414) 522-3472";"Kathleen Denton";"4 Week(s) - 13 Year(s)";"3 Stars";8;8;"Jan - Dec";;"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:00PM";;"8:00PM - 11:59PM";"5000586035_1";;
"Greater Minds Childcare";"Greater Minds Childcare";5000590075;"4950 N 40Th St";"Milwaukee";"WI";"53209-5206";"Milwaukee County";1;2004973;"Licensed Family";"Laquita Moss";"(414) 517-2626";"Laquita Moss";"6 Week(s) - 13 Year(s)";"3 Stars";8;8;"Jan - Dec";;"6:00AM - 11:59PM";"6:00AM - 11:59PM";"6:00AM - 11:59PM";"6:00AM - 11:59PM";"6:00AM - 11:59PM";"10:00AM - 4:00PM";;"5000590075_1";;
"Guarding Your Angels Inc";"Guarding Your Angels Inc";4000571984;"3147 S 16Th St";"Milwaukee";"WI";"53215-4524";"Milwaukee County";10;2002634;"Licensed Group";"Klodiana Shtrepi";"(414) 635-0006";"Nara Colton";"4 Week(s) - 5 Year(s)";"3 Stars";30;0;"Jan - Dec";;"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"Closed";"Closed";"4000571984_10";;
"Guarding Your Angels Inc";"Guarding Your Angels Inc";4000571984;"1436 W Mitchell St";"Milwaukee";"WI";53204;"Milwaukee County";7;1015369;"Licensed Group";"Angela Martinez";"(414) 645-1225";"Nara Colton";"4 Week(s) - 13 Year(s)";"3 Stars";93;20;"Jan - Dec";;"5:30AM - 6:00PM";"5:30AM - 6:00PM";"5:30AM - 6:00PM";"5:30AM - 6:00PM";"5:30AM - 6:00PM";"Closed";"Closed";"4000571984_7";;
"Guarding Your Angels Inc";"Guarding Your Angels Inc";4000571984;"2340 S 6Th St";"Milwaukee";"WI";53215;"Milwaukee County";6;1011853;"Licensed Group";"Brenda Febus";"(414) 383-3400";"Nara Colton";"4 Week(s) - 13 Year(s)";"3 Stars";78;78;"Jan - Dec";;"5:30AM - 6:00PM";"5:30AM - 6:00PM";"5:30AM - 6:00PM";"5:30AM - 6:00PM";"5:30AM - 6:00PM";"Closed";"Closed";"4000571984_6";;
"Hadley Child Care & Learning Center";"Hadley Child Care & Learning Center";8000585178;"2434 W Hadley St";"Milwaukee";"WI";53206;"Milwaukee County";1;1014577;"Licensed Group";"Laquanda Gray";"(414) 449-8705";"Laquanda Gray";"4 Week(s) - 13 Year(s)";"3 Stars";23;20;"Jan - Dec";;"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"8000585178_1";;
"Hadley Child Care And Lrng Ctr Ii";"Hadley Child Care And Lrng Ctr Ii";7000587517;"5520 W Burleigh St";"Milwaukee";"WI";"53210-1547";"Milwaukee County";1;2000703;"Licensed Group";"Laquanda Gray";"(414) 445-6340";"Laquanda Gray";"6 Week(s) - 13 Year(s)";"3 Stars";77;20;"Jan - Dec";;"12:00AM - 12:30AM5:00AM - 11:59PM";"12:00AM - 12:30AM5:00AM - 11:59PM";"12:00AM - 12:30AM5:00AM - 11:59PM";"12:00AM - 12:30AM5:00AM - 11:59PM";"12:00AM - 12:30AM5:00AM - 11:59PM";"12:00AM - 12:30AM5:00AM - 11:59PM";"12:00AM - 12:30AM5:00AM - 11:59PM";"7000587517_1";;
"Happy And Learning Child Dev Ctr Llc";"Happy And Learning Child Dev Ctr Llc";4000589774;"6930 N 100Th St";"Milwaukee";"WI";"53224-4520";"Milwaukee County";1;2004296;"Licensed Family";"Georgia Wallace";"(414) 732-4448";"Georgia Wallace";"2 Week(s) - 11 Year(s), 6 Month(s)";"3 Stars";8;0;"Jan - Dec";;"6:30AM - 3:00PM";"6:30AM - 3:00PM";"6:30AM - 3:00PM";"6:30AM - 3:00PM";"6:30AM - 3:00PM";"Closed";"Closed";"4000589774_1";;
"Happy Angels Child Care";"Happy Angels Child Care";1000582321;"9307 N 85Th St";"Milwaukee";"WI";"53224-1310";"Milwaukee County";3;1016030;"Licensed Family";"Maria Frias";"(414) 236-5305";"Maria Frias";"6 Week(s) - 13 Year(s)";"3 Stars";8;0;"Jan - Dec";;"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"Closed";"Closed";"1000582321_3";;
"Happy Angels Family Child Care Llc";"Happy Angels Family Child Care Llc";8000588688;"1113 S 38Th St";"West Milwaukee";"WI";"53215-1305";"Milwaukee County";1;2003799;"Licensed Family";"Daisy Mendez-Villa";"(414) 458-5636";"Daisy Mendez-Villa";"1 Month(s) - 12 Year(s)";"3 Stars";8;0;"Jan - Dec";;"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"Closed";"Closed";"8000588688_1";;
"Happy Days Day Care Ctr Llc 2";"Happy Days Day Care Ctr Llc 2";7000575327;"1202 W Oklahoma Ave";"Milwaukee";"WI";53215;"Milwaukee County";2;1008956;"Licensed Group";"Jeanette Barquet";"(414) 672-1716";"Jeanette Barquet";"6 Week(s) - 13 Year(s)";"3 Stars";70;0;"Jan - Dec";;"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"Closed";"Closed";"7000575327_2";;
"Happy Faces Family Child Care";"Happy Faces Family Child Care";7000575597;"3458 S 26Th St";"Milwaukee";"WI";53215;"Milwaukee County";2;1011112;"Licensed Family";"Maria Moreno Montoya";"(414) 207-1333";"Maria Moreno Montoya";"6 Week(s) - 13 Year(s)";"3 Stars";8;8;"Jan - Dec";;"6:00AM - 11:30PM";"6:00AM - 11:30PM";"6:00AM - 11:30PM";"6:00AM - 11:30PM";"6:00AM - 11:30PM";"Closed";"Closed";"7000575597_2";;
"Happy Faces Group Childcare Corp";"Happy Faces Group Childcare Corp";6000589976;"4612 N Hopkins St";"Milwaukee";"WI";"53209-5954";"Milwaukee County";1;2004907;"Licensed Group";"Ayshia Banks";"(414) 837-4330";"Ayshia Banks";"3 Week(s) - 13 Year(s)";"3 Stars";21;20;"Jan - Dec";;"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 6:00PM";;"6000589976_1";;
"Harmony Child Development Ctr Llc";"Harmony Child Development Ctr Llc";9000580419;"6711 N 51St St";"Milwaukee";"WI";53223;"Milwaukee County";3;1014228;"Licensed Family";"Felicia Williams";"(414) 760-0176";"Felicia Williams";"4 Week(s) - 13 Year(s)";"3 Stars";8;0;"Jan - Dec";;"6:00AM - 9:00PM";"6:00AM - 9:00PM";"6:00AM - 9:00PM";"6:00AM - 9:00PM";"6:00AM - 9:00PM";"6:00AM - 9:00PM";;"9000580419_3";;
"Heartland Child Development Ctr Llc";"Heartland Child Development Ctr Llc";2000588132;"5836 W Appleton Ave";"Milwaukee";"WI";"53210-1510";"Milwaukee County";1;2001597;"Licensed Group";"Brenda Valentine-Jackson";"(414) 871-8900";"Debora Smith";"6 Week(s) - 13 Year(s)";"3 Stars";95;95;"Jan - Dec";;"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"9:00AM - 6:00PM";"12:00AM - 11:59PM";"2000588132_1";;
"Hearts And Minds Childcare Llc";"Hearts And Minds Childcare Llc";3000587623;"8980 N 85Th St";"Milwaukee";"WI";"53224-2104";"Milwaukee County";3;2004248;"Licensed Group";"Jesspreet Tuli";"(414) 263-8943";"Kulbir Singh";"6 Week(s) - 13 Year(s)";"3 Stars";81;0;"Jan - Dec";;"5:00AM - 9:00PM";"5:00AM - 9:00PM";"5:00AM - 9:00PM";"5:00AM - 9:00PM";"5:00AM - 9:00PM";"Closed";"Closed";"3000587623_3";;
"Heaven's Playground Child Care";"Heaven's Playground Child Care";7000573877;"4221 N 35Th St";"Milwaukee";"WI";"53216-1709";"Milwaukee County";2;1011667;"Licensed Group";"Judith Jackson";"(414) 449-9710";"Judith Jackson";"4 Week(s) - 13 Year(s)";"3 Stars";49;20;"Jan - Dec";;"5:30AM - 11:30PM";"5:30AM - 11:30PM";"5:30AM - 11:30PM";"5:30AM - 11:30PM";"5:30AM - 11:30PM";"5:30AM - 11:30PM";;"7000573877_2";;
"Heavenly Daycare";"Heavenly Daycare";4000587764;"1420 W Orchard St";"Milwaukee";"WI";"53204-2773";"Milwaukee County";1;2001012;"Licensed Family";"Anna Prado";"(414) 736-4960";"Anna Prado";"6 Week(s) - 12 Year(s)";"3 Stars";8;8;"Jan - Dec";;"5:30AM - 6:00PM";"5:30AM - 6:00PM";"5:30AM - 6:00PM";"5:30AM - 6:00PM";"5:30AM - 6:00PM";"Closed";"Closed";"4000587764_1";;
"Helping Hands Daycare Llc";"Helping Hands Daycare Llc";7000587187;"4644 N 53Rd St";"Milwaukee";"WI";"53218-5011";"Milwaukee County";2;2004080;"Licensed Family";"Nejia Mitchell";"(414) 210-5842";"Nejia Mitchell";"6 Week(s) - 13 Year(s)";"3 Stars";8;8;"Jan - Dec";;"4:00AM - 8:00PM";"4:00AM - 8:00PM";"4:00AM - 8:00PM";"4:00AM - 8:00PM";"Closed";"Closed";"Closed";"7000587187_2";;
"Highland Community School";"Highland Community School";9000580989;"1706 W Highland Ave";"Milwaukee";"WI";"53233-1132";"Milwaukee County";1;1010436;"Licensed Group";"Kate Holschbach";"(414) 342-1412";"Leana Nakielski";"1 Year(s), 2 Month(s) - 13 Year(s)";"3 Stars";135;0;"Jan - Dec";;"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"Closed";"Closed";"9000580989_1";;
"Highland Educational Academy";"Highland Educational Academy";2000579322;"4212 W Highland Blvd";"Milwaukee";"WI";53208;"Milwaukee County";1;1008560;"Licensed Group";"Tauntila Russell";"(414) 345-9894";"Tauntila Russell";"6 Week(s) - 14 Year(s)";"3 Stars";120;20;"Jan - Dec";;"6:00AM - 11:59PM";"6:00AM - 11:59PM";"6:00AM - 11:59PM";"6:00AM - 11:59PM";"6:00AM - 11:59PM";"Closed";"Closed";"2000579322_1";;
"Hilltop Christian Academy Ii";"Hilltop Christian Academy Ii";2000560552;"6627 W Capitol Dr";"Milwaukee";"WI";"53216-2039";"Milwaukee County";1;225835;"Licensed Group";"Nichole Lanier";"(414) 934-8885";"Texas Bufkin";"5 Week(s) - 13 Year(s)";"3 Stars";85;20;"Jan - Dec";;"5:00AM - 11:59PM";"12:00AM - 12:30AM5:00AM - 11:59PM";"12:00AM - 12:30AM5:00AM - 11:59PM";"12:00AM - 12:30AM5:00AM - 11:59PM";"12:00AM - 12:30AM5:00AM - 11:59PM";"12:00AM - 12:30AM5:00AM - 11:59PM";"12:00AM - 12:30AM";"2000560552_1";;
"Home Away From Home Fam Dc";"Home Away From Home Fam Dc";4000573204;"3862 N 54Th Blvd";"Milwaukee";"WI";"53216-2206";"Milwaukee County";3;2002940;"Licensed Family";"Trudy Lathan-Jones";"(414) 204-8078";"Trudy Lathan-Jones";"6 Week(s) - 13 Year(s)";"3 Stars";8;8;"Jan - Dec";;"6:00AM - 11:59PM";"6:00AM - 11:59PM";"6:00AM - 11:59PM";"6:00AM - 11:59PM";"6:00AM - 11:59PM";"Closed";"Closed";"4000573204_3";;
"House Of Prayer Enrichment Center";"House Of Prayer Enrichment Center";7000586157;"2406 S 9Th St";"Milwaukee";"WI";"53215-3210";"Milwaukee County";1;1015980;"Licensed Family";"Renee Harris";"(414) 888-9818";"Renee Harris";"6 Week(s) - 12 Year(s)";"3 Stars";8;8;"Jan - Dec";;"6:00AM - 11:00PM";"6:00AM - 11:00PM";"6:00AM - 11:00PM";"6:00AM - 11:00PM";"6:00AM - 11:00PM";"7:00AM - 4:00PM";"7:00AM - 3:00PM";"7000586157_1";;
"Howell About Us Fam Childcare Ctr";"Howell About Us Fam Childcare Ctr";1000582211;"4801 W Brentwood Ave";"Milwaukee";"WI";"53223-6025";"Milwaukee County";1;1015979;"Licensed Family";"Linda Howell";"(414) 544-3650";"Linda Howell";"6 Week(s) - 13 Year(s)";"3 Stars";8;0;"Jan - Dec";;"8:30AM - 7:30PM";"8:30AM - 7:30PM";"8:30AM - 7:30PM";"8:30AM - 7:30PM";"8:30AM - 7:30PM";"Closed";"Closed";"1000582211_1";;
"I Am Who I Am Learning Center";"I Am Who I Am Learning Center";8000589958;"4949 W Radcliffe Dr";"Brown Deer";"WI";"53223-1420";"Milwaukee County";1;2005036;"Licensed Family";"Torva Hare";"(414) 368-3182";"Torva Hare";"6 Week(s) - 13 Year(s)";"3 Stars";8;8;"Jan - Dec";;"7:00AM - 11:00PM";"7:00AM - 11:00PM";"7:00AM - 11:00PM";"7:00AM - 11:00PM";"7:00AM - 11:00PM";"8:00AM - 5:00PM";;"8000589958_1";;
"Idanny Family Daycare";"Idanny Family Daycare";2000588442;"1802 S 18Th St";"Milwaukee";"WI";"53204-3114";"Milwaukee County";1;2003198;"Licensed Family";"Andry Mendez-Matos";"(414) 628-2198";"Andry Mendez-Matos";"6 Week(s) - 13 Year(s)";"3 Stars";8;8;"Jan - Dec";;"6:00AM - 11:59PM";"6:00AM - 11:59PM";"6:00AM - 11:59PM";"6:00AM - 11:59PM";"6:00AM - 11:59PM";"Closed";"Closed";"2000588442_1";;
"In The Loving Hands Of Tasha's Cc";"In The Loving Hands Of Tasha's Cc";3000565503;"4666 N 80Th St";"Milwaukee";"WI";"53218-4616";"Milwaukee County";2;2000752;"Licensed Family";"Latocha Ealy-Griffin";"(414) 755-5858";"Latocha Ealy-Griffin";"6 Week(s) - 13 Year(s)";"3 Stars";8;8;"Jan - Dec";;"6:00AM - 11:59PM";"6:00AM - 11:59PM";"6:00AM - 11:59PM";"6:00AM - 11:59PM";"6:00AM - 11:59PM";"6:00AM - 11:59PM";;"3000565503_2";;
"Ingenious Inc";"Ingenious Inc";5000589335;"7260 S 76Th St";"Franklin";"WI";"53132-9041";"Milwaukee County";1;2003754;"Licensed Group";"Marilyn Quinonez";"(414) 377-8296";"Nara Colton";"4 Week(s) - 13 Year(s)";"3 Stars";98;0;"Jan - Dec";;"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"Closed";"Closed";"5000589335_1";;
"Inspiring Minds Child Dev Ctr Inc";"Inspiring Minds Child Dev Ctr Inc";588120;"4815 W Bradley Rd";"Milwaukee";"WI";"53223-3629";"Milwaukee County";1;2001681;"Licensed Group";"Felisha Ford";"(414) 446-5727";"Felisha Ford";"4 Week(s) - 13 Year(s)";"3 Stars";97;0;"Jan - Dec";;"6:00AM - 9:00PM";"6:00AM - 9:00PM";"6:00AM - 9:00PM";"6:00AM - 9:00PM";"6:00AM - 9:00PM";"6:00AM - 6:00PM";;"588120_1";;
"Ivory Hills Fam Child Care Ctr Llc";"Ivory Hills Fam Child Care Ctr Llc";1000589071;"3872 N 7Th St";"Milwaukee";"WI";"53212-1173";"Milwaukee County";2;2003096;"Licensed Family";"Tina Weatherall";"(414) 212-8627";"Tina Weatherall";"6 Week(s) - 13 Year(s)";"3 Stars";8;8;"Jan - Dec";;"6:00AM - 11:59PM";"6:00AM - 11:59PM";"6:00AM - 11:59PM";"6:00AM - 11:59PM";"6:00AM - 11:59PM";"Closed";"Closed";"1000589071_2";;
"Jaleen And Jalia Traveling Lrng Ctr";"Jaleen And Jalia Traveling Lrng Ctr";589380;"4515 W Capitol Dr";"Milwaukee";"WI";"53216-1542";"Milwaukee County";1;2003719;"Licensed Family";"Shemika Jones";"(414) 442-1030";"Shemika Jones";"6 Week(s) - 13 Year(s)";"3 Stars";8;8;"Jan - Dec";;"6:00AM - 11:59PM";"6:00AM - 11:59PM";"6:00AM - 11:59PM";"6:00AM - 11:59PM";"6:00AM - 11:59PM";"Closed";"Closed";"589380_1";;
"Jardin De Los Suenos";"Jardin De Los Suenos";7000589297;"1743 S 23Rd St";"Milwaukee";"WI";"53204-3010";"Milwaukee County";1;2003448;"Licensed Family";"Maria Quevedo-Herrera";"(414) 213-7069";"Maria Quevedo-Herrera";"6 Week(s) - 13 Year(s)";"3 Stars";8;0;"Jan - Dec";;"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"Closed";"Closed";"7000589297_1";;
"Jesica's Family Daycare";"Jesica's Family Daycare";4000584664;"2065 S 8Th St";"Milwaukee";"WI";"53204-3854";"Milwaukee County";1;1014261;"Licensed Family";"Jesica Avila";"(414) 384-4733";"Jesica Avila";"6 Week(s) - 11 Year(s)";"3 Stars";8;0;"Jan - Dec";;"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"Closed";"Closed";"4000584664_1";;
"Jesse And Joey Family Child Care Llc";"Jesse And Joey Family Child Care Llc";4000587054;"2139 S 24Th St";"Milwaukee";"WI";"53215-2506";"Milwaukee County";1;2000007;"Licensed Family";"Maria Salazar";"(414) 645-9056";"Maria Salazar";"6 Week(s) - 13 Year(s)";"3 Stars";8;8;"Jan - Dec";;"5:00AM - 11:59PM";"5:00AM - 11:59PM";"5:00AM - 11:59PM";"5:00AM - 11:59PM";"5:00AM - 11:59PM";"5:00AM - 11:59PM";"5:00AM - 11:59PM";"4000587054_1";;
"Jordan Family Child Care";"Jordan Family Child Care";1000562201;"5124 N 77Th St";"Milwaukee";"WI";53218;"Milwaukee County";1;1005739;"Licensed Family";"Della Merritt";"(414) 698-3500";"Della Merritt";"6 Week(s) - 13 Year(s)";"3 Stars";8;8;"Jan - Dec";;"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"1000562201_1";;
"Journey Of Love Cdc Llc Ii";"Journey Of Love Cdc Llc Ii";5000588415;"4130 W Burleigh St";"Milwaukee";"WI";"53210-1840";"Milwaukee County";2;2003118;"Licensed Group";"Angelia Jamerson";"(414) 988-2711";"Angelia Jamerson";"2 Week(s) - 13 Year(s)";"3 Stars";32;20;"Jan - Dec";;"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";;"5000588415_2";;
"Joyce Wright";"Joyce Wright";3000575103;"2935A N Palmer St";"Milwaukee";"WI";"53212-2428";"Milwaukee County";1;"N/A";"Regular Certified";"Joyce Wright";"(414) 263-2732";"Joyce Wright";"8 Week(s) - 13 Year(s)";"3 Stars";;;"Jan - Dec";;"7:00AM - 10:00PM";"7:00AM - 10:00PM";"7:00AM - 10:00PM";"7:00AM - 10:00PM";"7:00AM - 10:00PM";"Closed";"Closed";"3000575103_1";6;3
"Kahlila's Family Day Care";"Kahlila's Family Day Care";1000588381;"3777 N 12Th St";"Milwaukee";"WI";"53206-3004";"Milwaukee County";1;2001887;"Licensed Family";"Kahlila Fennell";"(414) 539-6513";"Kahlila Fennell";"6 Week(s) - 13 Year(s)";"3 Stars";8;8;"Jan - Dec";;"6:00AM - 11:00PM";"6:00AM - 11:00PM";"6:00AM - 11:00PM";"6:00AM - 11:00PM";"6:00AM - 11:00PM";"6:00AM - 11:00PM";;"1000588381_1";;
"Kasey's Fun-Land Childcare";"Kasey's Fun-Land Childcare";1000585611;"7101 W Capitol Dr";"Milwaukee";"WI";"53216-2051";"Milwaukee County";2;2003324;"Probationary Licensed Group";"Yazzmyn Henderson";"(414) 434-9594";"Yazzmyn Henderson";"6 Week(s) - 13 Year(s)";"3 Stars";39;33;"Jan - Dec";;"7:00AM - 11:00PM";"7:00AM - 11:00PM";"7:00AM - 11:00PM";"7:00AM - 11:00PM";"7:00AM - 11:00PM";"Closed";"Closed";"1000585611_2";;
"Katies Little Angels Learning Center";"Katies Little Angels Learning Center";1000587871;"7802 W Beechwood Ave";"Milwaukee";"WI";"53223-4959";"Milwaukee County";1;"N/A";"Regular Certified";"Xcynthia Thomas";"(414) 394-2463";"Xcynthia Thomas";"0 Week(s) - 13 Year(s)";"3 Stars";;;"Jan - Dec";;"5:30AM - 5:30PM";"5:30AM - 5:30PM";"5:30AM - 5:30PM";"5:30AM - 5:30PM";"5:30AM - 5:30PM";"Closed";"Closed";"1000587871_1";6;3
"Kid Tech Inc";"Kid Tech Inc";5000563515;"118 N 76Th St";"Milwaukee";"WI";53213;"Milwaukee County";1;220238;"Licensed Group";"Mary Krueger";"(414) 771-3195";"Kid Tech Inc";"2 Year(s) - 13 Year(s)";"3 Stars";39;0;"Jan - Dec";;"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"Closed";"Closed";"5000563515_1";;
"Kiddie Garden Child Dev Center Llc";"Kiddie Garden Child Dev Center Llc";6000589066;"2809 W Atkinson Ave";"Milwaukee";"WI";53209;"Milwaukee County";1;2003038;"Licensed Group";"Lisha Herron";"(414) 204-8024";"David Gardison";"6 Week(s) - 13 Year(s)";"3 Stars";70;70;"Jan - Dec";;"5:00AM - 11:59PM";"5:00AM - 11:59PM";"5:00AM - 11:59PM";"5:00AM - 11:59PM";"5:00AM - 11:59PM";"5:00AM - 11:59PM";"5:00AM - 11:59PM";"6000589066_1";;
"Kids In Action Childcare";"Kids In Action Childcare";1000589261;"2027 N 47Th St";"Milwaukee";"WI";"53208-1739";"Milwaukee County";1;2003468;"Licensed Family";"Darcel Mcintyre";"(414) 239-8500";"Darcel Mcintyre";"6 Week(s) - 12 Year(s)";"3 Stars";8;8;"Jan - Dec";;"6:00AM - 11:59PM";"6:00AM - 11:59PM";"6:00AM - 11:59PM";"6:00AM - 11:59PM";"6:00AM - 11:59PM";"6:00AM - 11:59PM";"6:00AM - 11:59PM";"1000589261_1";;
"Kids Kompany Inc";"Kids Kompany Inc";9000589539;"5326 N 45Th St";"Milwaukee";"WI";"53218-3419";"Milwaukee County";1;2004568;"Licensed Family";"Ameshia Greer";"(414) 431-6419";"Ameshia Greer";"6 Week(s) - 13 Year(s)";"3 Stars";8;8;"Jan - Dec";;"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"9000589539_1";;
"Kids R Just Kids Ii";"Kids R Just Kids Ii";3000577663;"8593 95 W Appleton Ave";"Milwaukee";"WI";"53225-4226";"Milwaukee County";3;1014852;"Licensed Family";"Phyllis Sterling";"(414) 438-9531";"Phyllis Sterling";"4 Week(s) - 14 Year(s)";"3 Stars";8;8;"Jan - Dec";;"6:00AM - 11:30PM";"6:00AM - 11:30PM";"6:00AM - 11:30PM";"6:00AM - 11:30PM";"6:00AM - 11:30PM";"Closed";"Closed";"3000577663_3";;
"Kidtown Learning Center Llc";"Kidtown Learning Center Llc";6000590066;"10855 W Park Pl 1";;;;"Milwaukee WI 53224-3600";1;2004979;"Licensed Group";"Wendy Collins";"(414) 236-5772";"Wendy Collins";"6 Week(s) - 13 Year(s)";"3 Stars";81;81;"Jan - Dec";;"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"6:00AM - 11:59PM";"6:00AM - 11:00PM";"6000590066_1";;
"Kidz N Paradise";"Kidz N Paradise";9000587509;"4642 N 42Nd St";"Milwaukee";"WI";"53209-5828";"Milwaukee County";1;2000669;"Licensed Family";"Danielle Burgess";"(414) 875-8758";"Danielle Burgess";"6 Week(s) - 13 Year(s)";"3 Stars";8;8;"Jan - Dec";;"6:00AM - 11:59PM";"6:00AM - 11:59PM";"6:00AM - 11:59PM";"6:00AM - 11:59PM";"6:00AM - 11:59PM";"Closed";"Closed";"9000587509_1";;
"Kim's Heart To Heart Child Care Ctr";"Kim's Heart To Heart Child Care Ctr";9000576559;"4045 N 47Th St";"Milwaukee";"WI";"53216-1526";"Milwaukee County";1;1007219;"Licensed Family";"Catherine Griffin";"(414) 553-7481";"Catherine Griffin";"6 Week(s) - 12 Year(s)";"3 Stars";8;8;"Jan - Dec";;"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"Closed";"Closed";"9000576559_1";;
"Kingdom Kids";"Kingdom Kids";3000585893;"3822 N 55Th St";"Milwaukee";"WI";53216;"Milwaukee County";1;1015735;"Licensed Family";"Nancy Prentice";"(414) 202-3543";"Nancy Prentice";"6 Week(s) - 13 Year(s)";"3 Stars";8;0;"Jan - Dec";;"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"Closed";"Closed";"3000585893_1";;
"Kingsway Learning Center";"Kingsway Learning Center";8000587018;"4200 N Holton St 110";;;;"Milwaukee WI 53212-1064";2;2003069;"Licensed Group";"Sabrina Randolph";"(414) 755-2092";"Sabrina Randolph";"6 Week(s) - 12 Year(s), 6 Month(s)";"3 Stars";69;0;"Jan - Dec";;"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"Closed";"Closed";"8000587018_2";;
"Knowledge Is Key Child Dev Ctr Llc";"Knowledge Is Key Child Dev Ctr Llc";1000589501;"4345 W Fond Du Lac Ave";"Milwaukee";"WI";"53216-3442";"Milwaukee County";1;2003869;"Licensed Group";"Deborah Sykes";"(414) 269-9968";"Kendra Hall-Williams";"6 Week(s) - 13 Year(s)";"3 Stars";66;66;"Jan - Dec";;"6:00AM - 11:30PM";"6:00AM - 11:30PM";"6:00AM - 11:30PM";"6:00AM - 11:30PM";"6:00AM - 11:30PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"1000589501_1";;
"Lady Bug's Little Angels";"Lady Bug's Little Angels";9000576689;"3118 N 7Th St";"Milwaukee";"WI";"53212-1912";"Milwaukee County";2;1012507;"Licensed Family";"Glenora Lenon";"(414) 265-2082";"Glenora Lenon";"6 Week(s) - 12 Year(s)";"3 Stars";8;0;"Jan - Dec";;"6:00AM - 11:59PM";"6:00AM - 11:59PM";"6:00AM - 11:59PM";"6:00AM - 11:59PM";"6:00AM - 11:59PM";"Closed";"Closed";"9000576689_2";;
