"Application Type";"County";"Facility Name";"Facility Number";"Line Address 1";"City";"ZIP Code";"Contact Name";"Contact Phone";"License Date";"Capacity";"From Age";"To Age";"Hours";"Months";"Full Time"
"LICENSED GROUP";"51. RACINE";"IN HIS ARMS EARLY CHILDHOOD CENTER";"225030 ";"417 S Kane St";"Burlington";"53105";"Wingreen, Linda  ";"262-763-3883";8/28/1997;50;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"07:00 AM-05:30 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"51. RACINE";"INNOVATIVE CHILD CARE CENTER";"225217 ";"1448 Geneva St";"Racine";"53404";"Mathews, Charlotte  ";"262-634-6699";5/29/1997;44;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"05:30 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"51. RACINE";"IT'S ALL ABOUT KIDS";"1008463";"237 N Milwaukee St";"Waterford";"53185";"Danbrea, Laura  ";"262-534-9535";10/11/2004;38;"2 Year(s), 0 Month(s), 0 Week(s)";"7 Year(s), 11 Month(s), 0 Week(s)";"06:30 AM-05:30 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"51. RACINE";"IT'S ALL ABOUT KIDS";"1011874";"401 N Milwaukee St";"Waterford";"53185";"Danbrea, Laura  ";"262-534-9545";5/14/2007;16;"0 Year(s), 0 Month(s), 6 Week(s)";"3 Year(s), 11 Month(s), 0 Week(s)";"06:30 AM-05:30 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"51. RACINE";"ITS ALL ABOUT KIDS AT TRAILSIDE ELE";"1004269";"615 N Milwaukee St";"Waterford";"53185";"Danbrea, Laura  ";"262-534-9535";3/12/2004;44;"5 Year(s), 0 Month(s), 0 Week(s)";"13 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"51. RACINE";"JACK & JILL DAY CARE CENTER";"225140 ";"1650 Russet St";"Racine";"53405";"Hoffman, Mary  ";"262-634-1548";3/16/1997;50;"2 Year(s), 0 Month(s), 0 Week(s)";"10 Year(s), 11 Month(s), 0 Week(s)";"06:30 AM-05:30 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"51. RACINE";"KAS BEFORE AND AFTER SCHOOL PROGRAM";"2000797";"8937 Big Bend Rd";"Waterford";"53185";"Marseo, Kristen A ";"262-895-9003";9/4/2012;20;"5 Year(s), 0 Month(s), 0 Week(s)";"13 Year(s), 11 Month(s), 0 Week(s)";"06:30 AM-08:35 AM";"Sep-Jun";" "
"LICENSED GROUP";"51. RACINE";"KIDS KLUB DR. JONES";"2000859";"3300 Chicory Rd";"Racine";"53403-4076";"Hennegan, Sarah  ";"262-989-2272";9/4/2012;12;"5 Year(s), 0 Month(s), 0 Week(s)";"11 Year(s), 11 Month(s), 0 Week(s)";"02:05 PM-05:30 PM";"Sep-Jun";" "
"LICENSED GROUP";"51. RACINE";"KIDS KLUB FINE ARTS";"2000856";"815 De Koven Ave";"Racine";"53403-2658";"Hennegan, Sarah  ";"262-989-2272";9/4/2012;20;"5 Year(s), 0 Month(s), 0 Week(s)";"11 Year(s), 11 Month(s), 0 Week(s)";"06:30 AM-09:05 AM";"Sep-Jun";" "
"LICENSED GROUP";"51. RACINE";"KIDS KLUB JEFFERSON LIGHTHOUSE";"2000854";"1722 W 6th St";"Racine";"53404-3246";"Hennegan, Sarah  ";"262-989-2272";9/4/2012;25;"5 Year(s), 0 Month(s), 0 Week(s)";"11 Year(s), 11 Month(s), 0 Week(s)";"06:30 AM-09:05 AM";"Sep-Jun";" "
"LICENSED GROUP";"51. RACINE";"KIDS KLUB NORTH PARK";"2000855";"4748 Elizabeth St";"Racine";"53402-2412";"Hennegan, Sarah  ";"262-989-2272";9/4/2012;20;"5 Year(s), 0 Month(s), 0 Week(s)";"11 Year(s), 11 Month(s), 0 Week(s)";"06:30 AM-09:05 AM";"Sep-Jun";" "
"LICENSED GROUP";"51. RACINE";"KIDS KLUB OLYMPIA BROWN";"2000858";"5915 Erie St";"Racine";"53402-1925";"Hennegan, Sarah  ";"262-989-2272";9/4/2012;8;"5 Year(s), 0 Month(s), 0 Week(s)";"11 Year(s), 11 Month(s), 0 Week(s)";"02:40 PM-06:00 PM";"Sep-Jun";" "
"LICENSED GROUP";"51. RACINE";"KIDS KLUB RED APPLE";"2000853";"914 Saint Patrick St";"Racine";"53402-4867";"Hennegan, Sarah  ";"262-989-2248";9/4/2012;25;"3 Year(s), 0 Month(s), 0 Week(s)";"11 Year(s), 11 Month(s), 0 Week(s)";"06:30 AM-06:00 PM";"Sep-Jun";" "
"LICENSED GROUP";"51. RACINE";"KIDS KORNER PRSCH & SCH AGE PROGS";"225246 ";"17645 Old Yorkville Rd";"Union Grove";"53182";"Ziehr, Laurie  ";"262-878-9611";1/11/1998;45;"2 Year(s), 0 Month(s), 0 Week(s)";"13 Year(s), 11 Month(s), 0 Week(s)";"06:30 AM-06:00 PM";"Sep-Jun";"Y"
"LICENSED GROUP";"51. RACINE";"KIDS TOWN USA CCC INC";"225213 ";"9500 Durand Ave";"Sturtevant";"53177";"Rossmann, Dori  ";"262-884-0488";5/29/1997;50;"2 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:30 AM-05:30 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"51. RACINE";"KIDZ CONNECTION B AND A SCH PRG LLC";"2000538";"2659 76th St";"Franksville";"53126";"Rank, Lindsey  ";"262-770-6932";7/5/2012;35;"4 Year(s), 0 Month(s), 0 Week(s)";"14 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-07:30 AM";"Sep-Jul";" "
"LICENSED GROUP";"51. RACINE";"KIDZ CONNECTION B & A SCH PROG LLC";"1015600";"18621 Washington Ave";"Union Grove";"53182";"Rank, Lindsey  ";"262-770-6932";1/3/2011;30;"5 Year(s), 0 Month(s), 0 Week(s)";"15 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"51. RACINE";"KIMBERLAND DAYCARE LLC";"1015028";"3417 Douglas Ave";"Racine";"53402-3751";"Hardin, Anita  ";"262-635-9270";8/1/2010;43;"0 Year(s), 0 Month(s), 4 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"04:00 AM-11:59 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"51. RACINE";"KINDERCARE LEARNING CTRS-3 MILE RD";"225146 ";"700 3 Mile Rd";"Racine";"53402";"Wood, Cherie  ";"262-639-8889";6/2/1997;134;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"51. RACINE";"LAKEVIEW ELEMENTARY SCHOOL SACC";"225892 ";"26335 Fries Ln";"Wind Lake";"53185";"Nirode, Jacqueline  ";"262-895-3880";12/29/1997;56;"5 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Sep-Jun";"Y"
"LICENSED GROUP";"51. RACINE";"LA PRE ENTERPRISE DBA X-CITE CC";"1012615";"2711 19th St";"Racine";"53402";"Bunch, Melissa  ";"262-619-3490";2/1/2008;51;"0 Year(s), 0 Month(s), 4 Week(s)";"13 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-11:59 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"51. RACINE";"LEAPIN LEARNERS";"1009526";"225 Ridge Line Rd";"Burlington";"53105";"Jackson, Sharon  ";"262-514-2381";10/13/2005;10;"3 Year(s), 0 Month(s), 0 Week(s)";"5 Year(s), 11 Month(s), 0 Week(s)";"08:30 AM-03:30 PM";"Sep-May";"N"
"LICENSED GROUP";"51. RACINE";"LITTLE BEAR LEARNING CTR LLC";"2000734";"8821 Big Bend Rd";"Waterford";"53185";"Marseo, Kristen A ";"262-895-9003";7/19/2012;20;"0 Year(s), 0 Month(s), 6 Week(s)";"5 Year(s), 11 Month(s), 0 Week(s)";"05:30 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"51. RACINE";"LITTLE CHAMPIONS LEARNING CTR II";"2000772";"3015 Pritchard Dr";"Racine";"53406";"Smith, Catherine  ";"262-994-7422";8/17/2012;55;"0 Year(s), 0 Month(s), 6 Week(s)";"13 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"51. RACINE";"LITTLE CHAMPIONS LEARNING CTR LLC";"1015943";"10127 Northwestern Ave";"Franksville";"53126";"Smith, Catherine  ";"262-884-4226";3/9/2011;80;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"51. RACINE";"LITTLE SAINTS CHILD CARE CENTER";"1016085";"4021 Spring Street";"Racine";"53405";"Borchart, Janice  ";"262-687-8615";7/25/2011;184;"0 Year(s), 0 Month(s), 4 Week(s)";"11 Year(s), 11 Month(s), 0 Week(s)";"05:45 AM-08:30 PM";"Jan-Dec";"N"
"LICENSED GROUP";"51. RACINE";"LITTLE V I P  CHILD CARE";"1000797";"6710 S Loomis Rd";"Wind Lake";"53185";"Janet Wells, Sue Huerta And  ";"262-895-2558";1/31/1999;45;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"51. RACINE";"LOTS FOR TOTS EARLY EDUCATIONAL CTR";"225890 ";"7345 S Loomis Rd";"Wind Lake";"53185";"Nirode, Jacqueline  ";"262-895-3880";12/28/1997;48;"0 Year(s), 0 Month(s), 6 Week(s)";"13 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"51. RACINE";"LOV N CARE CHILDREN'S ACADEMY";"2000522";"2000 A Lathrop Ave";"Racine";"53405-3759";"Polk, Moly  ";"262-770-4368";4/2/2012;76;"0 Year(s), 0 Month(s), 4 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"51. RACINE";"MOUNT PLEASANT RENAISSANCE SCHOOL";"1015126";"6150 Taylor Avenue";"Racine";"53403";"Pierce, Vickie  ";"262-554-6768";3/29/2010;84;"1 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:15 AM-05:30 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"51. RACINE";"MUSTARD SEED PRESCHOOL";"225167 ";"6321 Heg Park Rd";"Wind Lake";"53185";"Duerst, Laurie  ";"262-895-2785";4/1/1998;48;"2 Year(s), 6 Month(s), 0 Week(s)";"5 Year(s), 11 Month(s), 0 Week(s)";"08:30 AM-03:30 PM";"Sep-May";" "
"LICENSED GROUP";"51. RACINE";"MY LITTLE SCHOOL HOUSE ECC";"1012112";"19120 Spring St";"Union Grove";"53182";"Norgelos, Majlis  ";"262-878-5980";7/5/2007;50;"0 Year(s), 0 Month(s), 4 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"51. RACINE";"NEXT GENERATION NOW";"1002150";"1220 Mound Ave";"Racine";"53404";"Scruggs, Carrie  ";"262-631-6651";2/18/2000;159;"0 Year(s), 0 Month(s), 2 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"05:30 AM-06:30 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"51. RACINE";"NOAH'S ARK PRESCHOOL";"225172 ";"126 Chapel Ter";"Burlington";"53105";"Brenton, Ellen  ";"262-767-9095";9/12/1997;36;"3 Year(s), 0 Month(s), 0 Week(s)";"5 Year(s), 11 Month(s), 0 Week(s)";"07:00 AM-05:00 PM";"Sep-May";"Y"
"LICENSED GROUP";"51. RACINE";"NORTH SIDE PRESCHOOL";"1015156";"3825 Erie St";"Racine";"53402";"Brusewitz, Julie  ";"262-752-4819";8/11/2010;20;"3 Year(s), 0 Month(s), 0 Week(s)";"6 Year(s), 11 Month(s), 0 Week(s)";"08:00 AM-12:00 PM";"Sep-May";"N"
"LICENSED GROUP";"51. RACINE";"ONE STEP AHEAD DAY CARE CENTER";"1016048";"1630 Douglas Ave";"Racine";"53404";"Musaitef, Randy  ";"262-637-4000";1/10/2012;110;"0 Year(s), 0 Month(s), 2 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"05:30 AM-11:59 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"51. RACINE";"PLYMOUTH CHILDREN'S CENTER INC 2";"1015539";"149 Madison St";"Burlington";"53105";"Trewyn, Sara  ";"262-763-5482";9/2/2010;50;"0 Year(s), 0 Month(s), 6 Week(s)";"6 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"51. RACINE";"PLYMOUTH CHILDREN'S CENTER INC 3";"1015538";"195 Gardner Ave";"Burlington";"53105";"Trewyn, Sara  ";"262-930-5480";9/2/2010;32;"5 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"51. RACINE";"PLYMOUTH CHILDREN'S CENTER INC I";"1015540";"124 W Washington St";"Burlington";"53105";"Trewyn, Sara  ";"262-763-5470";9/2/2010;50;"2 Year(s), 6 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"51. RACINE";"PRINCE OF PEACE PRESCHOOL DAY CARE";"225178 ";"4340 Six Mile Rd";"Racine";"53402";"Baganz, Korie  ";"262-639-1277";9/19/1997;35;"2 Year(s), 6 Month(s), 0 Week(s)";"7 Year(s), 11 Month(s), 0 Week(s)";"07:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"51. RACINE";"RACINE COOPERATIVE PRESCHOOL";"225182 ";"2500 N Green Bay Rd";"Racine";"53405";"Harmann, Betsy  ";"262-634-1123";9/19/1997;42;"2 Year(s), 6 Month(s), 0 Week(s)";"6 Year(s), 11 Month(s), 0 Week(s)";"08:00 AM-04:00 PM";"Sep-May";" "
"LICENSED GROUP";"51. RACINE";"RACINE CO OPPORTUNITY CTR SHERIDAN";"225181 ";"4214 Sheridan Rd";"Racine";"53403";"Dunbar, Thomas  ";"262-554-6515";5/29/1997;80;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"51. RACINE";"R/K CAA HEAD START BURLINGTON SITE";"1003464";"209 Wainwright Ave";"Burlington";"53105";"Stublaski, Paul  ";"262-767-2738";1/8/2001;17;"3 Year(s), 0 Month(s), 0 Week(s)";"5 Year(s), 11 Month(s), 0 Week(s)";"07:30 AM-04:30 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"51. RACINE";"R/K CAA HEADSTART CENTER GRAND AVE";"225180 ";"1032 Grand Ave";"Racine";"53403";"Acerbi, Kathy  ";"262-637-8399";2/1/1998;260;"3 Year(s), 0 Month(s), 0 Week(s)";"5 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-07:00 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"51. RACINE";"R/K CAA HEADSTART GREEN STREET";"1013525";"1923 Green St";"Racine";"53402";"Vital, Anita  ";"262-637-9349";8/25/2008;119;"3 Year(s), 0 Month(s), 0 Week(s)";"5 Year(s), 11 Month(s), 0 Week(s)";"07:30 AM-04:30 PM";"Aug-Jun";"Y"
"LICENSED GROUP";"51. RACINE";"RKCAA HEAD START NGN SITE";"2000919";"1220 Mound Ave 101";"Racine";"53404";"Principe, Louise  ";"262-635-1920";9/12/2012;17;"3 Year(s), 0 Month(s), 0 Week(s)";"5 Year(s), 11 Month(s), 0 Week(s)";"07:30 AM-04:30 PM";"Aug-Jun";"Y"
"LICENSED GROUP";"51. RACINE";"SERENDIPITY PRESCHOOL AN CHILD CARE";"1006467";"4811 6 Mile Rd";"Racine";"53402";"Johnson, Julie  ";"262-752-2221";4/6/2003;85;"0 Year(s), 0 Month(s), 0 Week(s)";"0 Year(s), 0 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"51. RACINE";"SERENDIPITY PRESCHOOL AN CHILD CARE";"1006467";"4811 6 Mile Rd";"Racine";"53402";"Johnson, Julie  ";"262-752-2221";4/6/2003;85;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"51. RACINE";"SMALL WORLD MONTESSORI SCHOOL";"225183 ";"1008 High St";"Racine";"53402";"Harbach, Tamara  ";"262-632-6797";5/29/1997;50;"2 Year(s), 0 Month(s), 0 Week(s)";"6 Year(s), 11 Month(s), 0 Week(s)";"07:00 AM-05:30 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"51. RACINE";"ST EDWARD'S CHILD DEVELOPMENT CTR";"1000154";"1430 Grove Ave";"Racine";"53405";"Gegare, Jenie  ";"262-636-8051";6/3/1999;117;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:30 AM-05:30 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"51. RACINE";"ST PAULS PRESCHOOL";"225186 ";"1610 Main St";"Union Grove";"53182";"Bent, Shelly  ";"262-878-2600";8/28/1997;12;"3 Year(s), 0 Month(s), 0 Week(s)";"5 Year(s), 11 Month(s), 0 Week(s)";"08:30 AM-02:30 PM";"Sep-May";"N"
"LICENSED GROUP";"51. RACINE";"ST PETERS PRESCHOOL";"225208 ";"145 S 6th St";"Waterford";"53185";"Trieglaff, Kimberly  ";"262-534-6066";8/28/1997;35;"2 Year(s), 0 Month(s), 0 Week(s)";"11 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"51. RACINE";"THE CHILDRENS HOUSE AT CATHE";"1010546";"125 E State St";"Burlington";"53105";"Mullens, Emily  ";"262-767-9661";4/1/2008;40;"2 Year(s), 0 Month(s), 0 Week(s)";"6 Year(s), 11 Month(s), 0 Week(s)";"09:00 AM-02:00 PM";"Sep-Jun";"N"
"LICENSED GROUP";"51. RACINE";"THE WAY TO GROW PRESCHOOL";"1005565";"455 S Jefferson St";"Waterford";"53185";"Lacour, Barb  ";"262-534-7998";9/3/2002;19;"2 Year(s), 0 Month(s), 0 Week(s)";"6 Year(s), 11 Month(s), 0 Week(s)";"08:30 AM-03:30 PM";"Sep-May";"N"
"LICENSED GROUP";"51. RACINE";"TLC CHILDCARE CENTER";"225853 ";"9605 Spring St";"Racine";"53406";"Ochs, Dawn  ";"262-886-6150";8/5/1997;140;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-05:30 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"51. RACINE";"TLC SCHOOL AGE PROGRAM GIFFORD";"1002797";"8332 Northwestern Ave";"Racine";"53406";"Ochs, Dawn  ";"262-886-2160";8/30/2000;120;"5 Year(s), 0 Month(s), 0 Week(s)";"13 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"51. RACINE";"TODAY'S CHILD LEARNING CENTER INC";"1004268";"817 W Main St";"Waterford";"53185";"Ratkowski, Kathleen  ";"262-534-7810";9/4/2001;50;"5 Year(s), 0 Month(s), 0 Week(s)";"13 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"51. RACINE";"TODAYS CHILD LEARNING CENTER INC";"225231 ";"214 S Water St";"Waterford";"53185";"Ratkowski, Kathleen  ";"262-534-7810";7/23/1997;65;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"51. RACINE";"TOTAL LEARNING CHILD CARE INC";"1015075";"1408 15th Ave";"Union Grove";"53182";"Katterhagen, Aimee  ";"262-878-9300";2/8/2010;30;"0 Year(s), 0 Month(s), 4 Week(s)";"11 Year(s), 11 Month(s), 0 Week(s)";"06:30 AM-05:30 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"51. RACINE";"WESTERN RAC CO HEADSTART";"225195 ";"1100 Main St";"Union Grove";"53182";"Acerbi, Kathy  ";"262-878-1292";3/9/1997;16;"3 Year(s), 0 Month(s), 0 Week(s)";"5 Year(s), 11 Month(s), 0 Week(s)";"07:30 AM-04:30 PM";"Aug-May";"Y"
"LICENSED GROUP";"51. RACINE";"YOUR PLACE TO GROW CHILDCARE";"1015833";"3862 S 124th St";"Union Grove";"53182";"Storm-Volz, Debbie  ";"262-835-9835";1/11/2011;29;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:30 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"51. RACINE";"Y'S KIDS SCHULTE SCHOOL";"1015915";"8515 Westminster Dr";"Sturtevant";"53177";"Allen, Cheree  ";"262-989-9682";3/7/2011;24;"5 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:30 PM";"Aug-Jun";"N"
"LICENSED GROUP";"51. RACINE";"Y'S KIDS WESTRIDGE SCHOOL";"225234 ";"1347 Emmertsen Rd";"Racine";"53406";"Qawi, Ahmad  ";"262-989-9681";5/29/1997;25;"5 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:30 AM-06:00 PM";"Aug-Jun";"N"
"LICENSED CAMP";"52. RICHLAND";"KID'S KAMP";"1005268";"1205 Jefferson St";"Richland Center";"53581";"Lynch, Debra  ";"608-647-5239";5/15/2002;36;"5 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"07:30 AM-05:30 PM";"Jun-Aug";"Y"
"LICENSED FAMILY";"52. RICHLAND";"DUMBO'S DAY CARE";"130560 ";"31751 State Hwy 80";"Muscoda";"53573";"Storms, Donna M ";"608-739-4251";6/2/1997;8;"0 Year(s), 0 Month(s), 4 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:30 AM-06:30 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"52. RICHLAND";"JAN'S FAMILY DAY CARE";"130864 ";"2030 E Preston Dr";"Richland Center";"53581";"Shelby, Janice  ";"608-647-2912";6/1/1997;8;"0 Year(s), 0 Month(s), 1 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"05:30 AM-05:30 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"52. RICHLAND";"JUDY'S LASTING IMPRESSIONS C C";"1005345";"23304 Gingers Rd";"Muscoda";"53573";"Bobb, Judy  ";"608-739-9156";6/1/2002;8;"0 Year(s), 0 Month(s), 6 Week(s)";"13 Year(s), 11 Month(s), 0 Week(s)";"07:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"52. RICHLAND";"JUNES FAMILY DAYCARE";"1013136";"28850 Cty Hwy Ba";"Richland Center";"53581";"Nee, June A ";"608-647-3045";6/11/2008;8;"0 Year(s), 0 Month(s), 8 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:30 AM-05:30 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"52. RICHLAND";"KIDS KLUBHOUSE";"1015401";"154 E 4th St";"Richland Center";"53581";"Toney, Nichole  ";"608-383-1097";4/16/2010;8;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"52. RICHLAND";"LADIKAS LITTLE ONES";"1012880";"120 N Lakeview Dr";"Cazenovia";"53924";"Ladika, Melissa  ";"608-983-2557";8/23/2010;8;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"05:00 AM-05:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"52. RICHLAND";"LITTLE LEAP DAYCARE";"1013279";"29387 Pine Prairie Ln";"Lone Rock";"53556";"Nabbefeld, Jenna L ";"608-583-2493";10/31/2007;8;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"05:00 AM-05:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"52. RICHLAND";"LYNCHS' FAMILY DAY CARE";"1002037";"25185 Hall Ln";"Richland Center";"53581";"Lynch, Robin  ";"608-647-5257";6/29/2000;8;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"07:15 AM-04:30 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"52. RICHLAND";"NOAH'S ARK PLAYSCHOOL INC";"131078 ";"479 S Park St";"Richland Center";"53581";"Cornett, Jennie  ";"608-649-2018";11/16/1999;8;"3 Year(s), 0 Month(s), 0 Week(s)";"4 Year(s), 11 Month(s), 0 Week(s)";"08:30 AM-03:30 PM";"Sep-May";" "
"LICENSED FAMILY";"52. RICHLAND";"PORT ANDREW DAY CARE";"1011867";"15272 Willerds Ln";"Blue River";"53518";"Rohn, Sherri  ";"608-537-2843";5/22/2007;8;"0 Year(s), 0 Month(s), 1 Week(s)";"11 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-05:30 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"52. RICHLAND";"DISCOVERY PLAYSCHOOL INC";"120410 ";"1400 W Seminary St";"Richland Center";"53581";"Maxwell, Glen  ";"608-647-8931";3/1/1997;10;"2 Year(s), 6 Month(s), 0 Week(s)";"5 Year(s), 11 Month(s), 0 Week(s)";"08:00 AM-03:30 PM";"Sep-Jun";"N"
"LICENSED GROUP";"52. RICHLAND";"KIDS STUFF CHILDCARE";"1003652";"45 E Robb Rd";"Richland Center";"53581";"Lynch, Debra  ";"608-647-5239";5/15/2002;53;"0 Year(s), 0 Month(s), 1 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"04:00 AM-02:30 AM";"Jan-Dec";"Y"
"LICENSED GROUP";"52. RICHLAND";"SWCAP LONE ROCK HEAD START";"1004386";"214 Broadway";"Lone Rock";"53556";"Rasmussen, Cassie  ";"608-583-2386";9/4/2001;14;"3 Year(s), 0 Month(s), 0 Week(s)";"4 Year(s), 11 Month(s), 0 Week(s)";"07:00 AM-02:00 PM";"Aug-May";" "
"LICENSED GROUP";"52. RICHLAND";"SWCAP RICHLAND CENTER HEAD START";"1010633";"1801 St Hwy 80";"Richland Center";"53581";"Hendrick, Pam  ";"608-553-1537";9/5/2006;14;"3 Year(s), 0 Month(s), 0 Week(s)";"5 Year(s), 11 Month(s), 0 Week(s)";"07:00 AM-02:00 PM";"Aug-May";"N"
