"Provider Id";"Complaint Received";"Requirement";"Description";"Allegation Description";"Plan to Correct";"Allegation Findings"
"K820035004";"3/25/2019";"340:110-3-85(b)(1)(C)";"Caregivers left alone with children have the ability to read and write for keeping required records, reading the licensing requirements, and administering medication.";"Staff- Caregiver left alone with children does not meet caregiver qualifications";"Notice to Comply mailed to the program";"Substantiated"
"K830051631";"1/28/2021";"340:110-3-284(c)(2)(C)";"demonstrate good judgment as evidenced by prudent and responsible behavior that reasonably ensures the health and safety of children;";"Caring for and Education Children- Staff member not quarantining after husband tested positive for Covid-19.";"Director stated, that staff member is to leave the center immediately and to stay in quarantine until the 10 days is up and showing no signs of Covid-19.";"Substantiated"
"K820053714";"10/12/2018";"340:110-3-85(c)";"Background investigations - general.";"Additional serious non-compliance found during the course of the investigation: Background: The program is employing individuals without completing background checks.";"Plan of Correction was completed by the program that stated the following: I will always do background checks and inform DHS of new workers";"Substantiated"
"K820053714";"10/12/2018";"340:110-3-85(b)(1)";"General. The caregiver is a responsible, mature, healthy adult capable of understanding and complying with licensing requirements, and meeting the needs of children in care. The caregiver demonstrates good judgment, as evidenced by prudent and responsible behavior reasonably ensuring children's health, safety, and well-being.";"Additional serious non-compliance found during the course of the investigation: Caregiver Qualifications: The caregiver did not demonstrate good judgment";"Plan of Correction was completed by the program that stated the following: No longer having staff work here and having them swipe their kids in and out. Doing background checks and have them verified with CPR/FA within 90 days.";"Substantiated"
"K820053714";"10/12/2018";"340:110-3-86(a)(13)";"Outdoor play. Children play outdoors daily when weather conditions do not pose a significant health risk.";"Additional non-compliance found during the course of the investigation: Home Environment: Provider is not providing outdoor play daily.";"Plan of Correction was completed by the program that stated the following: I will provide outside play daily";"Substantiated"
"K820053714";"10/12/2018";"340:110-3-85(a)(5)";"Assistant and substitute caregivers. When the primary caregiver employs an individual to assist with or to provide children's care and supervision in the primary caregiver's absence, the primary caregiver ensures the assistant or substitute caregiver is qualified, understands and complies with requirements, and has current cardio-pulmonary resuscitation (CPR) and first aid certification documentation, per Oklahoma Administrative Code (OAC) 340:110-3-85(h).";"Additional non-compliance found during the course of the investigation: Caregiver Records: Assistant caregivers who were employed at the program do not have documentation of CPR/FA.";"Plan of Correction was completed by the program that stated the following: I will make sure assistant caregivers have CPR/FA within 90 days";"Substantiated"
"K830052392";"12/6/2018";"340:110-3-284(c)(2)(C)";"demonstrate good judgment as evidenced by prudent and responsible behavior that reasonably ensures the health and safety of children;";"Staff Judgment: Staff are not demonstrating good judgment as evidenced by prudent and responsible behavior that reasonably ensures the health and safety of children.";"NTC mailed to the program";"Substantiated"
"K830024586";"11/12/2019";"340:110-3-297(a)(1)(B)";"changed promptly when wet or soiled.";"Diapering/ Toileting- staff are not changing diapers promptly";;"Substantiated"
"K830024586";"11/12/2019";"340:110-3-288(c)(2)(C)";"yelling at a child out of anger or using harsh or profane language;";"Discipline: Personnel are using inappropriate discipline at the program.";"POC completed during complaint initiation.";"Substantiated"
"K830025208";"9/17/2020";"340:110-3-286(a)";"Ratios. Ratios mean the number of teaching personnel required to be physically present with a child or group of children per Oklahoma Administrative Code (OAC) 340 Appendix GG - Ratios and Group Sizes. Only teaching personnel count in ratios, unless the requirements specifically state otherwise. The program is required to maintain ratios at all times.";"Ratios - The program is not maintaining ratios at all times.";"In the future, the program will hire more staff. It is impossible to know when staff will a be no call no show. I have a sub now.";"Substantiated"
"K830052754";"4/15/2021";"340:110-3-281.1(i)(4)";"Ratios and group sizes. The applicable program-type ratios and group sizes per OAC 340 Appendix GG - Ratios and Group Sizes are posted.";"Staff-Child Ratios (Serious) - Ratios were not met for the infants, one and two-yr old classroom";"Notice to Comply completed by director on 5/03/21 - Director will ensure staff/child ratios are met for all classrooms; staff will be aware of the number of children present and will inform director of any concerns related to ratios.";"Substantiated"
"K830054912";"12/4/2019";"340:110-3-287(h)(1)";"Children are never left unattended in vehicles.";"Transportation Supervision-- A child was left unattended on a vehicle.";"To correct the issue and ensure this will not happen in the future, we have set in motion as of 12-5-19, the plan listed below: 1. The driver of the van will take attendance of the children as they enter the van from the school. 2. When the van arrives to the center the Director/Asst. Director/School age teacher will take attendance as the children exit the van and enter the center. the Director/Asst. Director/School age teacher will verify this matches the driver's log. 3. The Director/Asst. Director/School age teacher will take attendance the 2nd time when lining the children up to transition to the back class area. 4. The Director/Asst. Director/School age teacher will then escort the children to the back class area where she will do a third attendance check. 5. The Director/Asst. Director/School age teacher will then advise the school age teacher of the number of children who have entered the back class area 6. The school age teacher will then do her attendance check and verify it matches the Director/Asst. Director/School age teacher's 3 attendance checks. 7. The driver upon parking the vehicle will do a thorough check of the vehicle from front to back, logging it in the van notebook. 8. The driver will then radio the Director/Asst. Director/School age teacher to come out to the vehicle to do a second check. This check is also logged in the van notebook";"Substantiated"
"K830051231";"9/29/2020";"340:110-3-286(a)";"Ratios. Ratios mean the number of teaching personnel required to be physically present with a child or group of children per Oklahoma Administrative Code (OAC) 340 Appendix GG - Ratios and Group Sizes. Only teaching personnel count in ratios, unless the requirements specifically state otherwise. The program is required to maintain ratios at all times.";"Staff/Child Ratios";"effective immediately ensure the facility is maintaining proper staff child ratios at all times.";"Substantiated"
"K820054653";"5/3/2021";"340:110-3-97.1(d)";"Capacity. Large family child care homes are required to meet the rules found in OAC 340:110-3-84(a), and the total number of children in care in a large family child care home is limited to 12.";"Additional Non-Compliance Found: Capacity. Program is exceeding maximum number of children specified on the license.";"TBC";"Substantiated"
"K820054653";"5/3/2021";"340:110-3-97.1(f)(2)";"Two caregivers. Two caregivers may care for up to:";"Additional Non-Compliance Found : Ratios. Program is not maintaining ratios.";"TBC";"Substantiated"
"K830053934";"4/12/2021";"340:110-3-294(a)(1)";"Meet needs. Personnel attend promptly to children's personal hygiene needs.";"Health protection and disease control- Staff are not attending to personal hygiene due to child being sent home without a diaper, pull-up or underwear on.";"Staff will double check all diapers at departure.";"Substantiated"
"K830053934";"4/12/2021";"340:110-3-288(c)(1)(F)";"restraining a child by any means other than holding and then for only as long as necessary for the child to regain self-control.";"Inappropriate discipline- physical- Staff are restraining children who are older than 1 years old in high-chairs longer than is necessary for the child to regain self-control";"Step into learning will not use highchairs for any reason other than feeding children. We will continue to not use them as a form of restraint. We attempted to grieve this decision but was not able to do so.";"Substantiated"
"K830025209";"7/11/2019";"340:110-3-288(c)(2)(D)(ii)(I)";"withdrawing, denying or forcing food, rest, or toileting; and";"Discipline - A teacher withdrew food as a discipline practice.";"Informed Staff of Discipline Policies. I will monitor meals to insure polices are followed.";"Substantiated"
"K830024282";"1/27/2020";"340:110-3-284.3(c)(2)";"Position specific professional development. Prior to or within three months of assuming primary responsibilities for food preparation, food service personnel obtain food service training from an approved source listed on the Oklahoma Professional Development Registry (OPDR) website. However, this is not required when only limited food service is provided per OAC 340:110-3-299(a).";"food and nutrition-preparing food without a food handlers card.";"Food handling cards have been received. They will be renewed as stated on card.";"Substantiated"
"K820010757";"3/15/2021";"340:110-3-88(c)(3)";"Daily attendance records, including arrival and departure times for each child, are maintained and on file a minimum of 120 calendar days.";"Attendance-Attendance not recorded accurately.";"Primary caregiver stated that she will ensure that children are signed in and out daily. Primary caregiver stated herself and assistant caregivers will sign in and out on a daily basis.";"Substantiated"
"K830021281";"6/9/2021";"340:110-3-299(f)(1)";"Portions. Individual and family-style portions of food once served are not served again.";"food & nutrition/additional non-compliance found during course of investigation: staff reserved one child's food to another child.";"Food will not be re-served from one child to another.";"Substantiated"
"K830054619";"7/29/2019";"340:110-3-287(a)";"Supervision. Supervision means the function of observing, overseeing, and guiding a child or group of children, including an awareness of, and responsibility for the ongoing activity of each child, and being near enough to intervene when needed. The program is required to maintain supervision at all times.";"Supervision: Lack of supervision resulting in an injury to a child.";"Our ones classroom has been rearranged to assist in the staffs ability to see the entire room at all times. We have also added sections to our incident reports to aid management in reviewing any incidents that may not have been seen by staff at the time of the accident.";"Substantiated"
"K820048211";"8/3/2020";"340:110-3-97.1(d)";"Capacity. Large family child care homes are required to meet the rules found in OAC 340:110-3-84(a), except the total number of children in care in a large family child care home is limited to 12.";"Capacity: 14 children present at times even though program is licensed for 12 children.";"Primary caregiver will make attendance records available and staff with assistants as to how many children are present so that everyone knows the total number of children that are in attendance.";"Substantiated"
"K820048211";"8/3/2020";"340:110-3-85(h)(4)";"Safe-sleep training. Prior to caring for infants, the primary caregiver and individuals caring for infants alone, obtain two or more clock-hours of training in safe-sleep practices from an Oklahoma Professional Development Registry (OPDR) approved training organization.";"Professional development: employee does not have Safe Sleep training.";"ASSISTANTS WILL COMPLETE SAFE SLEEP PRIOR TO PRIMARY CAREGIVER BEING ABSENT FROM THE HOME DURING CARE.";"Substantiated"
"K830051967";"10/11/2019";"340:110-3-281.4(b)(7)";"Medication permission. Signed parent permission for each medication is obtained, prior to administration, on a DHS or program form that contains the same information.";"Add'l NC found during the course of the investigation- Medication-documentation (SERIOUS)";"We Will use the DHS form for all meds that we give. 11/28/2019";"Substantiated"
"K820043087";"3/18/2019";"340:110-3-85(f)(1)(A)";"access to children, such as being present at the facility during the hours of operation or present with the children in care while off-site, when the individual has criminal history:";"Background investigations - SERIOUS - Individual with prohibited offense present on the premises during operating hours.";"Anyone who is a restricted person will not be allowed on my property during child care hours";"Substantiated"
"K820046200";"6/7/2021";"340:110-3-93(c)";"Bottle-feeding. Bottles are not propped by any means at any time.";"Additional allegation determined during the investigation: Serious, Staff propped a bottle when feeding an infant.";"A Notice to comply was completed at time of visit 6/7/2021 At no time will a staff prop a bottle, the primary caregiver will monitor staff to insure a bottle is never propped.";"Substantiated"
"K820046200";"6/7/2021";"340:110-3-93(h)";"Infant car seats. Infants are not permitted in infant car seats except during emergency drills, transportation, and arrival and departure with parents.";"Addition allegation determined during the investigation: Serious, Car Seat; A staff declared a car seat was used to prop an infants bottle.";"A Notice to comply was completed at time of visit 6/7/2021 At no time will an infant be left in a car seat or a car seat be used with infants at anytime.";"Substantiated"
"K830023788";"10/8/2019";"340:110-3-287(a)";"Supervision. Supervision means the function of observing, overseeing, and guiding a child or group of children, including an awareness of, and responsibility for the ongoing activity of each child, and being near enough to intervene when needed. The program is required to maintain supervision at all times.";"Supervision: Personnel did not maintain adequate supervision of children, resulting in a child going outside alone through the front door.";"Program will make locks inaccessible to children and ensure that all staff going in and out of the classroom lock the doors, ratios will be monitored every 15 minutes and documented, and program is currently hiring more staff.";"Substantiated"
"K830023788";"10/8/2019";"340:110-3-280(a)(1)(K)";"an incident that exposes children to an imminent risk of harm, such as a child leaving the facility without program knowledge or being left alone on- or off-site or in a vehicle;";"Additional allegation found during the course of the investigation: Reporting. Program failed to report serious incident within 24 hours of a child left unsupervised for 5 to 10 minutes.";"Staff in charge will report serious incidents with 24 hours to licensing.";"Substantiated"
"K830023788";"10/8/2019";"340:110-3-287(c)";"Personal activities. Personnel do not participate in personal activities that could interfere with supervision, such as visitors, phone calls, or electronic device use.";"Additional non-compliance found during the course of the investigation: Supervision. During interviews it was found that personnel in the 1 year old classroom are using cell phones while caring for children.";"Staff in charge will revise cell phone usage policy and hold a staff meeting over cell phone usage. Staff in charge will type up a memo and hand out to all personnel informing them to use alternative methods of cell phones to get ahold of other teachers, if possible, such as using the land line phone or by verbally requesting help from another teacher in proximity. Personnel using cell phones for personal use while caring fro children will receive a write up.";"Substantiated"
"K830005414";"7/22/2020";"340:110-3-287(a)";"Supervision. Supervision means the function of observing, overseeing, and guiding a child or group of children, including an awareness of, and responsibility for the ongoing activity of each child, and being near enough to intervene when needed. The program is required to maintain supervision at all times.";"Supervision (SERIOUS): Program left 3-year-old child outside alone on playground for five minutes";"1. A daily checklist roster was added to Kids Klub. Students are added when a child given to a teacher or taken away. 2. Procedures for blending in/out students were reviewed by all teachers/assistants. Eye contact/greet child/recount children.";"Substantiated"
"K830005414";"7/22/2020";"340:110-3-280(a)(1)(K)";"an incident that exposes children to an imminent risk of harm, such as a child leaving the facility without program knowledge or being left alone on- or off-site or in a vehicle;";"Reporting: Licensing was not notified by program of a child being left alone on playground";"The belief that issues ""not handled"" by the director are to be passed on, has been corrected. Our case worker will be notified.";"Substantiated"
"K830005414";"7/22/2020";"340:110-3-280(d)(3)(A)";"daily happenings, including the infant and 1-year-old daily records as maintained per OAC 340:110-3-281.4(b);";"Reporting: Parent not notified by program of an incident on the day it happened";"The belief that I (director) need to talk to parent in person has been corrected. Effort will be made to contact parent immediately.";"Substantiated"
"K830053416";"10/31/2019";"340:110-3-296(b)(2)(A)";"Appropriate sleep environment. The infant safe sleep environment requirements listed in (i) through (v) of this subparagraph are met.";"Rest Time (Serious Non-Compliance)- Infants are not sleeping in appropriate sleep environment.";"Director stated that she would like to have someone come do a safe sleep training again with all her staff. Director stated that she will have this completed by 12/17/19. Director stated that she has removed the swings from the infant room. Director stated that all staff have also completed a compliance reviews as well.";"Substantiated"
"K830053416";"10/31/2019";"340:110-3-281.4(b)(2)";"Infant and 1-year-old daily record. Daily records for 1-year-olds and younger are available in the child's classroom and include prompt documentation of eating, diapering, and sleeping activities.";"Record-Teaching personnel altered daily reports by changing feeding times to meet compliance.";"Director stated that staff now write on the child's daily sheet in pen to prevent them from erasing and altering the report.";"Substantiated"
"K830052345";"7/26/2019";"340:110-3-288(b)(11)(A)";"Personnel use this method only with 2-year-olds and older when:";"Additional Non-Compliance found during the course of the Investigation: Staff using Time-Out on children under 2 years of age.";"Program conducted a Staff meeting and reviewed Discipline-Time out in the DHS Requirement book.";"Substantiated"
"K830052345";"7/26/2019";"340:110-3-288(b)(11)(C)";"Time-out is limited to one minute or less for each year of age. However, when self-control is regained in less time, the child has the option to rejoin an ongoing activity.";"Additional Non-Compliance found during the course of the Investigation: Staff not following time limit requirements for Time-Out.";"Program conducted a Staff meeting and reviewed Discipline-Time out in the DHS Requirement book.";"Substantiated"
"K830024640";"7/29/2019";"340:110-3-285(a)";"Licensed capacity. The maximum number of children in care at one time, whether on- or off-site, does not exceed the licensed capacity specified on the current permit or license. This includes the personnel's children who are present and not filling a position listed in Oklahoma Administrative Code (OAC) 340:110-3-284.1 through 340:110-3-284.4.";"Program had too many children in care.";"Staff will conduct hourly head counts to assure the center is not over capacity at any time. Children will be refused at the door once 28 children are present.";"Substantiated"
"K830053708";"8/12/2021";"340:110-3-295(f)(4)(C)";"life-threatening condition medications, such as epinephrine pens and rescue inhalers are in close proximity to the child for immediate administration when needed, such as being in the same classroom or supplemental play area as the child, outdoors when the child is outside, or on field trips.";"Medication: Rescue inhaler not in classroom or close proximity of child for immediate administration if needed.";"All staff will ensure that life threatening condition medications are kept in close proximity to the child for immediate administration, while also keeping it out of reach of children.";"Substantiated"
"K830054270";"6/21/2021";"340:110-3-400(o)(3)(B)(iii)";"yelling at a child or youth out of anger or using harsh or profane language;";"Discipline: Teacher was yelling at a child face to face";"Program had already taken steps to correct the non-compliance. The teacher received a write up and the director enrolled the teacher in an online behavior and guidance class. The director will also contact Delaware Child Resource and Referral to have an in person behavior and guidance course taught for the program.";"Substantiated"
"K830007257";"7/2/2019";"340:110-3-288(c)(2)(C)";"yelling at a child out of anger or using harsh or profane language;";"Discipline: Staff are using inappropriate discipline by using harsh or profane language. *serious non-compliance*";"the staff member was terminated on July 1, 2019. All staff will be advised that no harsh or profane language can be used with children and director will go over the behavior and guidance policy.";"Substantiated"
"K830052416";"6/17/2019";"340:110-3-280(b)(1)";"Abuse and neglect. Any person who has reason to believe a child has been abused or neglected per 10 O.S.  1-1-105 is required to report the matter promptly to the DHS Child Abuse and Neglect Hotline at 1-800-522-3511 per Section 1-2-101 of Title 10A of the Oklahoma Statutes (10A O.S.  1-2-101). Failure to report is a misdemeanor offense and upon conviction is punishable by law. Failure to report with prolonged knowledge, six months or more, of ongoing abuse or neglect is a felony offense.";"Reporting (Serious Non-Compliance): Child care personnel failed to report suspected child abuse to the DHS Child Abuse and Neglect Hotline.";"Will hold a staff meeting and update program policy and procedures to ensure that all staff are aware that they are required to report any suspicion of child abuse or neglect promptly to the DHS Child Abuse and Neglect Hotline. Director will send a copy of the program's agenda and attendance of the staff meeting to licensing. All staff will be made aware today that they are to report suspected child abuse and neglect immediately to the hotline.";"Substantiated"
"K830052416";"6/17/2019";"340:110-3-284(c)(2)(C)";"demonstrate good judgment as evidenced by prudent and responsible behavior that reasonably ensures the health and safety of children;";"Judgment: Child care personnel did not demonstrate good judgment to ensure the health and safety of children by failing to report suspected child abuse.";"Will hold a staff meeting and update program policy and procedures to ensure that all staff are aware that they are required to report any suspicion of child abuse or neglect promptly to the DHS Child Abuse and Neglect Hotline. Director will send a copy of the program's agenda and attendance of the staff meeting to licensing. All staff will be made aware today that they are to report suspected child abuse and neglect immediately to the hotline.";"Substantiated"
"K830055041";"6/14/2021";"340:110-3-280(d)(3)(A)";"daily happenings, including the infant and 1-year-old daily records as maintained per OAC 340:110-3-281.4(b);";"Parents were not informed of daily happenings of child as required.";"Plan of Correction was emailed to the program on 7/16/21. Returned and signed 7/16/21: Staff were given instruction to give daily sheets to parents as well as verbalize pertinent information. Signed by current Director, Jaclynne James.";"Substantiated"
"K830055041";"6/14/2021";"340:110-3-287(a)";"Supervision. Supervision means the function of observing, overseeing, and guiding a child or group of children, including an awareness of, and responsibility for the ongoing activity of each child, and being near enough to intervene when needed. The program is required to maintain supervision at all times.";"Teachers were not supervising children constantly.";"The Educational Coordinator developed a plan / chart to be filled out by staff for children's in and outs, transitional times. They will turn in those one time weekly. There will be a one on one active supervision training with the 2 staff involved. There will also be active supervision training for all staff at the staff meeting. There will also be active supervision training to be completed by all employees at pre-service training. There will also be discipline involved by the program administration. Notice to Comply completed on 6/11/21. Signed by previous Director, Tausha Johnson. Administration relieved 2 staff and Director of their positions and licensing was notified on 6/21/21.";"Substantiated"
"K830055041";"6/14/2021";"340:110-3-284(c)(2)(C)";"demonstrate good judgment as evidenced by prudent and responsible behavior that reasonably ensures the health and safety of children;";"Director did not demonstrate good judgement when a serious incident occurred.";"Plan of Correction was emailed 7/16/21. Director and staff were relieved of all duties. Signed by current Director, Jaclynne James. CCL was notified on 7/21/21 Choctaw Nation Child Care Administration relieved 2 Staff and Director of their positions at Choctaw Nation Child Development.";"Substantiated"
"K830052500";"4/7/2020";"340:110-3-284(c)(2)(C)";"demonstrate good judgment as evidenced by prudent and responsible behavior that reasonably ensures the health and safety of children;";"** Additional Non-Compliance found during investigation** Good Judgement";"Director will explain to staff that non background checked people cannot hold infants. Even if it's people we know. Director will also show the requirement to staff.";"Substantiated"
"K830054095";"7/30/2021";"340:110-3-284(c)(2)(C)";"demonstrate good judgment as evidenced by prudent and responsible behavior that reasonably ensures the health and safety of children;";"Staff/Personnel: It was alleged Staff used poor judgement.";"Notice to Comply sent to Program for Plan of Correction.";"Substantiated"
"K830054095";"7/30/2021";"340:110-3-296(b)(2)(B)(ii)";"When an infant falls asleep in equipment other than appropriate rest equipment, the infant is immediately moved to appropriate rest equipment.";"Rest Time: It was alleged Staff allowed children to sleep in inappropriate rest equipment.";"Notice to Comply sent to Program for Plan of Correction.";"Substantiated"
"K830054095";"7/30/2021";"340:110-3-298(a)";"Required meals and snacks. The program ensures children are served meals and snacks according to program hours of operation and children's attendance, regardless of whether the program or parents provide the food.";"Food & Nutrition: It was alleged children were not provided adequate nutrition.";;"Substantiated"
"K820039081";"4/5/2019";"340:110-3-91.1(d)(4)";"Pillows, covers, blankets, quilts, comforters, sheepskins, bumper pads, and other soft products or bedding, are not permitted in infant cribs, playpens, or port-a-cribs.";"A bib was left on a child at nap time.";"Provider will not use bibs on babies, only burp rags. Provider will not let parents bring babies in bibs.";"Substantiated"
"K830024848";"3/25/2019";"340:110-3-286(a)";"Ratios. Ratios mean the number of teaching personnel required to be physically present with a child or group of children per Oklahoma Administrative Code (OAC) 340 Appendix GG - Ratios and Group Sizes. Only teaching personnel count in ratios, unless the requirements specifically state otherwise. The program is required to maintain ratios at all times.";"Additional non-compliance found during the course of the investigation- Staff/Child Ratio: Program was not at correct Staff-Child Ratio.";"Staff will not move a child to the hallway without another Staff member present.";"Substantiated"
"K830024848";"3/25/2019";"340:110-3-284(c)(2)(C)";"demonstrate good judgment as evidenced by prudent and responsible behavior that reasonably ensures the health and safety of children;";"Additional non-compliance found during the course of the investigation: General Qualifications-Good judgment was not used regarding Staffing & meeting children's needs.";"Staff Supervisor will adjust schedule to meet the needs of children with challenging behaviors in crisis.";"Substantiated"
"K830053999";"8/5/2020";"340:110-3-287(a)";"Supervision. Supervision means the function of observing, overseeing, and guiding a child or group of children, including an awareness of, and responsibility for the ongoing activity of each child, and being near enough to intervene when needed. The program is required to maintain supervision at all times.";"Lack of Supervision.";"9/17/21 Have 3 teachers in the room & constantly monitor the playground from every corner/blind spot. Assigned 3 teacher to the room";"Substantiated"
"K830021539";"11/13/2018";"340:110-3-288(c)";"Inappropriate discipline. Personnel are prohibited from using or threatening to use inappropriate discipline.";"Inappropriate discipline: personnel slapped child on the face";"Notice to Comply was mailed out on 12/19/18 with a return requested date no later than 1/10/2019. Plan of correction received on 1/9/18: the employee was placed on suspension during the investigation. Due to substantiated findings she is no longer eligible for employment with our agency. Her employment was terminated on 12/9/18.";"Substantiated"
"K830054512";"1/13/2020";"340:110-3-287(a)";"Supervision. Supervision means the function of observing, overseeing, and guiding a child or group of children, including an awareness of, and responsibility for the ongoing activity of each child, and being near enough to intervene when needed. The program is required to maintain supervision at all times.";"Supervision: Inappropriate behavior of a child in the three and older classroom.";"Notice to comply with appropriate plan of correction mailed to program. Notice to comply received with plan of correction noted as: Picket fence was removed so personnel can have supervision of all children effective 01/23/2020.";"Substantiated"
"K830055108";"6/30/2020";"340:110-3-286(a)";"Ratios. Ratios mean the number of teaching personnel required to be physically present with a child or group of children per Oklahoma Administrative Code (OAC) 340 Appendix GG - Ratios and Group Sizes. Only teaching personnel count in ratios, unless the requirements specifically state otherwise. The program is required to maintain ratios at all times.";"1. Staff-child ratio: Alleges over staff-child ratio in the 2 year old room.";"DIRECTOR OR FLAT WILL MAKE SURE ALL CLASSES ARE IN RATIO AND FLOAT WILL STEP IN TO COMPLY TO RATIO REQUIREMENT.";"Substantiated"
"K830055108";"6/30/2020";"340:110-3-288(c)(1)(A)";"actions that could cause pain, such as shaking, striking, spanking, swatting, thumping, pinching, popping, shoving, spatting, hair pulling, yanking, and slamming;";"Additional non-compliance found during the course of the investigation. Inappropriate discipline: Personnel grabbed a child by the arm and swung child to the side. Also grabbed another child by the arms and set child down forcefully.";"WILL STAFF WITH PERSONNEL AT MONTHLY STAFF MEETINGS WAY TO REDUCE STRESS.";"Substantiated"
"K830023265";"7/23/2019";"340:110-3-287(a)";"Supervision. Supervision means the function of observing, overseeing, and guiding a child or group of children, including an awareness of, and responsibility for the ongoing activity of each child, and being near enough to intervene when needed. The program is required to maintain supervision at all times.";"Supervision- serious- unexplained injury to child in care that required medical treatment.";"I will continue to self report injuries of serious nature to DHS. Staff will be trained on closer supervision of buggy- children getting in one at a time while staff supervises.";"Substantiated"
"K830020228";"7/29/2021";"340:110-3-287(d)";"Kitchen. Children are restricted from the kitchen, unless part of a planned, supervised activity.";"Additional Non-Compliance Found During Investigation: Supervision: A child was allowed in the kitchen and it was not for a planned, supervised activity.";"Sign will be posted on kitchen door to keep locked at all times.";"Substantiated"
"K830055553";"5/13/2021";"340:110-3-305(h)(3)(A)";"are identified with the program or business entity name and phone number that is easily read by the public, unless using contracted transportation;";"Transportation- vehicle being used for transporting children is not marked with program name and phone number.";"Not transporting at this time.";"Substantiated"
"K830025242";"5/27/2021";"340:110-3-281.4(b)(2)";"Infant and 1-year-old daily record. Daily records for 1-year-olds and younger are available in the child's classroom and include prompt documentation of eating, diapering, and sleeping activities.";"Child records and documentation- daily records are not completed daily or are not filled out promptly.";"Director will have meeting with infants and one year old teachers in regards to documenting on daily sheets promptly. Will ask staff for suggestions. Will ensure daily records are updated promptly.";"Substantiated"
"K830024864";"10/8/2019";"340:110-3-281.2(c)(8)(A)";"Injury and poison exposure log. Incidents requiring an injury or poison exposure report are documented and maintained in one location for at least 12 months, to determine patterns. The log includes, at least the:";"Additional Non-Compliance Found During the Investigation. Program Records and documentation: Injury and Poison Exposure log incomplete due to no full name and 3 injuries not logged.";"Typed for director. Will log injuries on Poison and Injury log every day before the end of the day to ensure that all injuries are documented. Will write first and last names of children on the injury and poison exposure log.";"Substantiated"
"K830023601";"11/5/2018";"340:110-3-304(i)";"The facility is free of pests, such as rodents and insects. Safe, effective measures are taken to minimize the presence and protect against the entry of pests.";"Facility- reporter states she observed a bug walking across the floor during a visit.";"We just recently changed exterminator companies prior to the complaint. This new company is servicing more often.";"Substantiated"
"K830024353";"1/15/2020";"340:110-3-287(a)";"Supervision. Supervision means the function of observing, overseeing, and guiding a child or group of children, including an awareness of, and responsibility for the ongoing activity of each child, and being near enough to intervene when needed. The program is required to maintain supervision at all times.";"1. Supervision - Staff left 1 year old alone in center with front door unlocked. SERIOUS NON-COMPLIANCE";"Director stated she updated attendance sheet to have a slot for multiple ins and outs. Staff was terminated. Director held a staff meeting to discuss situation and safety plan. Staff will double check all classrooms and cribs at closing to make sure there are no kids in the building. Director hired 1 part time employee to help fill in and ensure ratios and supervision are met.";"Substantiated"
"K830024353";"1/15/2020";"340:110-3-281.2(c)(5)(B)(i)";"promptly documented on paper, including the child's full name and arrival and departure time; and";"2. Records: Child's attendance record not updated when child returned to facility. FOUND DURING INVESTIGATION";"Updated ins & outs for multiple times daily. Double check whole building that all children have not been left before closing for the day. We take attendance records with us when we go outside. Safety plan discussed with all new hires. Supervision training with all staff will be completed by 4/15/2020.";"Substantiated"
"K820048328";"5/11/2020";"340:110-3-92(b)(1)";"subjecting children to punishment of a physical nature, such as shaking, striking, spanking, biting, swatting, thumping, pinching, popping, shoving, spatting, yanking, hair pulling, slamming, excessive exercise, or any cruel treatment that may cause pain;";"Additional Non-Compliance found during Investigation **Serious Non-Compliance**-Caretakers used Inappropriate discipline.";"Caregiver will take a twelve hour class on discipline.";"Substantiated"
"K820048328";"5/11/2020";"340:110-3-85(b)(1)";"General. The caregiver is a responsible, mature, healthy adult capable of understanding and complying with licensing requirements, and meeting the needs of children in care. The caregiver demonstrates good judgment, as evidenced by prudent and responsible behavior reasonably ensuring children's health, safety, and well-being.";"Additional Non-Compliance found during Investigation: Provider used poor judgment.";"Caretakers will be more respectful when playing with the children. Caretakers will teach the children respectful boundaries.";"Substantiated"
"K830024036";"6/9/2020";"340:110-3-288(c)(1)(A)";"actions that could cause pain, such as shaking, striking, spanking, swatting, thumping, pinching, popping, shoving, spatting, hair pulling, yanking, and slamming;";"Serious-Discipline/Inappropriate/Physical. Program is using physical discipline of spanking children in care.";"I only spank my kids and it's done in the bathroom. I will not spank anyone else's even w/ permission.";"Substantiated"
"K830024036";"6/9/2020";"340:110-3-293(a)(2)";"Prohibited. Personnel do not seek or accept parental permission that does not comply with the requirements.";"Additional non-compliance found during investigation. Parent communication and family engagement/Prohibited- Program has written permission that goes against requirements.";"I will not take a (one) note from a friend of many years giving permission to ""swat"" their child.";"Substantiated"
"K830024036";"6/9/2020";"340:110-3-281.2(c)(5)(A)(i)";"promptly documented on paper, including personnel's full name and arrival and departure time; and";"Additional non-compliance found during course of investigation. Program records and documentation/Available in facility/Attendance-Daily attendance is not being documented for all personnel.";"Bridget and myself (owners) will start keeping a time sheet so trouble making Harrasers won't make false accusations about if we have enough staff present or not.";"Substantiated"
