"Name";"City";"County";"Zip";"Address";"Phone";"Email";"Type of Care";"License Effective Date";"License Expiration Date";"Facility Total Capacity";"Facility Age Range";"Hours of operation";"UrlID";"Mailing Address";"Mailing City";"Mailing State";"Mailing ZIP";"Email2";"Director";"Child Care Specialist";"ID"
"FAITH PRESCHOOL AND PARENTS DAY OUT";"ST CHARLES";"ST CHARLES";63301;"2950 DROSTE RD ";"(636) 724-7020";;"LICENSE EXEMPT PROGRAM";"03/01/2023";;69;"6 WEEKS - 12 YEARS";" 8:00 AM- 4:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=000820277";" ";;;;"PRESCHOOL@FAITHUMCSTCHARLES.ORG";"LOWE, DANIELLE";"CHARMEL WILLIAMS";820277
"FAULKNER, MARIAH ";"SAINT CHARLES ";"ST CHARLES";63303;"1228 LAKESHORE DR ";"(727) 251-6013";;"Reg";;;;;"-";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002973877";;;;;;;;2973877
"FIRST BAPTIST CHURCH OF ST PETERS PRESCHOOL";"ST PETERS";"ST CHARLES";63376;"3533 MID RIVERS MALL DR ";"(636) 397-3405";;"LICENSE EXEMPT PROGRAM";"05/01/2023";;48;"36 MONTHS - 5 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001138487";" ";;;;"FBCSTPETERS@FBCSTPETERS.ORG";"TAYLOR, BRANDY NICOLE";"AMY MUSSELMAN";1138487
"FIRST ST. CHARLES UNITED METHODIST FIRST KIDS";"ST CHARLES";"ST CHARLES";"63301-2731";"801 1ST CAPITOL DR ";"(636) 947-9380";;"LICENSE EXEMPT PROGRAM";"04/01/2023";;108;"6 WEEKS - 11 YEARS";" 7:30 AM- 4:30 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=000259910";" ";;;;"kjohnson@firststcharlesumc.org";"JOHNSON, KERRI";"KATHERINE D SIMS";259910
"FIRST ST. CHARLES UNITED METHODIST FIRST KIDS";"ST CHARLES";"ST CHARLES";"63301-2731";"801 1ST CAPITOL DR ";"(636) 947-9380";;"LICENSE EXEMPT PROGRAM";"04/01/2023";;108;"6 WEEKS - 11 YEARS";" 7:30 AM- 4:30 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=000259910";" ";;;;"kjohnson@firststcharlesumc.org";"JOHNSON, KERRI";"KATHERINE D SIMS";259910
"FIRST, KATHLEEN A.";"O FALLON";"ST CHARLES";"63368-6985";"154 ROYALLPRAIRIE LN ";"(636) 445-4613";;"FAMILY HOME";"08/28/2021";;10;"BIRTH - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001940234";" ";;;;"Kathyfirstdaycare@yahoo.com";"FIRST, KATHLEEN A.";"AMY MUSSELMAN";1940234
"FISTER, RENEE LYNN";"ST PETERS";"ST CHARLES";63376;"3067 VALLEY VISTA DR N ";"(636) 926-2718";;"FAMILY HOME";"08/28/2021";;10;"6 WEEKS - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001425961";" ";;;;"GR8WITHKIDS@HOTMAIL.COM";"FISTER, RENEE LYNN";"CHARMEL WILLIAMS";1425961
"FUTURE APOSTLE ACADEMY";"WENTZVILLE";"ST CHARLES";"63385-1423";"411 W PEARCE BLVD ";"(636) 439-0056";;"CHILD CARE CENTER";"10/14/2022";;60;"6 WEEKS - 16 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002960710";"563 SPRINGHURST PKWY ";"O FALLON";"MO";"63368-7452";"trhen@futureaa.org";"RHEN, TONDALIER G";"AMY MUSSELMAN";2960710
"GIESLER, SARAH LYNN";"ST PETERS";"ST CHARLES";63376;"# 1 FOUR WINDS DR ";"(636) 387-3685";;"FAMILY HOME";"09/19/2022";;10;"BIRTH - 13 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001926278";" ";;;;"MSSARAHSKIDS@GMAIL.COM";"GIESLER, SARAH LYNN";"CHARMEL WILLIAMS";1926278
"GRACE UNITED CHURCH OF CHRIST PRESCHOOL";"ST PETERS";"ST CHARLES";63376;"8326 MEXICO RD ";"(636) 240-5856";;"LICENSE EXEMPT PROGRAM";"03/01/2023";;40;"24 MONTHS - 5 YEARS";" 9:00 AM- 2:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=000392025";" ";;;;"graceuccpreschool@gmail.com";"BERGNER, PATRICIA";"KATHERINE D SIMS";392025
"GREAT BEGINNINGS DAYCARE & PRESCHOOL, L.C.";"COTTLEVILLE";"ST CHARLES";"63376-3431";"1401 COTTLEVILLE PKWY ";"(636) 447-4212";;"CHILD CARE CENTER";"08/28/2021";;156;"6 WEEKS - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002049554";" ";;;;"greatbeglc@sbcglobal.net";"SOKOLICH, SUZANNE NICOLE";"AMY MUSSELMAN";2049554
"GREAT BEGINNINGS LEARNING CENTER, L.C.";"ST CHARLES";"ST CHARLES";"63301-4046";"3456 HARRY S TRUMAN BLVD ";"(636) 724-5048";;"CHILD CARE CENTER";"08/28/2021";;96;"6 WEEKS - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001830782";" ";;;;"greatbegsc@gmail.com";"GOINGS, JULIE ANN";"AMY MUSSELMAN";1830782
"HAND-N-HAND DAYCARE & PRESCHOOL";"WENTZVILLE";"ST CHARLES";"63385-7206";"63 HUNTLEIGH WOODS CT ";"(636) 383-6902";;"FAMILY HOME";"08/28/2021";;10;"6 WEEKS - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002407550";" ";;;;"handnhandchildcare@gmail.com";"MEINDERS, JESSICA LYNN";"AMY MUSSELMAN";2407550
"HARLAN OAKS, LLC";"ST PETERS";"ST CHARLES";"63376-1347";"417 S CHURCH ST ";"(636) 387-0401";;"CHILD CARE CENTER";"07/21/2022";;59;"6 WEEKS - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002938094";"507 CHATHAM DR ";"O FALLON";"MO";"63366-4396";"HARLANOAKSLLC@GMAIL.COM";"COMBS, ALYSSA ANN";"MICHELLE (SHELLEY) TRUESDALE";2938094
"HARVEST RIDGE VACATION STATION ";"SAINT CHARLES ";"ST CHARLES";63303;"1220 HARVEST RIDGE DR ";"(636) 851-5165";;"Sch";;;;;"-";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=000818628";;;;;;;;818628
"HENDERSON VACATION STATION ";"SAINT CHARLES ";"ST CHARLES";63303;"2501 HACKMANN RD ";"(636) 851-5222";;"Sch";;;;;"-";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=000818566";;;;;;;;818566
"HOFFMAN, DARONDA";"ST CHARLES";"ST CHARLES";"63304-6866";"1441 WOODSTONE DR ";"(636) 928-8443";;"FAMILY HOME";"08/28/2021";;10;"BIRTH - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002353420";" ";;;;"RAINBOWHCC@YAHOO.COM";"HOFFMAN, DARONDA";"AMY MUSSELMAN";2353420
"HOLY CROSS LUTHERAN PRESCHOOL";"O FALLON";"ST CHARLES";"63366-3093";"8945 VETERANS MEMORIAL PKWY ";"(636) 272-4505";;"LICENSE EXEMPT PROGRAM";"05/01/2023";;37;"36 MONTHS - 6 YEARS";" 8:00 AM- 4:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001700565";" ";;;;"PRESCHOOL@HCROSS.COM";"BIRK, DARLENE";"AMY MUSSELMAN";1700565
"HOPE LEARNING CENTER";"WENTZVILLE";"ST CHARLES";"63385-5513";"9 LOVE PARK LN ";"(636) 332-5127";;"LICENSE EXEMPT PROGRAM";"09/01/2022";;70;"BIRTH - 12 YEARS";" 6:00 AM- 6:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001187077";;;;;;;;1187077
"HOPE LEARNING CENTER";"WENTZVILLE";"ST CHARLES";"63385-5513";"9 LOVE PARK LN ";"(636) 332-5127";;"LICENSE EXEMPT PROGRAM";"09/01/2022";;70;"BIRTH - 12 YEARS";" 6:00 AM- 6:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001187077";;;;;;;;1187077
"HOPE LUTHERAN CHURCH PRESCHOOL";"ST CHARLES";"ST CHARLES";63303;"1975 OLD US HIGHWAY 94 S ";"(636) 946-8922";;"LICENSE EXEMPT PROGRAM";"05/01/2023";;49;"30 MONTHS - 5 YEARS";" 6:00 AM- 6:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002168836";" ";;;;"hlcp1975@gmail.com";"IKEDA, REBECCA ANNE";"CHARMEL WILLIAMS";2168836
"HOPE MONTESSORI ACADEMY LAKE ST. LOUIS";"LAKE ST LOUIS";"ST CHARLES";"63367-4013";"1880 S HENKE RD ";"(636) 561-2811";;"CHILD CARE CENTER";"08/28/2021";;173;"6 WEEKS - 6 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001559282";" ";;;;"LAKESTL@HOPEACADEMY.COM";"WORLEY, PAMELA KAE";"AMY MUSSELMAN";1559282
"HUTH, JAYNE ELIZABETH";"ST PETERS";"ST CHARLES";63376;"2 LONE ELK LN ";"(636) 293-8971";;"FAMILY HOME";"08/28/2021";;10;"BIRTH - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002211127";" ";;;;"JAYNEH1959@GMAIL.COM";"HUTH, JAYNE ELIZABETH";"CHARMEL WILLIAMS";2211127
"INDEPENDENCE VACATION STATION ";"ST CHARLES ";"ST CHARLES";63304;"4800 MEADOWS PKWY ";"(636) 851-5803";;"Sch";;;;;"-";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001577324";;;;;;;;1577324
"JACK AND JILL STEAM ACADEMY, LLC";"ST PETERS";"ST CHARLES";"63376-2649";"700 JUNGERMANN RD ";"(636) 284-7627";;"CHILD CARE CENTER";"08/28/2021";;89;"6 WEEKS - 12 YEARS";" 6:00 AM- 7:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002858886";"2266 HERITAGE DR ";"ST LOUIS";"MO";"63136-4520";"jackjillsteam@currently.com";;"AMY MUSSELMAN";2858886
"JELLYBEAN ISLAND LEARNING ACADEMY LLC";"ST PETERS";"ST CHARLES";"63376-1507";"6810 MEXICO RD ";"(636) 397-0644";;"CHILD CARE CENTER";"08/28/2021";;48;"24 MONTHS - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002308130";" ";;;;"Jellybeanislandla@yahoo.com";"PLESIA, DANA NICOLE";"KATHERINE D SIMS";2308130
"JENNER'S KIDS DAYCARE, L.L.C.";"ST PETERS";"ST CHARLES";"63376-3400";"1901 THOELE RD ";"(636) 922-4500";;"CHILD CARE CENTER";"08/28/2021";;105;"6 WEEKS - 16 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002582496";" ";;;;"markandlinda@jennerskidsdaycare.com";"BLECHLE, NICOLE RENE";"AMY MUSSELMAN";2582496
"JOHN WELDON VACATION STATION ";"DARDENNE PRAIRIE ";"ST CHARLES";63368;"7370 WELDON SPRING RD ";"(636) 851-5431";;"Sch";;;;;"-";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=000818548";;;;;;;;818548
"JOHNSON, CHANTELLE ";"SAINT CHARLES ";"ST CHARLES";63303;"67 SCENIC COVE LN ";"(314) 392-7182";;"Reg";;;;;"-";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002108703";;;;;;;;2108703
"JOHNSON, NICOLE ";"SAINT CHARLES ";"ST CHARLES";63301;"712 MARINA DR ";"(314) 585-6598";;"Reg";;;;;"-";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001909260";;;;;;;;1909260
"JONES, TEQUILA ";"SAINT CHARLES ";"ST CHARLES";63304;"4097 BRIDGEHAMPTON DR ";"(314) 201-9810";;"Reg";;;;;"-";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002992918";;;;;;;;2992918
"JUST 4 US";"ST CHARLES";"ST CHARLES";63303;"1579 S OLD HIGHWAY 94 ";"(636) 925-2400";;"CHILD CARE CENTER";"08/28/2021";;58;"BIRTH - 13 YEARS";" 6:00 AM- 6:00 AM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001110916";" ";;;;"JUST4USCHILDCARE@GMAIL.COM";"FRANK, PATRICIA";"CHARMEL WILLIAMS";1110916
"JUST 4 US CHILD CARE AND LEARNING CENTER, INC.";"O FALLON";"ST CHARLES";"63366-3962";"192 FRONTIER PARK DR ";"(636) 978-8887";;"CHILD CARE CENTER";"08/09/2022";;77;"BIRTH - 13 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001760152";" ";;;;"JUST4USCHILDCARE@GMAIL.COM";"WATKINS, REBECCA SONNIER";"CHARMEL WILLIAMS";1760152
"JUST 4 US CHILDCARE";"ST PETERS";"ST CHARLES";"63376-2162";"3011 MID RIVERS MALL DR ";"(314) 713-2259";;"CHILD CARE CENTER";"08/28/2021";;75;"BIRTH - 13 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002818964";"460 WILD OAK DR ";"O FALLON";"MO";"63368-7464";"just4uschildcare@gmail.com";"MATHIS, TRACEY MICHELLE";"THERESA ZEHNLE";2818964
"JUST 4 US CHILDCARE, INC.";"ST CHARLES";"ST CHARLES";"63301-4841";"2559 RAYMOND DR ";"(636) 493-6030";;"CHILD CARE CENTER";"08/28/2021";;89;"BIRTH - 13 YEARS";" 6:00 AM- 6:00 AM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002306374";" ";;;;"just4uschildcare@gmail.com";"MOORE, CHRISTINE";"CHARMEL WILLIAMS";2306374
"KAREN'S KIDS INCORPORATED";"ST PETERS";"ST CHARLES";"63376-7348";"3857 MCCLAY RD ";"(636) 928-2234";;"CHILD CARE CENTER";"08/28/2021";;64;"6 WEEKS - 6 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001419852";" ";;;;"karenskidsinc@yahoo.com";"JOHNSON, NICHOLE TERESA";"CHARMEL WILLIAMS";1419852
"KARNS, KARLA JEAN";"O FALLON";"ST CHARLES";"63366-4581";"25 FLANDERS CT ";"(314) 249-0234";;"FAMILY HOME";"08/28/2021";;10;"BIRTH - 10 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002395957";" ";;;;"MJK813@charter.net";"KARNS, KARLA";"AMY MUSSELMAN";2395957
"KIDDIE ACADEMY OF O'FALLON";"O FALLON";"ST CHARLES";"63368-3621";"4088 WINGHAVEN BLVD ";"(636) 265-3444";;"CHILD CARE CENTER";"08/28/2021";;148;"6 WEEKS - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002397099";" ";;;;"ofallon@kiddieacademy.net";"JONES, CHASSIDY DAWN";"MICHELLE (SHELLEY) TRUESDALE";2397099
"KIDS & COMPANY";"O FALLON";"ST CHARLES";"63368-6692";"123 HUTCHINGS FARM DR ";"(636) 272-4488";;"CHILD CARE CENTER";"04/24/2023";;214;"6 WEEKS - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002999411";;;;;;;;2999411
"KIDS ACADEMY INC.";"O FALLON";"ST CHARLES";"63368-6702";"7767 HIGHWAY N ";"(636) 561-8697";;"CHILD CARE CENTER";"06/09/2022";;124;"6 WEEKS - 13 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001484059";" ";;;;"erica.kidsacademy@gmail.com";"BUFF, ERICA DAWN";"AMY MUSSELMAN";1484059
"KIDS ACADEMY INC.";"WELDON SPRING";"ST CHARLES";"63304-9103";"6016 WELDON SPRING PKWY ";"(636) 329-1960";;"CHILD CARE CENTER";"08/28/2021";;169;"6 WEEKS - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002623512";" ";;;;"kidsacademyws@gmail.com";"NIPPER, PATRICIA ANN";"AMY MUSSELMAN";2623512
"KIDS FIRST DAYCARE LLC";"ST PETERS";"ST CHARLES";"63376-3959";"4750 N SERVICE RD ";"(636) 936-1912";;"LICENSE EXEMPT PROGRAM";"11/30/2022";;47;"6 WEEKS - 5 YEARS";" 6:00 AM- 6:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001692011";;;;;;;;1692011
"KIDS FIRST DAYCARE LLC";"ST PETERS";"ST CHARLES";"63376-3959";"4750 N SERVICE RD ";"(636) 936-1912";;"LICENSE EXEMPT PROGRAM";"11/30/2022";;47;"6 WEEKS - 5 YEARS";" 6:00 AM- 6:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001692011";;;;;;;;1692011
"KIDS KINGDOM CHRISTIAN CENTER";"ST PETERS";"ST CHARLES";"63376-1125";"2 FOUR WINDS DR ";"(636) 397-6968";;"LICENSE EXEMPT PROGRAM";"10/12/2022";;153;"6 WEEKS - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002947931";;;;;;;;2947931
"KIDS R KIDS - WENTZVILLE";"WENTZVILLE";"ST CHARLES";"63385-3694";"1020 MEYER RD ";"(636) 327-0788";;"CHILD CARE CENTER";"08/28/2021";;237;"6 WEEKS - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002565371";;;;;;;;2565371
"KIDSPLAY, LLC";"O FALLON";"ST CHARLES";"63368-7862";"2949 HIGHWAY K ";"(636) 379-9494";;"CHILD CARE CENTER";"08/28/2021";;73;"6 WEEKS - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002462900";;;;;;;;2462900
"KIDZ ACADEMY LLC";"ST CHARLES";"ST CHARLES";"63301-1050";"2100 CAMPUS DR ";"(314) 766-5468";;"CHILD CARE CENTER";"08/28/2021";;50;"6 WEEKS - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002785446";"42 LOGAN CROSSING CIR ";"O FALLON";"MO";"63366-1497";"kidz_academy83@yahoo.com";"CAMPBELL, THEKRA";"CHARMEL WILLIAMS";2785446
"KINDERCARE EDUCATION LLC";"ST PETERS";"ST CHARLES";63376;"4150 S CLOVERLEAF DR ";"(636) 928-5711";;"CHILD CARE CENTER";"08/28/2021";;116;"6 WEEKS - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001776609";" ";;;;"000772@KLCORP.COM";"SINOSKI, COURTNEY R";"CHARMEL WILLIAMS";1776609
"KINDERCARE EDUCATION LLC";"ST PETERS";"ST CHARLES";"63304-5637";"515 FLORENCE DR ";"(636) 447-4314";;"CHILD CARE CENTER";"02/15/2023";;134;"6 WEEKS - 5 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002966474";"515 FLORENCE DR ";"ST PETERS";"MO";"63304-5637";"weldonspring@kindercare.com";"KING, ALESSANDRA RENNE";"CHARMEL WILLIAMS";2966474
"KINDERCARE LEARNING CENTERS LLC";"ST CHARLES";"ST CHARLES";63303;"1900 ZUMBEHL RD ";"(636) 946-7681";;"CHILD CARE CENTER";"08/28/2021";;148;"6 WEEKS - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=000630544";" ";;;;"LPATTERSON@KLCORP.COM";"PATTERSON, LEAH RENAE";"CHARMEL WILLIAMS";630544
"KINGDOM KARE EARLY LEARNING CENTER LLC";"ST PETERS";"ST CHARLES";"63376-7480";"1 SUGARWOOD DR ";"(314) 528-5005";;"CHILD CARE CENTER";"06/06/2023";;40;"6 WEEKS - 5 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002927195";;;;;;;;2927195
"KOESTER, DEBBIE ANN";"ST CHARLES";"ST CHARLES";"63303-6618";"1005 DREXEL DR ";"(636) 928-0537";;"FAMILY HOME";"08/28/2021";;10;"BIRTH - 16 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=000297772";" ";;;;"sm_koester@yahoo.com";"KOESTER, DEBBIE ANN";"CHARMEL WILLIAMS";297772
"LEARNING LODGE WEST, LLC";"LAKE ST LOUIS";"ST CHARLES";63367;"5101 LAKE SAINT LOUIS BLVD ";"(636) 222-3576";;"CHILD CARE CENTER";"08/28/2021";;138;"6 WEEKS - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002697498";" ";;;;"jacinda@learninglodgewest.com";"KIRK, JACINDA BRI";"AMY MUSSELMAN";2697498
"LEARNING PLACE PRESCHOOL";"O FALLON";"ST CHARLES";63366;"8576 VETERANS MEMORIAL PKY ";"(636) 978-1133";;"LICENSE EXEMPT PROGRAM";"05/01/2023";;76;"24 MONTHS - 5 YEARS";" 6:00 AM- 6:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001393380";" ";;;;"SONYAWALKER@CHARTER.NET";"WALKER, SONYA";"AMY MUSSELMAN";1393380
"LITTLE EXPLORERS LEARNING ACADEMY LLC";"ST CHARLES";"ST CHARLES";"63301-0846";"2102 W RANDOLPH ST ";"(636) 493-1012";;"CHILD CARE CENTER";"05/05/2022";;47;"6 WEEKS - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002922332";"8721 SIELOFF DR APT G ";"HAZELWOOD";"MO";"63042-2262";"littleexplorerslc1@gmail.com";"COLEMAN, SHAY LASHAY";"CHARMEL WILLIAMS";2922332
"LITTLE GUPPY CHILD DEVELOPMENT CENTER";"ST CHARLES";"ST CHARLES";"63301-4338";"3151 ELM POINT INDUSTRIAL DR ";"(636) 916-4280";;"CHILD CARE CENTER";"08/28/2021";;167;"6 WEEKS - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002861407";" ";;;;"lpayne@littleguppy.com";"PAYNE, LESLIE GENE";"KATHERINE D SIMS";2861407
"LITTLE GUPPY CHILD DEVELOPMENT CENTER";"O FALLON";"ST CHARLES";"63366-3400";"1078 BRYAN RD ";"(636) 240-7332";;"CHILD CARE CENTER";"08/28/2021";;170;"6 WEEKS - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002861416";" ";;;;"tbenning@littleguppy.com";"BENNING, TAYLOR LAURYN";"KATHERINE D SIMS";2861416
"LITTLE HILLS LEARNING CENTER INC";"ST CHARLES";"ST CHARLES";"63301-8212";"3601 MUELLER RD ";"(636) 757-3737";;"CHILD CARE CENTER";"08/28/2021";;162;"6 WEEKS - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002840055";" ";;;;"INFO@LITTLEHILLSLC.COM";"GEORGE, SHEILA";"CHARMEL WILLIAMS";2840055
"LITTLE IMPRESSION DAYCARE AND PRESCHOOL LLC,";"ST PETERS";"ST CHARLES";"63376-1698";"130 JUNGERMANN RD ";"(636) 317-1007";;"CHILD CARE CENTER";"03/17/2023";;56;"6 WEEKS - 12 YEARS";" 6:00 AM- 6:00 AM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002627367";" ";;;;"mjenkinslittleimpressiondaycare@outlook.com";"DOWNS, SOPHIA D";"IAN FYFE";2627367
"LITTLE JEM'S LEARNING CENTER, LLC";"ST CHARLES";"ST CHARLES";"63304-2843";"4056 S OLD HIGHWAY 94 ";"(636) 284-7713";;"CHILD CARE CENTER";"08/28/2021";;76;"6 WEEKS - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002744374";" ";;;;"littlejemslearning@gmail.com";"HUMPHREYS, JENNIFER NICOLE";"CHARMEL WILLIAMS";2744374
"LITTLE LEARNERS ACADEMY, INC.";"WELDON SPRING";"ST CHARLES";"63304-5611";"5935 S HIGHWAY 94 ";"(636) 926-9881";;"CHILD CARE CENTER";"08/28/2021";;80;"6 WEEKS - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001856353";" ";;;;"kidsfirstatlla@yahoo.com";"MENDENHALL, JENNIFER LYNN";"AMY MUSSELMAN";1856353
"LITTLE LEARNERS OF O'FALLON LLC";"O FALLON";"ST CHARLES";"63366-3457";"1031 BRYAN RD ";"(636) 978-2694";;"CHILD CARE CENTER";"08/28/2021";;49;"6 WEEKS - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002846193";;;;;;;;2846193
"LITTLE LEARNERS OF ST. PETERS";"ST PETERS";"ST CHARLES";"63376-2095";"605 S CHURCH ST ";"(636) 397-9991";;"CHILD CARE CENTER";"08/28/2021";;69;"6 WEEKS - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002738363";" ";;;;"julianajoyce84@gmail.com";"JACKSON, SHAYLA";"KATHERINE D SIMS";2738363
"LITTLE SUNSHINE'S DAYCARE & LEARNING CENTER LLC";"ST CHARLES";"ST CHARLES";"63303-4332";"2183 MUEGGE RD ";"(636) 317-1492";;"CHILD CARE CENTER";"08/28/2021";;51;"6 WEEKS - 6 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002627376";" ";;;;"LITTLESUNSHINES123@GMAIL.COM";"SLAGLE, ANNABELLE";"KATHERINE D SIMS";2627376
"LITTLE SUNSHINE'S PLAYHOUSE & PRESCHOOL";"O FALLON";"ST CHARLES";"63368-7903";"4220 HIGHWAY K ";"(636) 486-2424";;"CHILD CARE CENTER";"08/28/2021";;148;"6 WEEKS - 6 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002738774";;;;;;;;2738774
