"Facility Type";"Facility Name";"Address";"City";"Zip Code";"County";"Phone";"Provides Transportation";"Infants Accepted";"Full Day Service";"Half Day Service";"Drop In Accepted";"Weekend Service";"Night Service"
"Family Child Care Center";"Jens Cozy Corner Day Care";"1113 North Beech";"Casper";"82601-";"Natrona";"307-797-2324";;"Y";;;;;
"Family Child Care Center";"Katis Christian Day Care";"1744 S Conwell";"Casper";82601;"Natrona";"307-472-7404";"Y";;;;;;
"Family Child Care Center";"KIDS KLUB";"940 S. NEBRASKA";"Casper";82609;"Natrona";"307-235-0940";;;;;;;
"Family Child Care Center";"KIDS WORLD";"422 WASATCH";"Mills";82644;"Natrona";"307-265-9157";;;;;;;
"Family Child Care Center";"Lil Angels Daycare";"6384 Little Moon Trail";"Casper";"82604-0000";"Natrona";"307-333-5378";;"Y";"Y";;;;
"Family Child Care Center";"Little Monsters Ink";"3702 Salt Creek Highway";"Bar Nunn";"82601-";"Natrona";"307-234-5437";"Y";"Y";"Y";;;;
"Family Child Care Center";"LITTLE PEOPLES PLAY HOUSE";"1650 S. WASHINGTON";"Casper";82601;"Natrona";"307-234-9680";;;;;;;
"Family Child Care Center";"Live Laugh Love Day Care";"1518 W. Coffman";"Casper";"82604-";"Natrona";"307-333-1231";;"Y";"Y";"Y";;"Y";
"Family Child Care Center";"Mountain Road Christian Academy";"2657 Casper Mtn. Rd.";"Casper";"82609-";"Natrona";"307-235-2859";;;"Y";"Y";;;
"Family Child Care Center";"Park St. Playhouse";"533 S. Park street";"Casper";"82601-";"Natrona";"307-315-2355";"Y";"Y";"Y";"Y";;;
"Family Child Care Center";"School Kids R Us";"2307 S. ODELL AVE.";"Casper";82604;"Natrona";"307-266-1357";"Y";;;;;;
"Family Child Care Center";"SILLY GOOSE PRESCHOOL/DAY CARE";"1594 Kingsbury";"Casper";"82609-";"Natrona";"307-472-4921";"Y";"Y";;;;;
"Family Child Care Center";"TINA'S TOYS - N - TOTS";"1591 N. MILL CREEK";"Casper";82604;"Natrona";"307-266-4260";;"Y";;;;;
"Family Child Care Center";"VICKIS CHILD CARE";"1821 GLENDALE AVE";"Casper";82601;"Natrona";"307-234-3609";"Y";"Y";;;;;
"Family Child Care Center";"Wee Ponder";"4941 Yesness Ct.";"Casper";"82604-";"Natrona";"307-234-7663";;"Y";;;;;
"Family Child Care Center";"WYOMING ATHLETIC CLUB KYD'S COURT";"455 THELMA DRIVE";"Casper";82609;"Natrona";"307-265-6928";;"Y";;;;;
"Family Child Care Center";"Hammertime for Kids";"320 N. POPLAR";"Lusk";82225;"Niobrara";"307-334-3031";"Y";"Y";"Y";"Y";"Y";"Y";"Y"
"Family Child Care Center";"Hammertime for Kids Too";"525 South Main";"Lusk";"82225-";"Niobrara";"307-334-2376";"Y";;"Y";"Y";"Y";"Y";"Y"
"Family Child Care Center";"A STEP AHEAD";"831 OUTLOOK COURT";"Cody";82414;"Park";"307-587-1284";;"Y";"Y";"Y";;;
"Family Child Care Center";"DAWESOME DAY CARE &amp";" PRESCHOOL";"2701 Lincoln Ave";"Cody";82414;"Park";"307-272-8433";;"Y";"Y";"Y";;
"Family Child Care Center";"IMMANUEL CHRISTIAN PRESCHOOL";"223 EAST 5TH ST.";"Powell";82435;"Park";"307-754-7162";;;;"Y";;;
"Family Child Care Center";"LITTLE LEARNER'S PRESCHOOL";"385 East South Street";"Powell";82435;"Park";"307-272-0206";;;;"Y";;;
"Family Child Care Center";"St. Anthony's Catholic Preschool";"1345 Monument Drive";"Cody";"82414-";"Park";"307-899-6254";"Y";;"Y";"Y";;;
"Family Child Care Center";"SUNSHINE DAYCARE AND PRESCHOOL";"1826 STAMPEDE AVE";"Cody";82414;"Park";"307-899-0257";;"Y";"Y";;;;
"Family Child Care Center";"SWEET BEGINNINGS";"795 DEL RIO LANE";"Powell";82435;"Park";"307-754-0562";;;"Y";;;;
"Family Child Care Center";"Bright Beginnings";"1011 11th Street";"Wheatland";"82201-0000";"Platte";"307-322-1898";;"Y";"Y";"Y";"Y";;
"Family Child Care Center";"Chugwater Pre-school";"Corner of 2nd &amp";" Clay";"Chugwater";"82210-";"Platte";"307-422-3327";;;;"Y";;
"Family Child Care Center";"LOLLIPOP LANE DAY CARE";"208 PARK AVE";"Wheatland";82201;"Platte";"307-322-3182";;;"Y";"Y";"Y";;
"Family Child Care Center";"LOTS OF LOVE CHILDCARE";"1505 9TH ST.";"Wheatland";82201;"Platte";"307-322-2364";"Y";"Y";"Y";"Y";"Y";;
"Family Child Care Center";"'Lil' Monsters Funhouse";"1441 North Heights Drive";"Sheridan";"82801-";"Sheridan";"307-461-1688";;;;;;;
"Family Child Care Center";"I Can Preschool";"185 Jefferson St";"Sheridan";82801;"Sheridan";"307-751-1511";;;;;;;
"Family Child Care Center";"Jack in the Box Daycare";"1415 Taylor Ave";"Sheridan";"82801-";"Sheridan";"307-673-4969";;;;;;;
"Family Child Care Center";"Lilypad Daycare and Preschool";"947 W Halbert";"Ranchester";"82801-";"Sheridan";"307-655-2546";;;;;;;
"Family Child Care Center";"MYERS ROUNDUP";"825 S. THURMOND ST.";"Sheridan";"82801-";"Sheridan";"307-672-8319";"Y";"Y";;;;;
"Family Child Care Center";"Shallon's Daycare";"716 Illinois Street";"Sheridan";"82801-";"Sheridan";"307-655-5853";;;;;;;
"Family Child Care Center";"JULIES CHILD CARE";"333 S. QUARTZ";"Pinedale";82941;"Sublette";"307-367-2289";;"Y";;;;;
"Family Child Care Center";"Pinedale Aquatic Center";"535 N. Tyler";"Pinedale";"82941-";"Sublette";"307-367-2832";;"Y";;;"Y";;
"Family Child Care Center";"COCOON HEALTH SPA";"1877 DEWAR DRIVE";"Rock Springs";82901;"Sweetwater";"307-382-6181";;"Y";;;"Y";"Y";
"Family Child Care Center";"GINNY'S DAYCARE";"1610 IDAHO ST.";"Green River";82935;"Sweetwater";"307-875-7294";"Y";;;;;;
"Family Child Care Center";"HOLY SPIRIT CATHOLIC SCHOOL";"210 A STREET";"Rock Springs";82901;"Sweetwater";"307-362-6077";;;;;;;
"Family Child Care Center";"Axis Kids Academy";"980 W. Broadway";"Jackson";"83001-";"Teton";"307-732-2947";;;;"Y";;;
"Family Child Care Center";"JH Discovery Preschool";"175 West Snow King #5";"Jackson";"83001-";"Teton";"307-734-9163";;;;;;;
"Family Child Care Center";"Little Explorers";"1935 Homestead";"Jackson";"83001-";"Teton";"307-733-3608";;;"Y";;;;
"Family Child Care Center";"Teton Literacy Center";"1715 High School Road";"Jackson";"83001-";"Teton";"307-733-9242";;;;"Y";;;
"Family Child Care Center";"Little Lambs Preschool/Daycare";"144 Eldorado";"Evanston";82930;"Uinta";"307-789-7735";;"Y";;;;;
"Family Child Care Center";"NOAH'S ARK PRESCHOOL";"216 Washakie";"Evanston";82930;"Uinta";"307-789-7627";;;;;;;
"Family Child Care Center";"Puddle Jumpers Child Care";"267 County Road";"Evanston";"82930-";"Uinta";"307-789-2489";;"Y";"Y";;;;
"Family Child Care Center";"Shooting Stars Preschool";"637 Center Street";"Evanston";"82930-";"Uinta";"307-679-1881";;"Y";;;;;
"Family Child Care Center";"Tiny Tykes Day Care";"355 Pine Street";"Mountain View";82939;"Uinta";"307-782-7178";;;;;;;
"Family Child Care Center";"Wonderland Preschool";"133 Rees RD, Urie";"Lyman";82937;"Uinta";"307-786-2439";;;;;;"Y";
"Family Child Care Center";"Grandma Barb's Daycare";"1044 North Road 11";"Worland";"82401-";"Washakie";"307-347-8441";;"Y";"Y";"Y";"Y";;
"Family Child Care Center";"CUSTOM CARE DAY CARE";"121 WEST WOODSTOCK";"New Castle";82701;"Weston";"307-746-9721";;"Y";"Y";"Y";"Y";;
"Family Child Care Home";"Angela Armijo";"620 Custer";"Laramie";"82070-";"Albany";"307-760-6110";;;;;;;
"Family Child Care Home";"CheyAnne Nielson";"2382 Harrison";"Laramie";"82070-";"Albany";"307-760-9369";;"Y";"Y";;;;
"Family Child Care Home";"CORTHELL HILL DAY CARE";"2521 E PARK AVE";"Laramie";82070;"Albany";"307-742-3370";"Y";"Y";;;;;
"Family Child Care Home";"Country Peas";"412 South 7th St. #5";"Laramie";"82070-";"Albany";"307-272-9452";;"Y";"Y";"Y";;;
"Family Child Care Home";"GRANDMA JEANNIE";"953 McCUE #219";"Laramie";82070;"Albany";"307-742-7909";;"Y";"Y";;;;
"Family Child Care Home";"GRANNYS PLACE";"4209 CHEYENNE DR";"Laramie";82070;"Albany";"307-745-3113";;"Y";;;;;
"Family Child Care Home";"INDIAN HILLS";"4403 COMANCHE";"Laramie";82070;"Albany";"307-742-4905";;"Y";;;;;
"Family Child Care Home";"JACKIE AGUILAR";"1779 West View Dr";"Laramie";"82070-";"Albany";"307-399-7607";;"Y";;"Y";;;
"Family Child Care Home";"Jami's Daycare";"2672 Monroe street";"Laramie";"82070-";"Albany";"307-760-2063";"Y";"Y";"Y";"Y";;;
"Family Child Care Home";"Julies Home Day Care";"1609 Barratt";"Laramie";"82070-0000";"Albany";"307-742-1905";;"Y";;;;"Y";
"Family Child Care Home";"KARENA'S KORNER";"2034 Sheridan St";"Laramie";"82070-";"Albany";"307-742-4988";;"Y";;;;;
"Family Child Care Home";"Little Pokes";"538 S Fillmore";"Laramie";"82070-";"Albany";"307-760-7962";;;;;;;
"Family Child Care Home";"MARYS DAY CARE";"540 C S LINCOLN";"Laramie";82070;"Albany";"307-742-4519";;;;;;;
"Family Child Care Home";"Mosaic Early Learning";"713 Steele St.";"Laramie";"82070-";"Albany";"307-460-9560";;;"Y";"Y";;;
"Family Child Care Home";"Patsi Thomas";"2353 N 9th St. #104";"Laramie";"82072-";"Albany";"307-742-6824";;;;;;;
"Family Child Care Home";"Puddle Ducks";"3722 Hayford Ave";"Laramie";"82072-0000";"Albany";"307-745-3303";;"Y";;"Y";;;
"Family Child Care Home";"REITSMA DAY CARE";"812 BRADLEY";"Laramie";82070;"Albany";"307-745-7960";;;;;;;
"Family Child Care Home";"RJM Daycare";"1664 N Cedar #78";"Laramie";"82072-";"Albany";"307-460-9570";"Y";"Y";;;;;
"Family Child Care Home";"Sunflower Childcare";"709 Ord";"Laramie";"82070-";"Albany";"307-760-8788";;;;;;;
"Family Child Care Home";"The Tot Spot";"1766 N 18th St.";"Laramie";"82072-";"Albany";"307-286-3965";;"Y";"Y";"Y";;;
"Family Child Care Home";"DEB'S DAY CARE";"221 EAST MAIN";"Cowley";82420;"Big Horn";"307-548-6624";;"Y";;"Y";;;
"Family Child Care Home";"LEONHARDT DAY CARE";"364 West Main St.";"Lovell";82431;"Big Horn";"307-548-6854";"Y";;"Y";"Y";;;
"Family Child Care Home";"Little Bits &amp";" Finger Prints";"739 Jersey Ave";"Lovell";"82431-";"Big Horn";"307-272-9806";"Y";"Y";"Y";"Y";;
"Family Child Care Home";"MARIE THOMAS DAY CARE";"144 W. MAIN";"Lovell";82431;"Big Horn";"307-548-6372";;"Y";;;;;
"Family Child Care Home";"MICHELE FREEMAN'S DAYCARE";"37 S. BIG HORN";"Byron";82412;"Big Horn";"307-548-6633";"Y";"Y";"Y";"Y";;;
"Family Child Care Home";"24-7 BABYSITTER FROM HEAVEN";"1002 LIBERTY LANE";"Gillette";82716;"Campbell";"307-686-2825";;;;;;;
"Family Child Care Home";"ABC Child Care";"1808 Colorado Street";"Gillette";"82716-";"Campbell";"307-670-9012";;;;;;;
"Family Child Care Home";"Brandis Daycare";"1350 Casa Quinta";"Gillette";"82716-";"Campbell";"307-299-7742";;;;;;;
"Family Child Care Home";"Brooks Daycare";"3904 Wigwam Blvd.";"Gillette";82718;"Campbell";"307-660-5897";;"Y";;;;;
"Family Child Care Home";"Carolyn's Cubs";"301 E. Tonk";"Gillette";"82718-";"Campbell";"307-670-9428";;;;;;;
"Family Child Care Home";"Chillen' Chillins";"807 Trails Circle";"Gillette";"82718-";"Campbell";"307-670-8387";;;;;;;
"Family Child Care Home";"Coal Cubs";"3703 Lunar Avenue";"Gillette";"82716-";"Campbell";"307-670-9414";;"Y";;;;"Y";"Y"
"Family Child Care Home";"Future Faces Daycare";"1410 Michelle Street";"Gillette";"82718-";"Campbell";"307-363-3754";;;;;;;
"Family Child Care Home";"HAPPY DAY";"2300 LODAHL";"Gillette";82718;"Campbell";"307-682-7348";;;;;;;
"Family Child Care Home";"Highridge Daycare";"304 Highridge Circle";"Wright";"82732-";"Campbell";"307-257-9798";;;;"Y";;;
"Family Child Care Home";"Honey Pot Daycare";"3305 Fitch Drive";"Gillette";"82718-";"Campbell";"307-670-8431";;;;;;;
"Family Child Care Home";"I SPY Daycare";"2205 Cheryl Avenue";"Gillette";"82718-";"Campbell";"307-257-7093";;;;;;"Y";
"Family Child Care Home";"Imagination Station";"6701 Sleepy Hollow Blvd.";"Gillette";"82718-";"Campbell";"307-686-7211";;;;;;;
"Family Child Care Home";"Jamie's Daycare";"3716 Triton Avenue";"Gillette";"82718-";"Campbell";"307-257-2629";;;;;;;
"Family Child Care Home";"Jane Foster";"810 Apricot Street";"Gillette";"82716-";"Campbell";"307-682-1899";;"Y";;;;;
"Family Child Care Home";"Jasmine DeCock";"4501 Brorby Blvd";"Gillette";"82718-";"Campbell";"307-763-0975";;;;;;;
"Family Child Care Home";"Jeannas Daycare";"43 Constitution";"Gillette";"82716-";"Campbell";"307-680-5661";;"Y";"Y";;;;
"Family Child Care Home";"Jenny Snyder";"3 Danielle";"Gillette";"82718-";"Campbell";"307-670-4281";;;;;;;
"Family Child Care Home";"Jills Daycare";"1207 MiddleFork Drive";"Gillette";"82718-";"Campbell";"307-682-8377";;;;;;;
"Family Child Care Home";"Kari s Day Care";"111 Overland Trail";"Gillette";"82718-";"Campbell";"307-299-0446";;;;;;;
"Family Child Care Home";"Kayla Becker";"1606 Limecreek Avenue";"Gillette";"82716-";"Campbell";"307-299-6149";"Y";;;;;;
"Family Child Care Home";"Kayla Sisel";"2504 Sage Valley Dr";"Gillette";"82718-";"Campbell";"307-696-5491";;;;;;;
"Family Child Care Home";"Kelly Bolinger";"3213 Alberta Drive";"Gillette";"82718-";"Campbell";"307-257-7248";;;;;;;
"Family Child Care Home";"Kiddie Connection";"3301 Prairie";"Gillette";"82716-";"Campbell";"307-685-8350";;"Y";;;;;
"Family Child Care Home";"Kidding Around";"7101 Daredevil";"Gillette";"82718-";"Campbell";"307-686-8415";;;;;;"Y";
"Family Child Care Home";"Kids Club Daycare";"3719 Foothills Blvd";"Gillette";"82716-";"Campbell";"307-682-6126";;;;;"Y";;
"Family Child Care Home";"Kids Rule Daycare";"610 Trails Circle";"Gillette";"82718-";"Campbell";"307-686-9570";"Y";"Y";;;;;
"Family Child Care Home";"Kings Korner Daycare";"801 Fairway Drive";"Gillette";"82718-";"Campbell";"307-686-0473";;;;;;;
"Family Child Care Home";"KYLE TAYLOR";"4401 BERTHA AVE";"Gillette";82718;"Campbell";"307-685-1435";;;;;;;
"Family Child Care Home";"Lacy's Childcare";"1407 Melissa Drive";"Gillette";"82718-";"Campbell";"307-680-4407";;;;;;;
"Family Child Care Home";"Lil Bugs Daycare";"335 Nogales Lane";"Gillette";"82716-";"Campbell";"307-689-6129";;;;;;;
"Family Child Care Home";"Lil Cubs Daycare";"3312 Lake Street";"Gillette";"82718-";"Campbell";"307-257-2991";;;;;;;
"Family Child Care Home";"Lil Sprouts Daycare";"401 Green Avenue";"Gillette";82716;"Campbell";"307-687-0192";;"Y";;;;;
"Family Child Care Home";"Lisa's Daycare";"200 Oregon Avenue";"Gillette";"82718-";"Campbell";"307-680-9138";;"Y";;;;;
"Family Child Care Home";"Little Appleseed";"1411 Buckboard Ct.";"Gillette";"82718-";"Campbell";"307-685-8164";;;;;;;
"Family Child Care Home";"Little Darlins Daycare";"407 N Brooks Avenue";"Gillette";"82716-";"Campbell";"307-687-1123";"Y";;;;;;
"Family Child Care Home";"Little Giggles Child care";"1600 Limecreek Avenue";"Gillette";"82716-";"Campbell";"307-682-1198";;;;;;;
"Family Child Care Home";"Little Joey's";"1209 Dillon Ct.";"Gillette";"82718-";"Campbell";"307-359-0528";;;;;;;
"Family Child Care Home";"Little One's Christian Home Daycare";"901N. Elm";"Gillette";"82716-";"Campbell";"307-200-0193";;;;;;;
"Family Child Care Home";"LITTLE ONES DAY CARE";"809 Aspen Lane";"Gillette";"82716-";"Campbell";"307-687-0684";"Y";"Y";;;;;
"Family Child Care Home";"Little People Childcare";"5103 Zee Court";"Gillette";"82718-";"Campbell";"307-257-7829";;;;;;;
"Family Child Care Home";"M &amp";" M Daycare";"1701 Plumcreek Avenue";"Gillette";"82716-";"Campbell";"307-680-3869";;;;;;
"Family Child Care Home";"Michelle Hill";"3408 Hoback Avenue";"Gillette";"82718-";"Campbell";"307-682-7313";;;;;;;
"Family Child Care Home";"Mini Miracles";"433 Circle Drive";"Gillette";"82716-";"Campbell";"307-257-7571";;;;;;;
"Family Child Care Home";"Paige Steinke";"5106 Raven Street";"Gillette";"82718-";"Campbell";"307-257-7055";;;"Y";;;;
"Family Child Care Home";"Peek-A-Boo Playhouse";"175 Bridger";"Gillette";"82717-";"Campbell";"406-439-8697";;;;;;;
"Family Child Care Home";"Perfect Fit Daycare";"1601 Moonshiner";"Gillette";"82718-";"Campbell";"307-670-4782";;;;;;;
"Family Child Care Home";"Prairie Stars Daycare";"32 Double Tree Road";"Rozet";"82727-";"Campbell";"307-299-9864";;;;;;;
"Family Child Care Home";"QUALITY CARE DAY CARE";"501 LARAMIE";"Gillette";82716;"Campbell";"307-682-2364";;"Y";;;;;
"Family Child Care Home";"Reids Daycare";"417 Sundance Circle";"Wright";"82732-";"Campbell";"307-247-0900";;;;;;;
"Family Child Care Home";"Rock Around The Clock Daycare";"4408 Alex Way";"Gillette";"82718-";"Campbell";"307-680-9683";;;;;;;
"Family Child Care Home";"Saddles -N- Spurs Kiddie Corral";"4404 Alison Avenue";"Gillette";"82716-";"Campbell";"307-670-5854";;;;;;;
"Family Child Care Home";"Sashya s Daycare";"2301 Dryfork Drive";"Gillette";"82718-";"Campbell";"307-686-7625";;;;;;;
"Family Child Care Home";"Sharing and Caring Daycare";"2604 Midday Court";"Gillette";"82718-";"Campbell";"307-363-3680";;;;;;;
"Family Child Care Home";"Shelia  Adams";"7301 Robin Drive";"Gillette";"82718-";"Campbell";"307-682-4059";;;;;;;
"Family Child Care Home";"Tama's House";"911 Overdale Drive";"Gillette";"82718-";"Campbell";"307-670-3746";;;;;;;
"Family Child Care Home";"Tammy Churchill";"6921 Greensburgh";"Gillette";"82718-";"Campbell";"307-686-7158";"Y";;;;;;
"Family Child Care Home";"Tamra s Tiny Tots";"4801 Blue Tick Drive";"Gillette";"82718-";"Campbell";"307-682-4368";;"Y";;;;;
"Family Child Care Home";"Tater Tots Daycare";"1211 Duckhead Drive";"Gillette";"82718-";"Campbell";"307-257-4232";;;;;;;
"Family Child Care Home";"The King's Kids";"2401 Wrangler Road";"Gillette";"82718-";"Campbell";"307-685-6610";"Y";;;;;;
"Family Child Care Home";"The Tot Spot";"102 W. Redwood Street";"Gillette";"82718-";"Campbell";"307-680-4422";;"Y";;;;;
"Family Child Care Home";"Tickle Me 2";"2405 Wrangler Road";"Gillette";"82718-";"Campbell";"307-682-4084";;;;;;;
"Family Child Care Home";"Tinas Tots";"5406 Derringer Dr.";"Gillette";"82718-";"Campbell";"307-257-0732";"Y";;;;;;
"Family Child Care Home";"Tiny Camels Daycare";"2106 Daybreak Drive";"Gillette";"82718-";"Campbell";"307-660-7260";;;;;;;
"Family Child Care Home";"Tiny Toes";"5800 Kimber Drive";"Gillette";"82718-";"Campbell";"307-257-2029";;;;;;;
"Family Child Care Home";"Walk N Roll";"1210 Dillon Ct.";"Gillette";"82718-";"Campbell";"307-696-9418";;;;;;;
"Family Child Care Home";"Wiggles N Giggles";"1207 Dillon Ct.";"Gillette";"82718-";"Campbell";"307-622-2748";"Y";;;;;;
"Family Child Care Home";"Joy Slater";"1914 Happy Hollow";"Rawlins";"82301-";"Carbon";"307-710-5068";;"Y";"Y";"Y";;;
"Family Child Care Home";"Junior's Day Care";"607 12th St.";"Rawlins";"82301-";"Carbon";"307-321-8790";;"Y";"Y";"Y";;"Y";
"Family Child Care Home";"KIDS CARE";"207 CYPRESS AVE.";"Saratoga";82331;"Carbon";"307-326-8567";;"Y";"Y";"Y";;;
"Family Child Care Home";"Dee Vandeventer";"919 Riverbend Ct.";"Douglas";"82633-";"Converse";"307-358-5626";;;;;;"Y";
"Family Child Care Home";"Giggles and Wiggles Daycare";"211 Bar-2";"Douglas";"82633-";"Converse";"307-262-1562";;"Y";;;;;
"Family Child Care Home";"Jennys Home Day Care";"1107 North Fork Drive";"Douglas";"82633-0000";"Converse";"307-359-2944";"Y";;;;;;
"Family Child Care Home";"Ktdids";"1122 Hatchet Dr.";"Douglas";"82633-";"Converse";"307-351-0630";;;;;;;
"Family Child Care Home";"Little Loveables Home Daycare";"719 Grant Ave.";"Glenrock";"82637-";"Converse";"307-436-5445";"Y";"Y";"Y";"Y";;;
"Family Child Care Home";"LITTLE RASCALS";"1001 LAREDO";"Douglas";82633;"Converse";"307-358-4426";;"Y";;;;;
"Family Child Care Home";"Mandi Lindbo";"1941 Park Drive";"Douglas";"82633-";"Converse";"307-358-4843";;"Y";"Y";;;;
"Family Child Care Home";"Misty Zahrowski";"206 Arrow";"Douglas";"82633-";"Converse";"307-359-8020";;;;;;"Y";
"Family Child Care Home";"No Worries Childcare";"949 Smylie Rd.";"Douglas";"82633-";"Converse";"307-358-0909";;;;;;;
"Family Child Care Home";"TAMMY'S DAY CARE";"712 Harrison";"Douglas";82633;"Converse";"307-358-5174";;;;"Y";;;
"Family Child Care Home";"The Launching Pad Preschool";"212 Bow St.";"Douglas";"82633-";"Converse";"307-359-9749";"Y";;;;;;
"Family Child Care Home";"The Tot Spot";"208 Bow Street";"Douglas";"82633-";"Converse";"307-358-1732";;;;;;;
"Family Child Care Home";"Maritza Estela Maddison";"145 Cole St.";"Hulett";82720;"Crook";"307-467-5411";;"Y";"Y";"Y";"Y";;
"Family Child Care Home";"Amber's Home Daycare";"227 Deer Avenue";"Riverton";"82501-";"Fremont";"307-857-1276";;"Y";"Y";"Y";;;
"Family Child Care Home";"Cherry's Preschool and Childcare";"43 Gas Hills Road";"Riverton";"82501-";"Fremont";"307-851-4015";;;"Y";"Y";;;
"Family Child Care Home";"DEL STREET KIDS KLUB";"860 NORTH LANE";"Lander";"82520-";"Fremont";"307-332-4641";;"Y";;;;;
"Family Child Care Home";"Grammy's Place";"1060 V1 Road";"Lander";"82520-";"Fremont";"307-349-2664";;;;;;;
"Family Child Care Home";"Home Away From Home Childcare";"814 W  MONROE AVENUE";"Riverton";"82501-";"Fremont";"307-857-4230";;"Y";;;;;
"Family Child Care Home";"Kay Steers";"999 South 5th";"Lander";"82520-";"Fremont";"307-332-2831";;"Y";"Y";"Y";;;
"Family Child Care Home";"KUHNLEY KARE";"311 ELK DRIVE";"Riverton";82501;"Fremont";"307-856-5200";"Y";"Y";;;;;
"Family Child Care Home";"NAANYS DAY CARE";"675 CANYON";"Lander";82520;"Fremont";"307-332-2638";;"Y";;;;;
"Family Child Care Home";"Peek a Bugs";"1747 N 8th West";"Riverton";"82501-";"Fremont";"307-857-5434";;;"Y";;;;
"Family Child Care Home";"Sharon Brinda";"100 Warren Drive";"Lander";"82520-0000";"Fremont";"307-332-5960";;"Y";;;;;
"Family Child Care Home";"TEST2013";"333 S. Broadwy";"Pavillion";"82501-";"Fremont";"000-000-0000";;;;;;;
"Family Child Care Home";"Wiggle Worm Daycare";"1859 Prairie Road";"Riverton";"82501-";"Fremont";"307-857-5834";;"Y";"Y";"Y";;;
"Family Child Care Home";"DEANNA BRITTON";"7225 COUNTRY ROAD 45V";"Torrington";82240;"Goshen";"307-532-7611";;"Y";"Y";"Y";"Y";;
"Family Child Care Home";"DOLLY'S HILLSIDE DAY CARE";"2976 WEST ""A""";"Torrington";82240;"Goshen";"307-532-3079";;"Y";"Y";"Y";"Y";;
"Family Child Care Home";"EMILYS DAYCARE";"1709 EAST I ST.";"Torrington";"82240-";"Goshen";"307-532-2058";;"Y";"Y";"Y";"Y";;
"Family Child Care Home";"GLORIA'S CHILDCARE";"1020 EAST 20TH";"Torrington";82240;"Goshen";"307-532-4140";;"Y";"Y";"Y";"Y";;"Y"
"Family Child Care Home";"I AM SPECIAL 2";"401 Grande Vista Rd.";"Torrington";"82240-";"Goshen";"307-532-2262";;"Y";"Y";"Y";"Y";;
"Family Child Care Home";"KINDER KARE";"1909 EAST E";"Torrington";82240;"Goshen";"307-532-1810";;"Y";"Y";"Y";"Y";;
"Family Child Care Home";"KOUNTRY MUNCHKINS";"7078 MCKENNA RD.";"Torrington";82240;"Goshen";"307-532-3404";;"Y";"Y";"Y";;;
"Family Child Care Home";"LITTLE BEAR DAYCARE";"361 RIO VISTA";"Torrington";"82240-";"Goshen";"307-532-5806";;"Y";;"Y";"Y";;
"Family Child Care Home";"LITTLE CRITTERS";"2918 EAST B";"Torrington";82240;"Goshen";"307-575-5237";;"Y";"Y";"Y";;;
"Family Child Care Home";"Little Tots Daycare";"801 East 18th St.";"Torrington";"82240-0000";"Goshen";"307-532-4718";;"Y";"Y";"Y";;;
"Family Child Care Home";"Open Wings Child Care";"617 Fremont  St.";"Torrington";"82240-";"Goshen";"307-575-9016";;"Y";"Y";"Y";"Y";;
"Family Child Care Home";"PATTIS DAYCARE";"221 LUPINE DR.";"Torrington";82240;"Goshen";"307-532-7650";;"Y";"Y";"Y";;;
"Family Child Care Home";"TINY TOTS DAY CARE";"2325 East G Street";"Torrington";82240;"Goshen";"307-532-2323";;"Y";"Y";"Y";"Y";"Y";"Y"
"Family Child Care Home";"Tiny Treasures Home Daycare";"2117 West A St.";"Torrington";"82240-";"Goshen";"307-941-0215";;;"Y";"Y";"Y";;
"Family Child Care Home";"WINKY BLINKY DAYCARE";"1817 EAST G";"Torrington";82240;"Goshen";"307-575-4891";;"Y";"Y";"Y";"Y";;"Y"
"Family Child Care Home";"Country Kids";"778 Black Mtn Road";"Thermopolis";"82443-0000";"Hot Springs";"307-864-2298";;"Y";;"Y";;"Y";
"Family Child Care Home";"East Sunnyside Kids";"719 Country Rd.";"Thermopolis";"82443-";"Hot Springs";"307-921-8086";;"Y";"Y";"Y";"Y";;
"Family Child Care Home";"GRANDMA WANDA'S WONDERFUL WEE WORLD";"625 South 14th";"Thermopolis";82443;"Hot Springs";"307-921-1552";"Y";"Y";;;;;
"Family Child Care Home";"KIM'S DAY CARE";"521 AMORETTI";"Thermopolis";"82443-";"Hot Springs";"307-864-5278";;"Y";"Y";;;;
"Family Child Care Home";"Pam Stevens Child Care";"545 FREMONT";"Thermopolis";82443;"Hot Springs";"307-864-5635";"Y";"Y";;;;;
"Family Child Care Home";"5 Star Child Care";"116 Harmony";"Buffalo";"82834-";"Johnson";"307-752-9638";;;;;;;
"Family Child Care Home";"Evonnes Child Care";"112 N Bozeman";"Buffalo";"82834-";"Johnson";"307-684-9193";;;;;;;
"Family Child Care Home";"Little Britches Child Care";"259 Sunset";"Buffalo";"82834-";"Johnson";"307-620-2898";;;;;;;
"Family Child Care Home";"LITTLE BUFFS' DAYCARE";"499 W Hesse";"Buffalo";82834;"Johnson";"307-684-9275";"Y";;;;;;
"Family Child Care Home";"OLD SHOE CHILD CARE";"#14 ROBINSON LANE";"Buffalo";82834;"Johnson";"307-684-9421";;"Y";;;;;
"Family Child Care Home";"tots r us";"771 N Burritt";"Buffalo";"82834-";"Johnson";"307-217-0222";;;;;;;
"Family Child Care Home";"ABC Preschool";"6826 Evers Blvd.";"Cheyenne";"82009-";"Laramie";"307-635-2200";"Y";;;;;;
