"ID";"Type";"Name";"Address";"City";"State";"Zip";"County";"Phone";"Email";"Website";"Capacity";"Operational Information";"Sunday";"Monday";"Tuesday";"Wednesday";"Thursday";"Friday";"Saturday";"Infants (0-12 months)";"Toddler (12-24 months)";"Toddler (24-36 months)";"Pre-School (3-5 years old)";"School-Age (6-12 years old)";"Full Day Care";"Half Day Care";"Weekend Care";"Drop-In Care";"Night Care";"Provides Transportation";"Child and Adult Food Program";"Accepts Subsidies";"Certified Nature Explore Classroom";"Implementing WY ELG/ELF";"Accepts Special Needs";"Pet Free Environment";"Has Cat(s)";"Has Dog(s)";"Has Other Pet(s)"
254;"CCC";"Little Blessings";"195 Pronghorn St. Ste. B";"Casper";"WY";82601;"Natrona";"307-431-0028";"littleblessings.childcare@hotmail.com";;70;"Regular/Year Round";"Closed";"06:30 AM - 05:30 PM";"06:30 AM - 05:30 PM";"06:30 AM - 05:30 PM";"06:30 AM - 05:30 PM";"06:30 AM - 05:30 PM";"Closed";"Yes";"Yes";"Yes";"Yes";;"Yes";"Yes";;;;;"Yes";"Yes";;;;;;;
15474;"FCCC";"Little Children's Preschool";"262 N 3rd Street.";"Lander";"WY";82520;"Fremont";"918-619-3299";"littlechildrenpreschool@gmail.com";;15;"Closed Summer";"Closed";"08:15 AM - 02:45 PM";"08:15 AM - 02:45 PM";"08:15 AM - 02:45 PM";"08:15 AM - 02:45 PM";"08:15 AM - 02:45 PM";"Closed";;;;"Yes";;;"Yes";;;;;;;;;;"Yes";;;
1578;"FCCH";"LITTLE CRITTERS";"2918 EAST B";"Torrington";"WY";82240;"Goshen";"307-575-5237";"vjgreg@yahoo.com";;10;"Regular/Year Round";"Closed";"06:50 AM - 05:15 PM";"06:50 AM - 05:15 PM";"06:50 AM - 05:15 PM";"06:50 AM - 05:15 PM";"06:50 AM - 05:15 PM";"Closed";"Yes";"Yes";"Yes";"Yes";;"Yes";"Yes";;;;;"Yes";"Yes";;;;;;;
16973;"FCCH";"Little Darlings Daycare";"2573 Beartooth Drive";"Cody";"WY";82414;"Park";"307-250-8936";"sallymae2wallywonka@gmail.com";;10;"Regular/Year Round";"Closed";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;;;;"Yes";"Yes";;;;;"Yes";"Yes";
1789;"FCCH";"Little Darlins Daycare";"407 N Brooks Avenue";"Gillette";"WY";82716;"Campbell";"307-687-1123";"no email";;10;"Regular/Year Round";"Closed";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;;;;;"Yes";;;;;"Yes";;;
17106;"FCCC";"Little Doggers Learning Center & Daycare";"329 Leiter Ave.";"Lingle";"WY";82223;"Goshen";"307-575-5744";"stacey.carman1@gmail.com";;15;"Regular/Year Round";"Closed";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;"Yes";;;;;;;;;;;
1872;"FCCC";"Little Dreamers Daycare";"52 Hot Iron Road";"Kemmerer";"WY";83101;"Lincoln";"307-727-7182";"rrrroberts@yahoo.com";;15;"Regular/Year Round";"Closed";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"07:00 AM - 04:00 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;"Yes";;;"Yes";"Yes";;;;;"Yes";"Yes";
16883;"FCCC";"Little Ducklings Daycare";"3701 Johnson St.";"Torrington";"WY";82240;"Goshen";"307-575-6930";"brittanycearns93@outlook.com";;15;"Regular/Year Round";"Closed";"06:50 AM - 05:15 PM";"06:50 AM - 05:15 PM";"06:50 AM - 05:15 PM";"06:50 AM - 05:15 PM";"06:50 AM - 05:15 PM";"Closed";"Yes";"Yes";"Yes";"Yes";;"Yes";"Yes";;"Yes";;;;"Yes";;;;;;;
1699;"FCCC";"Little Explorers";"1935 Homestead";"Jackson";"WY";83001;"Teton";"307-733-3608";"kgreger@bresnan.net";;6;"Regular/Year Round";"Closed";"09:00 AM - 12:30 PM";"09:00 AM - 12:30 PM";"09:00 AM - 12:30 PM";"09:00 AM - 12:30 PM";"09:00 AM - 12:30 PM";"Closed";;;;"Yes";;;"Yes";;;;;;;;;;;;;
1697;"CCC";"LITTLE EXPLORERS PRESCHOOL";"825 SIMPSON";"Cody";"WY";82414;"Park";"307-587-4272";"littleexplorerscody@gmail.com";;24;"Closed Summer : September to May";"Closed";"08:00 AM - 03:00 PM";"08:00 AM - 03:00 PM";"08:00 AM - 03:00 PM";"08:00 AM - 03:00 PM";"Closed";"Closed";;;;"Yes";;;"Yes";;;;;;"Yes";;;"Yes";"Yes";;;
17149;"FCCC";"Little Feet Daycare";"4200 Rawlins Street";"Cheyenne";"WY";82001;"Laramie";"970-682-5612";"jmjn@comcast.net";;15;"Regular/Year Round";"Closed";"06:00 AM - 06:30 PM";"06:00 AM - 06:30 PM";"06:00 AM - 06:30 PM";"06:00 AM - 06:30 PM";"06:00 AM - 06:30 PM";"Closed";;;;;;"Yes";;;;;;;"Yes";;;;;;;
1079;"FCCH";"Little Fox Den Daycare";"2005 Wyoming Drive";"Green River";"WY";82935;"Sweetwater";"307-871-4666";"rsfoxfamily@q.com";;10;"Regular/Year Round";"Closed";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"Closed";"Yes";"Yes";"Yes";"Yes";;"Yes";;;;;;"Yes";;;;;;;"Yes";
1433;"FCCH";"Little Friends Day Care";"2923 Snyder";"Cheyenne";"WY";82001;"Laramie";"307-514-4182";"tbtsmiller@hotmail.com";;10;"Regular/Year Round";"Closed";"07:30 AM - 05:15 PM";"07:30 AM - 05:15 PM";"07:30 AM - 05:15 PM";"07:30 AM - 05:15 PM";"07:30 AM - 05:15 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;;"Yes";;;"Yes";"Yes";;;;;"Yes";"Yes";"Yes"
2412;"CCC";"Little Giggles Daycare";"262 N. 3rd St";"Lander";"WY";82520;"Fremont";"307-349-0546";"K_gimple@hotmail.com";;30;"Regular/Year Round";"Closed";"07:15 AM - 05:15 PM";"07:15 AM - 05:15 PM";"07:15 AM - 05:15 PM";"07:15 AM - 05:15 PM";"07:15 AM - 05:15 PM";"Closed";"Yes";"Yes";"Yes";"Yes";;"Yes";"Yes";;"Yes";;;"Yes";"Yes";;;;"Yes";;;
16868;"CCC";"Little Guys and Gals Fun, Fitness, and Learning Center, LLC";"500 O.R. Drive, Suite 12";"Gillette";"WY";82718;"Campbell";"307-257-2694";"lilguysandgalsdaycare@gmail.com";;97;"Regular/Year Round";"Closed";"05:30 AM - 07:00 PM";"05:30 AM - 07:00 PM";"05:30 AM - 07:00 PM";"05:30 AM - 07:00 PM";"05:30 AM - 07:00 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;;;;;"Yes";;;;;;;
17282;"CCC";"Little Hands & Feet Preschool";"185 S Tower Blvd";"Powell";"WY";82435;"Park";"307-754-0424";"kidsnewlife@gmail.com";;26;"Regular/Year Round";"Closed";"08:00 AM - 11:30 AM";"08:00 AM - 11:30 AM";"08:00 AM - 11:30 AM";"08:00 AM - 11:30 AM";"08:00 AM - 11:30 AM";"Closed";;;;"Yes";;;"Yes";;;;;;;;;;"Yes";;;
17303;"FCCH";"Little Honey's";"292 Dana Street";"Thayne";"WY";83127;"Lincoln";"307-890-6032";"rainey.jensen@yahoo.com";;10;"Regular/Year Round";"Closed";"05:00 AM - 07:00 PM";"05:00 AM - 07:00 PM";"05:00 AM - 07:00 PM";"05:00 AM - 07:00 PM";"05:00 AM - 07:00 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;"Yes";;;;;;;;;;"Yes";
97;"CCC";"Little Lambs at Presbyterian Church";"1251 South Park Loop Road";"Jackson";"WY";83002;"Teton";"307-734-0388";"alack@pcjh.org";;58;"Regular/Year Round";"Closed";"09:00 AM - 03:00 PM";"09:00 AM - 03:00 PM";"09:00 AM - 03:00 PM";"09:00 AM - 03:00 PM";"09:00 AM - 03:00 PM";"Closed";;;"Yes";"Yes";;"Yes";;;;;;;;;;;;;;
1924;"FCCC";"Little Lambs Preschool/Daycare";"144 Eldorado";"Evanston";"WY";82930;"Uinta";"307-679-2195";"kristield@msn.com";;15;"Regular/Year Round";"Closed";"06:30 - 05:30";"06:30 - 05:30";"06:30 - 05:30";"06:30 - 05:30";"06:30 - 05:30";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;"Yes";;;"Yes";"Yes";;;;;;"Yes";
1586;"FCCC";"LITTLE LEARNER'S PRESCHOOL";"883 E 7th Street";"Powell";"WY";82435;"Park";"307-754-3409";"randganderson@gmail.com";;12;"Closed Summer : June to August";"Closed";"08:00 AM - 03:00 PM";"08:00 AM - 03:00 PM";"08:00 AM - 03:00 PM";"08:00 AM - 03:00 PM";"08:00 AM - 03:00 PM";"Closed";;;;"Yes";;;"Yes";;;;;;;;;"Yes";"Yes";;;
1354;"CCC";"Little Learners Academy";"520 E Broadway";"Jackson";"WY";83001;"Teton";"307-733-0789";"Melandshel1@hotmail.com";;39;"Regular/Year Round";"Closed";"08:00 AM - 05:15 PM";"08:00 AM - 05:15 PM";"08:00 AM - 05:15 PM";"08:00 AM - 05:15 PM";"08:00 AM - 05:15 PM";"Closed";;;"Yes";"Yes";;"Yes";"Yes";;;;;;;;;;"Yes";;;
16956;"CCC";"Little Monkeys";"3238 Sheridan Street";"Cheyenne";"WY";82009;"Laramie";"307-640-5030";"director@littlemonkeys.com";;86;"Regular/Year Round";"Closed";"07:00 AM - 06:00 PM";"07:00 AM - 06:00 PM";"07:00 AM - 06:00 PM";"07:00 AM - 06:00 PM";"07:00 AM - 06:00 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;"Yes";;;;"Yes";;;;"Yes";;;
1563;"FCCH";"Little Monsters Childcare";"2672 Monroe street";"Laramie";"WY";82070;"Albany";"307-760-2063";"jami_salo@yahoo.com";;9;"Regular/Year Round";"Closed";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"Closed";"Yes";"Yes";"Yes";"Yes";;"Yes";;;;;;"Yes";"Yes";;;;;;"Yes";"Yes"
1679;"CCC";"Little Ones Childcare";"330 S. Summit";"Newcastle";"WY";82701;"Weston";"307-746-3112";"adixon82701@yahoo.com";;56;"Regular/Year Round";"Closed";"06:45 AM - 05:00 PM";"06:45 AM - 05:00 PM";"06:45 AM - 05:00 PM";"06:45 AM - 05:00 PM";"06:45 AM - 05:00 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;"Yes";;"Yes";"Yes";"Yes";;;;;;;
1725;"FCCH";"LITTLE ONES DAY CARE";"809 Aspen Lane";"Gillette";"WY";82716;"Campbell";"307-687-0684";"bremmick@rocketmail.com";;10;"Regular/Year Round";"Closed";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;;;"Yes";"Yes";"Yes";;;;;;;
2130;"CCC";"Little Ones Preschool";"122 Hwy 585";"Sundance";"WY";82729;"Crook";"605-892-5852";"em.gross62@gmail.com";;32;"Closed Summer : September to May";"Closed";"08:00 AM - 11:00 AM";"08:00 AM - 03:00 PM";"08:00 AM - 11:00 AM";"08:00 AM - 03:00 PM";"Closed";"Closed";;;;"Yes";;;"Yes";;;;;;;;;;"Yes";;;
2449;"CCC";"Little Peaches";"1805 E 19th St";"Cheyenne";"WY";82001;"Laramie";"307-220-3051";"lazarus5502@msn.com";"https://www.littlepeachespreschool.com";20;"Regular/Year Round";"Closed";"09:00 - 02:15";"09:00 - 02:15";"11:45 - 02:15";"09:00 - 02:15";"Closed";"Closed";;;"Yes";"Yes";;;"Yes";;;;;;;;;"Yes";"Yes";;;
2457;"CCC";"Little People's Learning Center";"324 Powerhouse Road";"Yellowstone National Park";"WY";82190;"Park";"307-344-9011";"director.littlepeoples@gmail.com";"https://https://littlepeoples330.wixsite.com/littlepeoples";30;"Regular/Year Round";"Closed";"07:15 AM - 05:45 PM";"07:15 AM - 05:45 PM";"07:15 AM - 05:45 PM";"07:15 AM - 05:45 PM";"07:15 AM - 05:45 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;;;;;"Yes";;;;;;;
1821;"FCCC";"LITTLE PEOPLES PLAY HOUSE";"1650 S. WASHINGTON";"Casper";"WY";82601;"Natrona";"307-259-6799";"chinablc@bresnan.net";;15;"Regular/Year Round";"Closed";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"Closed";;;;"Yes";"Yes";"Yes";"Yes";;;;"Yes";"Yes";"Yes";;;"Yes";;;"Yes";
17321;"FCCC";"Little Rams Early Learning Center";"24 Creighton St.";"Big Horn";"WY";82833;"Sheridan";"307-431-0243";"smihde@hotmail.com";;15;"Regular/Year Round";"Closed";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"Closed";"Yes";"Yes";"Yes";;;"Yes";;;;;;;;;;;;;;
1830;"FCCH";"LITTLE RASCALS";"1001 LAREDO";"Douglas";"WY";82633;"Converse";"307-358-4426";"htldy1@yahoo.com";;10;"Regular/Year Round";"Closed";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;"Yes";;;;"Yes";;;;;;;
17388;"FCCC";"Little Rascals";"314 E. Jefferson Rd";"Cheyenne";"WY";82007;"Laramie";"307-287-9163";"chavezmaria24@yahoo.com";;15;"Regular/Year Round";"Closed";"06:30 AM - 11:00 PM";"06:30 AM - 11:00 PM";"06:30 AM - 11:00 PM";"06:30 AM - 11:00 PM";"06:30 AM - 11:00 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;"Yes";;;;;;;;;;;
1878;"CCC";"Little Rascals Preschool and Day Care";"350 Whipporwill";"Baggs";"WY";82321;"Carbon";"307-383-7300";"littlerascals350@gmail.com";;81;"Regular/Year Round";"Closed";"07:30 AM - 05:00 PM";"07:30 AM - 05:00 PM";"07:30 AM - 05:00 PM";"07:30 AM - 05:00 PM";"Closed";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;"Yes";;;;"Yes";;;;"Yes";;;
2157;"FCCC";"Little Rompers Daycare";"1907 Del Rio Drive";"Kemmerer";"WY";83101;"Lincoln";"307-679-5788";"levengood2002@msn.com";;15;"Regular/Year Round";"Closed";"07:30 AM - 05:00 PM";"07:30 AM - 05:00 PM";"07:30 AM - 05:00 PM";"07:30 AM - 05:00 PM";"07:30 AM - 05:00 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;;;;"Yes";"Yes";;;"Yes";;;;"Yes"
17158;"FCCC";"Little Safari Daycare, LLC";"1103 6th Ave.";"Upton";"WY";82730;"Weston";"307-468-2474";"littlesafari2020@gmail.com";;15;"Closed Summer : August to May";"Closed";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;"Yes";;;;;;;;;;;
16858;"FCCH";"Little Sage Daycare";"2400 Cache Valley Drive";"Rock Springs";"WY";82901;"Sweetwater";"(307)";"jenniferwharton82901@yahoo.com";;10;"Regular/Year Round";"Closed";"07:00 AM - 04:30 PM";"07:00 AM - 04:30 PM";"07:00 AM - 04:30 PM";"07:00 AM - 04:30 PM";"07:00 AM - 04:30 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;;;;;"Yes";;;;;;"Yes";
17309;"CCC";"Little Saplings";"221 S Noble";"Big Piney";"WY";83113;"Sublette";"307-231-2033";"littlesaplingscenter@gamil.com";;9;"Regular/Year Round";"Closed";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"Closed";"Yes";"Yes";"Yes";"Yes";;"Yes";"Yes";;;;;;"Yes";;;;;;;
2354;"FCCC";"Little Sprouts Child Care";"1957 Snowy Range";"Laramie";"WY";82070;"Albany";"307-760-2591";"ilvwnickell@hotmail.com";;15;"Regular/Year Round";"Closed";"06:00 AM - 06:00 PM";"06:00 AM - 06:00 PM";"06:00 AM - 06:00 PM";"06:00 AM - 06:00 PM";"06:00 AM - 06:00 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;;;"Yes";"Yes";"Yes";;;;;;;
2176;"CCC";"Little Sprouts Preschool";"105 Wright Blvd Suite B106";"Wright";"WY";82732;"Campbell";"307-299-1525";"schelbi_10@hotmail.com";;29;"Closed Summer : September to May";"Closed";"08:00 AM - 03:00 PM";"08:00 AM - 03:00 PM";"08:00 AM - 03:00 PM";"08:00 AM - 03:00 PM";"Closed";"Closed";;;"Yes";"Yes";;"Yes";"Yes";;"Yes";;;;;;;"Yes";"Yes";;;
2452;"FCCH";"Little Tikes on the Hill Daycare";"67 Meister Road";"Wright";"WY";82732;"Campbell";"307-299-7244";"zclewis2@outlook.com";;10;"Regular/Year Round";"Closed";"06:00 AM - 06:00 PM";"06:00 AM - 06:00 PM";"06:00 AM - 06:00 PM";"06:00 AM - 06:00 PM";"06:00 AM - 06:00 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;"Yes";;;"Yes";"Yes";;;"Yes";;"Yes";"Yes";
2529;"FCCC";"Little Tots Daycare";"127 Arrowhead Rd.";"Torrington";"WY";82240;"Goshen";"307-575-0203";"stacielira@hotmail.com";;15;"Regular/Year Round";"Closed";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;"Yes";;;"Yes";"Yes";;;;;;;
16990;"FCCH";"Little Treasures Home Day Care";"922 Ballad Lane";"Cheyenne";"WY";82007;"Laramie";"307-221-3131";"queenstephanita@yahoo.com";;10;"Regular/Year Round";"06:00 AM - 06:00 PM";"06:00 AM - 06:00 PM";"06:00 AM - 06:00 PM";"06:00 AM - 06:00 PM";"06:00 AM - 06:00 PM";"06:00 AM - 06:00 PM";"06:00 AM - 06:00 PM";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;"Yes";;;;"Yes";;;;;;"Yes";
1923;"FCCC";"LITTLE TYKES DAY CARE";"2095 RIVERSIDE DRIVE";"Laramie";"WY";82072;"Albany";"307-721-5075";"krisdory@hotmail.com";;15;"Regular/Year Round";"Closed";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;;;;"Yes";;;;;;;;
2169;"CCC";"Little Tykes University";"211 S Brooks Ave";"Gillette";"WY";82716;"Campbell";"307-363-4391";"littletykesuniversitywy@gmail.com";;21;"Closed Summer : August to June";"Closed";"12:30 PM - 03:00 PM";"09:15 AM - 03:00 PM";"09:15 AM - 03:00 PM";"09:15 AM - 03:00 PM";"Closed";"Closed";;;;"Yes";;;"Yes";;;;;;;;;;"Yes";;;
16937;"FCCC";"Longhorn Tot Daycare, LLC";"262 N. Morris";"Rock River";"WY";82083;"Albany";"307-760-0948";"clinton_emily@yahoo.com";;15;"Closed Summer : August to May";"Closed";"07:30 AM - 03:45 PM";"07:30 AM - 03:45 PM";"07:30 AM - 03:45 PM";"07:30 AM - 03:45 PM";"Closed";"Closed";"Yes";"Yes";"Yes";"Yes";;;"Yes";;;;;;"Yes";;;;;;;
1762;"FCCH";"Lots of Love Childcare";"145 W Good Neighbor Lane";"Etna";"WY";83118;"Lincoln";"307-880-2292";"svlorag@hotmail.com";;10;"Regular/Year Round";"Closed";"06:30 AM - 06:00 PM";"06:30 AM - 06:00 PM";"06:30 AM - 06:00 PM";"06:30 AM - 06:00 PM";"06:30 AM - 06:00 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;"Yes";;"Yes";;"Yes";;;;;;;
1919;"FCCH";"LUANN BORDERS";"136 SOUTH ABSAROKA";"Powell";"WY";82435;"Park";"307-254-2322";"luannborders@hotmail.com";;9;"Regular/Year Round";"Closed";"07:30 AM - 05:00 PM";"07:30 AM - 05:00 PM";"07:30 AM - 05:00 PM";"07:30 AM - 05:00 PM";"07:30 AM - 05:00 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;;;;;;;;;;;"Yes";
17059;"CCC";"Lullababies";"317 N. McKinley St.";"Casper";"WY";82601;"Natrona";"307-439-9993";"lullababies307@yahoo.com";;26;"Regular/Year Round";"Closed";"07:15 AM - 05:15 PM";"07:15 AM - 05:15 PM";"07:15 AM - 05:15 PM";"07:15 AM - 05:15 PM";"07:15 AM - 05:15 PM";"Closed";"Yes";"Yes";"Yes";"Yes";;"Yes";;;;;;;"Yes";;;;;;;
1759;"FCCH";"MAKE A MESS AND MAKE BELIEVE";"629 Harmony Lane";"Cheyenne";"WY";82009;"Laramie";"307-637-5172";"makeamesspreschool@gmail.com";"https://www.makeamesspreschool.com";10;"Regular/Year Round";"Closed";"09:00 AM - 11:30 AM";"Closed";"12:30 PM - 03:00 PM";"12:30 PM - 03:00 AM";"09:00 AM - 11:30 AM";"Closed";;;"Yes";"Yes";;;"Yes";;;;;;;;;;;;;
14420;"FCCH";"Mama Bear's Daycare";"521 Dinwoody Way";"Rock Springs";"WY";82901;"Sweetwater";"307-922-3615";"cilla.brookes@gmail.com";;10;"Closed Summer : September to May";"Closed";"09:00 AM - 03:00 PM";"09:00 AM - 03:00 PM";"09:00 AM - 03:00 PM";"09:00 AM - 03:00 PM";"Closed";"Closed";;;;"Yes";;;"Yes";;;;;"Yes";;;;;;"Yes";"Yes";
16941;"FCCC";"Maria's Daycare";"203 E. Jefferson Road";"Cheyenne";"WY";82007;"Laramie";"307-287-9163";"chavezmaria24@yahoo.com";;15;"Regular/Year Round";"06:00 AM - 11:00 PM";"06:00 AM - 11:00 PM";"06:00 AM - 11:00 PM";"06:00 AM - 11:00 PM";"06:00 AM - 11:00 PM";"06:00 AM - 11:00 PM";"06:00 AM - 11:11 PM";"Yes";"Yes";"Yes";"Yes";"Yes";;;;;;;;"Yes";;;;;;;
2464;"CCC";"Marion Daycare and Learning Center";"710 Marion St";"Sheridan";"WY";82801;"Sheridan";"307-672-5408";"mariondaycare@outlook.com";;78;"Regular/Year Round";"Closed";"06:30 AM - 05:15 PM";"06:30 AM - 05:15 PM";"06:30 AM - 05:15 PM";"06:30 AM - 05:15 PM";"06:30 AM - 05:15 PM";"Closed";;"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;;;"Yes";"Yes";"Yes";;;"Yes";;;;
1832;"FCCH";"Marlene Trowbridge";"3703 Everton";"Cheyenne";"WY";82009;"Laramie";"307-632-3628";"gwtrow@me.com";;10;"Regular/Year Round";"Closed";"06:30 AM - 05:15 PM";"06:30 AM - 05:15 PM";"06:30 AM - 05:15 PM";"06:30 AM - 05:15 PM";"06:30 AM - 05:15 PM";"Closed";"Yes";"Yes";"Yes";"Yes";;"Yes";"Yes";;;;;;;;;;;;;
16951;"FCCH";"Mecca Daycare";"4935 Valley View Road";"Laramie";"WY";82070;"Albany";"307-921-9772";"cindymecca@gmail.com";;10;"Regular/Year Round";"Closed";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"Closed";"Yes";"Yes";"Yes";"Yes";;"Yes";"Yes";;;;;;"Yes";;;;;;;
1621;"FCCH";"Melissa's Monkeys";"1635 S. Lennox";"Casper";"WY";82601;"Natrona";"307-267-2536";"tiemomma@bresnan.net";;8;"Regular/Year Round";"Closed";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;;;"Yes";"Yes";"Yes";;;;;;;
2071;"CCC";"MHCC Childcare Center";"225 South 5th St.";"Douglas";"WY";82633;"Converse";"307-358-7330";"asimon@mhccwyo.org";;50;"Regular/Year Round";"Closed";"05:30 AM - 06:30 PM";"05:30 AM - 06:29 PM";"05:30 AM - 06:30 PM";"05:30 AM - 06:30 PM";"05:30 AM - 06:30 PM";"Closed";"Yes";"Yes";"Yes";"Yes";;"Yes";"Yes";;"Yes";;;;"Yes";;;;;;;
17201;"CCC";"Mia's Learning Tree";"1275 Adams Ave";"Rock Springs";"WY";82901;"Sweetwater";"307-389-8909";"Thelearningtree1275@gmail.com";;20;"Closed Summer : September to July";"Closed";"08:30 AM - 02:30 PM";"09:00 AM - 02:00 PM";"08:30 AM - 02:30 PM";"09:00 AM - 02:00 PM";"08:30 AM - 02:00 PM";"Closed";;;;"Yes";;;"Yes";;;;;;;;;;"Yes";;;
2378;"CCC";"Mimi's Day Care";"1525 Bleistein";"Cody";"WY";82414;"Park";"307-213-5205";"grandsonsmimi5@gmail.com";;33;"Regular/Year Round";"Closed";"06:00 AM - 05:30 PM";"06:00 AM - 05:30 PM";"06:00 AM - 05:30 PM";"06:00 AM - 05:30 PM";"06:00 AM - 05:30 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;"Yes";;;;"Yes";;;;"Yes";;;
2498;"FCCC";"Mini Miracle's";"309 1st Avenue North";"Greybull";"WY";82426;"Big Horn";"307-431-6538";"cgaray57@yahoo.com";;15;"Regular/Year Round";"Closed";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"Closed";"Yes";"Yes";"Yes";"Yes";;"Yes";"Yes";;;;;"Yes";"Yes";;;;"Yes";;;
17085;"FCCC";"Mini Miracles";"1404 Wisteria Ct.";"Gillette";"WY";82716;"Campbell";"307-299-6153";"victoria_may@msn.com";;15;"Regular/Year Round";"Closed";"06:00 AM - 06:00 PM";"06:00 AM - 06:00 PM";"06:00 AM - 06:00 PM";"06:00 AM - 06:00 PM";"06:00 AM - 06:00 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;;"Yes";;;;;;;
