"Name";"LegalEntityName";"Type";"StarRating";"Street";"City";"State";"Zip";"Latitude";"Longitude";"Phone";"Fax";"Email";"Website";"Program";"OtherProgramOffered";"ReferralStatus";"MaximumCapacity";"ProvisionalLicense";"RevokedLicense";"CountiesServed";"SchoolDistrict";"Curriculum";"LeadOrganization";"HoursSunday";"HoursMonday";"HoursTuesday";"HoursWednesday";"HoursThursday";"HoursFriday";"HoursSaturday";"CallerLanguage";"HeadStart";"Languages";"GeneralSchedule";"ServiceSchedule";"SpecialAccomodations";"SubsidyStatus";"PaymentOption";"AdditionalFee";"MealOptions";"Discounts";"CertificateNumber";"UID"
"Allentown Jewish Community Center Day Ca";"Allentown Jewish Community Center";"CTR";4;"702 N 22nd St";"Allentown";"PA";18104;40.60337;-75.507425;6104353571;;;"www.allentownjcc.org";"CCP";"CCP";"ACT";199;"N";"N";;"Allentown City - Escorted to/from school, Allentown City - Walking distance to school";;;;"7:30 AM - 6:00 PM";"7:30 AM - 6:00 PM";"7:30 AM - 6:00 PM";"7:30 AM - 6:00 PM";"7:30 AM - 6:00 PM";;;"No";;"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year, Weekdays, Drop-In Care, Flexible Schedule";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year, Weekdays, Drop-In Care, Flexible Schedule";;"Eligible Subsidy Provider";"CIS, Child Care Works/Subsidy Participation, Scholarships/United Way/Sliding Fee Scales";"Late Pick-up";"AM Snack, PM Snack";"Multi-Child ($36.00 - Apply to 2nd youngest k-6th only daily rates), Multi-Child ($43.00 - Apply to 1st youngest k-6th only daily rates)";"CER-00163667";"239c52534dbf1048523c34c76c36ad48"
"Bubble Guppies Day Care";"Heisy Franco";"FMY";3;"515 N 21st St";"Allentown";"PA";18104;40.60177;-75.504077;3476457630;;;;"CCP";"CCP";"ACT";6;"N";"N";;;;;"6:00 AM - 9:00 PM";"6:00 AM - 11:59 PM";"6:00 AM - 11:59 PM";"6:00 AM - 11:59 PM";"6:00 AM - 11:59 PM";"6:00 AM - 11:59 PM";"6:00 AM - 9:00 PM";;"No";"Spanish";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year, Overnight Care, Evening Care, Weekdays, Weekend Care";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year, Overnight Care, Evening Care, Weekdays, Weekend Care";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation";"Early School Dismissal, Late Payment, Late Pick-up, Transportation";"Breakfast, AM Snack, Lunch, PM Snack, Dinner";;"CER-00167286";"b002b76cd248f14654a72f1c13e2f00a"
"Lifespan Daycare Inc";"Lifespan School & Daycare Inc";"CTR";3;"1651 N Cedar Crest Blvd";"Allentown";"PA";18104;40.613937;-75.533363;6104357833;;;"www.lifespanchildcare.org";"CCP";"CCP";"ACT";238;"N";"N";;"Parkland - Pick-Up service to/from school";;;;"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";;;"No";"Spanish";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Weekdays, Drop-In Care, Flexible Schedule";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Weekdays, Drop-In Care, Flexible Schedule";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation, Child Welfare Agency/DHS Participation, Scholarships/United Way/Sliding Fee Scales";"Early School Dismissal, Field Trip, Late Payment, Late Pick-up, Registration";"Breakfast, AM Snack, Lunch, PM Snack, Child and Adult Care Food Program (CACFP) Meals, Special Dietary Needs";;"CER-00162366";"861babe362ae6a491e72eb567498db76"
"Alvarez Garcia Home Day Care";"Brenda Garcia Alvarez";"FMY";2;"1914 West Hamilton Street";"Allentown";"PA";18104;40.595201;-75.497007;6104376532;;;;"CCP";"CCP";"ACT";6;"N";"N";;;;;"6:00 AM - 11:59 PM";"6:00 AM - 11:59 PM";"6:00 AM - 11:59 PM";"6:00 AM - 11:59 PM";"6:00 AM - 11:59 PM";"6:00 AM - 11:59 PM";"6:00 AM - 11:59 PM";;"No";"Spanish";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year, Weekdays";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year, Weekdays";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation";"Late Pick-up";"Breakfast, AM Snack, Lunch, PM Snack, Dinner, Child and Adult Care Food Program (CACFP) Meals, Special Dietary Needs";;"CER-00156559";"5f6fc1e371c00f4806a0adb2f956ed87"
"Mendez Valerio Child Care";"Fabio Mendez Valerio";"FMY";2;"305 S 18th St";"Allentown";"PA";18104;40.592173;-75.492403;3477278945;;;;"CCP";"CCP";"ACT";6;"N";"N";;"Allentown City - Pick-Up service to/from school, Allentown City - Walking distance to school";;;"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";;"No";"Spanish";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year, Overnight Care, Evening Care, Weekdays, Weekend Care, 24 Hour Care";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year, Overnight Care, Evening Care, Weekdays, Weekend Care, 24 Hour Care";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation";"Late Payment, Late Pick-up";"Breakfast, AM Snack, Lunch, PM Snack, Dinner, Child and Adult Care Food Program (CACFP) Meals, Special Dietary Needs";;"CER-00160718";"60df3303a293791b28bcf28cb2db3d37"
"Child Time Learning Daycare";"Suany Sufran Nunez";"FMY";2;"1819 W Liberty St";"Allentown";"PA";18104;40.602838;-75.498419;4845384706;;;;"CCP";"CCP";"ACT";6;"N";"N";;;;;"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";;"No";"Spanish";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year, Overnight Care, Evening Care, Weekdays, Weekend Care, 24 Hour Care";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year, Overnight Care, Evening Care, Weekdays, Weekend Care, 24 Hour Care";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation";"Late Payment, Late Pick-up";"Breakfast, AM Snack, Lunch, PM Snack, Dinner";;"CER-00163078";"7ee1c96eb8820017784d7e377ae4f685"
"Mamitas Daycare";"Lariza Ramirez";"FMY";1;"116 N 18th St";"Allentown";"PA";18104;40.597948;-75.495339;6464151411;;;;"CCP";"CCP";"ACT";6;"N";"N";;"Allentown City - Pick-Up Service to/from home, Allentown City - Pick-Up service to/from school, Allentown City - Walking distance to school";;;"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";;"No";"Spanish";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year, Overnight Care, Evening Care, Weekdays, Weekend Care, Drop-In Care, Flexible Schedule, 24 Hour Care";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year, Overnight Care, Evening Care, Weekdays, Weekend Care, Drop-In Care, Flexible Schedule, 24 Hour Care";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation";"Bounced Check, Late Payment, Late Pick-up, Parent Support or Parent Contribution";"Breakfast, AM Snack, Lunch, PM Snack, Dinner";;"CER-00161945";"afd838f3008b327dd28d74c710450889"
"Fernandezs Family Day Care Llc";"Fernandezs Family Day Care Llc";"FMY";1;"316 S 17th St";"Allentown";"PA";18104;40.592116;-75.490205;4844479646;;;;"CCP";"CCP";"ACT";6;"N";"N";;"Allentown City - Pick-Up service to/from school, Allentown City - Walking distance to school";;;"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";;"No";"Spanish";"24 Hour Care";"24 Hour Care";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation";"Late Pick-up";"Breakfast, AM Snack, Lunch, PM Snack, Dinner";;"CER-00163767";"9b4040a65c4f4440df864a21981e2647"
"Danas Family Childcare Llc";"Danas Family Childcare Llc";"CTR";1;"820 Hausman Rd";"Allentown";"PA";18104;40.5916;-75.557805;4842212773;;;;"CCP";"CCP";"ACT";37;"N";"N";;"Parkland - Pick-Up Service to/from home";;;;"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";;;"No";;"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Weekdays";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Weekdays";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation";"Bounced Check, Early School Dismissal, Late Payment, Late Pick-up, Meal, Tuition";"AM Snack, PM Snack";;"CER-00165561";"e05074c1271651e44a42d30837d2b400"
"Willow Tree Early Learning Center";"Willow Tree Early Learning Center Llc";"CTR";1;"6750 Iroquois Trl";"Allentown";"PA";18104;40.57649;-75.597547;6103511147;;;;"CCP";"CCP";"ACT";123;"N";"N";;;;;;"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";;;"No";;"Early Dismissal School Days, Before School, After School, Full Year, Weekdays";"Early Dismissal School Days, Before School, After School, Full Year, Weekdays";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation";"Bounced Check, Late Payment, Late Pick-up, Registration, Tuition";"AM Snack, PM Snack";"Multi-Child (15% - oldest child), Employee (15% - all children)";"CER-00168790";"f4f8dc56120cb483db7a7bfe82ba355a"
"Nina Daycare";"Nina Daycare Llc";"FMY";0;"2020 1/2 W Tilghman St";"Allentown";"PA";18104;40.60417;-75.503857;3476925752;;;;"CCP";"CCP";"ACT";6;"Y";"N";;;;;"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";;"No";;;;;"Eligible Subsidy Provider";;;;;"CER-00167698";"4dde346251d3a728bde754e56d7da9d5"
"Beato Family Day Care";"Arlenys Gutierrez Gil";"FMY";1;"1724 W Whitehall St";"Allentown";"PA";18104;40.609852;-75.499595;4844260137;;;;"CCP";"CCP";"ACT";6;"N";"N";;"Allentown City - Pick-Up Service to/from home, Allentown City - Pick-Up service to/from school";;;"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";;"No";"Spanish";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year, Overnight Care, Evening Care, Weekdays, Weekend Care, Flexible Schedule, 24 Hour Care";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year, Overnight Care, Evening Care, Weekdays, Weekend Care, Flexible Schedule, 24 Hour Care";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation";"Late Pick-up, Transportation";"Breakfast, Lunch, Dinner, Special Dietary Needs";"Multi-Child (10% - 3RD CHILD IN FAMILY)";"CER-00161474";"8361253057cfcc042437f935c1bd4547"
"Rosaira Sanchez";"Rosaria Sanchez";"FMY";2;"1129 N Saint Lucas St";"Allentown";"PA";18104;40.611003;-75.509658;6104351460;;;;"CCP";"CCP";"ACT";6;"N";"N";;"Allentown City - Walking distance to school";;;"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";;"No";"Spanish";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year, Evening Care, Weekdays, Flexible Schedule, 24 Hour Care";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year, Evening Care, Weekdays, Flexible Schedule, 24 Hour Care";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation, Child Welfare Agency/DHS Participation, Scholarships/United Way/Sliding Fee Scales";"Activity, Art Supplies, Book, Computer Usage, Cot, Late Payment, Late Pick-up, Meal, Parent Support or Parent Contribution, Snack, Supplies, Transportation";"Breakfast, Lunch, PM Snack, Dinner, Child and Adult Care Food Program (CACFP) Meals, Special Dietary Needs";;"CER-00156473";"eda02b26919a0bc014f7c4224ae20cb9"
"Smiling Cloud";;"FMY";0;"2339 W Union St";"Allentown";"PA";18104;40.590181;-75.505224;0;;;;"CCP";"CCP";"INN";;"N";"Y";;;;;;;;;;;;;"No";;;;;"Eligible Subsidy Provider";;;;;"CER-00138038";"f3e68948ed8a743cead185d1b9e311a5"
"Learning Ladder Bilingual Day Care";"Jamelis Lopez";"FMY";0;"2218 W Union St";"Allentown";"PA";18104;40.590874;-75.502222;4844083552;;;;"CCP";"CCP";"ACT";6;"N";"N";;;;;"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";;"No";"Spanish";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year, Overnight Care, Evening Care, Weekdays, Weekend Care, Sick Care, Drop-In Care, Flexible Schedule, 24 Hour Care";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year, Overnight Care, Evening Care, Weekdays, Weekend Care, Sick Care, Drop-In Care, Flexible Schedule, 24 Hour Care";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation, Child Welfare Agency/DHS Participation";"Late Payment, Late Pick-up";"Breakfast, AM Snack, Lunch, PM Snack, Dinner, Child and Adult Care Food Program (CACFP) Meals, Special Dietary Needs";;"CER-00168586";"167a31d44a789b39faf6f164d71eab87"
"Allentown Family Place";;;0;"1730 Chew St";"Allentown";"PA";18104;40.600369;-75.495409;0;;;;"HDS";"HDS";"INA";;"N";"N";"Lehigh";"Allentown City";;"Community Services For Children Inc";;;;;;;;;;;;;;;;;;;;"cb556ebdfd9bc1ca1883c434b0f230df"
"The Devine School";"Ela Devine School Holdings Llc";"CTR";4;"740 N Brookside Rd";"Allentown";"PA";18106;40.568153;-75.553556;4842231781;;;;"CCP";"CCP";"ACT";114;"N";"N";;;;;;"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";;;"No";"American Sign Language, Spanish";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Weekdays, Drop-In Care";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Weekdays, Drop-In Care";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation";"Bounced Check, Late Payment, Late Pick-up, Registration, Tuition";"AM Snack, Lunch, PM Snack";"Employee (50% - ALL CHILDREN)";"CER-00155412";"05e67ac467aeb0de288ebe4fcaa0a453"
"Brookside Childrens Early Education Center";"Brookside Childrens Early Education Center Llc";"CTR";3;"357 S Route 100";"Allentown";"PA";18106;40.566985;-75.614297;6108419996;;;"www.brooksideearlyeducation.com";"CCP";"CCP";"ACT";104;"N";"N";;;;;;"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";;;"No";"American Sign Language, Spanish";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation";"Bounced Check, Computer Usage, Early School Dismissal, Field Trip, Late Payment, Late Pick-up, Registration, Tuition";"AM Snack, PM Snack";"Multi-Child ($15.00 - $15off per week *only 2 children), Multi-Child (10% - 3 or more children)";"CER-00162884";"ac32469fe6287f018790a8784b00ac55"
"Lehigh Childrens Academy";"Via Of The Lehigh Valley Inc";"CTR";2;"5910 Hamilton Blvd";"Allentown";"PA";18106;40.558705;-75.57158;6108415801;;;;"CCP";"CCP";"ACT";196;"N";"N";;"East Penn - On Site at School, East Penn - Serviced by school bus, Parkland - On Site at School";;;;"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";;;"No";"Spanish";"Before School, After School, Summer Only, Full Year, Weekdays";"Before School, After School, Summer Only, Full Year, Weekdays";;"Eligible Subsidy Provider";;"Bounced Check, Field Trip, Late Pick-up, Registration, Tuition";"Breakfast, Lunch, PM Snack";"Employee (20%)";"CER-00164997";"2fa7d15be8c04729fc2980cebfb4bc4d"
"The Cuddle Zone Learning Center";"The Cuddle Zone Learning Center Inc";;4;"445 Allentown Dr";"Allentown";"PA";18109;40.627648;-75.456728;6104342644;;;"www.cuddlezone.com";"LNS";"CCP,PKC,LNS";"ACT";152;"N";"N";"Lehigh";;;"The Cuddle Zone Learning Center Inc";;;;;;;;;;;"After School, Before School, Full Year, School District Holidays, School Year";"After School, Before School, Full Year, School District Holidays, School Year";;;;;;;"CER-00164818";"fe88d57a7bff774af72657054580f9c2"
"Gloria De La Cruz";"Gloria De La Cruz";"FMY";4;"1050 E Gordon St";"Allentown";"PA";18109;40.616314;-75.436404;6104320302;;;;"CCP";"CCP";"ACT";6;"N";"N";;;;;"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";;"No";"Spanish";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year, Evening Care, Weekdays, Weekend Care, Sick Care, Flexible Schedule";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year, Evening Care, Weekdays, Weekend Care, Sick Care, Flexible Schedule";;"Eligible Subsidy Provider";"Child Welfare Agency/DHS Participation";"Field Trip, Late Payment, Late Pick-up, Registration";"Breakfast, AM Snack, Lunch, PM Snack, Dinner";;"CER-00152379";"e6a5ec53bf2d54240483e4cd57ba1e96"
"The Cuddle Zone Learning Center";"The Cuddle Zone Learning Center Inc";"CTR";4;"445 Allentown Dr";"Allentown";"PA";18109;40.627648;-75.456728;6104342644;;;"www.cuddlezone.com";"CCP";"CCP,PKC,LNS";"ACT";152;"N";"N";;"Allentown City - Pick-Up service to/from school, Catasauqua Area - Pick-Up service to/from school";;;;"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";;;"No";"Spanish";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Weekdays";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Weekdays";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation, Child Welfare Agency/DHS Participation";"Activity, Bounced Check, Early School Dismissal, Field Trip, Late Payment, Late Pick-up, Registration, Supplies";"Breakfast, AM Snack, Lunch, PM Snack, Child and Adult Care Food Program (CACFP) Meals, Special Dietary Needs";"Early Payment (2% - PAY FOR MONTH ON THE 1RST), Multi-Child (10% - APPLY TO OLDEST)";"CER-00164818";"231e70a033e19e9a189d3cb1a5d8408c"
"Luvs & Hugs Family Center";"Cereta Johnson";"CTR";3;"1302 Hanover Ave";"Allentown";"PA";18109;40.618401;-75.435102;6104395882;;;;"CCP";"CCP";"ACT";96;"N";"N";;"Allentown City - Escorted to/from school";;;"5:00 PM - 11:59 PM";"5:00 AM - 11:30 PM";"5:00 AM - 11:30 PM";"5:00 AM - 11:30 PM";"5:00 AM - 11:30 PM";"5:00 AM - 11:30 PM";"6:00 AM - 7:00 PM";;"No";;"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Evening Care, Weekdays, Weekend Care, Flexible Schedule";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Evening Care, Weekdays, Weekend Care, Flexible Schedule";;"Eligible Subsidy Provider";;"Bounced Check, Field Trip, Late Payment, Late Pick-up, Registration, Tuition";"Breakfast, AM Snack, Lunch, PM Snack, Dinner";"Early Payment (5%)";"CER-00153667";"346e38aac96e18164baab28bf5b72dd8"
"Get Set Learning Center";"Get Set Centers Inc";"CTR";3;"946 N Van Buren St";"Allentown";"PA";18109;40.626386;-75.423473;4843503182;;;;"CCP";"CCP";"ACT";34;"N";"N";;"Allentown City - Escorted to/from school, Allentown City - Pick-Up Service to/from home, Allentown City - Serviced by school bus";;;"6:00 AM - 6:00 PM";"6:00 AM - 11:30 PM";"6:00 AM - 11:30 PM";"6:00 AM - 11:30 PM";"6:00 AM - 11:30 PM";"6:00 AM - 11:30 PM";"6:00 AM - 6:00 PM";;"No";"American Sign Language, Cambodian, Cantonese, Mandarin, Korean, Russian, Spanish, Vietnamese";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Evening Care, Weekdays, Weekend Care";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Evening Care, Weekdays, Weekend Care";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation, Child Welfare Agency/DHS Participation";"Bounced Check, Early School Dismissal, Entertainment, Field Trip, Late Payment, Late Pick-up, Registration, Transportation, Tuition";"Breakfast, AM Snack, Lunch, PM Snack, Dinner";"Employee (15% - 2nd child enrolled), Employee (35% - 1rst child enrolled)";"CER-00162575";"385c1e9205cd201e573ae45626a4e32b"
"Garcias Child Care";"Sandra Garcia";"FMY";3;"318 N Jerome St";"Allentown";"PA";18109;40.615775;-75.438165;4842940810;;;;"CCP";"CCP";"ACT";6;"N";"N";;;;;"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";;"No";"Spanish";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year, Weekdays, Weekend Care";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year, Weekdays, Weekend Care";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation";"Late Payment, Late Pick-up, Registration";"Breakfast, AM Snack, Lunch, PM Snack, Dinner, Child and Adult Care Food Program (CACFP) Meals";;"CER-00159355";"556ea39a77c66d49a02e465f73806920"
"Blue Light Day Care";"Luz M Ysabel Vasquez";"FMY";2;"35 N Filbert St";"Allentown";"PA";18109;40.611682;-75.445718;6104372632;;;;"CCP";"CCP";"ACT";6;"N";"N";;"Allentown City - Pick-Up Service to/from home, Allentown City - Pick-Up service to/from school";;;"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";;"No";"Spanish";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Overnight Care, Evening Care, Weekdays, Weekend Care, Flexible Schedule, 24 Hour Care";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Overnight Care, Evening Care, Weekdays, Weekend Care, Flexible Schedule, 24 Hour Care";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation";"Late Payment, Late Pick-up";"Breakfast, AM Snack, Lunch, PM Snack, Dinner";;"CER-00158931";"1b417b554dcdf66ac72c298ebc57da1f"
"Rosalinda Polancos Day Care";"Rosalinda Polanco";"FMY";1;"262 E Fairview St";"Allentown";"PA";18109;40.605853;-75.446727;4845381312;;;;"CCP";"CCP";"ACT";6;"N";"N";;;;;;"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 PM";"6:00 AM - 4:00 PM";;"No";"Spanish";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year, Weekdays, Weekend Care";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year, Weekdays, Weekend Care";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation";"Late Payment, Late Pick-up";"Breakfast, AM Snack, Lunch, PM Snack";;"CER-00153612";"e22a6325c6452128ef0145ce10313325"
"Bright Futures Child Care Center Llc";"Bright Futures Child Care Center Llc";"CTR";1;"1320 Sherman St";"Allentown";"PA";18109;40.621298;-75.427454;6104342301;;;;"CCP";"CCP";"ACT";155;"N";"N";;"Bethlehem Area - Pick-Up service to/from school";;;;"6:30 AM - 11:30 PM";"6:30 AM - 11:30 PM";"6:30 AM - 11:30 PM";"6:30 AM - 11:30 PM";"6:30 AM - 11:30 PM";"8:00 AM - 5:00 PM";;"No";"Other, Spanish";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year, Evening Care, Weekdays, Weekend Care, Drop-In Care";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year, Evening Care, Weekdays, Weekend Care, Drop-In Care";;"Eligible Subsidy Provider";;"Field Trip, Late Payment, Late Pick-up, Registration";"Breakfast, AM Snack, Lunch, PM Snack";;"CER-00165637";"a2274275b8cee8bc78df23f619f39ebf"
"Learning Minds Education Center";"Learning Minds Education Center Corporation";"CTR";1;"1036 N Godfrey St";"Allentown";"PA";18109;40.624766;-75.446214;6104350454;;;;"CCP";"CCP";"ACT";104;"N";"N";;"Allentown City - Pick-Up service to/from school";;;"6:00 AM - 6:00 PM";"6:00 AM - 11:00 PM";"6:00 AM - 11:00 PM";"6:00 AM - 11:00 PM";"6:00 AM - 11:00 PM";"6:00 AM - 11:00 PM";"6:00 AM - 6:00 PM";;"No";"Spanish";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Evening Care, Weekdays, Weekend Care, Flexible Schedule";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Evening Care, Weekdays, Weekend Care, Flexible Schedule";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation, Child Welfare Agency/DHS Participation";"Bounced Check, Field Trip, Late Payment, Late Pick-up, Registration, Transportation";"Breakfast, AM Snack, Lunch, PM Snack, Dinner, Child and Adult Care Food Program (CACFP) Meals";;"CER-00162498";"f5d5a12e4d2e6ec449688d887f47a220"
