"Program Type";"Number";"Program Name";"Address";"City";"State";"Zip";"Program Status";"Administrator(s)";"County";"License Begin Date";"License Expiration Date";"SUTQ Rating";"Phone";"Type";"Accreditations";"Meals";"Before School Care";"Evening Care";"Special Needs";"Transportation";"After School Care";"Overnight Care";"Field Trips";"Early Childhood Education Grant";"Head Start";"Private Kindergarten";"Publicly Funded Child Care";"Liability Insurance";"Monday";"Tuesday";"Wednesday";"Thursday";"Friday";"Saturday";"Sunday"
"Licensed Child Care Center";2220026593;"LITTLE FINGERS LITTLE TOES CHILDCARE CENTER 2";"41 EAST ERIE ST. #101";"PAINESVILLE";"OH";44077;"PROVISIONAL LICENSE";"Theia Crawford, Jacqueline Crawford";"LAKE";"October 9, 2022";"October 8, 2023";;"440-754-8433";"C";;"+";"+";;;;"+";;;;;;"+";;"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";2190020288;"LITTLE LEARNERS, TOO";"36721 LAKESHORE BLVD";"EASTLAKE";"OH";44095;"CONTINUOUS LICENSE";"Sandra Webber";"LAKE";"September 16, 2019";"Continuous";;"440-951-7366";"C";;"+";"+";;;;"+";;;;;;"+";;"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";2220026735;"LITTLE SCHOLARS - CURTIS CAMPUS";"34799 CURTIS BLVD";"EASTLAKE";"OH";44095;"PROVISIONAL LICENSE";"Amanda Wells, Lisa Pate";"LAKE";"October 1, 2022";"September 30, 2023";;"440-306-8545";"C";;"+";"+";;;"+";"+";;"+";;;;"+";;"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";300626;"LITTLE SCHOLARS EARLY LEARNING CENTER";"7464 TYLER BLVD.";"MENTOR";"OH";44060;"CONTINUOUS LICENSE";"AMANDA WELLS";"LAKE";"September 29, 2014";"Continuous";4;"440-942-8694";"C";;"+";"+";;;"+";"+";;"+";;;;"+";;"05:30 AM to 07:00 PM";"05:30 AM to 07:00 PM";"05:30 AM to 07:00 PM";"05:30 AM to 07:00 PM";"05:30 AM to 07:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";2200022087;"LITTLE SCHOLARS EARLY LEARNING CENTER";"1344 W JACKSON ST.";"PAINESVILLE";"OH";44077;"CONTINUOUS LICENSE";"Amanda Wells, Indianelys Loga";"LAKE";"August 26, 2020";"Continuous";4;"440-975-6645";"C";;"+";;;;;;;;;;;"+";;"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";2180017608;"LITTLE SCHOLARS EARLY LEARNING CENTER";"1125 LOST NATION RD.";"WILLOUGHBY";"OH";44094;"CONTINUOUS LICENSE";"Meaghan Meade, Kaitlyn McMasters, Allison Credico";"LAKE";"May 21, 2018";"Continuous";4;"440-975-6645";"C";;"+";"+";;;;"+";;;;;;"+";;"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";2180018536;"LITTLE SCHOLARS EASTLAKE";"36100 PORTAGE RD";"EASTLAKE";"OH";44095;"CONTINUOUS LICENSE";"Meaghan Meade";"LAKE";"January 2, 2019";"Continuous";4;"440-897-0065";"C";;;;;;;;;;;;;"+";;"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";306004;"LITTLE SCHOLARS II";"9220 LAKESHORE BLVD";"MENTOR";"OH";44060;"CONTINUOUS LICENSE";"Donna Reynolds, Allison Credico";"LAKE";"October 31, 2002";"Continuous";4;"440-257-6600";"C";;;;;;;;;;;;;"+";;"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";304404;"LITTLE SCHOLARS, INC.";"37912 THIRD ST";"WILLOUGHBY";"OH";44094;"CONTINUOUS LICENSE";"AMANDA GALLAGHER";"LAKE";"February 22, 1995";"Continuous";4;"440-951-3596";"C";;;;;;;;;;;;;"+";;"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";300775;"LOVE'S LEARNING LOFT LLC";"6720/6740 CENTER STREET";"MENTOR";"OH";44060;"CONTINUOUS LICENSE";"Christy Thayer, Anna Love";"LAKE";"March 16, 2016";"Continuous";;"440-534-1025";"C";;;;;;;;;;;;;"+";;"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"CLOSED";"CLOSED"
"Ohio Department of Education Licensed Preschool";1000020179;"MADISON PRE-K";"1956 RED BIRD RD";"MADISON";"OH";44057;"CONTINUOUS LICENSE";;"LAKE";"August 20, 2013";"Continuous";4;"440-428-2166";"P";;;;;;;;;;;;;;;"08:30 AM to 03:00 PM";"08:30 AM to 03:00 PM";"08:30 AM to 03:00 PM";"08:30 AM to 03:00 PM";"08:30 AM to 03:00 PM";"CLOSED";"CLOSED"
"Ohio Department of Education Licensed Preschool";1000019023;"MATER DEI ACADEMY";"29840 EUCLID AVE";"WICKLIFFE";"OH";44092;"CONTINUOUS LICENSE";;"LAKE";"September 24, 2011";"Continuous";;"440-585-0800";"P";;"+";;;;;;;;;;;;;"08:00 AM to 02:00 PM";"08:00 AM to 02:00 PM";"08:00 AM to 02:00 PM";"08:00 AM to 02:00 PM";"08:00 AM to 02:00 PM";"CLOSED";"CLOSED"
"Ohio Department of Education Licensed Preschool";1000018064;"MCKINLEY SCHOOL";"602 PLUM ST";"FAIRPORT HARBOR";"OH";44077;"CONTINUOUS LICENSE";;"LAKE";"September 24, 2011";"Continuous";4;;"P";;;;;;;;;;;;;;;"09:00 AM to 02:00 PM";"09:00 AM to 02:00 PM";"09:00 AM to 02:00 PM";"09:00 AM to 02:00 PM";"09:00 AM to 02:00 PM";"CLOSED";"CLOSED"
"Ohio Department of Education Licensed School Age Childcare (SACC)";1000020157;"MCKINLEY SCHOOL";"602 PLUM ST";"FAIRPORT HARBOR";"OH";44077;"CONTINUOUS LICENSE";;"LAKE";"September 24, 2013";"Continuous";;"440-350-2563";"S";;;"+";"+";;;;;;;;;;;"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";300454;"MENTOR CO-OPERATIVE PRESCHOOL INC";"7271 LAKESHORE BOULEVARD";"MENTOR";"OH";44060;"CONTINUOUS LICENSE";"Danielle Gray";"LAKE";"February 22, 1971";"Continuous";;"440-946-7269";"C";;;;;;;;;;;;;;;"NOT REPORTED";"NOT REPORTED";"NOT REPORTED";"NOT REPORTED";"NOT REPORTED";"NOT REPORTED";"NOT REPORTED"
"Licensed Child Care Center";300694;"MENTOR UNITED METHODIST PRESCHOOL";"8600 MENTOR AVE";"MENTOR";"OH";44060;"CONTINUOUS LICENSE";"Kathryn Fisher";"LAKE";"December 7, 1971";"Continuous";;"440-255-3496";"C";;;;;;;;;;;;;;;"12:15 AM to 12:00 PM";"12:15 AM to 12:00 PM";"12:15 AM to 12:00 PM";"12:15 AM to 12:00 PM";"CLOSED";"CLOSED";"CLOSED"
"Licensed Child Care Center";300861;"MY KIDS CHILDCARE INC";"9423 MENTOR AVE. MENTOR OH 44060";"MENTOR";"OH";44060;"CONTINUOUS LICENSE";"April Williams, Anita Dokollari";"LAKE";"August 17, 2016";"Continuous";3;"440-354-3626";"C";;;;;;;;;;;;;"+";;"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";2210024592;"MY KIDS CHILDCARE PLUS INC.";"9397 MENTOR AVE.";"MENTOR";"OH";44060;"CONTINUOUS LICENSE";"Anita Dokollari, Ismiliana Curma";"LAKE";"July 1, 2021";"Continuous";;"440-354-3626";"C";;;"+";;;;"+";;;;;;;;"06:00 AM to 05:30 PM";"06:00 AM to 05:30 PM";"06:00 AM to 05:30 PM";"06:00 AM to 05:30 PM";"06:00 AM to 05:30 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";300136;"PAINESVILLE CHRISTIAN ACADEMY";"6235 CHESTNUT ST";"PAINESVILLE";"OH";44077;"CONTINUOUS LICENSE";"Heather Wilkie";"LAKE";"March 21, 1971";"Continuous";4;"440-352-4516";"C";;"+";"+";;;"+";"+";;"+";;;;"+";;"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";300209;"PAPILLION ENRICHMENT CENTER UNIT 5";"2804 SOM CENTER ROAD UNIT A";"WILLOUGHBYHILLS";"OH";44092;"CONTINUOUS LICENSE";"LARISA TANOVIC, Alesha Kordic";"LAKE";"August 11, 2011";"Continuous";;"440-943-4323";"C";;;;;;;;;;;;;;;"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"07:00 AM to 05:30 PM";"CLOSED"
"Licensed Child Care Center";307696;"PEMBROKE SCHOOL";"5559 SOM CENTER RD";"WILLOUGHBY";"OH";44094;"CONTINUOUS LICENSE";"LUCY MILLER";"LAKE";"September 20, 2007";"Continuous";;"440-951-1818";"C";;;;;;;;;;;;;;;"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"CLOSED";"CLOSED"
"Ohio Department of Education Licensed School Age Childcare (SACC)";1000020380;"PERRY ELEMENTARY SCHOOL";"1 LEARNING LN";"PERRY";"OH";44081;"CONTINUOUS LICENSE";;"LAKE";"September 25, 2014";"Continuous";;"440-259-9600";"S";;;"+";"+";;;;;;;;;;;"07:00 AM to 04:45 PM";"07:00 AM to 04:45 PM";"07:00 AM to 04:45 PM";"07:00 AM to 04:45 PM";"07:00 AM to 04:45 PM";"CLOSED";"CLOSED"
"Ohio Department of Education Licensed Preschool";1220025927;"PERRY ELEMENTARY SCHOOL";"1 LEARNING LN";"PERRY";"OH";44081;"PROVISIONAL LICENSE";;"LAKE";"August 17, 2022";"August 16, 2023";;;"P";;;;;;"+";;;;;;;;;"08:30 AM to 03:15 PM";"08:30 AM to 03:15 PM";"08:30 AM to 03:15 PM";"08:30 AM to 03:15 PM";"CLOSED";"CLOSED";"CLOSED"
"Licensed Child Care Center";2190020475;"PLAY ACADEMY";"28930 RIDGE RD";"WICKLIFFE";"OH";44092;"CONTINUOUS LICENSE";"Sonia Texidor Rosa, Tatiana Kogan";"LAKE";"October 23, 2019";"Continuous";1;"440-520-0031";"C";;;;;;;;;;;;;"+";;"06:30 AM to 07:00 PM";"06:30 AM to 07:00 PM";"06:30 AM to 07:00 PM";"06:30 AM to 07:00 PM";"06:30 AM to 07:00 PM";"CLOSED";"CLOSED"
"Ohio Department of Education Licensed Preschool";1000018990;"PRESCHOOL AT MENTOR HIGH SCHOOL";"6477 CENTER ST";"MENTOR";"OH";44060;"CONTINUOUS LICENSE";;"LAKE";"September 24, 2011";"Continuous";;"440-974-5300";"P";;;;;;;;;;;;;;;"07:30 AM to 02:15 PM";"07:30 AM to 02:15 PM";"07:30 AM to 02:15 PM";"07:30 AM to 02:15 PM";"07:30 AM to 02:15 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";303194;"RAINBOW CONNECTION";"6312-C CENTER ST";"MENTOR";"OH";44060;"CONTINUOUS LICENSE";"DELRENE SHOWMAN";"LAKE";"December 19, 1988";"Continuous";3;"440-255-7655";"C";;;;;;;;;;;;;"+";;"06:00 AM to 06:45 PM";"06:00 AM to 06:45 PM";"06:00 AM to 06:45 PM";"06:00 AM to 06:45 PM";"06:00 AM to 06:45 PM";"CLOSED";"CLOSED"
"Ohio Department of Education Licensed Preschool";1000019258;"RED RAIDER PRESCHOOL";"350 CEDARBROOK DR";"PAINESVILLE";"OH";44077;"CONTINUOUS LICENSE";;"LAKE";"September 24, 2011";"Continuous";4;"440-392-5611";"P";;;;;;;;;;;;;;;"09:15 AM to 03:45 PM";"09:15 AM to 03:45 PM";"09:15 AM to 03:45 PM";"09:15 AM to 03:45 PM";"09:15 AM to 03:45 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";306218;"RIDGE POINTE CHILD CARE CENTER INC.";"9650 OLD JOHNNYCAKE RIDGE ROAD";"MENTOR";"OH";44060;"CONTINUOUS LICENSE";"TONYA SCHLEICHER, CHRISTY FOSTER";"LAKE";"December 18, 2003";"Continuous";;"440-352-4885";"C";;"+";"+";;;"+";"+";;"+";;;;;;"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"CLOSED";"CLOSED"
"Ohio Department of Education Licensed Preschool";1190020389;"RIVERSIDE PRESCHOOL";"56 HALE RD";"PAINESVILLE";"OH";44077;"CONTINUOUS LICENSE";;"LAKE";"September 4, 2019";"Continuous";3;;"P";;;;;;;;;;;;;;;"08:30 AM to 03:00 PM";"08:30 AM to 03:00 PM";"08:30 AM to 03:00 PM";"08:30 AM to 03:00 PM";"CLOSED";"CLOSED";"CLOSED"
"Licensed Child Care Center";305153;"SAINT GABRIEL LEARNING LOFT PRESCHOOL";"9921 JOHNNYCAKE RIDGE R0AD";"CONCORD TWSP";"OH";44060;"CONTINUOUS LICENSE";"ANN P SILVESTER";"LAKE";"August 31, 1999";"Continuous";;"440-354-7574";"C";;;;;;;;;"+";;;;;;"09:00 AM to 02:30 PM";"09:00 AM to 02:30 PM";"09:00 AM to 02:30 PM";"09:00 AM to 02:30 PM";"09:00 AM to 02:30 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";300154;"SHOREGATE UNITED METHODIST NURSERY SCHOOL";"30500 BAYRIDGE BOULEVARD";"WILLOWICK";"OH";44095;"CONTINUOUS LICENSE";"CYNTHIA NOBLE";"LAKE";"April 12, 1971";"Continuous";;"440-944-5422";"C";;;;;;;;;;;;;;;"NOT REPORTED";"NOT REPORTED";"NOT REPORTED";"NOT REPORTED";"NOT REPORTED";"NOT REPORTED";"NOT REPORTED"
"Licensed Child Care Center";305942;"SMALL HANDS BIG DREAMS LEARNING CENTER";"8465 MARKET STREET";"MENTOR";"OH";44060;"CONTINUOUS LICENSE";"STACY INGERSOLL, Sharon Delembo";"LAKE";"October 31, 2002";"Continuous";4;"440-255-7775";"C";;"+";;;;;;;;;;;"+";;"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";2170015504;"SMALL HANDS BIG DREAMS LEARNING CENTERS - KIRTLAND INC.";"9823 CHILLICOTHE ROAD";"KIRTLAND";"OH";44094;"CONTINUOUS LICENSE";"JENNIFER SPRAFKA, Stephanie Annes";"LAKE";"November 27, 2017";"Continuous";4;"440-367-2145";"C";;"+";"+";;;;"+";;"+";;;;"+";;"07:30 AM to 05:00 PM";"07:30 AM to 05:00 PM";"07:30 AM to 05:00 PM";"07:30 AM to 05:00 PM";"07:30 AM to 05:00 PM";"CLOSED";"CLOSED"
"Ohio Department of Education Licensed Preschool";1000020657;"ST GABRIEL";"9935 JOHNNYCAKE RIDGE RD";"MENTOR";"OH";44060;"CONTINUOUS LICENSE";;"LAKE";"August 24, 2015";"Continuous";;"440-352-6169";"P";;;"+";"+";;;"+";;;;;;;;"07:15 AM to 02:15 PM";"07:15 AM to 02:15 PM";"07:15 AM to 02:15 PM";"07:15 AM to 02:15 PM";"07:15 AM to 02:15 PM";"CLOSED";"CLOSED"
"Ohio Department of Education Licensed School Age Childcare (SACC)";1000018094;"ST MARY OF THE ASSUMPTION";"8540 MENTOR AVE";"MENTOR";"OH";44060;"CONTINUOUS LICENSE";;"LAKE";"September 24, 2011";"Continuous";;"440-255-9781";"S";;;;"+";;;;;;;;;;;"02:15 PM to 06:00 PM";"02:15 PM to 06:00 PM";"02:15 PM to 06:00 PM";"02:15 PM to 06:00 PM";"02:15 PM to 06:00 PM";"CLOSED";"CLOSED"
"Ohio Department of Education Licensed Preschool";1000018093;"ST MARY OF THE ASSUMPTION";"8540 MENTOR AVE";"MENTOR";"OH";44060;"CONTINUOUS LICENSE";;"LAKE";"September 24, 2011";"Continuous";;"440-255-9781";"P";;;;;;;;;;;;;;;"07:30 AM to 02:15 PM";"07:30 AM to 02:15 PM";"07:30 AM to 02:15 PM";"07:30 AM to 02:15 PM";"CLOSED";"CLOSED";"CLOSED"
"Licensed Child Care Center";303191;"ST PAUL'S PRESCHOOL";"250 BOWHALL RD";"PAINESVILLE";"OH";44077;"CONTINUOUS LICENSE";"AMY MARIZEK";"LAKE";"November 23, 1988";"Continuous";;"440-354-3000";"C";;;;;;;;;;;;;;;"09:00 AM to 12:00 PM";"09:00 AM to 12:00 PM";"09:00 AM to 12:00 PM";"09:00 AM to 12:00 PM";"09:00 AM to 12:00 PM";"CLOSED";"CLOSED"
"Ohio Department of Education Licensed Preschool";1000018169;"TARBUCK LEARNING CENTER SCHOOL";"4325 MANCHESTER RD";"PERRY";"OH";44081;"CONTINUOUS LICENSE";;"LAKE";"September 24, 2011";"Continuous";4;;"P";;;;;;;;;;;;;;;"08:30 AM to 03:30 PM";"08:30 AM to 03:30 PM";"08:30 AM to 03:30 PM";"08:30 AM to 03:30 PM";"CLOSED";"CLOSED";"CLOSED"
"Licensed Child Care Center";306760;"THE LITTLE LIGHT LEARNING CENTER";"34201 EDDY ROAD";"WILLOUGHBY HILL";"OH";44094;"CONTINUOUS LICENSE";"Natalie Lexa";"LAKE";"September 8, 2005";"Continuous";;"440-585-2625";"C";;;;;;;;;"+";;;;;;"08:30 AM to 11:45 AM";"08:30 AM to 11:45 AM";"08:30 AM to 11:45 AM";"08:30 AM to 11:45 AM";"08:30 AM to 11:45 AM";"CLOSED";"CLOSED"
"Registered Day Camp";2180017470;"THE SALVATION ARMY";"69 PEARL ST.";"PAINESVILLE";"OH";44077;;;"LAKE";;;;"440-357-2008";"D";;;;;;;;;;;;;;;"NOT REPORTED";"NOT REPORTED";"NOT REPORTED";"NOT REPORTED";"NOT REPORTED";"NOT REPORTED";"NOT REPORTED"
"Licensed Child Care Center";2220026505;"TIK TOK AROUND THE CLOCK CHILDCARE";"1865 NORTH RIDGE RD";"PAINESVILLE TWP";"OH";44077;"PROVISIONAL LICENSE";"Catherine Sawyers, Lucretia Dillard-Moore";"LAKE";"August 8, 2022";"August 7, 2023";;"440-382-4642";"C";;"+";;"+";;"+";"+";"+";"+";;;;"+";;"CLOSED";"CLOSED";"CLOSED";"CLOSED";"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT"
"Licensed Child Care Center";300084;"TINY TOWN CHILDCARE & LEARNING CENTER PAINESVILLE";"301 EAST ERIE ST.";"PAINESVILLE";"OH";44077;"CONTINUOUS LICENSE";"Kayla Puz";"LAKE";"November 29, 2010";"Continuous";2;"440-352-1806";"C";;;;;;;;;;;;;"+";;"05:00 AM to MIDNIGHT";"05:00 AM to MIDNIGHT";"05:00 AM to MIDNIGHT";"05:00 AM to MIDNIGHT";"05:00 AM to MIDNIGHT";"CLOSED";"CLOSED"
"Registered Day Camp";2220026006;"WEST END LAKE COUNTY YMCA";"36909 RIDGE ROAD";"WILLOUGHBY";"OH";44094;;;"LAKE";;;;"440-946-1160";"D";;;;;;;;;;;;;;;"NOT REPORTED";"NOT REPORTED";"NOT REPORTED";"NOT REPORTED";"NOT REPORTED";"NOT REPORTED";"NOT REPORTED"
"Licensed Type B Family Child Care Home";2190020287;"WHALE OF A TALE DAYCARE";"1504 SEVERN LN";"WICKLIFFE";"OH";44092;"CONTINUOUS LICENSE";;"LAKE";"July 17, 2020";"Continuous";;"440-278-1785";"B";;"+";"+";"+";;;"+";"+";;;;;"+";;"06:30 AM to 11:30 PM";"06:30 AM to 11:30 PM";"06:30 AM to 11:30 PM";"06:30 AM to 11:30 PM";"06:30 AM to 11:30 PM";"06:30 AM to 11:30 PM";"06:30 AM to 11:30 PM"
"Licensed Child Care Center";308065;"WICKLIFFE ACADEMY, INC";"28510 EUCLID AVE";"WICKLIFFE";"OH";44092;"CONTINUOUS LICENSE";"PIERA FOSTER";"LAKE";"December 29, 2008";"Continuous";4;"440-585-2223";"C";;;;;;;;;;;;;"+";;"06:30 AM to 07:00 PM";"06:30 AM to 07:00 PM";"06:30 AM to 07:00 PM";"06:30 AM to 07:00 PM";"06:30 AM to 07:00 PM";"CLOSED";"CLOSED"
"Ohio Department of Education Licensed Preschool";1000018954;"WICKLIFFE ELEMENTARY SCHOOL";"1821 LINCOLN RD";"WICKLIFFE";"OH";44092;"CONTINUOUS LICENSE";;"LAKE";"September 24, 2011";"Continuous";4;;"P";;"+";"+";"+";;"+";"+";"+";"+";"+";"+";"+";;;"08:30 AM to 03:00 PM";"08:30 AM to 03:00 PM";"08:30 AM to 03:00 PM";"08:30 AM to 03:00 PM";"CLOSED";"CLOSED";"CLOSED"
"Ohio Department of Education Licensed School Age Childcare (SACC)";1000020322;"WICKLIFFE MIDDLE SCHOOL";"29240 EUCLID AVE";"WICKLIFFE";"OH";44092;"CONTINUOUS LICENSE";;"LAKE";"March 11, 2013";"Continuous";;"440-943-3220";"S";;;;"+";;;;;;;;;;;"02:30 PM to 05:30 PM";"02:30 PM to 05:30 PM";"02:30 PM to 05:30 PM";"02:30 PM to 05:30 PM";"CLOSED";"CLOSED";"CLOSED"
"Licensed Child Care Center";303010;"WILLOUGHBY MONTESSORI DAYSCHOOL INC";"5543 S O M CENTER RD";"WILLOUGHBY";"OH";44094;"CONTINUOUS LICENSE";"KATHLEEN LI";"LAKE";"July 16, 1987";"Continuous";;"440-942-4589";"C";;;;;;;;;;;;"+";;;"07:00 AM to 05:30 PM";"07:00 AM to 05:30 PM";"07:00 AM to 05:30 PM";"07:00 AM to 05:30 PM";"07:00 AM to 05:30 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";300415;"WILLOUGHBY UNITED METHODIST PRESCHOOL";"15 PUBLIC SQUARE";"WILLOUGHBY";"OH";44094;"CONTINUOUS LICENSE";"Michele Sili";"LAKE";"October 23, 1970";"Continuous";;"440-942-9068";"C";;;;;;;;;;;;;;;"NOT REPORTED";"NOT REPORTED";"NOT REPORTED";"NOT REPORTED";"NOT REPORTED";"NOT REPORTED";"NOT REPORTED"
"Ohio Department of Education Licensed Preschool";1000018780;"WILLOUGHBY-EASTLAKE PRESCHOOL";"34050 GLEN DR";"EASTLAKE";"OH";44095;"CONTINUOUS LICENSE";;"LAKE";"September 24, 2011";"Continuous";4;"440-269-3028";"P";;;;;;;;;;;;;;;"09:00 AM to 03:00 PM";"09:00 AM to 03:00 PM";"09:00 AM to 03:00 PM";"09:00 AM to 03:00 PM";"09:00 AM to 03:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";300528;"Y-SACC LONGFELLOW ELEMENTARY";"35200 STEVENS BLVD.";"EASTLAKE";"OH";44095;"CONTINUOUS LICENSE";"PATTIE RITT, MALINDA LEBOWITZ, MATT ABRAMYCZK";"LAKE";"March 10, 2014";"Continuous";;"440-975-3786";"C";;;"+";;;;"+";;;;;;;;"07:00 AM to 06:00 PM";"07:00 AM to 06:00 PM";"07:00 AM to 06:00 PM";"07:00 AM to 06:00 PM";"07:00 AM to 06:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";300597;"Y-SCHOOL AGE CHILD CARE - GRANT";"38281 HURRICANE DR.";"WILLOUGHBY";"OH";44092;"CONTINUOUS LICENSE";"PATTIE RITT, Scott Capp, Leah Bentley";"LAKE";"August 26, 2014";"Continuous";;"440-975-3727";"C";;;"+";;;;"+";;;;;;;;"07:00 AM to 06:00 PM";"07:00 AM to 06:00 PM";"07:00 AM to 06:00 PM";"07:00 AM to 06:00 PM";"07:00 AM to 06:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";300529;"Y-SCHOOL AGE CHILD CARE EDISON ELEMENTARY";"5288 KAREN ISLE DRIVE";"WILLOUGHBY";"OH";44094;"CONTINUOUS LICENSE";"Janet Reed, PATTIE RITT, SANGITA MALIK";"LAKE";"March 10, 2014";"Continuous";;"440-269-3002";"C";;;"+";;;;"+";;;;;;;;"07:00 AM to 06:00 PM";"07:00 AM to 06:00 PM";"07:00 AM to 06:00 PM";"07:00 AM to 06:00 PM";"07:00 AM to 06:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";300610;"Y-SCHOOL AGE CHILD CARE JEFFERSON ELEMENTARY";"35980 LAKESHORE BLVD.";"EASTLAKE";"OH";44095;"CONTINUOUS LICENSE";"Janet Reed, PATTIE RITT";"LAKE";"August 26, 2014";"Continuous";;"440-975-3704";"C";;;"+";;;;"+";;;;;;;;"06:45 AM to 06:00 PM";"06:45 AM to 06:00 PM";"06:45 AM to 06:00 PM";"06:45 AM to 06:00 PM";"06:45 AM to 06:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";300532;"Y-SCHOOL AGE CHILD CARE ROYALVIEW ELEMENTARY";"31500 ROYALVIEW DR.";"WILLOWICK";"OH";44095;"CONTINUOUS LICENSE";"PATTIE RITT, Julie Mead, MALINDA LEBOWITZ";"LAKE";"March 10, 2014";"Continuous";;"440-944-3855";"C";;;"+";;;;"+";;;;;;;;"02:45 AM to 06:00 PM";"02:45 AM to 06:00 PM";"02:45 AM to 06:00 PM";"02:45 AM to 06:00 PM";"02:45 AM to 06:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";307951;"YMCA MAPLE Y-KEY";"560 W. JACKSON ST";"PAINESVILLE";"OH";44077;"CONTINUOUS LICENSE";"DEBBIE HEATH";"LAKE";"September 2, 2008";"Continuous";;"440-213-9150";"C";;;"+";;;;"+";;;;;;"+";;"06:15 AM to 06:00 PM";"06:15 AM to 06:00 PM";"06:15 AM to 06:00 PM";"06:15 AM to 06:00 PM";"06:15 AM to 06:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";2170016343;"YOUNG STEPS DAY CARE AND PRESCHOOL, LLC";"7260 LAKESHORE BLVD.";"MENTOR";"OH";44060;"CONTINUOUS LICENSE";"Gainelle Manning, MORGHAN MANNING";"LAKE";"March 5, 2018";"Continuous";;"440-231-9092";"C";;;;;;;;;;;;;"+";;"06:00 AM to 06:30 PM";"06:00 AM to 06:30 PM";"06:00 AM to 06:30 PM";"06:00 AM to 06:30 PM";"06:00 AM to 06:30 PM";"CLOSED";"CLOSED"
