"Provider Name";"Address 1";"Address 2";"City";"State";"ZIP";"Mail Address 1";"Mail Address 2";"Mail City";"Mail State";"Mail ZIP";"Phone";"Fax Number";"Director/Owner";"Status";"License/Registration Issue Date";"Provider Type";"Approved to Accept Child Care Assistance?";"QRS Level";"Current Vacancies";"Capacity";"Monday hours";"Tuesday hours";"Wednesday hours";"Thursday hours";"Friday hours";"Saturday hours";"Sunday hours";"Rates";"County";"URL";"License Expiration Date";"Visit Report"
"Anamosa Raiders Kids Club";"203 Hamilton ST";;"Anamosa";"IA";52205;"203 Hamilton ST";;"Anamosa";"IA";52205;"(319) 462-3549";;", ";"Active";"8/21/2020";"Licensed Center";"Yes";;;134;" 6:30AM -  6:00PM";" 6:30AM -  6:00PM";" 6:30AM -  6:00PM";" 6:30AM -  6:00PM";" 6:30AM -  6:00PM";;;"Preschool (24 to Kindergarten)  Half-Day/12.50| Preschool (24 to Kindergarten)  Half-Day/12.50| Preschool (36 to Kindergarten)  Half-Day/12.50| Preschool (36 to Kindergarten)  Half-Day/12.50| School Age (K and up)  Half-Day/12.50| School Age (K and up)  Half-Day/12.50| School Age (K and up)  Half-Day/12.50";"Jones";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=44250";"9/30/2022";"https://secureapp.dhs.state.ia.us/dhs_titan_public/caprica/document/GetProviderEvaluation/44250"
"Angela M. Beitz";"513 W 6th ST";;"Monticello";"IA";52310;"513 W 6th ST";;"Monticello";"IA";52310;"(319) 465-4114";;"Beitz, Angela";"Active";"3/1/2019";"Registered Child Development Home B";"Yes";;;12;" 7:00AM -  5:00PM";" 7:00AM -  5:00PM";" 7:00AM -  5:00PM";" 7:00AM -  5:00PM";" 7:00AM -  5:00PM";;;"Infant (up to 24 months)  Half-Day/15.00| Infant (up to 24 months)  Half-Day/15.00| Infant (up to 24 months)  Half-Day/15.00| Infant (up to 36 months)  Half-Day/15.00| Infant (up to 36 months)  Half-Day/15.00| Infant (up to 36 months)  Half-Day/15.00| Preschool (24 to Kindergarten)  Half-Day/15.00| Preschool (24 to Kindergarten)  Half-Day/15.00| Preschool (24 to Kindergarten)  Half-Day/15.00| Preschool (36 to Kindergarten)  Half-Day/15.00| Preschool (36 to Kindergarten)  Half-Day/15.00| Preschool (36 to Kindergarten)  Half-Day/15.00| School Age (K and up)  Half-Day/15.00| School Age (K and up)  Half-Day/15.00| School Age (K and up)  Half-Day/15.00";"Jones";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=23558";"2/28/2021";
"Brenda Steiner";"731 Breckenridge DR";;"Monticello";"IA";52310;"731 Breckenridge DR";;"Monticello";"IA";52310;"(319) 480-0193";;"Steiner, Brenda";"Active";"4/1/2019";"Registered Child Development Home C1";"Yes";;;8;" 5:30AM -  5:00PM";" 5:30AM -  5:00PM";" 5:30AM -  5:00PM";" 5:30AM -  5:00PM";" 5:30AM -  5:00PM";" 5:30AM -  5:00PM";" 5:30AM -  5:00PM";"Infant (up to 24 months)  Half-Day/30.00| Infant (up to 24 months)  Half-Day/30.00| Infant (up to 24 months)  Half-Day/30.00| Infant (up to 36 months)  Half-Day/30.00| Infant (up to 36 months)  Half-Day/30.00| Infant (up to 36 months)  Half-Day/30.00| Preschool (24 to Kindergarten)  Half-Day/30.00| Preschool (24 to Kindergarten)  Half-Day/30.00| Preschool (24 to Kindergarten)  Half-Day/30.00| Preschool (36 to Kindergarten)  Half-Day/30.00| Preschool (36 to Kindergarten)  Half-Day/30.00| Preschool (36 to Kindergarten)  Half-Day/30.00| School Age (K and up)  Half-Day/30.00| School Age (K and up)  Half-Day/30.00| School Age (K and up)  Half-Day/30.00";"Jones";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=24946";"3/31/2021";
"Carla McDonald";"22331 Tom Trail CT";;"Monticello";"IA";52310;"22331 Tom Trail CT";;"Monticello";"IA";52310;"(319) 480-6272";;"Mcdonald, Carla";"Active";"4/1/2019";"Registered Child Development Home B";"Yes";;;12;" 7:00AM -  5:00PM";" 7:00AM -  5:00PM";" 7:00AM -  5:00PM";" 7:00AM -  5:00PM";" 7:00AM -  5:00PM";;;"Infant (up to 24 months)  Half-Day/25.00| Infant (up to 24 months)  Half-Day/25.00| Infant (up to 24 months)  Half-Day/25.00| Infant (up to 36 months)  Half-Day/25.00| Infant (up to 36 months)  Half-Day/25.00| Infant (up to 36 months)  Half-Day/25.00| Preschool (24 to Kindergarten)  Half-Day/25.00| Preschool (24 to Kindergarten)  Half-Day/25.00| Preschool (24 to Kindergarten)  Half-Day/25.00| Preschool (36 to Kindergarten)  Half-Day/25.00| Preschool (36 to Kindergarten)  Half-Day/25.00| Preschool (36 to Kindergarten)  Half-Day/25.00| School Age (K and up)  Half-Day/25.00| School Age (K and up)  Half-Day/25.00| School Age (K and up)  Half-Day/25.00";"Jones";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=24940";"3/31/2021";
"Chelsie Fitzsimmons";"16652 County RD E16";;"Monticello";"IA";52310;"16652 County RD E16";;"Monticello";"IA";52310;"(319) 480-5979";;"Fitzsimmons, Chelsie";"Active";"9/1/2019";"Registered Child Development Home B";"Yes";;;12;" 7:00AM -  5:00PM";" 7:00AM -  5:00PM";" 7:00AM -  5:00PM";" 7:00AM -  5:00PM";" 7:00AM -  5:00PM";;;"Infant (up to 24 months)  Half-Day/12.50| Infant (up to 24 months)  Half-Day/12.50| Infant (up to 36 months)  Half-Day/12.50| Infant (up to 36 months)  Half-Day/12.50| Preschool (24 to Kindergarten)  Half-Day/12.50| Preschool (24 to Kindergarten)  Half-Day/12.50| Preschool (36 to Kindergarten)  Half-Day/12.50| Preschool (36 to Kindergarten)  Half-Day/12.50| School Age (K and up)  Half-Day/12.50| School Age (K and up)  Half-Day/12.50";"Jones";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=48752";"8/31/2021";
"Courtney Balentine";"832 E Liberty ST";;"Anamosa";"IA";52205;"832 E Liberty ST";;"Anamosa";"IA";52205;"(319) 540-1213";;"Balentine, Courtney";"Active";"4/1/2020";"Registered Child Development Home B";"Yes";;;12;" 7:15AM -  5:15PM";" 7:15AM -  5:15PM";" 7:15AM -  5:15PM";" 7:15AM -  5:15PM";" 7:15AM -  5:15PM";;;"Infant (up to 24 months)  Half-Day/15.00| Infant (up to 24 months)  Half-Day/15.00| Infant (up to 24 months)  Half-Day/15.00| Infant (up to 36 months)  Half-Day/15.00| Infant (up to 36 months)  Half-Day/15.00| Infant (up to 36 months)  Half-Day/15.00| Preschool (24 to Kindergarten)  Half-Day/15.00| Preschool (24 to Kindergarten)  Half-Day/15.00| Preschool (24 to Kindergarten)  Half-Day/15.00| Preschool (36 to Kindergarten)  Half-Day/15.00| Preschool (36 to Kindergarten)  Half-Day/15.00| Preschool (36 to Kindergarten)  Half-Day/15.00";"Jones";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=46963";"3/31/2022";
"Dee Kray";"21743 Business HWY 151";;"Monticello";"IA";52310;"21743 Business HWY 151";;"Monticello";"IA";52310;"(319) 465-3919";;"Kray, Dee";"Active";"4/1/2019";"Registered Child Development Home B";"No";;;12;" 6:30AM -  5:15PM";" 6:30AM -  5:15PM";" 6:30AM -  5:15PM";" 6:30AM -  5:15PM";" 6:30AM -  5:15PM";;;;"Jones";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=24947";"3/31/2021";
"Eileen Gerth";"441 Noah DR";;"Anamosa";"IA";52205;"441 Noah DR";;"Anamosa";"IA";52205;"(319) 480-1289";;"Gerth, Eileen";"Active";"5/19/2020";"Registered Child Development Home A";"Yes";;;8;" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";"Infant (up to 24 months)  Hourly/2.70| Infant (up to 24 months)  Hourly/2.70| Infant (up to 24 months)  Hourly/2.70| Infant (up to 24 months)  Hourly/2.70| Infant (up to 36 months)  Hourly/2.70| Infant (up to 36 months)  Hourly/2.70| Infant (up to 36 months)  Hourly/2.70| Infant (up to 36 months)  Hourly/2.70| Preschool (24 to Kindergarten)  Hourly/2.70| Preschool (24 to Kindergarten)  Hourly/2.70| Preschool (24 to Kindergarten)  Hourly/2.70| Preschool (24 to Kindergarten)  Hourly/2.70| Preschool (36 to Kindergarten)  Hourly/2.70| Preschool (36 to Kindergarten)  Hourly/2.70| Preschool (36 to Kindergarten)  Hourly/2.70| Preschool (36 to Kindergarten)  Hourly/2.70| School Age (K and up)  Hourly/2.70| School Age (K and up)  Hourly/2.70| School Age (K and up)  Hourly/2.70| School Age (K and up)  Hourly/2.70";"Jones";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=51035";"4/30/2022";
"HACAP Head Start-Anamosa";"100 Park Ave";;"Anamosa";"IA";52205;"100 Park Ave";;"Anamosa";"IA";52205;"(319) 462-4343";;", ";"Active";"3/1/2019";"Licensed Center";"No";4;;39;" 7:15AM -  5:15PM";" 7:15AM -  5:15PM";" 7:15AM -  5:15PM";" 7:15AM -  5:15PM";" 7:15AM -  5:15PM";;;;"Jones";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=25097";"2/28/2021";"https://secureapp.dhs.state.ia.us/dhs_titan_public/caprica/document/GetProviderEvaluation/25097"
"Janet Simmons";"16385 190Th ST";;"Monticello";"IA";52310;"16385 190Th ST";;"Monticello";"IA";52310;"(319) 465-6904";;"Simmons, Janet";"Active";"8/1/2019";"Registered Child Development Home B";"Yes";;;12;" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";;;"Infant (up to 24 months)  Half-Day/10.00| Infant (up to 24 months)  Half-Day/10.00| Infant (up to 36 months)  Half-Day/10.00| Infant (up to 36 months)  Half-Day/10.00| Preschool (24 to Kindergarten)  Half-Day/10.00| Preschool (24 to Kindergarten)  Half-Day/10.00| Preschool (36 to Kindergarten)  Half-Day/10.00| Preschool (36 to Kindergarten)  Half-Day/10.00| School Age (K and up)  Half-Day/10.00| School Age (K and up)  Half-Day/10.00";"Jones";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=23521";"7/31/2021";
"Jann Hughes-Turnis";"1013 N Maple ST";;"Monticello";"IA";52310;"1013 N Maple ST";;"Monticello";"IA";52310;"(319) 465-3366";;"Hughes-Turnis, Jann";"Active";"12/1/2019";"Registered Child Development Home B";"Yes";;;12;" 6:45AM -  5:15PM";" 6:45AM -  5:15PM";" 6:45AM -  5:15PM";" 6:45AM -  5:15PM";" 6:45AM -  5:15PM";;;"Infant (up to 24 months)  Hourly/4.00| Infant (up to 24 months)  Hourly/4.00| Infant (up to 24 months)  Hourly/4.00| Infant (up to 36 months)  Hourly/4.00| Infant (up to 36 months)  Hourly/4.00| Infant (up to 36 months)  Hourly/4.00| Preschool (24 to Kindergarten)  Hourly/4.00| Preschool (24 to Kindergarten)  Hourly/4.00| Preschool (24 to Kindergarten)  Hourly/4.00| Preschool (36 to Kindergarten)  Hourly/4.00| Preschool (36 to Kindergarten)  Hourly/4.00| Preschool (36 to Kindergarten)  Hourly/4.00| School Age (K and up)  Hourly/4.00| School Age (K and up)  Hourly/4.00| School Age (K and up)  Hourly/4.00";"Jones";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=35130";"11/30/2021";
"Jennifer Snow";"113 S Oak ST";;"Anamosa";"IA";52205;"113 S Oak ST";;"Anamosa";"IA";52205;"(319) 480-1839";;"Snow, Jennifer";"Active";"4/1/2020";"Registered Child Development Home B";"Yes";;;12;" 6:00AM -  5:00PM";" 6:00AM -  5:00PM";" 6:00AM -  5:00PM";" 6:00AM -  5:00PM";" 6:00AM -  5:00PM";;;"Infant (up to 24 months)  Half-Day/15.00| Infant (up to 24 months)  Half-Day/15.00| Infant (up to 24 months)  Half-Day/15.00| Infant (up to 36 months)  Half-Day/15.00| Infant (up to 36 months)  Half-Day/15.00| Infant (up to 36 months)  Half-Day/15.00| Preschool (24 to Kindergarten)  Half-Day/15.00| Preschool (24 to Kindergarten)  Half-Day/15.00| Preschool (24 to Kindergarten)  Half-Day/15.00| Preschool (36 to Kindergarten)  Half-Day/15.00| Preschool (36 to Kindergarten)  Half-Day/15.00| Preschool (36 to Kindergarten)  Half-Day/15.00| School Age (K and up)  Half-Day/15.00| School Age (K and up)  Half-Day/15.00| School Age (K and up)  Half-Day/15.00";"Jones";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=23536";"3/31/2022";
"Jessie Merrill";"12726 Buffalo RD";;"Anamosa ";"IA";52205;"12726 Buffalo RD";;"Anamosa ";"IA";52205;"(319) 929-7424";;"Merrill, Jessie";"Active";"2/15/2019";"Registered Child Development Home B";"Yes";;;12;" 7:00AM -  5:00PM";" 7:00AM -  5:00PM";" 7:00AM -  5:00PM";" 7:00AM -  5:00PM";" 7:00AM -  5:00PM";;;"Infant (up to 24 months)  Half-Day/12.50| Infant (up to 24 months)  Half-Day/12.50| Infant (up to 36 months)  Half-Day/12.50| Infant (up to 36 months)  Half-Day/12.50| Preschool (24 to Kindergarten)  Half-Day/12.50| Preschool (24 to Kindergarten)  Half-Day/12.50| Preschool (36 to Kindergarten)  Half-Day/12.50| Preschool (36 to Kindergarten)  Half-Day/12.50| School Age (K and up)  Half-Day/12.50| School Age (K and up)  Half-Day/12.50";"Jones";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=40154";"1/31/2021";
"Julie Husmann ";"16381 190th ST";;"Monticello";"IA";52310;"16381 190th ST";;"Monticello";"IA";52310;"(319) 465-4144";;"Husmann, Julie";"Active";"9/1/2019";"Registered Child Development Home C";"Yes";;;16;" 6:00AM -  5:30PM";" 6:00AM -  5:30PM";" 6:00AM -  5:30PM";" 6:00AM -  5:30PM";" 6:00AM -  5:30PM";;;"Infant (up to 24 months)  Half-Day/10.00| Infant (up to 24 months)  Half-Day/10.00| Infant (up to 24 months)  Half-Day/10.00| Infant (up to 36 months)  Half-Day/10.00| Infant (up to 36 months)  Half-Day/10.00| Infant (up to 36 months)  Half-Day/10.00| Preschool (24 to Kindergarten)  Half-Day/10.00| Preschool (24 to Kindergarten)  Half-Day/10.00| Preschool (24 to Kindergarten)  Half-Day/10.00| Preschool (36 to Kindergarten)  Half-Day/10.00| Preschool (36 to Kindergarten)  Half-Day/10.00| Preschool (36 to Kindergarten)  Half-Day/10.00| School Age (K and up)  Half-Day/10.00| School Age (K and up)  Half-Day/10.00| School Age (K and up)  Half-Day/10.00";"Jones";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=23524";"8/31/2021";
"Karen Woodward";"10814 Forest Chapel RD";;"Anamosa";"IA";52205;"10814 Forest Chapel RD";;"Anamosa";"IA";52205;"(319) 462-0408";;"Woodward, Karen";"Active";"11/16/2019";"Non-Registered Child Care Home";"Yes";;;5;"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"Infant (up to 24 months)  Hourly/1.64| Infant (up to 24 months)  Hourly/1.64| Infant (up to 24 months)  Hourly/1.64| Infant (up to 24 months)  Hourly/1.64| Infant (up to 36 months)  Hourly/1.64| Infant (up to 36 months)  Hourly/1.64| Infant (up to 36 months)  Hourly/1.64| Infant (up to 36 months)  Hourly/1.64| Preschool (24 to Kindergarten)  Hourly/1.64| Preschool (24 to Kindergarten)  Hourly/1.64| Preschool (24 to Kindergarten)  Hourly/1.64| Preschool (24 to Kindergarten)  Hourly/1.64| Preschool (36 to Kindergarten)  Hourly/1.64| Preschool (36 to Kindergarten)  Hourly/1.64| Preschool (36 to Kindergarten)  Hourly/1.64| Preschool (36 to Kindergarten)  Hourly/1.64| School Age (K and up)  Hourly/1.64| School Age (K and up)  Hourly/1.64| School Age (K and up)  Hourly/1.64| School Age (K and up)  Hourly/1.64";"Jones";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=50892";"10/31/2021";
"Kidz R Us Daycare LLC";"601 E 3rd ST";;"Anamosa";"IA";52205;"601 E 3rd ST";;"Anamosa";"IA";52205;"(319) 462-4164";;", ";"Active";"5/1/2020";"Licensed Center";"Yes";;;54;" 6:00AM -  5:30PM";" 6:00AM -  5:30PM";" 6:00AM -  5:30PM";" 6:00AM -  5:30PM";" 6:00AM -  5:30PM";;;"Infant (up to 24 months)  Half-Day/17.50| Infant (up to 24 months)  Half-Day/17.50| Infant (up to 36 months)  Half-Day/17.50| Infant (up to 36 months)  Half-Day/17.50| Preschool (24 to Kindergarten)  Half-Day/17.50| Preschool (24 to Kindergarten)  Half-Day/17.50| Preschool (36 to Kindergarten)  Half-Day/17.50| Preschool (36 to Kindergarten)  Half-Day/17.50| School Age (K and up)  Half-Day/17.50| School Age (K and up)  Half-Day/17.50";"Jones";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=38258";"4/30/2022";"https://secureapp.dhs.state.ia.us/dhs_titan_public/caprica/document/GetProviderEvaluation/38258"
"Kidz R Us Too";"403 S Elm St";;"Anamosa";"IA";52205;"403 S Elm St";;"Anamosa";"IA";52205;"(319) 462-3450";;", ";"Active";"5/1/2019";"Licensed Center";"Yes";;;24;" 6:00AM -  5:30PM";" 6:00AM -  5:30PM";" 6:00AM -  5:30PM";" 6:00AM -  5:30PM";" 6:00AM -  5:30PM";;;"Preschool (24 to Kindergarten)  Half-Day/17.50| Preschool (24 to Kindergarten)  Half-Day/17.50| Preschool (24 to Kindergarten)  Half-Day/17.50| Preschool (36 to Kindergarten)  Half-Day/17.50| Preschool (36 to Kindergarten)  Half-Day/17.50| Preschool (36 to Kindergarten)  Half-Day/17.50| School Age (K and up)  Half-Day/17.50| School Age (K and up)  Half-Day/17.50| School Age (K and up)  Half-Day/17.50";"Jones";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=45164";"4/30/2021";"https://secureapp.dhs.state.ia.us/dhs_titan_public/caprica/document/GetProviderEvaluation/45164"
"Little Lion Learning Center";"206 Maple St";;"Olin";"IA";52320;"PO Box 105";;"Olin";"IA";52320;"(319) 484-4466";;", ";"Active";"1/1/2019";"Licensed Center";"Yes";;;55;" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";;;"Infant (up to 24 months)  Half-Day/14.50| Infant (up to 24 months)  Half-Day/14.50| Infant (up to 24 months)  Half-Day/14.50| Infant (up to 36 months)  Half-Day/14.50| Infant (up to 36 months)  Half-Day/14.50| Infant (up to 36 months)  Half-Day/14.50| Preschool (24 to Kindergarten)  Half-Day/14.50| Preschool (24 to Kindergarten)  Half-Day/14.50| Preschool (24 to Kindergarten)  Half-Day/14.50| Preschool (36 to Kindergarten)  Half-Day/14.50| Preschool (36 to Kindergarten)  Half-Day/14.50| Preschool (36 to Kindergarten)  Half-Day/14.50| School Age (K and up)  Half-Day/14.50| School Age (K and up)  Half-Day/14.50| School Age (K and up)  Half-Day/14.50";"Jones";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=23530";"12/31/2020";"https://secureapp.dhs.state.ia.us/dhs_titan_public/caprica/document/GetProviderEvaluation/23530"
"Mariah Anders";"525 S Maple ST";;"Monticello";"IA";52310;"525 S Maple ST";;"Monticello";"IA";52310;"(319) 480-8479";;"Anders, Mariah";"Active";"7/25/2019";"Registered Child Development Home A";"Yes";1;;8;"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"Infant (up to 24 months)  Half-Day/15.00| Infant (up to 24 months)  Half-Day/15.00| Infant (up to 24 months)  Half-Day/15.00| Infant (up to 36 months)  Half-Day/15.00| Infant (up to 36 months)  Half-Day/15.00| Infant (up to 36 months)  Half-Day/15.00| Preschool (24 to Kindergarten)  Half-Day/15.00| Preschool (24 to Kindergarten)  Half-Day/15.00| Preschool (24 to Kindergarten)  Half-Day/15.00| Preschool (36 to Kindergarten)  Half-Day/15.00| Preschool (36 to Kindergarten)  Half-Day/15.00| Preschool (36 to Kindergarten)  Half-Day/15.00| School Age (K and up)  Half-Day/15.00| School Age (K and up)  Half-Day/15.00| School Age (K and up)  Half-Day/15.00";"Jones";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=47914";"6/30/2021";
"Midland Elementary";"510 3rd Ave North";;"Oxford Junction";"IA";52323;"PO BOX F";;"Oxford Junction ";"IA";52323;"(563) 488-2292";;", ";"Active";"9/1/2020";"Licensed Center";"Yes";;;34;" 7:30AM -  3:30PM";" 7:30AM -  3:30PM";" 7:30AM -  3:30PM";" 7:30AM -  3:30PM";" 7:30AM -  3:30PM";;;"Preschool (24 to Kindergarten)  Half-Day/7.50| Preschool (24 to Kindergarten)  Half-Day/7.50| Preschool (36 to Kindergarten)  Half-Day/7.50| Preschool (36 to Kindergarten)  Half-Day/7.50";"Jones";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=47610";"8/31/2022";"https://secureapp.dhs.state.ia.us/dhs_titan_public/caprica/document/GetProviderEvaluation/47610"
"Mother Goose Preschool";"226 N Cedar St";;"Monticello";"IA";52310;"226 N Cedar St";;"Monticello";"IA";52310;"(319) 465-5675";;"Eby, Ann";"Active";"10/16/2020";"Licensed Center";"No";4;;20;" 8:00AM - 11:00AM";" 8:00AM - 11:00AM";" 8:00AM - 11:00AM";" 8:00AM - 11:00AM";;;;;"Jones";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=25095";"10/31/2022";"https://secureapp.dhs.state.ia.us/dhs_titan_public/caprica/document/GetProviderEvaluation/25095"
"Panther Academy";"321 W South St";;"Monticello";"IA";52310;"321 W South St";;"Monticello";"IA";52310;"(319) 465-5425";;", ";"Active";"4/1/2019";"Licensed Center";"Yes";;;60;" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";;;"Preschool (24 to Kindergarten)  Hourly/5.00| Preschool (24 to Kindergarten)  Hourly/5.00| Preschool (24 to Kindergarten)  Hourly/5.00| Preschool (36 to Kindergarten)  Hourly/5.00| Preschool (36 to Kindergarten)  Hourly/5.00| Preschool (36 to Kindergarten)  Hourly/5.00| School Age (K and up)  Hourly/5.00| School Age (K and up)  Hourly/5.00| School Age (K and up)  Hourly/5.00";"Jones";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=36659";"3/31/2021";"https://secureapp.dhs.state.ia.us/dhs_titan_public/caprica/document/GetProviderEvaluation/36659"
"Rebecca Kremer";"607 Park DR";;"Monticello ";"IA";52310;"607 Park DR";;"Monticello";"IA";52310;"(319) 480-2382";;"Kremer, Rebecca";"Active";"2/1/2019";"Registered Child Development Home B";"Yes";;;12;" 7:00AM -  5:00PM";" 7:00AM -  5:00PM";" 7:00AM -  5:00PM";" 7:00AM -  5:00PM";;;;"Infant (up to 24 months)  Half-Day/26.50| Infant (up to 24 months)  Half-Day/26.50| Infant (up to 36 months)  Half-Day/26.50| Infant (up to 36 months)  Half-Day/26.50| Preschool (24 to Kindergarten)  Half-Day/26.50| Preschool (24 to Kindergarten)  Half-Day/26.50| Preschool (36 to Kindergarten)  Half-Day/26.50| Preschool (36 to Kindergarten)  Half-Day/26.50| School Age (K and up)  Half-Day/26.50| School Age (K and up)  Half-Day/26.50";"Jones";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=24941";"1/31/2021";
"Sacred Heart School";"234 N Sycamore";;"Monticello";"IA";52310;"234 N Sycamore";;"Monticello";"IA";52310;"(319) 465-4605";;", ";"Active";"5/1/2019";"Licensed Center";"Yes";3;;30;" 7:00AM -  5:30PM";" 7:00AM -  5:30PM";" 7:00AM -  5:30PM";" 7:00AM -  5:30PM";" 7:00AM -  5:30PM";;;"Preschool (24 to Kindergarten)  Half-Day/15.00| Preschool (24 to Kindergarten)  Half-Day/15.00| Preschool (24 to Kindergarten)  Half-Day/15.00| Preschool (36 to Kindergarten)  Half-Day/15.00| Preschool (36 to Kindergarten)  Half-Day/15.00| Preschool (36 to Kindergarten)  Half-Day/15.00| School Age (K and up)  Half-Day/15.00| School Age (K and up)  Half-Day/15.00| School Age (K and up)  Half-Day/15.00";"Jones";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=44486";"4/30/2021";"https://secureapp.dhs.state.ia.us/dhs_titan_public/caprica/document/GetProviderEvaluation/44486"
"Shelley Bronemann  Judith Harms";"341 N Pine ST";;"Monticello";"IA";52310;"341 N Pine ST";;"Monticello";"IA";52310;"(319) 480-4851";;"Bronemann, Shelley";"Active";"2/1/2019";"Registered Child Development Home C";"Yes";;;16;" 5:30AM -  4:00PM";" 5:30AM -  4:00PM";" 5:30AM -  4:00PM";" 5:30AM -  4:00PM";" 5:30AM -  4:00PM";;;"Infant (up to 24 months)  Half-Day/25.00| Infant (up to 24 months)  Half-Day/25.00| Infant (up to 36 months)  Half-Day/25.00| Infant (up to 36 months)  Half-Day/25.00| Preschool (24 to Kindergarten)  Half-Day/25.00| Preschool (24 to Kindergarten)  Half-Day/25.00| Preschool (36 to Kindergarten)  Half-Day/25.00| Preschool (36 to Kindergarten)  Half-Day/25.00| School Age (K and up)  Half-Day/25.00| School Age (K and up)  Half-Day/25.00";"Jones";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=24949";"1/31/2021";
"St Johns Christian Day Care";"18927 HWY 38";;"Monticello";"IA";52310;"18927 HWY 38";;"Monticello";"IA";52310;"(319) 465-5369";;", ";"Active";"5/1/2019";"Licensed Center";"Yes";3;;50;" 7:00AM -  5:30PM";" 7:00AM -  5:30PM";" 7:00AM -  5:30PM";" 7:00AM -  5:30PM";" 7:00AM -  5:30PM";;;"Infant (up to 24 months)  Half-Day/17.50| Infant (up to 24 months)  Half-Day/17.50| Infant (up to 36 months)  Half-Day/17.50| Infant (up to 36 months)  Half-Day/17.50| Preschool (24 to Kindergarten)  Half-Day/17.50| Preschool (24 to Kindergarten)  Half-Day/17.50| Preschool (36 to Kindergarten)  Half-Day/17.50| Preschool (36 to Kindergarten)  Half-Day/17.50| School Age (K and up)  Half-Day/17.50| School Age (K and up)  Half-Day/17.50| School Age (K and up)  Half-Day/17.50";"Jones";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=23522";"4/30/2021";"https://secureapp.dhs.state.ia.us/dhs_titan_public/caprica/document/GetProviderEvaluation/23522"
"St Patrick Preschool";"216 N Garnavillo St";;"Anamosa";"IA";52205;;;;" ";" ";"(319) 462-2688";;", ";"Active";"3/1/2012";"Exempt from Licensing";"No";4;;;;;;;;;;;"Jones";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=38078";"1/31/2021";
